排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,49337,406011.6968,3393773.185,5,0.21421246
2,49333,406011.8611,3393765.6716,5,0.17954985
3,48663,407590.8002,3389190.1494,6,0.15672184
4,28817,403705.4117,3394166.1399,3,0.13397897
5,28818,403385.3926,3394192.5069,3,0.13395657
6,28883,402968.9416,3394221.0831,3,0.11178922
7,37935,403778.252,3403940.674,4,0.10561873
8,29247,403213.0336,3394461.6057,4,0.10561163
9,29117,403165.5182,3394372.9016,4,0.10519424
10,30545,403644.8132,3395276.5912,4,0.1050672
11,33985,405971.7356,3397828.9213,4,0.10085596
12,33485,404799.0365,3397313.9944,3,0.10074743
13,33697,405181.5505,3397499.0785,3,0.09985747
14,38572,403537.6748,3404771.342,3,0.09979954
15,20507,408217.2074,3388481.8845,6,0.09976036
16,20137,407996.5564,3388097.4971,4,0.09700448
17,19736,407778.0997,3387702.4662,3,0.09484372
18,20859,408307.878,3388707.8574,3,0.09402275
19,21063,408200.3417,3388825.57,4,0.09400047
20,40250,401252.2874,3408699.9711,4,0.09337149
21,35210,404929.2169,3399657.6536,4,0.0918313
22,49943,410027.9213,3396419.8953,7,0.09132235
23,49463,406480.779,3394638.3734,3,0.0890055
24,34662,416450.324,3398673.6927,4,0.08766427
25,49330,406047.0654,3393765.231,9,0.08712979
26,22444,394782.4099,3389879.3447,4,0.08706541
27,34905,413803.0201,3399096.4626,4,0.08553852
28,49919,411767.3705,3396392.7858,5,0.08541604
29,37307,403926.9954,3403294.8494,4,0.08500206
30,34912,413699.1655,3399103.2356,3,0.08498102
31,40253,401247.6647,3408704.7269,4,0.08432423
32,50007,411787.1985,3396628.6429,3,0.08316368
33,50219,411613.2489,3397692.7975,2,0.08309994
34,50267,411205.4368,3398225.0528,2,0.0830668
35,50513,411191.6456,3399523.1963,4,0.0830516
36,50483,411153.3715,3399266.8214,2,0.08303925
37,34312,417213.436,3398217.8616,3,0.08249294
38,22606,398085.3988,3389960.1737,3,0.08208307
39,22548,397913.3698,3389932.5302,2,0.0820232
40,22452,394859.8728,3389879.7228,2,0.08196813
41,35294,409608.5121,3399879.3741,4,0.0809474
42,19470,407613.5406,3387439.8427,4,0.07911773
43,35342,409013.291,3399936.8351,3,0.07909569
44,34755,407282.0803,3398781.6837,3,0.07901597
45,3515,385810.9636,3366643.2631,4,0.07893265
46,24197,401871.6294,3390985.5501,4,0.07721807
47,23585,400394.3608,3390561.3276,3,0.07680865
48,3113,384628.2197,3365662.913,4,0.0767366
49,18414,407178.9793,3386489.6071,5,0.0750603
50,18959,410825.5384,3386859.346,5,0.07450541
51,22436,394158.2749,3389876.2985,4,0.07432375
52,16942,390648.5184,3385233.7174,4,0.07410121
53,35126,411622.394,3399506.787,3,0.07391392
54,47943,407192.8819,3386416.5855,6,0.07378221
55,35080,411775.9904,3399456.9116,3,0.07373858
56,21272,391827.2388,3389014.5886,2,0.073557
57,3417,385385.8,3366302.8386,4,0.07261023
58,42591,398722.7927,3413720.1042,3,0.07248633
59,35074,411918.5118,3399413.1364,3,0.07242744
60,3177,384729.4506,3365754.4009,4,0.07240741
61,47669,407180.9865,3385324.5313,4,0.07137207
62,28869,401654.6287,3394217.0703,4,0.06884645
63,36363,411275.085,3401916.9137,4,0.06835854
64,14090,387455.4614,3383523.814,3,0.06805408
65,13976,386390.8262,3383437.0345,3,0.06801243
66,34543,405602.6398,3398545.3657,4,0.06794065
67,10080,384256.5697,3380150.1592,3,0.06790721
68,14281,390053.1311,3383617.4902,3,0.06787543
69,3790,385698.9483,3368204.0186,4,0.06780757
70,3878,386410.4789,3368827.5263,2,0.06778308
71,42411,399814.9313,3412493.0135,2,0.06755478
72,33991,405989.2561,3397839.2864,4,0.06735749
73,35534,406097.0479,3400451.1844,3,0.06710898
74,3114,384417.9456,3365660.869,2,0.066574
75,2550,372861.4969,3364096.4506,2,0.06648337
76,2549,372737.294,3364119.6512,3,0.06639287
77,36281,411271.878,3401794.988,3,0.06626393
78,50649,411210.7969,3399948.9458,4,0.06579179
79,49324,406047.171,3393757.6851,10,0.06532065
80,18925,411319.3876,3386840.2337,5,0.06330926
81,3541,386256.3806,3366749.5514,3,0.06262289
82,18942,411235.2434,3386846.7004,2,0.06228741
83,48570,409186.5971,3388262.9923,6,0.06186533
84,13354,405652.8785,3383083.9325,4,0.06178182
85,19020,409714.843,3386904.8853,4,0.0611131
86,20160,409910.436,3388138.3451,5,0.0601369
87,18549,412435.4941,3386595.2649,4,0.05945215
88,28798,402735.6864,3394180.041,3,0.05829867
89,19746,409920.1972,3387708.5728,4,0.05765725
90,10695,405463.7626,3380790.754,3,0.05694416
91,14421,406290.145,3383724.3471,3,0.05683536
92,13624,405810.2473,3383236.4964,2,0.0567326
93,11724,405505.3311,3381743.5632,3,0.05663402
94,9233,406169.6763,3379399.4593,3,0.05649878
95,14282,390093.496,3383623.3827,4,0.05569423
96,2593,367574.4744,3364244.7945,4,0.05533147
97,2634,359935.9389,3364420.9962,3,0.05514838
98,2758,355422.2669,3364877.4213,4,0.05506326
99,23359,399919.4475,3390401.2584,4,0.05506001
100,19312,409704.2616,3387222.2459,4,0.05417023
101,14812,406429.272,3383873.1323,4,0.05399803
102,15490,406825.5004,3384278.8935,4,0.05377396
103,15478,406816.6497,3384267.7646,3,0.05350508
104,9201,406179.661,3379382.659,3,0.05334564
105,14516,406326.9367,3383764.9256,3,0.05329865
106,7731,407088.6451,3377665.9089,3,0.05327961
107,15427,406894.7038,3384235.6142,3,0.05311058
108,27789,402833.4036,3393687.8065,3,0.05271748
109,25021,402542.0963,3391386.6634,4,0.05271208
110,28283,402931.8268,3393944.913,3,0.0522816
111,28819,401651.4665,3394194.9872,4,0.05212039
112,48337,409653.4193,3388106.7695,3,0.05178597
113,49885,411627.8002,3396363.5788,9,0.05075306
114,39602,391002.0874,3407132.5643,4,0.05040526
115,33528,419173.8101,3397326.1809,3,0.05008781
116,34070,418187.4495,3397946.7276,3,0.05007077
117,18588,412166.2136,3386622.7658,4,0.04936232
118,48408,409943.8018,3388139.4185,3,0.04931487
119,22614,398446.7666,3389962.8416,4,0.04875406
120,18802,411892.5654,3386713.1985,4,0.0486371
121,18987,410318.9395,3386882.987,3,0.04855866
122,18560,412297.611,3386609.9362,4,0.04841073
123,34741,407251.358,3398754.3062,4,0.04822888
124,12210,404645.8019,3382259.9448,4,0.04812727
125,42282,391870.6238,3411704.7999,3,0.04761626
126,23965,402875.0131,3390812.2716,3,0.0474854
127,34529,405583.9431,3398536.7499,4,0.04724962
128,22615,398427.5384,3389964.4539,4,0.04715605
129,34167,406369.6762,3398062.3803,3,0.04712912
130,34825,418171.9266,3398914.5033,4,0.04635935
131,39800,391305.0474,3407614.3025,3,0.04622248
132,43039,396126.1734,3415366.2809,3,0.04557621
133,40915,393963.3574,3409804.9477,4,0.04508321
134,43040,395868.8458,3414761.6792,2,0.04478191
135,42879,395836.2347,3414674.9857,2,0.04470695
136,40826,391116.6475,3409690.3252,4,0.04449677
137,23663,402461.5669,3390628.3508,4,0.04431268
138,48574,409192.7386,3388274.0344,6,0.04417215
139,49871,411778.1289,3396361.1141,4,0.04411077
140,7215,406385.6709,3376511.3684,4,0.04404927
141,2730,354381.1766,3364815.0382,4,0.04398667
142,37310,403944.2481,3403300.6247,3,0.04391862
143,40841,391113.8458,3409697.9798,4,0.0437669
144,32936,419375.2154,3396933.7519,4,0.0437451
145,22947,399267.3211,3390179.4331,4,0.04359205
146,48458,409627.4796,3388156.8732,3,0.04350067
147,23131,399540.2066,3390275.3638,3,0.04338424
148,35028,406885.0761,3399290.1447,3,0.04321096
149,18287,414246.1125,3386395.4252,4,0.04320997
150,39992,391762.4103,3408117.597,3,0.04309789
151,24868,417307.7503,3391279.0104,3,0.04258775
152,22686,398788.9042,3390014.4244,3,0.04256809
153,50063,419430.2145,3396742.2587,4,0.04255464
154,32935,419419.2461,3396791.3128,2,0.04248719
155,50028,419443.351,3396683.5075,4,0.04197683
156,34832,418194.4715,3398930.1473,4,0.04196926
157,21367,398662.1683,3389117.0759,4,0.04190567
158,21381,398674.8789,3389135.5328,4,0.04189731
159,40909,393953.1783,3409796.2366,4,0.04176898
160,24769,419022.3772,3391234.7464,4,0.04176215
161,11181,414276.3785,3381303.7057,4,0.04172674
162,42274,412756.233,3411695.2649,4,0.04154246
163,37411,411295.2407,3403513.0058,4,0.04147593
164,18457,415277.2263,3386513.6803,4,0.04132676
165,2192,400424.9276,3362082.6818,4,0.04115869
166,28373,401672.8282,3393984.09,3,0.04114557
167,31675,397855.1333,3396001.8304,3,0.04087884
168,38775,411352.5103,3405360.9102,3,0.0406274
169,2715,353659.9377,3364782.3765,6,0.04051792
170,36641,411282.5701,3402407.0876,2,0.04035547
171,36907,411288.0995,3402833.6364,4,0.0403293
172,37381,411294.6227,3403485.5391,4,0.04015398
173,49868,411788.0563,3396360.9513,4,0.04004451
174,31793,397705.0623,3396123.5956,3,0.04000653
175,37207,411287.3206,3403161.7713,3,0.03996538
176,40978,412109.0937,3409970.2426,4,0.03994054
177,15680,412764.9166,3384374.8055,5,0.03989669
178,32301,396954.8375,3396455.9979,3,0.03961219
179,38931,411355.2146,3405855.3933,3,0.03913321
180,32451,396218.1445,3396556.4578,3,0.03904603
181,41452,393080.5865,3410555.2097,3,0.03901863
182,47983,406970.998,3386620.4407,5,0.03891377
183,41463,393070.8481,3410564.762,3,0.0388167
184,48674,407477.0706,3389330.7326,11,0.0386371
185,41120,400405.6548,3410224.57,3,0.03861608
186,39475,411374.6159,3406760.131,3,0.03835813
187,10868,413284.6568,3380986.5054,4,0.03823921
188,22167,398511.953,3389688.8279,3,0.03820157
189,39531,411389.8455,3406891.4898,3,0.03809066
190,39829,411402.7829,3407662.7579,3,0.03804548
191,14294,390112.4295,3383626.1466,4,0.03794496
192,17411,411804.1225,3385649.9904,4,0.03784617
193,20180,409910.3784,3388146.3589,4,0.037233
194,7785,414530.4127,3377784.9103,4,0.03708695
195,29617,400222.2028,3394701.5791,4,0.03675711
196,19498,409924.3268,3387463.962,4,0.03652616
197,18368,407175.2166,3386449.4554,4,0.03645397
198,31371,398208.4,3395760.2531,3,0.03639089
199,22379,399737.2362,3389853.8197,3,0.03630609
200,19494,409696.9913,3387458.7037,4,0.03630584
201,34082,418119.3897,3397962.9068,3,0.03629196
202,3962,408253.9195,3369352.6513,3,0.0360964
203,2119,401799.4292,3361705.7095,4,0.03577574
204,48027,407332.225,3386909.7241,4,0.03534529
205,47957,407197.6462,3386460.5951,4,0.03529451
206,23325,399924.4898,3390389.0194,3,0.03527447
207,7659,406685.0934,3377498.1224,3,0.03523039
208,18431,413334.8267,3386501.4492,5,0.03497889
209,18411,414967.8266,3386486.5562,3,0.03485659
210,28833,419508.2366,3394200.4078,3,0.03483081
211,31417,398150.7361,3395785.6937,2,0.03478
212,3569,387050.1145,3366827.89,2,0.03464905
213,3596,387655.6341,3366889.577,2,0.03461048
214,3595,388132.8493,3366921.1954,3,0.03458177
215,35827,418737.0739,3400929.9598,4,0.03454888
216,3664,388920.6581,3367254.5584,3,0.03445139
217,11428,405189.7651,3381503.3349,3,0.03441858
218,18298,413916.4307,3386400.8664,3,0.03433959
219,11676,417261.5284,3381694.1992,3,0.03427588
220,18471,413017.3634,3386528.5873,4,0.03417427
221,35084,418277.4991,3399460.3601,4,0.03410134
222,19738,407749.3383,3387650.465,2,0.03407877
223,29068,419543.6569,3394354.0092,4,0.03404352
224,49837,412022.6421,3396354.7009,4,0.03403524
225,40044,416608.0437,3408274.2682,4,0.03400552
226,40269,401249.3905,3408725.3159,4,0.0339839
227,4901,410305.069,3372357.6279,3,0.03394607
228,3799,407599.5307,3368342.9766,3,0.03378957
229,49671,413548.5704,3395500.1072,5,0.03376199
230,16917,407163.2418,3385217.2103,4,0.03372541
231,11097,423552.6002,3381218.4837,4,0.03371151
232,38466,417419.8234,3404536.3762,2,0.0336471
233,39044,418888.8586,3406061.4636,4,0.03364181
234,35206,404913.3943,3399648.6155,4,0.0335067
235,18526,412619.0637,3386575.4416,3,0.03348572
236,3896,408199.9842,3368958.6369,2,0.03338669
237,3879,408194.8883,3368926.0624,3,0.03338461
238,18971,409721.0329,3386867.8816,4,0.03321926
239,11424,412935.2635,3381501.6999,4,0.03319105
240,11122,413098.7614,3381243.9196,4,0.03317398
241,4036,391019.6248,3369998.8341,4,0.03301475
242,4009,390732.4968,3369604.168,4,0.03284954
243,2162,400793.4758,3361980.0036,4,0.03263573
244,41072,400429.8616,3410129.5428,3,0.03229894
245,32728,391979.4236,3396776.5376,4,0.03218512
246,42665,398510.4154,3413993.4383,3,0.03214281
247,6353,405804.8156,3374585.7512,4,0.03201074
248,24588,416199.9518,3391180.3341,3,0.03201065
249,43555,397749.2079,3416533.3544,4,0.03191446
250,25290,401846.0846,3391621.9425,4,0.03187359
251,26882,401794.3905,3392890.9997,2,0.03178897
252,34916,402581.0157,3399109.6692,4,0.03169045
253,41134,417423.6704,3410249.7844,4,0.03165979
254,44758,397900.4707,3419674.3158,4,0.03153684
255,43825,397784.2506,3417009.3414,4,0.03142847
256,25527,374927.4757,3391817.2585,4,0.03130293
257,36341,387856.2786,3401882.34,5,0.03124029
258,32308,423565.1325,3396460.0132,4,0.03111371
259,44466,397516.8087,3418539.874,4,0.03107253
260,39022,390064.792,3406010.5758,2,0.03102041
261,16380,411605.9997,3384744.6258,3,0.03095062
262,29596,400242.1323,3394694.7217,4,0.03093119
263,49914,419446.2047,3396390.4003,4,0.03082398
264,16086,411536.1738,3384608.0336,3,0.03064202
265,5457,405592.5496,3373303.7555,4,0.03058379
266,16323,411535.4099,3384688.3404,3,0.03054021
267,2735,354379.9199,3364825.952,3,0.0304339
268,25053,373288.326,3391429.478,3,0.03034983
269,39606,382144.9488,3407132.7421,3,0.03022784
270,13707,412687.4539,3383283.182,2,0.03020024
271,12205,412657.7231,3382248.7292,3,0.03019577
272,12317,412673.1429,3382337.4916,2,0.0301653
273,44648,397857.9198,3419058.8254,4,0.03005268
274,11760,405550.4262,3381777.2948,3,0.03000963
275,13455,424394.5986,3383151.866,4,0.0300052
276,50002,419460.8167,3396605.3954,4,0.02978734
277,12541,424133.3086,3382463.5698,3,0.02967145
278,3697,389016.0777,3367310.6978,4,0.02964201
279,7924,420210.9787,3377961.9554,4,0.02963974
280,24776,418838.0664,3391237.7523,3,0.02963037
281,24942,417538.0938,3391337.2592,3,0.02952133
282,43220,414389.6075,3415988.5301,4,0.0294873
283,37943,403798.1102,3403944.6522,4,0.02947931
284,24996,418015.8505,3391368.5117,3,0.02943193
285,24948,417673.1518,3391349.4036,3,0.02939768
286,24507,372503.6656,3391142.9619,3,0.02932898
287,9069,414341.8177,3379266.4215,4,0.02927882
288,39420,381938.4589,3406602.5842,3,0.02925512
289,13265,405649.5894,3383020.298,3,0.02925486
290,39464,381911.9848,3406719.432,2,0.02921555
291,24377,372325.2408,3391086.0376,4,0.0291547
292,29079,419499.9238,3394358.1501,4,0.02901352
293,5889,414863.9905,3373649.116,4,0.02890857
294,26585,377172.3335,3392648.5001,4,0.02869042
295,35614,422516.1148,3400753.1471,3,0.02861546
296,39110,381955.1237,3406168.4977,3,0.02842708
297,39008,381782.8706,3405975.0977,3,0.02837328
298,29380,400715.6732,3394545.3193,4,0.02833969
299,39024,381816.3273,3406015.7991,2,0.02824004
300,11094,414305.5256,3381213.5165,4,0.02818599
301,3002,395498.9307,3365512.5894,4,0.02815241
302,3766,385191.6623,3367956.5897,4,0.02813595
303,24699,394504.3717,3391217.4402,4,0.02795605
304,16949,390633.4628,3385241.3992,4,0.02794041
305,26586,375003.2837,3392136.8619,2,0.0278761
306,9587,414227.2247,3379727.5527,4,0.02780096
307,33167,391310.6719,3397076.3226,3,0.02780094
308,25897,374853.1954,3392143.8599,2,0.02778587
309,25898,374741.0914,3392149.7086,3,0.02774848
310,19442,424542.2855,3387367.398,4,0.02773585
311,25777,394424.6543,3392046.6378,3,0.02716161
312,42277,412737.1951,3411701.9353,4,0.02713167
313,4873,410613.5498,3372214.8126,4,0.0270365
314,20446,409908.2063,3388426.631,4,0.02703386
315,22098,418525.8927,3389641.4959,4,0.02683865
316,11602,412560.9054,3381613.3047,4,0.02683092
317,26723,394355.6156,3392757.6325,4,0.02678748
318,12569,424139.8639,3382479.3722,3,0.02674101
319,15428,406982.0508,3384058.8901,4,0.026565
320,15753,407104.4197,3384415.8301,4,0.026565
321,4898,410382.6508,3372320.5118,3,0.02649399
322,41697,401729.9437,3410821.7733,3,0.02636753
323,32569,395061.0163,3396610.7366,4,0.02635576
324,15837,411978.7663,3384464.9214,4,0.02623554
325,27406,393730.6898,3393399.0107,3,0.02595757
326,5429,405590.1196,3373282.652,4,0.02595021
327,44470,416305.6206,3418540.0539,4,0.02594823
328,28393,392911.4692,3393990.7757,3,0.02583726
329,31724,419462.6346,3396041.531,3,0.02582771
330,15603,412309.0504,3384351.5006,4,0.02581828
331,15824,411991.9342,3384460.5803,4,0.02575314
332,33321,390502.5437,3397257.3634,3,0.02567731
333,32625,394860.2012,3396661.4547,2,0.02566683
334,43568,397764.6255,3416552.9588,3,0.02562444
335,32817,393910.35,3396858.742,2,0.0255932
336,32820,393903.5779,3396858.7091,2,0.02553775
337,49904,419423.0607,3396372.4643,4,0.02549392
338,32819,392546.3057,3396794.307,2,0.02549161
339,47591,405366.6988,3383577.8652,3,0.02549161
340,19109,416244.1372,3386971.9527,3,0.02548444
341,32748,392536.8725,3396793.4924,2,0.02545218
342,34017,389337.3017,3397862.4651,2,0.02544822
343,43229,414368.2404,3415999.2864,4,0.02542913
344,2182,400419.6772,3362059.2288,4,0.02540212
345,34245,388945.8198,3398130.0009,2,0.02535292
346,34580,388897.3466,3398162.1478,2,0.02525788
347,15789,406340.2499,3384433.9605,3,0.0252114
348,33301,390812.8895,3397239.5186,2,0.02518211
349,34579,388279.0396,3398581.0754,2,0.0251632
350,15790,405996.0351,3384120.3323,2,0.02516114
351,12644,417658.3869,3382533.102,4,0.02511642
352,20459,410324.8476,3388436.8556,4,0.02511438
353,34712,388267.1424,3398588.1823,2,0.02506958
354,29367,400691.2582,3394532.2996,4,0.025046
355,24417,402316.0921,3391102.8089,6,0.0250213
356,34698,387613.6715,3398709.8126,2,0.02497702
357,23749,417326.5336,3390670.1784,3,0.02494649
358,34697,386588.1364,3398071.2478,2,0.02488477
359,40276,411630.644,3408737.2048,2,0.02487725
360,40977,411678.817,3408854.7147,2,0.02485106
361,34176,386578.1687,3398063.3058,3,0.02479288
362,25157,416045.8669,3391493.6821,3,0.02459233
363,49828,419238.0298,3396328.0765,3,0.02457732
364,34175,380278.8351,3394056.7918,3,0.02451962
365,28435,392793.9022,3394002.1884,3,0.02444998
366,31857,419411.2418,3396158.1012,3,0.024442
367,28476,380201.291,3394034.1779,2,0.02443734
368,17671,427177.8542,3385810.2621,4,0.02443256
369,43558,397766.1744,3416534.0121,3,0.02441959
370,27526,379259.1387,3393480.9245,3,0.02439675
371,18542,427008.8774,3386591.3622,4,0.02436549
372,17217,426687.3017,3385485.0787,3,0.02436132
373,17229,426703.5946,3385491.3739,3,0.02433011
374,16579,425398.9946,3384922.3337,2,0.02430353
375,17218,425452.7254,3384957.2723,2,0.0242991
376,5316,410639.2439,3373238.984,4,0.02400964
377,26782,419569.4263,3392804.2608,3,0.02400917
378,10989,414402.3341,3381052.7385,3,0.02400342
379,31835,401954.5482,3396151.306,2,0.0239267
380,35808,418739.5886,3400914.3687,4,0.02391235
381,5648,410687.3664,3373454.5134,4,0.02389521
382,33691,402096.1398,3396453.3779,2,0.0238754
383,34419,403521.1391,3398374.8212,4,0.02386446
384,33692,402800.6043,3397495.0849,2,0.02383619
385,34420,402819.7746,3397511.659,2,0.02380475
386,27088,378596.3199,3393111.2496,3,0.02374617
387,4858,410659.7221,3372189.6726,4,0.02373689
388,11707,417204.8431,3381735.0089,3,0.02371474
389,20704,423666.9644,3388615.0394,4,0.02367672
390,10929,414955.6991,3381026.7799,4,0.0236662
391,10991,414689.8081,3381049.0468,3,0.02366211
392,29064,419570.5892,3394351.4591,4,0.02365721
393,27087,377223.7883,3392655.2227,2,0.02360045
394,26574,377175.2644,3392636.1564,2,0.02355971
395,44906,398173.9584,3421284.0864,4,0.02354412
396,25862,375620.3819,3392106.558,3,0.02353455
397,28846,419576.2143,3394204.3879,3,0.02351175
398,2402,398533.6697,3362990.4084,4,0.02346792
399,41791,402320.5057,3410941.6664,3,0.02345829
400,2648,354409.496,3364482.8286,4,0.02344935
401,5634,410678.6181,3373434.2037,3,0.02339325
402,28743,402732.0213,3394163.5483,3,0.02338387
403,3263,394830.9021,3365862.186,4,0.02334237
404,36561,415001.6359,3402290.2613,3,0.02328722
405,2528,354445.5863,3364059.4606,4,0.02324751
406,5278,413581.8442,3373183.749,3,0.02323086
407,40983,412077.8785,3409982.242,4,0.0231378
408,7754,408081.703,3377726.7087,4,0.02309992
409,36462,413734.1125,3402018.4629,3,0.02301222
410,5564,410635.776,3373391.7207,3,0.02290986
411,27839,402863.1032,3393719.6034,5,0.0228742
412,20360,416666.9325,3388343.5186,3,0.02279432
413,15798,404128.0832,3384437.2115,4,0.02275457
414,36565,402289.1848,3402291.3771,4,0.02273774
415,41921,402303.3425,3411057.5289,3,0.02270645
416,2426,398262.5761,3363168.6151,4,0.02269427
417,49416,402948.8866,3393946.7099,4,0.0226672
418,7758,408100.5431,3377727.402,4,0.02261796
419,18123,427586.2466,3386263.8551,4,0.02261531
420,36461,414343.8584,3402105.5799,3,0.02257162
421,25541,374952.387,3391829.1181,4,0.02244089
422,29880,391738.6282,3394885.6651,5,0.02237933
423,24468,419054.4578,3391119.9168,3,0.02229131
424,20114,410371.9975,3388072.719,4,0.02225205
425,25623,375191.0879,3391942.7163,3,0.02222985
426,5381,405587.6223,3373262.6241,4,0.02221324
427,29100,423665.9488,3394363.8067,3,0.02216636
428,7763,408086.4854,3377743.0269,4,0.02212185
429,4026,390241.0591,3369958.1043,4,0.02197121
430,23864,399865.4167,3390739.5712,3,0.02170357
431,13143,402101.7433,3382909.4867,2,0.02167283
432,19661,416458.8712,3387639.476,3,0.02166869
433,40423,385685.7032,3409029.0462,3,0.02166015
434,20359,416545.5969,3387957.1788,2,0.02160722
435,13144,401370.2903,3382769.3732,3,0.02160249
436,19753,416477.4568,3387713.6224,2,0.02159392
437,5142,413157.3405,3372960.5943,3,0.02158197
438,2999,394840.6244,3365500.4188,3,0.02144342
439,47907,400352.4463,3386163.9509,4,0.02143519
440,23524,401998.0819,3390509.9618,3,0.0213696
441,2304,396520.3615,3362329.1894,4,0.02136741
442,26210,374910.6839,3392373.8113,4,0.02121899
443,29385,400698.2597,3394550.8225,4,0.02101969
444,5572,414174.2569,3373410.0774,3,0.02100591
445,4046,391032.9611,3370018.9351,4,0.02099786
