排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,22573,389320.7385,4329804.7631,4,0.28388185
2,19908,387111.6994,4324905.0164,4,0.27257438
3,18118,385515.4843,4322828.7818,4,0.2710734
4,21484,388199.7075,4326612.6272,4,0.27036337
5,17104,383331.9551,4321366.5451,4,0.26467392
6,18117,383522.2405,4321463.2746,2,0.26452307
7,17136,383470.5051,4321451.6523,2,0.26451918
8,25469,419240.1324,4354886.4312,3,0.25446527
9,25275,409019.0694,4352525.1635,3,0.24585009
10,25263,409012.5196,4352337.0574,3,0.24577534
11,24941,395853.255,4348395.9852,5,0.24489835
12,25454,412531.175,4354751.406,3,0.24381345
13,24919,395781.8274,4348231.547,3,0.2431765
14,23177,392270.6584,4336416.1635,4,0.24305345
15,26225,416953.1199,4362136.5645,3,0.24242673
16,24921,395786.7743,4348241.5043,3,0.24232847
17,25202,413487.0614,4350851.1247,3,0.24155398
18,22725,390010.0185,4332351.2988,3,0.24130874
19,25236,413156.8424,4351932.6924,2,0.24124527
20,25453,413131.1447,4352008.2329,2,0.24117728
21,26518,416944.9491,4363738.8164,4,0.24011399
22,22941,390940.4775,4334055.6126,3,0.23976453
23,22735,390160.1499,4332617.5403,2,0.23855552
24,22942,390511.217,4333098.4723,2,0.23851425
25,23435,393156.6162,4338750.7702,4,0.23610613
26,23511,393312.4872,4339088.5158,4,0.23437252
27,23597,393528.5036,4339562.013,4,0.23259587
28,24567,394650.3643,4345951.6709,4,0.23233523
29,24679,394848.3422,4346603.6661,4,0.23107667
30,22643,389530.8209,4330661.5013,2,0.22876501
31,22665,389886.1254,4331220.7153,2,0.22871437
32,22726,389879.3355,4331282.1497,2,0.22866598
33,20304,379829.5951,4325374.602,4,0.22336346
34,20373,382232.8799,4325464.8724,3,0.2203807
35,20068,383041.3379,4325141.9962,4,0.22015512
36,20263,382993.7931,4325316.6672,2,0.22009738
37,20408,382928.201,4325400.8628,2,0.22009334
38,22467,389347.9784,4329191.6587,4,0.21869601
39,21686,388337.0597,4326992.7175,4,0.21846078
40,13679,363766.2029,4313727.5517,5,0.21815291
41,21654,388315.6567,4326915.3765,3,0.21757656
42,21610,388274.1812,4326803.8661,3,0.21753296
43,21835,389343.9133,4327369.264,3,0.21729501
44,25061,396971.7441,4349242.7052,4,0.21533881
45,22363,389396.8385,4328755.3825,3,0.21489857
46,21953,389627.9845,4327703.3647,2,0.21489784
47,15021,364595.0234,4316568.8508,3,0.21182545
48,24993,401164.0763,4348760.6415,3,0.20480911
49,24973,400637.037,4348695.3959,3,0.20421392
50,24999,401442.7762,4348771.5466,3,0.20237961
51,25149,402761.2843,4350130.4283,3,0.20225881
52,25198,406799.1714,4350758.8494,3,0.20214964
53,34106,377464.8015,4313705.2423,4,0.19670822
54,19782,377959.527,4324670.6544,3,0.19478819
55,34104,377488.8867,4313662.3649,2,0.19240198
56,34033,376906.2899,4311417.1527,4,0.1923354
57,16037,378651.7872,4318960.1862,3,0.19134336
58,18212,376141.0485,4323000.5118,3,0.19087182
59,18410,376397.8495,4323206.6204,3,0.19065699
60,18186,375938.8187,4322945.8075,3,0.19056428
61,17844,375644.7722,4322500.1714,3,0.19056423
62,17006,373175.3939,4321159.9789,4,0.18952408
63,15548,364279.0523,4317469.8322,5,0.18774051
64,17005,371682.8254,4320055.9352,2,0.18726984
65,16586,371509.6087,4319871.8425,3,0.18723599
66,16596,371536.9134,4319893.6322,2,0.18721211
67,17716,375368.8044,4322283.0889,3,0.18647391
68,17690,375352.7991,4322237.8073,3,0.1862807
69,15471,364277.4172,4317287.8107,3,0.18178938
70,34020,376884.4146,4311393.8034,4,0.18098454
71,33887,377572.0122,4309594.1381,3,0.18091684
72,16041,378805.7943,4319044.033,3,0.17861067
73,16345,380012.1747,4319603.8989,3,0.17083607
74,16587,380627.8069,4319881.8898,4,0.17075899
75,16289,379859.0144,4319533.0817,3,0.1706716
76,16149,379362.2923,4319303.4234,3,0.170667
77,16711,380995.6934,4320096.665,3,0.16786059
78,7630,363740.3729,4307594.8337,3,0.1636829
79,26755,413919.2496,4365004.876,4,0.16167974
80,34333,381060.6102,4320157.4579,3,0.15943529
81,16723,381016.7116,4320114.6186,2,0.15936089
