排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,7241,789714.0031,2531833.0821,4,0.2487434
2,7271,791156.9937,2531992.5335,4,0.233121
3,7343,791230.9012,2532409.9972,4,0.23311703
4,7825,792851.6166,2534238.0292,4,0.23266274
5,7805,792760.9872,2534202.7327,3,0.23178535
6,7818,792862.0118,2534224.1214,4,0.18073553
7,6989,805977.7747,2530939.31,3,0.17869651
8,7925,800605.4025,2534615.4187,3,0.17856232
9,5215,811177.0182,2525810.3448,3,0.1781903
10,7887,801241.6108,2534469.4369,3,0.17796487
11,8000,787898.2867,2535021.2818,4,0.17791693
12,7247,805398.9241,2531864.4299,3,0.17732448
13,5067,812049.511,2525423.5111,3,0.17667556
14,7928,801195.1991,2534476.7467,2,0.17654878
15,8257,799118.4677,2535673.6162,3,0.17646737
16,8258,799579.3142,2535302.744,2,0.17639255
17,8007,799909.2338,2535037.5307,2,0.17632625
18,7250,805679.7954,2531497.6013,2,0.17563669
19,7127,805821.326,2531297.6219,2,0.17557556
20,8657,798188.9946,2536513.6014,4,0.17500739
21,8658,798464.7036,2536223.8152,2,0.16544661
22,8481,798513.2217,2536179.1969,2,0.16536895
23,8482,798811.2968,2535918.3112,3,0.165348
24,8337,798861.2953,2535879.4093,2,0.15982915
25,5068,812195.3519,2525412.1472,2,0.15559506
26,5402,812959.9178,2525987.4288,3,0.15552211
27,6064,823524.8372,2527514.5194,4,0.14612383
28,5865,823283.5034,2526792.5991,5,0.14579315
29,3864,822161.2487,2521647.2278,3,0.14508834
30,8676,798081.4311,2536523.3577,3,0.1421156
31,6429,821740.0056,2529147.71,3,0.13674902
32,7715,793123.159,2533846.3109,3,0.1347027
33,7562,793383.9406,2533469.0295,3,0.13438228
34,6668,819594.6364,2530177.7853,4,0.13356088
35,8419,781025.2524,2536074.1632,4,0.12845817
36,9656,778233.4321,2538571.3326,3,0.12454975
37,6940,819099.0473,2530897.0153,4,0.12304568
38,6921,819130.2103,2530849.7251,3,0.12264183
39,3822,822228.6934,2521519.1924,3,0.1203617
40,3617,822440.4534,2521165.4863,3,0.11989699
41,3405,822459.9528,2520879.9273,3,0.11957916
42,3225,822488.3779,2520651.7883,4,0.11938515
43,3327,822953.1915,2520753.7099,4,0.11880906
44,3227,822510.1837,2520654.9093,3,0.11874104
45,11732,798512.3434,2543062.6006,5,0.11708267
46,6680,815716.6765,2530195.5655,4,0.11533298
47,5700,813174.1134,2526497.4076,3,0.11509204
48,3308,822952.9545,2520744.0597,4,0.11496949
49,6572,815423.5044,2529584.8768,3,0.11489449
50,6955,819093.2794,2530906.4609,4,0.1144062
51,11509,798274.2348,2542517.9841,3,0.11139904
52,6808,816215.7094,2530580.736,3,0.11138738
53,6626,815607.8257,2530037.7948,4,0.11134024
54,6916,816666.3161,2530786.6833,3,0.11107623
55,7009,819050.3747,2530965.8534,3,0.11079702
56,9998,775941.0451,2539527.1498,4,0.10607129
57,9659,778210.489,2538581.9581,3,0.10554193
58,16379,811386.3679,2550741.2232,4,0.10397172
59,10548,795675.7417,2540332.999,4,0.1022496
60,7981,793126.7771,2534901.0998,4,0.10036197
61,11585,797966.3649,2542782.6717,3,0.09907699
62,6561,784982.1854,2529550.5864,4,0.09426971
63,13721,814521.0489,2545491.0119,4,0.09296095
64,16997,811829.2729,2551958.7641,4,0.09179842
65,19275,813000.5919,2557773.7314,3,0.09120923
66,15682,818198.9011,2549345.087,4,0.09114507
67,12762,814437.1127,2544408.1138,4,0.0890645
68,5612,813041.3356,2526197.1737,2,0.08721632
69,5699,813065.6542,2526260.165,2,0.08713759
70,17293,802453.672,2552849.8427,4,0.08590809
71,17215,802742.4448,2552644.2001,3,0.08396145
72,8488,789368.5049,2536199.6974,4,0.07996181
73,8249,815867.811,2535654.2443,4,0.07457619
74,11683,819753.1157,2543025.2025,4,0.07446446
75,5537,813234.7675,2526150.2992,3,0.0718164
76,11139,819820.3902,2541765.9946,4,0.07181217
77,11497,819614.4198,2542467.5805,3,0.07177208
78,10823,819456.7562,2541004.3935,4,0.07148651
79,10807,819447.1411,2540986.6774,4,0.07143929
80,12126,783902.403,2543676.2444,3,0.07142524
81,9702,787193.7365,2538696.7746,3,0.07111842
82,9313,816961.0653,2537847.3904,4,0.07070481
83,10011,775919.8844,2539533.1389,4,0.06923422
84,13031,783826.0839,2544661.1633,4,0.06866546
85,9028,816283.1129,2537260.7067,4,0.0678401
86,19065,792216.5019,2557355.2045,5,0.06775612
87,19318,796441.5734,2557904.1528,4,0.06753852
88,8759,816220.8866,2536793.5363,3,0.06731026
89,6389,784010.1807,2529064.9238,4,0.06706465
90,7612,816301.5382,2533551.4681,3,0.06697824
91,7386,816510.5787,2532514.6887,4,0.06690633
92,8381,816513.8652,2535994.2176,4,0.06655118
93,18179,800949.1007,2555158.2625,4,0.06641815
94,5947,783115.7793,2527030.6776,4,0.06620709
95,6377,783958.9385,2529020.3738,4,0.06604781
96,6554,784989.1375,2529539.3131,4,0.06463843
97,6037,785654.0656,2527291.7376,4,0.0634961
98,13232,783917.6967,2544883.8435,3,0.06200507
99,17382,802433.0938,2553157.2307,4,0.06075986
100,3301,823499.208,2520741.7815,4,0.06052155
101,3257,823833.986,2520703.4308,4,0.0584808
102,7142,816933.322,2531314.4577,3,0.05798976
103,3167,824446.8541,2520546.3747,4,0.05757192
104,11744,798516.563,2543071.851,3,0.05723383
105,3061,824914.0353,2520346.9856,4,0.05711268
106,5603,784626.9101,2526180.4474,4,0.05636078
107,6943,816901.6708,2530903.5255,3,0.05616438
108,15677,784889.739,2549329.7418,4,0.05601227
109,11118,801706.8648,2541703.6184,5,0.05580617
110,19083,792216.4713,2557376.1746,4,0.05578415
111,5495,813311.491,2526125.0915,5,0.05508608
112,7024,819062.8222,2530973.8763,3,0.0549608
113,2978,825271.1173,2520186.7158,4,0.05486346
114,6984,816829.911,2530934.7255,3,0.05461801
115,1918,825717.3499,2517858.8874,4,0.05448132
116,4539,781502.044,2524067.5391,4,0.05442376
117,19347,792067.9912,2557939.7043,4,0.05428551
118,5519,813279.1545,2526135.309,2,0.05408534
119,2730,825761.7911,2519733.2414,4,0.05375924
120,11722,798528.8719,2543055.1696,4,0.05350465
121,7979,793115.6199,2534898.7883,4,0.05333558
122,4933,784258.4646,2525103.2397,3,0.0532004
123,2057,825838.098,2518281.969,3,0.05298637
124,5604,784343.5849,2525354.8843,2,0.0529223
125,2732,826025.6582,2519040.2506,2,0.05282796
126,4989,784310.2899,2525264.8223,2,0.05275187
127,2267,826055.345,2518661.4334,2,0.0526537
128,9297,816950.3172,2537830.6018,4,0.05237935
129,11451,800015.1971,2542414.2441,4,0.05185299
130,13826,800014.5845,2545720.7492,4,0.05177091
131,13566,799714.2999,2545261.5458,4,0.05175495
132,9282,816956.0102,2537809.9019,4,0.05136108
133,1261,825753.9953,2516261.3534,4,0.05084981
134,1920,825748.1514,2516906.316,2,0.05077823
135,7939,807037.412,2534703.9761,3,0.05077387
136,3958,818467.052,2521922.5933,3,0.05073826
137,1577,825756.7603,2516793.3721,2,0.05058075
138,3765,818571.7433,2521425.7496,4,0.05046465
139,16071,784915.3756,2550113.8158,4,0.0504179
140,6965,819104.7118,2530914.3849,4,0.05009065
141,19557,791994.3937,2558322.2678,4,0.04975208
142,5138,817619.4958,2525606.238,3,0.04943467
143,19647,790973.4404,2558462.8992,3,0.0492049
144,19665,791943.9375,2558557.9786,2,0.04916987
145,5529,813370.9618,2526141.0538,3,0.04878397
146,6994,805994.0381,2530944.3058,3,0.04869558
147,5124,811470.7221,2525556.6485,3,0.04867401
148,16099,784916.3532,2550143.7152,4,0.04844457
149,3161,822947.8105,2520537.1998,3,0.04837222
150,7229,805914.0718,2531670.4971,3,0.04834158
151,5373,814068.0078,2525943.7708,4,0.04770402
152,7182,805882.647,2531472.5841,3,0.0474339
153,7200,805894.665,2531504.0977,3,0.0472072
154,14330,784302.4295,2546576.1569,4,0.0468905
