排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,10668,355702.3739,5068437.4302,3,0.16056832
2,10670,356095.2691,5068416.598,2,0.15203325
3,10611,356191.6496,5068411.167,2,0.15191381
4,10559,356528.544,5068396.1262,3,0.15186151
5,10537,356718.3614,5068383.8017,3,0.15048963
6,5579,318681.6839,5062396.9283,4,0.14481139
7,4872,323855.8841,5056977.7746,4,0.14458561
8,4871,323672.0551,5056401.0449,2,0.14177849
9,5582,323634.8508,5056327.0449,2,0.14177657
10,4212,346994.2932,5050797.6023,4,0.1318514
11,4500,329809.8193,5054316.8098,3,0.12247062
12,5645,332166.214,5062566.2763,3,0.12092068
13,3206,319769.2922,5037909.4527,3,0.11626561
14,28563,312274.0007,5067941.7851,4,0.11598675
15,4190,344277.1997,5050516.0601,4,0.11257542
16,4434,329112.1161,5053113.9772,4,0.11223171
17,4430,329105.8675,5053105.4099,4,0.11197393
18,28703,312213.916,5069727.404,4,0.10982226
19,5433,331068.4445,5061329.1757,3,0.10849583
20,28485,314019.8205,5066917.5687,4,0.10792432
21,4934,326850.4055,5057962.5426,3,0.10782442
22,3538,344243.5499,5044022.1674,4,0.10096757
23,3832,343276.4329,5045360.6207,3,0.10084647
24,3831,343326.912,5045307.2987,2,0.10060013
25,3788,343427.5832,5045175.3174,2,0.10046506
26,3243,346916.1311,5039614.8352,3,0.10025695
27,3958,338628.9063,5047061.7782,3,0.09993273
28,3217,346712.3091,5039012.9989,3,0.09881829
29,3191,348274.5158,5036868.7815,4,0.09813808
30,4878,323857.753,5056991.2673,4,0.09669933
31,2913,292885.7475,5028217.9594,4,0.09135588
32,14650,356935.869,5070175.989,3,0.09023214
33,17777,356596.6655,5072011.7143,3,0.08990249
34,5622,332385.1586,5062506.4043,3,0.08927605
35,17888,356579.2575,5072078.2678,2,0.08899367
36,17952,356570.2439,5072095.0944,3,0.08890674
37,24802,363185.41,5085671.9293,3,0.08853868
38,25630,363896.9647,5093809.6668,2,0.08795085
39,25941,363854.3078,5094287.9137,2,0.08782366
40,6440,335160.8714,5064075.9455,3,0.08777677
41,3034,295713.6311,5029303.2882,3,0.08777208
42,25942,365095.7657,5099367.1719,2,0.087699
43,25977,365288.5999,5099453.3784,2,0.08757667
44,25978,367148.9511,5100214.9537,2,0.08745843
45,4272,305222.5095,5051356.7522,4,0.08735386
46,26182,372869.2308,5101325.8229,3,0.0873526
47,3205,300605.3246,5033050.0509,2,0.08729703
48,3116,300487.0346,5033030.5383,2,0.08725405
49,13104,356826.385,5069422.179,4,0.08624292
50,4070,317776.8329,5049301.424,4,0.0823921
51,2777,290571.9681,5027378.6622,3,0.08182052
52,2750,354732.8944,5027143.4282,3,0.07964017
