排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,17328,231837.1252,4005193.8294,3,0.2463785
2,17614,231854.1493,4005778.4472,3,0.24537832
3,18668,264008.6812,4010875.7161,4,0.24306198
4,18499,264269.9408,4010066.847,3,0.23907363
5,17768,265005.3969,4006487.0226,4,0.23862186
6,18369,264027.4927,4008915.2124,3,0.23855441
7,17327,231872.2447,4003933.4059,2,0.23849029
8,15658,230340.778,4000105.5012,3,0.23844419
9,16758,231653.7047,4003620.92,2,0.23840668
10,16346,231129.2885,4001791.1906,3,0.23835031
11,18299,264022.579,4008732.6928,3,0.23806437
12,18209,264008.7135,4008366.0752,3,0.23791577
13,13995,230922.6951,3998152.6479,4,0.2342898
14,30845,264173.8842,4041465.5596,3,0.20070568
15,32299,264025.0583,4046868.233,3,0.19218836
16,19297,237143.2299,4013340.8807,4,0.17140975
17,19705,242169.3955,4014245.1955,4,0.17089433
18,17989,231910.5761,4006764.8552,4,0.16894321
19,19289,237078.724,4013331.4557,4,0.164746
20,19247,236547.2446,4013256.3172,3,0.16460297
21,19225,236466.9155,4013229.8828,4,0.16308621
22,19221,236445.2633,4013223.5856,4,0.16143485
23,26842,262734.9714,4032456.3182,4,0.1596788
24,18055,233548.0803,4007022.4464,3,0.1587841
25,18049,233285.8503,4006966.0408,3,0.15839599
26,17999,232165.1366,4006782.5936,3,0.15833799
27,30499,264413.4695,4040309.8384,3,0.14573237
28,24540,235807.1517,4027500.9192,4,0.14211117
29,16385,263176.5509,4001930.5007,4,0.14003545
30,16273,263150.7727,4001692.5862,3,0.13996362
31,25076,263415.1751,4030377.2292,4,0.13482542
32,19375,256577.8362,4013600.479,4,0.13420553
33,18804,262243.5114,4011887.211,4,0.13389412
34,19444,261490.1823,4013745.1997,3,0.13239556
35,19004,262073.8815,4012621.788,3,0.13236645
36,19513,260570.8003,4013819.7112,2,0.13218862
37,19514,259525.5485,4013765.1043,2,0.13213871
38,19385,257113.002,4013632.7414,2,0.13209303
39,16174,262938.5747,4001332.2369,3,0.13155166
40,15750,261577.5441,4000368.152,4,0.13138552
41,19114,262031.083,4012933.0196,2,0.13131167
42,19399,262018.118,4012995.4774,2,0.13125727
43,19400,261631.3188,4013653.3353,2,0.13120512
44,19443,261560.1623,4013703.4195,2,0.13119803
45,17777,266375.3759,4006516.0709,4,0.13111683
46,28709,237143.8208,4035461.188,3,0.12892843
47,16673,263668.6514,4003113.614,3,0.12891214
48,25044,237531.6489,4030344.1861,4,0.12873212
49,16643,263337.8355,4002890.1208,3,0.12836436
50,17569,266385.3708,4005699.4612,5,0.1281357
51,27831,237274.9846,4033795.0485,4,0.12794466
52,19575,264166.8927,4014011.6184,4,0.12757933
53,13184,233914.4869,3997608.1869,4,0.12749417
54,16607,265846.5687,4002685.231,4,0.12710132
55,27796,237275.9887,4033782.2935,4,0.1267618
56,25160,237491.1885,4030890.1856,3,0.1252292
57,30766,248015.4765,4041087.1864,3,0.12492006
58,30106,245913.1884,4039180.4979,3,0.12457485
59,19657,242678.0693,4014112.9816,4,0.12413073
60,28601,263575.5601,4035036.3096,4,0.12410253
61,31798,243650.5692,4044629.215,4,0.12266702
62,30352,245534.2378,4039895.9934,2,0.12255619
63,30384,245528.461,4040026.4817,2,0.12250729
64,30536,245738.8954,4040374.7932,2,0.12246222
65,16829,266286.5645,4004049.0394,3,0.12238885
66,15589,261427.5269,3999923.7374,4,0.12214246
67,31783,241094.0601,4044581.5515,3,0.12156653
68,31794,243635.8721,4044627.9086,4,0.1212438
69,13006,260449.7963,3997423.7995,3,0.12097101
70,15511,261185.8801,3999746.7029,3,0.12014374
71,18220,264551.3213,4008420.1469,4,0.11973053
72,15417,261100.5933,3999624.9387,4,0.11971656
73,17690,265048.2867,4006177.9159,4,0.1196804
74,28209,263317.4021,4034301.3678,3,0.11964929
75,15305,261086.8321,3999399.2562,4,0.11958014
76,17354,264643.0463,4005243.6179,4,0.11953897
77,36592,261118.462,3998060.752,4,0.11946941
78,16741,266400.7382,4003572.2449,3,0.11940575
79,16917,264058.2315,4004293.3435,3,0.11931318
80,17927,264323.8661,4006625.1241,3,0.11918634
81,16753,264118.1657,4003619.6684,3,0.11905593
82,16889,264067.4167,4004230.7163,3,0.11903319
83,13734,261018.9927,3997980.015,2,0.11896374
84,13724,260984.3607,3997968.7583,3,0.11887081
85,15221,261088.5238,3999269.5642,3,0.1188361
86,12540,260151.0908,3996852.9037,4,0.11856783
87,14387,261200.8271,3998362.7203,3,0.11802057
88,13933,261138.1366,3998103.9418,4,0.11748368
89,29308,237074.5506,4037614.5511,2,0.1164481
90,16798,264113.9766,4003924.9585,4,0.11596463
91,32177,272022.6939,4046260.8527,4,0.11467401
92,23544,236511.0084,4021278.7697,4,0.11445877
93,16875,264073.07,4004192.1951,4,0.11444341
94,16847,264084.1695,4004116.5647,2,0.11407384
95,36607,261110.258,3998077.2632,4,0.11380022
96,16679,266319.5669,4003147.8771,3,0.11370157
97,13934,261126.3019,3998092.6172,2,0.11370085
98,18669,264112.468,4010876.2696,3,0.11230931
99,19754,244606.8675,4014393.3992,4,0.11230452
100,4406,228394.5273,3991243.3095,4,0.11221321
101,19762,244627.3364,4014398.2336,3,0.11068516
102,19285,252807.9901,4013326.3526,3,0.11068334
103,19944,249711.1414,4014644.0298,2,0.11066317
104,19797,250311.0251,4014456.5776,2,0.11064673
105,19191,264262.5541,4013108.4159,3,0.11025831
106,23589,264164.0176,4021563.9868,3,0.10999918
107,12129,230940.5265,3996613.1134,4,0.10990854
108,10929,230872.1879,3996010.5184,4,0.1094407
109,13585,230933.2037,3997905.1435,3,0.10901242
110,13233,230943.7804,3997655.9933,3,0.10879361
111,12974,230956.2827,3997361.513,4,0.10861939
112,4993,228475.5981,3993246.8336,3,0.10813896
113,12724,230960.2592,3997063.552,3,0.10804542
114,33232,259287.6817,4060726.4809,3,0.10772794
115,9121,229930.1566,3995211.4101,3,0.10751667
116,32822,257895.9083,4053554.7891,3,0.10747723
117,9071,229533.995,3995188.7266,4,0.10733026
118,19882,264061.7356,4014612.3202,3,0.1073051
119,22346,263444.0009,4018488.8208,3,0.10721514
120,20444,263865.2008,4015737.221,3,0.10720124
121,20248,263895.0009,4015527.0971,3,0.10710762
122,5544,228491.2363,3993582.6542,4,0.10664535
123,9020,229454.3525,3995168.7062,3,0.10659493
124,22916,261821.4043,4019759.6934,4,0.10653044
125,19370,256577.2653,4013589.4024,4,0.10645291
126,5522,228490.4195,3993565.1159,4,0.1051874
127,19369,255709.1487,4013536.8555,2,0.10466539
128,19354,255686.4445,4013534.6722,2,0.10461868
129,19353,254236.2557,4013307.4217,2,0.10457818
130,19274,254219.8262,4013304.7984,2,0.10454115
131,19260,253131.6885,4013277.3009,3,0.10451595
132,19273,253169.4904,4013273.1196,2,0.10450768
133,19262,253141.2987,4013276.4176,2,0.10447771
134,23163,236330.452,4020369.2419,4,0.10411021
135,23187,261595.7222,4020521.1319,4,0.10403827
136,24739,263572.1626,4028815.3766,4,0.10227399
137,16570,264953.9908,4002547.6583,4,0.10175381
138,23755,263415.0942,4022315.8402,4,0.10088386
139,24051,263664.1452,4024150.2456,3,0.10084041
140,4139,228324.5461,3989563.857,4,0.09754361
141,23498,264014.1685,4021140.6758,3,0.09657711
142,18890,231371.0405,4012241.9199,4,0.09431722
143,32323,248956.2031,4047006.6888,3,0.09400814
144,32334,248063.9903,4047037.5162,3,0.09320019
145,32194,251271.1633,4046337.9086,4,0.09281193
146,18076,231943.1073,4007331.7485,3,0.09271663
147,16260,264343.1053,4001673.2622,4,0.09194202
148,18893,231372.4812,4012253.6156,4,0.09153039
149,23472,263810.2189,4021073.5474,3,0.0914726
150,23465,263975.6714,4021052.8922,3,0.09140426
151,32201,251248.903,4046344.3395,4,0.09078707
152,23475,263802.2495,4021073.9641,3,0.09068171
153,22908,261824.0867,4019748.6825,4,0.08985302
154,15079,264161.6504,3999086.8967,4,0.08969317
155,18912,231374.9154,4012285.2621,2,0.08865545
156,20298,232057.6282,4015598.0096,3,0.08864509
157,15767,265534.4211,4000418.7744,3,0.08833962
158,20568,232109.0016,4015909.7893,4,0.0878701
159,19613,242228.271,4014053.4907,4,0.08714912
160,19757,242620.9415,4014395.6515,3,0.08701338
161,32115,286658.1338,4045998.4295,4,0.08353856
162,19765,244604.3259,4014402.5538,4,0.08267181
163,2895,228821.3518,3980221.1092,3,0.08244064
164,22472,261991.5825,4018991.9236,3,0.08207308
165,2879,228833.6441,3980171.7835,3,0.08042568
166,2877,228835.0896,3980167.0964,3,0.08031606
167,2853,228850.8158,3980102.8486,3,0.07930911
168,2804,228956.2132,3979679.9384,4,0.07924228
169,17624,232253.4913,4005813.4017,4,0.07860687
170,14713,263893.9692,3998670.8383,4,0.07529327
171,25002,235586.368,4030178.38,4,0.07485376
172,36595,261111.3495,3998063.3506,4,0.07457303
173,36604,261121.3444,3998073.1733,4,0.07455333
174,20717,235389.0984,4016076.7731,4,0.07375736
175,32426,281430.827,4048031.7692,4,0.07348849
