排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,11757,643672.0874,2779014.1765,3,0.14363024
2,11683,644356.0829,2778177.8195,3,0.14253672
3,12345,635648.4625,2787927.0304,4,0.1320755
4,12108,639736.9346,2782888.2675,2,0.13065767
5,8454,657971.8621,2758861.1157,4,0.12625786
6,7328,643839.1795,2756051.2753,4,0.12157974
7,8793,654088.6897,2760264.9171,4,0.12060829
8,10003,650350.5337,2763933.5543,3,0.12053154
9,8800,653566.1396,2760267.5179,3,0.11983568
10,9372,651845.6311,2762106.9128,2,0.11966938
11,9441,651637.6822,2762341.1177,4,0.11964044
12,9435,651701.7814,2762318.0127,3,0.11952792
13,9479,651652.6905,2762426.4632,3,0.11849296
14,5834,641960.8525,2753471.3591,4,0.11671145
15,9626,657860.4086,2762880.4829,3,0.11548721
16,10478,649533.1051,2767055.6713,3,0.11545387
17,10035,650306.874,2764046.2444,2,0.11539923
18,9627,657493.5247,2760738.1015,3,0.11515939
19,12416,633246.4519,2789072.2107,3,0.11412443
20,9672,658747.8138,2762993.4799,3,0.10724311
21,9609,659613.7311,2762862.3126,3,0.10699236
22,11370,653211.3269,2773520.924,3,0.10397475
23,11462,653438.009,2774768.8923,3,0.10373778
24,11670,649926.914,2778127.307,3,0.10333122
25,11850,648295.8998,2779605.2233,3,0.10305017
26,8942,640465.78,2760864.9476,4,0.10233051
27,9590,660370.5504,2762799.9837,3,0.10110811
28,3289,666651.0035,2742907.9976,5,0.10095933
29,3265,667029.8823,2742687.4539,3,0.10010719
30,10176,662643.2773,2765205.9975,4,0.09978435
31,9704,660610.9386,2763031.1331,2,0.09943599
32,10175,661487.4077,2764122.7381,2,0.09928584
33,9589,660160.9121,2762714.6296,2,0.09899428
34,8896,639007.6318,2760614.3949,4,0.09658371
35,12420,632971.0428,2789167.0855,2,0.09579821
36,9394,639004.1316,2762134.941,3,0.09555077
37,12473,632868.1325,2789186.8103,2,0.09554601
38,12474,630305.3582,2791045.7059,2,0.09529671
39,12896,619395.0815,2799803.8782,4,0.09525432
40,9401,638945.2044,2762170.1852,2,0.09525007
41,3814,644377.9138,2745332.0775,3,0.09509329
42,12870,617495.7296,2799621.1694,4,0.09508551
43,12573,630023.0333,2791153.973,2,0.09505083
44,9444,638814.4499,2762246.4249,2,0.09502403
45,9443,638637.6016,2762353.1455,4,0.09497844
46,12574,627733.3264,2793516.0154,2,0.09480665
47,12589,627693.2418,2793650.974,2,0.09456415
48,12590,627028.026,2794806.6193,3,0.09433717
49,12729,622249.1477,2798139.2778,3,0.09380128
50,9464,638592.0366,2762380.1197,4,0.09345099
51,10377,634600.133,2766439.4182,2,0.0930806
52,12604,626798.1592,2795144.7471,2,0.09299015
53,10383,629608.8597,2766448.7922,2,0.09285601
54,12615,626780.1918,2795168.3586,2,0.09276203
55,12616,626647.6693,2795523.2296,3,0.09272055
56,3821,644354.7322,2745335.1134,3,0.09268047
57,10352,628505.9981,2766123.0273,3,0.09263492
58,12871,617728.215,2799543.6827,2,0.09228078
59,12613,626304.4137,2795504.887,3,0.09192325
60,12707,623911.2062,2797684.3739,3,0.09168687
61,12711,622541.1156,2797955.4754,4,0.09145923
62,12721,623670.9439,2798132.7124,4,0.09129874
63,4063,645406.4139,2746231.7601,4,0.09106821
64,8259,649809.4084,2757922.7832,4,0.08916568
65,10353,628478.2765,2766149.4591,3,0.08810635
66,10416,628184.5316,2766755.3403,2,0.08789671
67,11009,628162.4035,2766834.4896,2,0.08768977
68,11010,625705.2427,2771335.5458,3,0.08748502
69,8811,640616.6675,2760283.1511,4,0.08712069
70,10188,663516.709,2765419.1337,4,0.08441533
71,5841,641942.5302,2753476.4673,4,0.08421698
72,8115,640297.4441,2757568.6433,3,0.08332849
73,11020,625503.9412,2771383.1897,3,0.08304487
74,8743,640651.8894,2760130.5629,3,0.08301621
75,11036,624060.0891,2771143.9915,3,0.08293234
76,8769,667743.8761,2760171.5457,4,0.08000874
77,12875,617470.9844,2799629.417,4,0.07979769
78,8077,640286.3804,2757519.6628,3,0.07934307
79,5830,641952.4075,2753455.5651,4,0.07900241
80,9007,668443.4123,2761108.3171,2,0.07798138
81,3077,666681.5198,2741692.2501,3,0.07781715
82,9250,669110.2247,2761689.083,2,0.07774944
83,9249,669198.3214,2761757.4953,4,0.07767403
84,8410,655849.8693,2758476.5594,3,0.07755525
85,8472,656269.3904,2758977.152,3,0.0772792
86,8735,645801.812,2760104.248,4,0.07714091
87,9189,670943.1246,2761642.4587,3,0.07573948
88,9207,675765.7713,2761706.3408,5,0.075563
89,9197,671408.9544,2761650.5378,2,0.07513754
90,7729,651082.1198,2756701.2589,3,0.07508701
91,2941,665912.5159,2740945.4256,3,0.07483727
92,8976,643084.5321,2761074.0072,4,0.0735074
93,10261,669106.5865,2765782.0385,4,0.07277698
94,9645,667710.7048,2762904.8274,4,0.07262888
95,10559,670129.0856,2767609.6526,3,0.0719699
96,12918,616132.6743,2799927.4657,3,0.07182743
97,7329,643819.9225,2756056.3867,4,0.07106885
98,10235,669084.8225,2765745.9166,4,0.07057903
99,7765,658466.8837,2756743.8332,3,0.07028538
100,2930,665923.3793,2740925.0855,4,0.07021849
101,9729,667783.4167,2763116.5015,2,0.06936936
102,10236,667873.3772,2763341.9236,2,0.06913113
103,7233,654334.0006,2755831.1776,4,0.0660484
104,7749,658455.0812,2756729.297,3,0.06517538
105,4630,660422.74,2750618.9104,4,0.06490901
106,10680,647327.1808,2768116.775,3,0.0648644
107,9176,670516.2059,2761627.8453,4,0.0642546
108,4944,663538.6184,2751429.9521,4,0.06338659
109,4015,650487.9516,2746075.078,4,0.06283981
110,3702,653943.342,2745063.0986,4,0.06191565
111,8817,654077.3594,2760284.0315,3,0.06125992
112,4925,664204.2648,2751321.2261,5,0.0612345
113,4018,650199.169,2746077.1687,3,0.06080568
114,6511,659625.9997,2754656.9702,5,0.06075773
115,3658,641088.0466,2744819.6463,4,0.05986172
116,9138,643462.2172,2761521.6691,4,0.05951096
117,8794,653618.9024,2760248.8245,2,0.05913309
118,9631,667704.293,2762883.5748,4,0.05864992
119,4888,661107.6857,2751267.4322,2,0.05858625
120,13810,661531.105,2751919.7579,2,0.05844037
121,13814,661698.9006,2752204.4366,2,0.05831033
122,4240,646201.6164,2747249.0948,4,0.05826617
123,13958,662698.9097,2753902.6586,3,0.0581906
124,7440,657416.6146,2756233.6365,4,0.05781129
125,9989,663845.3353,2763877.5817,3,0.05751607
126,9926,664170.8936,2763599.3319,2,0.05746924
127,4964,662437.3525,2751499.4981,4,0.05700723
128,3038,658026.0119,2741369.3794,4,0.05490934
129,9253,669209.46,2761766.1451,4,0.05466373
130,4031,653589.6366,2746176.4873,4,0.05458268
131,9286,642067.7168,2761947.7161,3,0.05436877
132,10169,643340.4912,2765176.0651,3,0.0541197
133,9216,643038.238,2761713.2355,4,0.05410657
134,10174,643351.6898,2765193.0405,3,0.05410501
135,2961,655901.0213,2741021.9591,4,0.05391784
136,8583,666998.0734,2758847.4092,3,0.05375767
137,4243,646191.7792,2747255.027,3,0.05372824
138,8022,666061.0514,2757344.6927,3,0.05354752
139,3615,642853.8235,2744514.6531,5,0.05350329
140,7417,657524.7793,2756195.3657,3,0.05339742
141,3624,654136.0447,2744623.3194,3,0.05332588
142,3791,654017.5989,2745321.1463,3,0.05295878
143,4034,653778.1239,2745786.1691,2,0.05283471
144,8464,657961.9416,2758895.5282,4,0.05282281
145,7723,658436.8935,2756692.9653,3,0.05278948
146,9231,669776.0781,2761736.4431,4,0.05245739
147,10349,628474.2245,2766130.6146,3,0.05232261
148,9972,641515.9284,2763833.3023,4,0.05223625
149,10960,652115.3345,2770803.8874,3,0.05175494
150,8560,658113.8772,2759311.4337,4,0.0514511
151,13022,615688.1709,2805038.1682,3,0.05113577
152,6295,659871.9497,2754091.5487,6,0.05089299
153,6218,658924.2551,2753986.4379,6,0.05046836
154,11773,682182.217,2779115.1473,4,0.05045388
155,9541,642134.7238,2762629.3521,3,0.0502498
156,2741,666317.3208,2740058.5181,4,0.05001717
157,10701,670217.1429,2768192.7383,3,0.04997906
158,6287,658765.21,2754083.9818,3,0.04995256
159,4981,662426.5224,2751516.3624,3,0.04988449
160,11813,682485.0445,2779349.7787,4,0.04958283
161,5030,661650.7867,2751699.1029,5,0.04925972
162,11062,622458.3597,2771679.3765,3,0.04898149
163,11027,625612.2813,2771424.4019,4,0.04855772
164,4058,645415.5836,2746224.7325,4,0.04843195
165,10657,670207.3225,2768020.8562,2,0.04841385
166,6221,658899.2731,2753986.9577,4,0.04826152
167,13024,615687.8865,2805044.3238,3,0.04823488
168,4706,664865.7391,2750839.7237,5,0.04822178
169,11068,622284.278,2771694.1847,4,0.04820505
170,10704,670211.8385,2768063.484,2,0.04813566
171,11049,622169.8878,2771598.9635,3,0.04771564
172,10988,621804.1781,2771142.732,3,0.04742692
173,4020,650054.9841,2746101.5287,3,0.04739718
174,2787,642624.9515,2740385.9738,4,0.04702075
175,4799,654069.1738,2751145.2246,4,0.04658729
176,13046,615988.1647,2805804.405,3,0.04585179
177,10981,621656.9928,2770994.0389,3,0.04573928
178,10943,620449.1403,2770260.25,3,0.04565224
179,5853,641950.9753,2753492.2614,4,0.0455438
180,8068,676266.0702,2757469.7629,3,0.0455415
181,8625,657820.2915,2759563.4194,3,0.0453859
182,13058,616798.1689,2807782.6205,3,0.04529629
183,8779,657168.5626,2760235.3908,3,0.04513351
184,11973,683185.4182,2781098.0702,6,0.04485277
185,7830,656507.9365,2756857.774,3,0.0445133
186,10426,664533.6336,2766776.7383,4,0.04413594
187,8608,666956.0414,2759499.1239,3,0.04403563
188,6512,659730.1767,2754490.6087,3,0.04361206
189,6387,659746.1049,2754427.5556,2,0.04360944
190,7676,655722.0854,2756609.4801,4,0.0432567
191,10919,620745.0907,2769572.2555,4,0.04316987
192,2788,641860.4748,2738310.2029,2,0.04278705
193,10356,628496.828,2766155.8468,2,0.04269921
194,2235,641847.518,2738274.7493,2,0.04255027
195,7221,654869.0076,2755821.5262,4,0.04253108
196,2236,641471.3294,2736754.399,2,0.04233418
197,9987,663837.9803,2763868.6873,4,0.04217074
198,1747,641432.124,2736533.4907,2,0.04213892
199,959,642902.305,2732719.2213,4,0.04212379
200,8906,657451.7397,2760646.4474,3,0.04200099
201,8826,657168.3534,2760285.3563,3,0.04187166
202,10221,644383.2059,2765632.9176,3,0.04180271
203,10418,663595.5852,2766760.9855,4,0.04177329
