排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,29694,512777.3759,4636570.2725,4,0.12332924
2,3324,518793.0723,4613178.8887,4,0.10925381
3,32001,501536.8009,4644528.4365,4,0.10233835
4,29907,511207.1952,4637696.2338,4,0.09975713
5,2272,506851.2819,4611521.2026,3,0.09972474
6,1272,512391.3694,4606581.972,3,0.09893897
7,30678,508478.31,4639668.3386,3,0.09878015
8,1571,516958.7775,4609222.8447,3,0.09710246
9,28641,520911.6643,4633623.7519,3,0.09342444
10,27984,506033.5968,4631702.1298,4,0.09307139
11,1551,522078.1717,4609156.6102,4,0.09056377
12,1417,525312.4988,4608556.3321,4,0.08442641
13,28043,519722.7923,4631935.2755,3,0.08247905
14,32397,503017.005,4646483.5477,3,0.08031576
15,28480,521967.0999,4633257.7944,3,0.0800304
16,28659,522268.3816,4633688.3935,3,0.07752806
17,1326,533919.3985,4607608.6164,4,0.07590466
18,8678,505248.1687,4618137.5557,4,0.07540866
19,20425,525107.0791,4625212.3013,4,0.07475488
20,29085,516823.15,4634919.0985,4,0.07456012
21,28754,519468.9744,4633949.6375,3,0.07383308
22,20197,525622.8042,4625106.5695,3,0.07144704
23,9337,530846.3395,4619097.0652,4,0.07092361
24,32770,509000.8658,4650377.4083,3,0.07009753
25,3146,508421.462,4613048.7216,3,0.07001121
26,19857,526300.9601,4624961.024,3,0.06984009
27,4462,509781.8072,4614447.1475,4,0.0696382
28,19653,545982.5379,4624856.2436,3,0.06962743
29,29265,523600.4228,4635287.0573,3,0.06918827
30,7371,505803.1068,4616266.3866,4,0.06870024
31,19803,526622.0215,4624942.017,4,0.06855006
32,9260,532232.0342,4618907.2189,3,0.06846716
33,7344,505808.2715,4616238.7016,4,0.06817264
34,5571,505939.411,4614959.2028,3,0.06784342
35,8695,505244.0438,4618152.8747,4,0.06759387
36,21426,506049.0343,4625731.956,4,0.06630702
37,14314,506113.6069,4622372.2113,3,0.06616872
38,32702,507708.7592,4649742.0704,4,0.06483243
39,1334,533925.367,4607636.0947,4,0.06413889
40,17957,545027.2355,4623955.5981,4,0.06382736
41,1264,533673.7584,4606477.9391,3,0.06303762
42,8220,531811.8634,4617490.3383,3,0.06274344
43,32318,504524.7163,4646152.8292,3,0.06232892
44,1368,528808.4243,4608467.993,4,0.06204636
45,1361,529458.503,4608356.6902,3,0.06118823
46,28297,546928.3028,4632840.3722,4,0.06035191
47,29327,552425.5128,4635448.3182,4,0.0589812
48,25439,548240.3026,4628422.0691,3,0.05896891
49,22498,545874.1862,4626480.2905,3,0.05877505
50,27345,516662.3755,4630626.037,4,0.05703628
51,29773,553535.2614,4636884.3735,3,0.05692586
52,26230,547628.3387,4629088.3417,4,0.05675568
53,33607,508712.8217,4657941.3539,3,0.056746
54,17424,544737.5021,4623641.5984,4,0.05617013
55,23255,523436.7129,4626969.3224,5,0.05566827
56,13248,546966.9441,4621966.8584,3,0.05488579
57,30693,555092.4394,4639703.7089,3,0.05488141
58,29921,529305.4744,4637765.0945,5,0.05450112
59,10829,544502.9508,4620699.6263,4,0.05447241
60,24247,523306.9348,4627674.3808,4,0.05418136
61,24325,520869.8868,4627707.7447,3,0.05415353
62,16251,532066.9924,4623035.4804,4,0.05406025
63,26873,547463.2224,4629923.1923,4,0.05389668
64,28777,549844.914,4634005.1389,3,0.05374654
65,36334,530841.0629,4623336.4885,4,0.05370509
66,16252,531893.3223,4623005.4705,2,0.05370371
67,23711,523321.1133,4627303.7547,3,0.05369763
68,26973,519819.3353,4630025.9507,4,0.05353188
69,11603,546155.9658,4621278.6623,3,0.05351716
70,24946,502594.8469,4627994.5742,3,0.05332019
71,1283,525207.308,4606791.3357,4,0.0527656
72,25717,521121.9948,4628655.0062,4,0.05256461
73,10553,531778.8362,4620464.4544,4,0.05252368
74,28673,548036.2778,4633756.6102,3,0.05184032
75,12951,546783.304,4621848.719,3,0.05165563
76,26868,547496.1515,4629919.2595,4,0.05076168
77,9262,532231.1541,4618914.2539,3,0.04998614
78,28535,548433.2492,4633420.9384,3,0.0497064
79,29868,539398.9629,4637418.8018,4,0.04961254
80,9672,541630.9898,4619593.87,4,0.04920821
81,4572,530350.6989,4614518.7049,3,0.0490583
82,16367,532192.6763,4623097.132,4,0.04886868
83,33532,506532.9674,4657104.2343,3,0.0487465
84,33926,501913.2623,4664944.2061,3,0.04865505
85,16644,532391.2632,4623182.731,3,0.04858798
86,25777,548001.7142,4628700.6027,3,0.04853815
87,33900,501982.3293,4664574.8234,2,0.0484841
88,33927,501961.4223,4664686.393,2,0.04835109
89,20453,531564.4483,4625227.634,4,0.04833471
90,31707,527103.0255,4643606.799,4,0.04808364
91,9339,530931.85,4619078.8151,2,0.047945
92,9092,540173.3549,4618626.6684,4,0.04794332
