排名,节点ID,X坐标,Y坐标,度数,介数中心性
1,2465,712022.3041,3822184.8938,4,0.17277682
2,23328,734614.9101,3862987.6047,4,0.14068039
3,23267,733273.0489,3862791.2639,3,0.14063981
4,23281,733844.1251,3862892.6902,2,0.14050426
5,23277,733800.6352,3862883.4977,2,0.14049537
6,1413,697427.1082,3815351.1593,4,0.13762151
7,23547,748560.199,3863955.7251,3,0.13325755
8,23644,738515.2111,3866202.546,3,0.12783748
9,23636,745033.0204,3865698.7613,3,0.12775742
10,23503,753937.794,3863656.0964,3,0.12754189
11,23244,731018.4632,3862675.5468,4,0.12637541
12,23307,727259.6876,3862955.0285,3,0.1262766
13,23300,727478.1664,3862945.4505,3,0.1260953
14,23344,725722.2323,3863016.8585,4,0.12249838
15,23337,724602.5541,3863007.1198,3,0.11869845
16,10045,721666.9129,3848089.5338,3,0.1167093
17,23321,722177.3948,3862980.2983,4,0.11490672
18,10052,725306.1022,3848091.6511,4,0.11448449
19,5275,713779.2187,3839471.7413,4,0.11398332
20,7305,713339.44,3844496.7952,3,0.10797813
21,9663,714825.2212,3847779.3569,3,0.10756159
22,9915,718312.5008,3847980.7893,4,0.10728261
23,9899,717765.9338,3847953.4506,3,0.1067993
24,9869,717167.209,3847915.1298,3,0.1063831
25,10025,731179.0832,3848067.5272,4,0.10631325
26,3906,711452.0824,3827634.2537,3,0.10620091
27,5052,713811.7509,3839065.1118,2,0.10518653
28,2812,711860.3874,3824171.55,3,0.10311566
29,2794,711863.7009,3824149.53,3,0.10253775
30,9911,718112.0398,3847967.9129,4,0.10242517
31,13716,721743.4858,3850494.2763,4,0.10173617
32,23289,756350.08,3862933.1336,3,0.09922053
33,20749,721477.8473,3858486.4589,4,0.09880606
34,8380,733031.4569,3846269.1954,4,0.0958835
35,6065,757070.4164,3842167.9935,4,0.09436033
36,23479,754338.6767,3863486.383,2,0.09373701
37,10055,725292.4015,3848091.6612,4,0.0890752
38,4552,759391.204,3836700.0057,4,0.0887577
39,23640,732223.6024,3865961.6246,3,0.08793256
40,23466,734281.5116,3863423.5283,3,0.08767373
41,23528,733978.7966,3863818.2201,3,0.0876446
42,3747,759115.9285,3826183.5765,4,0.08670123
43,21097,721510.8146,3858961.5729,3,0.0865377
44,20923,721514.2632,3858687.2151,3,0.08647568
45,8378,731390.7602,3846268.4609,4,0.08560946
46,10077,733094.5925,3848116.7585,4,0.08462953
47,4043,759561.8862,3830775.7668,4,0.08442057
48,3953,759601.4208,3828998.8772,4,0.08350149
49,17963,720028.4681,3853873.3481,4,0.08173724
50,23164,758474.8658,3862097.9158,3,0.07992135
51,20656,753723.3002,3858285.6534,4,0.07826003
52,20619,755833.6456,3858178.234,4,0.07765906
53,18835,720094.1737,3855016.0316,3,0.07748086
54,17987,721651.6165,3853891.839,4,0.07598555
55,10159,737427.0279,3848237.6776,4,0.07564617
56,10135,736061.8034,3848198.8552,2,0.07533223
57,10060,724566.5688,3848092.1954,3,0.07470266
58,22665,755749.3387,3860713.0039,4,0.07464002
59,6913,766593.8009,3843618.3872,4,0.07184032
60,23173,767825.4889,3862159.2108,3,0.07103502
61,23081,768612.0121,3862013.5534,3,0.07079478
62,1351,695908.7317,3815098.8158,4,0.07069176
63,22661,768361.7395,3860703.3948,4,0.07063091
64,19083,766990.7254,3855285.2056,4,0.07053222
65,18709,766891.4002,3854838.6788,4,0.06986169
66,13604,766892.7588,3850390.7864,4,0.0685727
67,10064,723420.0598,3848093.2482,4,0.06832576
68,1347,695891.982,3815095.3055,4,0.06769157
69,8563,766885.4305,3846541.5896,4,0.06767304
70,1360,712443.945,3815173.9098,4,0.06717698
71,241,735234.0714,3807652.9419,3,0.06683916
72,10310,766889.665,3848382.9578,3,0.06635227
73,1397,719520.5362,3815322.7758,3,0.06614704
74,843,727660.2047,3811508.2937,3,0.065674
75,10024,731207.0657,3848066.3548,4,0.06530163
76,1029,728832.8258,3813685.5064,4,0.06529062
77,1261,720787.8371,3814818.3738,2,0.06522443
78,1103,728590.8183,3814016.5029,3,0.06513924
