排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,49337,406011.6968,3393773.185,5,0.02983467
2,49333,406011.8611,3393765.6716,5,0.02969502
3,28817,403705.4117,3394166.1399,3,0.02952294
4,48663,407590.8002,3389190.1494,6,0.02948928
5,49330,406047.0654,3393765.231,9,0.02945215
6,49463,406480.779,3394638.3734,3,0.02938977
7,49324,406047.171,3393757.6851,10,0.02931566
8,28062,405765.8534,3393822.067,3,0.02925614
9,28818,403385.3926,3394192.5069,3,0.02925239
10,48570,409186.5971,3388262.9923,6,0.02918406
11,26609,406035.7969,3392670.8158,3,0.02915393
12,21063,408200.3417,3388825.57,4,0.02913826
13,28883,402968.9416,3394221.0831,3,0.0291343
14,49943,410027.9213,3396419.8953,7,0.02903581
15,20794,408472.5407,3388667.7544,4,0.02898254
16,48674,407477.0706,3389330.7326,11,0.02897542
17,49399,403679.3803,3394150.9334,3,0.02897518
18,49885,411627.8002,3396363.5788,9,0.0289639
19,29117,403165.5182,3394372.9016,4,0.02895708
20,31070,407461.0416,3395566.4542,7,0.02883156
21,48574,409192.7386,3388274.0344,6,0.02880253
22,20859,408307.878,3388707.8574,3,0.02878912
23,49416,402948.8866,3393946.7099,4,0.02878775
24,32228,409755.9158,3396392.3169,7,0.02876169
25,32216,409663.5928,3396389.9226,7,0.02875246
26,32246,410038.8815,3396399.6649,7,0.02874653
27,29573,406541.0936,3394663.8512,7,0.02874649
28,48337,409653.4193,3388106.7695,3,0.02871594
29,28798,402735.6864,3394180.041,3,0.02871373
30,49919,411767.3705,3396392.7858,5,0.02869272
31,22554,407069.264,3389819.3549,8,0.02867703
32,21756,407398.0587,3389369.9264,3,0.02866804
33,23699,406377.4842,3390638.3315,8,0.0286673
34,23888,406280.0326,3390752.8739,8,0.02866673
37,26616,406062.2439,3392679.8618,8,0.02866383
35,24548,406090.144,3391162.8566,8,0.02866383
36,25047,406087.1409,3391283.2943,8,0.02866383
38,29175,403204.0657,3394410.3911,5,0.02865135
39,49331,406416.9814,3393673.017,3,0.02864579
40,29247,403213.0336,3394461.6057,4,0.02863561
41,49871,411778.1289,3396361.1141,4,0.0286162
42,20507,408217.2074,3388481.8845,6,0.02859669
43,29904,406627.9326,3394798.4273,2,0.02858756
44,28283,402931.8268,3393944.913,3,0.02858087
45,28752,403458.5518,3394165.3157,4,0.02857445
46,27839,402863.1032,3393719.6034,5,0.02853852
47,27729,406393.0723,3393672.3605,4,0.02852045
48,20857,408481.2319,3388679.9056,4,0.02848382
49,21022,408275.3645,3388797.7547,4,0.02847366
50,28061,405768.3197,3393831.0615,4,0.02846859
51,32210,411309.3825,3396388.8517,6,0.02846374
52,27789,402833.4036,3393687.8065,3,0.02844954
53,48682,407416.1375,3389410.4141,3,0.02844425
54,28869,401654.6287,3394217.0703,4,0.02842997
55,20137,407996.5564,3388097.4971,4,0.02839895
56,48458,409627.4796,3388156.8732,3,0.0283905
57,50007,411787.1985,3396628.6429,3,0.02836479
58,30545,403644.8132,3395276.5912,4,0.02836396
59,48558,409176.5329,3388244.897,3,0.02835673
60,49405,403035.9329,3394101.7505,4,0.0283494
61,20792,408382.946,3388679.5991,3,0.02834533
62,21793,407406.0296,3389389.2414,5,0.02834163
63,26610,406024.1252,3392567.4969,1,0.0283281
64,29235,403228.2949,3394453.9814,4,0.02832746
65,28721,403702.9721,3394149.3921,3,0.02831901
66,48408,409943.8018,3388139.4185,3,0.02830459
67,32287,409489.6929,3396428.3381,6,0.02827958
68,19736,407778.0997,3387702.4662,3,0.02827152
69,31656,409464.1098,3395974.5844,3,0.02826365
70,28756,403341.5405,3394165.4466,3,0.02825938
71,32272,409678.7438,3396419.3993,4,0.02825883
72,32232,410338.3818,3396393.6819,5,0.02825015
73,28819,401651.4665,3394194.9872,4,0.02824865
74,32769,409758.3747,3396437.6389,3,0.02824129
75,19470,407613.5406,3387439.8427,4,0.02822382
76,31004,407426.7168,3395508.4364,4,0.02822323
