排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,19908,387111.6994,4324905.0164,4,0.02107105
2,21484,388199.7075,4326612.6272,4,0.02106947
3,18118,385515.4843,4322828.7818,4,0.02106391
4,18117,383522.2405,4321463.2746,2,0.02104792
5,17136,383470.5051,4321451.6523,2,0.02103493
6,17104,383331.9551,4321366.5451,4,0.02102549
7,21610,388274.1812,4326803.8661,3,0.02096871
8,20068,383041.3379,4325141.9962,4,0.02091467
9,21654,388315.6567,4326915.3765,3,0.02091054
10,20263,382993.7931,4325316.6672,2,0.02089326
11,21686,388337.0597,4326992.7175,4,0.02089256
12,20408,382928.201,4325400.8628,2,0.02088007
13,20373,382232.8799,4325464.8724,3,0.02087007
14,21835,389343.9133,4327369.264,3,0.02086824
15,20304,379829.5951,4325374.602,4,0.02086028
16,17020,383326.2935,4321172.0306,3,0.02080051
17,21953,389627.9845,4327703.3647,2,0.02079736
18,22363,389396.8385,4328755.3825,3,0.02078321
19,22371,389387.9913,4328794.7348,3,0.02077155
20,22473,389044.5089,4329199.6271,3,0.02075997
21,22467,389347.9784,4329191.6587,4,0.0207504
22,18454,385301.628,4323274.138,3,0.02074779
24,22573,389320.7385,4329804.7631,4,0.02073864
23,21486,388704.3752,4326497.4277,3,0.02073864
25,20259,384402.5447,4325315.3223,3,0.02073096
26,20011,383713.1119,4325029.9872,3,0.02071648
27,20250,383726.4984,4325278.4816,4,0.02070985
28,19983,383070.418,4325003.6746,3,0.02070344
29,17000,382598.7924,4321150.432,3,0.02069959
30,16992,382483.8245,4321105.093,3,0.02069173
31,16996,382502.17,4321116.086,3,0.02069007
32,17052,382911.9638,4321225.1576,3,0.02068678
33,19787,382473.3805,4324676.1563,3,0.02068253
34,19895,382301.7779,4324826.7793,2,0.02066926
35,16874,381556.2462,4320659.9821,3,0.02066087
36,17199,380820.0391,4321699.6844,4,0.02065931
37,20374,382218.7096,4324949.2057,2,0.02065904
38,20298,386928.9531,4325363.2801,3,0.02065107
39,16965,381177.7747,4321022.8266,3,0.02064507
40,19782,377959.527,4324670.6544,3,0.02064177
41,19867,387259.7857,4324783.7656,3,0.02063935
42,18119,385771.0028,4322755.4038,2,0.02063753
43,21553,388015.7945,4326726.746,1,0.02063474
44,22643,389530.8209,4330661.5013,2,0.02057153
45,17132,380709.1481,4321450.0067,3,0.02054996
46,21035,385380.5325,4326132.7115,3,0.02054767
47,21725,388192.1959,4327109.8964,3,0.02054344
48,21698,388308.7736,4326956.3892,3,0.02054081
49,21972,389205.7847,4327790.9481,4,0.02053505
50,20995,385362.4881,4326104.5025,3,0.02053365
51,17058,380558.7339,4321238.9931,4,0.02053335
52,20293,384474.9947,4325355.2174,3,0.0205268
53,21656,388612.0643,4326577.4792,3,0.02052541
54,22018,388477.5671,4327969.5399,4,0.02052088
55,18410,376397.8495,4323206.6204,3,0.02051778
56,20464,384420.1233,4325559.8913,4,0.02051295
57,16812,379571.1387,4320445.9584,3,0.02050071
58,22556,388949.917,4329721.6813,4,0.02049928
59,21703,388240.9285,4327044.9558,3,0.02049571
60,17030,382722.3598,4321186.1427,3,0.02049239
61,21779,388115.9217,4327230.2526,3,0.02048879
62,18212,376141.0485,4323000.5118,3,0.02048407
63,19788,382377.1355,4323108.3614,2,0.0204781
64,21730,388283.213,4327113.0086,3,0.02047451
65,16319,378229.0032,4319574.8269,3,0.02047038
66,22649,390955.9206,4330720.5733,3,0.02046943
67,18301,382363.0467,4323067.4231,2,0.02046794
68,18302,381918.3115,4322599.1892,2,0.02045836
69,16923,380860.7911,4320859.3681,4,0.02045365
70,18186,375938.8187,4322945.8075,3,0.02045301
71,16876,381175.0098,4320696.1626,4,0.02045085
72,17819,381651.9789,4322387.4766,2,0.0204495
73,17063,380685.5699,4321253.2432,3,0.02044618
74,16184,378039.9809,4319407.203,3,0.02043693
75,20062,380009.1472,4325136.2075,3,0.02043504
76,21655,388341.1945,4326915.9682,2,0.02042609
77,17844,375644.7722,4322500.1714,3,0.02042589
78,21039,389534.5987,4326134.6663,3,0.02042215
79,22665,389886.1254,4331220.7153,2,0.02041251
80,21929,390414.1056,4327595.1691,3,0.02041089
81,16803,381996.897,4320431.8377,4,0.02040564
82,16183,378003.9276,4319218.0537,3,0.02040513
83,17019,383062.9968,4321021.7208,3,0.02037683
84,21471,385722.969,4326600.6617,3,0.02036328
85,22478,389006.0743,4329202.6567,3,0.02034743
86,16303,377992.8408,4319551.2071,3,0.02034596
87,22001,388682.8905,4327877.9714,3,0.02034308
88,22525,388942.4123,4329287.0517,3,0.02033174
89,22465,389610.2429,4329184.7722,3,0.02032874
90,20040,385056.9086,4325082.8145,1,0.0203261
91,16820,381138.6564,4320365.3547,3,0.02030491
92,21082,383915.3564,4326162.5704,3,0.02029472
93,22558,388534.1698,4329757.4056,4,0.02029292
94,22036,388203.3382,4328018.7925,4,0.02029119
95,20621,383752.256,4325756.6224,2,0.02028995
96,15896,378053.1842,4318526.2635,3,0.02028789
97,34366,381397.1135,4320705.2924,4,0.02028789
98,16080,378004.5136,4319121.6701,3,0.02028303
99,17074,381636.2158,4321276.3245,2,0.02028293
100,16805,381845.0553,4320409.5938,2,0.020282
101,16831,381405.2312,4320519.9819,3,0.02027991
102,16933,381432.0004,4320788.9063,2,0.02027439
103,16960,381525.1627,4321009.2888,3,0.02027389
104,17060,382445.5695,4321243.3632,1,0.0202707
105,16934,381464.072,4320864.927,2,0.02026612
106,22726,389879.3355,4331282.1497,2,0.020263
107,16959,381473.6546,4320888.3821,2,0.02026134
108,34373,381376.582,4320711.3636,4,0.02026054
109,16853,381282.3265,4320567.8557,3,0.02025381
110,16873,381506.5607,4320502.0614,2,0.02024443
111,22109,387131.2169,4328273.6201,4,0.02024293
112,22496,388090.537,4329226.384,4,0.02023773
113,18156,385936.5461,4322787.1133,2,0.02023207
114,19796,378158.3389,4324704.1593,2,0.0202283
115,16744,377335.1939,4320195.4501,3,0.0202249
116,19869,387288.671,4324766.2463,2,0.02022466
117,19868,387281.0166,4324756.8654,2,0.02022387
118,22566,388108.2936,4329770.2757,4,0.02022288
119,17716,375368.8044,4322283.0889,3,0.02022027
120,21594,384547.2433,4326774.1252,3,0.02021491
121,22494,388269.0197,4329221.0675,3,0.02021429
122,22689,392553.6379,4331393.2197,2,0.02021415
123,21974,389359.5995,4327754.0151,2,0.02021329
124,16804,381851.7317,4320420.6051,3,0.02021303
125,34336,381268.7405,4320287.5327,3,0.0202096
126,22123,387141.6735,4328293.428,4,0.02020917
127,16807,381736.0908,4320406.4229,2,0.02020775
128,22562,388282.3553,4329765.6195,4,0.02020405
129,21919,390146.2075,4327532.6875,2,0.02020016
130,22489,388500.5721,4329214.6795,4,0.02019739
131,21883,390435.5235,4327481.6393,3,0.02019587
132,22021,387358.0785,4327978.3496,4,0.02018855
133,22269,387264.9309,4328539.9135,4,0.0201845
134,21831,388032.7402,4327361.0868,3,0.02018015
135,22208,387672.4202,4328438.3368,3,0.02016676
136,22423,387350.5565,4328963.633,3,0.02016452
137,34333,381060.6102,4320157.4579,3,0.02015989
138,22513,387391.8381,4329249.5589,4,0.02015624
139,34349,381288.6213,4320503.5343,3,0.02015516
140,22504,387776.3876,4329236.7945,3,0.02015424
141,22569,387616.3338,4329783.436,3,0.02014715
142,16819,381129.7518,4320471.2532,2,0.02014275
143,22190,386178.6315,4328402.3965,3,0.02014206
144,16390,377157.0551,4319657.2187,3,0.02013718
145,21986,389192.149,4327807.2799,4,0.0201341
146,21276,385028.4851,4326337.3463,3,0.02012977
147,22725,390010.0185,4332351.2988,3,0.02012309
148,22026,388478.9336,4327984.1504,4,0.02012289
149,17946,379448.7774,4322679.9669,2,0.02012031
150,21016,389585.3553,4326123.9077,3,0.02011985
151,21897,386653.1025,4327498.1847,3,0.02011838
152,21281,384970.4918,4326339.1605,3,0.02011628
153,21987,389363.4941,4327764.6052,2,0.02011583
154,17690,375352.7991,4322237.8073,3,0.02011046
155,21077,384741.8595,4326162.3856,3,0.02010978
156,16162,375091.2944,4319338.6123,3,0.02010899
157,16855,381143.5181,4320532.0086,2,0.02010618
158,18443,376275.9974,4323259.2544,2,0.02010553
159,21922,390149.1811,4327544.9114,2,0.02010308
160,20751,384350.5636,4325902.836,4,0.02010092
161,21907,390400.5319,4327521.2659,4,0.02009889
162,22481,388890.5353,4329204.2794,3,0.02009524
163,22067,387559.7234,4328161.979,4,0.02009328
164,21797,388083.0921,4327282.491,2,0.02009302
165,22618,388933.1185,4330274.6049,2,0.02009168
