排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,7818,792862.0118,2534224.1214,4,0.03259685
2,7981,793126.7771,2534901.0998,4,0.03257411
3,7825,792851.6166,2534238.0292,4,0.03252015
4,7979,793115.6199,2534898.7883,4,0.03242746
5,7805,792760.9872,2534202.7327,3,0.03240839
6,10548,795675.7417,2540332.999,4,0.03235826
7,7343,791230.9012,2532409.9972,4,0.03232834
8,7271,791156.9937,2531992.5335,4,0.03225209
9,7241,789714.0031,2531833.0821,4,0.03218092
10,7715,793123.159,2533846.3109,3,0.03217227
11,7989,793320.9752,2534941.3331,3,0.03215012
12,10557,795655.0854,2540357.1778,4,0.03209715
13,10988,794090.6878,2541332.1128,4,0.03207308
14,8447,793306.9522,2536101.3133,3,0.03206019
15,10992,794101.8069,2541343.9946,4,0.03200779
16,9356,792270.0568,2537922.103,3,0.03194796
17,7829,792765.7899,2534240.5102,3,0.0319437
18,11585,797966.3649,2542782.6717,3,0.03190523
19,8000,787898.2867,2535021.2818,4,0.03190417
20,8676,798081.4311,2536523.3577,3,0.03182699
21,7268,791218.4805,2531978.4472,4,0.03180029
22,7562,793383.9406,2533469.0295,3,0.03180015
23,8679,796900.545,2536535.4847,4,0.0317822
24,11040,794265.596,2541519.0174,4,0.03177416
25,8657,798188.9946,2536513.6014,4,0.03177258
26,11509,798274.2348,2542517.9841,3,0.03175492
27,10761,794751.0026,2540861.5405,3,0.03170522
28,9326,790989.3181,2537865.8718,3,0.03169564
29,10862,794438.2996,2541103.1578,3,0.03163984
30,8500,792149.4707,2536220.537,4,0.03159493
31,7817,791260.788,2532318.8791,1,0.03156797
32,8736,790405.517,2536724.7784,4,0.03156302
33,11234,796748.4855,2542033.6688,4,0.03152715
34,9844,796403.3514,2539062.8628,4,0.03152118
35,11253,796702.4533,2542065.4688,4,0.03150795
36,10706,794918.8353,2540758.754,3,0.03150082
37,11099,794358.9451,2541651.566,3,0.03149707
38,8788,789721.6429,2536817.9937,3,0.03149512
39,7976,793408.1797,2534878.3656,3,0.03148994
40,11732,798512.3434,2543062.6006,5,0.03147221
41,8488,789368.5049,2536199.6974,4,0.03146368
42,13469,789909.8426,2545161.0706,3,0.0314341
43,6561,784982.1854,2529550.5864,4,0.03143139
44,9784,796098.7736,2538888.5945,3,0.03142764
45,13718,789770.4422,2545487.684,3,0.03140985
46,8058,792028.6743,2535184.1112,1,0.03140908
47,7263,791164.1527,2531976.0424,4,0.03140638
48,8784,792188.8945,2536815.1377,4,0.03140599
49,10924,794578.5534,2541207.1863,3,0.03139286
50,10649,795091.7671,2540603.3316,3,0.03137742
51,8650,798212.1504,2536511.5011,4,0.03137318
52,8658,798464.7036,2536223.8152,2,0.03136585
53,7238,789739.5836,2531819.411,4,0.03133889
54,10847,798437.9159,2541041.224,4,0.03133235
55,7546,791131.8966,2533418.3127,3,0.03133222
56,10463,795540.6406,2540186.998,2,0.03123712
57,8419,781025.2524,2536074.1632,4,0.03122502
58,10650,795496.7252,2540230.4167,2,0.03120695
59,10705,795507.2229,2540241.5958,2,0.03119386
60,9848,796417.6204,2539068.5888,4,0.03116187
61,8410,781035.2018,2536058.1348,3,0.03106679
62,11751,797590.9755,2543089.1459,3,0.03106225
63,7972,791850.394,2534874.4464,3,0.03104109
64,8481,798513.2217,2536179.1969,2,0.03103707
65,11605,797878.272,2542854.604,3,0.03100628
66,11973,797957.1121,2543514.9785,4,0.03100151
67,7258,791217.8332,2531966.4302,4,0.03097931
68,10758,798562.5591,2540857.28,4,0.03097316
69,11744,798516.563,2543071.851,3,0.03095614
70,8649,798464.6179,2536243.1998,2,0.0309415
71,10470,795551.4179,2540197.0077,2,0.030937
72,9702,787193.7365,2538696.7746,3,0.03093337
73,11539,794580.6148,2542657.8384,4,0.03093287
74,11520,795719.5825,2542546.9956,4,0.03092101
75,10762,794616.2007,2540785.1166,2,0.03091776
76,7772,791438.5751,2534040.0259,3,0.03090952
77,13871,789615.4433,2545790.1678,3,0.0308968
78,10931,794551.2976,2541212.5939,3,0.03087127
79,14002,789539.3366,2545977.5968,3,0.03086032
80,8648,798251.603,2536507.9226,3,0.03085858
81,8495,791730.1012,2536215.913,4,0.03083844
82,7269,792169.153,2531529.8202,2,0.03082826
83,7561,794954.519,2533260.2355,2,0.03082168
84,8645,796901.0477,2536506.1752,3,0.03080457
85,8674,790849.3439,2536520.7159,3,0.03079887
86,10985,794409.3093,2541325.8314,2,0.03079701
87,9864,796465.502,2539087.8029,3,0.03078723
88,8310,792109.5995,2535815.9564,3,0.03075767
89,8482,798811.2968,2535918.3112,3,0.03075607
90,10923,794637.9021,2541130.173,2,0.03074792
91,9352,790996.1957,2537901.5605,1,0.03072201
92,11722,798528.8719,2543055.1696,4,0.03071252
93,11761,797605.2688,2543106.4651,3,0.03070981
94,9656,778233.4321,2538571.3326,3,0.03066664
96,10626,798766.9715,2540556.2175,4,0.03064639
95,8456,791173.3618,2536143.1783,4,0.03064639
97,6389,784010.1807,2529064.9238,4,0.03063425
98,6554,784989.1375,2529539.3131,4,0.03063045
99,8492,798510.9462,2536200.2673,2,0.03061514
100,11735,798532.342,2543064.9483,3,0.03061306
101,8389,790437.1334,2536003.5891,3,0.03060217
102,10721,794611.0526,2540782.2449,2,0.03058848
103,8022,791938.4121,2535048.8524,3,0.03058042
104,6893,784827.9363,2530656.7037,2,0.03056455
105,8694,790879.1196,2536554.7844,3,0.03056443
106,11235,797102.9564,2541788.7924,1,0.03056369
107,8639,798430.675,2536487.9768,3,0.03056028
108,8369,790416.2018,2535970.2906,3,0.03054078
109,9796,790188.4151,2538949.413,1,0.03053359
110,8476,796469.9306,2536168.778,3,0.03052957
111,11983,797965.5173,2543527.3786,4,0.03051704
112,8366,790211.6379,2535939.8096,3,0.03051023
113,13976,789906.5328,2545933.5284,3,0.03050099
114,12424,796434.8704,2544065.3833,4,0.03049128
115,7233,791196.9024,2531691.1227,4,0.03048205
116,13669,789772.6284,2545414.7634,2,0.03047756
117,9752,796016.1642,2538797.446,3,0.03047065
118,12126,783902.403,2543676.2444,3,0.03045962
119,8807,791722.698,2536867.3393,3,0.03045683
120,8786,793205.2075,2536762.13,1,0.03044981
121,13208,796339.1088,2544851.5934,4,0.03044412
122,12012,792709.341,2543551.9773,3,0.03041969
123,14076,789464.3199,2546113.1356,4,0.03041522
124,10842,798468.6861,2541036.8017,4,0.03039759
125,7868,790954.6047,2534372.8285,3,0.0303889
126,8420,780711.3805,2535884.1279,2,0.03038781
127,7239,791182.3382,2531754.051,1,0.03038673
128,14080,789474.662,2546115.8784,4,0.0303813
129,10877,798071.7002,2541127.6306,1,0.03038058
130,10321,799156.8138,2540012.1354,4,0.03035288
131,8396,798708.025,2536026.1886,3,0.03033965
132,13566,799714.2999,2545261.5458,4,0.0303334
133,8337,798861.2953,2535879.4093,2,0.03032896
134,9971,798448.1786,2539357.7401,3,0.03032631
135,8849,791276.1445,2536943.8078,2,0.03020978
136,8409,780728.6851,2535862.8944,2,0.03020382
137,8636,796785.1111,2536480.5951,2,0.03019548
138,10934,794631.7972,2541126.8946,2,0.03017965
139,8611,798479.6918,2536441.9828,3,0.03012325
140,8257,799118.4677,2535673.6162,3,0.03012231
141,12321,794348.9794,2543907.0117,3,0.03010845
142,9659,778210.489,2538581.9581,3,0.03009035
143,10680,798336.4697,2540705.3113,3,0.03008774
144,7260,792160.8215,2531519.285,2,0.03008337
145,11764,798091.5776,2543106.7511,1,0.03007392
146,8308,790440.9509,2535811.6753,3,0.03006872
147,13031,783826.0839,2544661.1633,4,0.03006223
