排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,5348,316350.8721,5060969.6529,4,0.0279264
2,4872,323855.8841,5056977.7746,4,0.02785446
3,5386,317212.4244,5061136.5734,2,0.02780568
4,5579,318681.6839,5062396.9283,4,0.02779165
5,28355,315648.9903,5066056.5724,5,0.02778715
6,5936,316069.2561,5063288.4854,4,0.02778319
7,4934,326850.4055,5057962.5426,3,0.02776423
8,4878,323857.753,5056991.2673,4,0.02776248
9,4871,323672.0551,5056401.0449,2,0.0277586
10,6897,316783.2537,5065321.2064,3,0.02774757
11,6832,316388.7891,5065240.7809,4,0.02774545
12,5465,317721.4536,5061595.9633,3,0.02774256
13,5466,317248.4444,5061148.8828,3,0.02774172
14,5582,323634.8508,5056327.0449,2,0.02774127
15,6792,317078.8495,5065165.2467,4,0.02773018
16,6904,316796.2407,5065330.8206,3,0.02766242
17,28359,315656.8178,5066071.0876,4,0.02765305
18,5060,323705.3987,5059452.7839,3,0.02765215
19,5433,331068.4445,5061329.1757,3,0.02763306
20,6709,317384.7041,5065002.9743,3,0.02762267
21,6702,316959.0614,5064944.6984,4,0.02761002
22,6796,317085.5035,5065179.6289,4,0.02758409
23,6127,319408.3786,5063611.7471,5,0.02758341
24,5803,319229.4,5063016.7001,3,0.02757185
25,5136,316475.0969,5059811.1046,4,0.0275705
26,4775,324723.9249,5056429.0157,3,0.02756127
27,6640,317931.6645,5064689.6883,4,0.0275603
28,5813,319242.7642,5063061.323,3,0.02753887
29,5645,332166.214,5062566.2763,3,0.02753019
30,28383,315359.9116,5066208.2352,3,0.0275272
31,6665,317296.6668,5064755.3024,3,0.02750545
32,6850,316401.4247,5065264.5933,3,0.027505
33,6913,316731.0495,5065342.0688,3,0.02749075
34,6611,318162.2682,5064576.3812,4,0.02748329
35,6966,316509.2733,5065454.0043,4,0.02746868
36,6716,317394.3847,5065016.9899,3,0.02746652
37,6577,318470.1362,5064437.5017,3,0.02746518
38,6039,317216.1021,5063421.9748,5,0.02744695
39,4740,325108.8126,5056198.8965,3,0.02744539
40,5613,318246.9757,5062492.9665,3,0.02744435
41,4933,327223.3895,5057657.6446,2,0.02742845
42,5694,317421.254,5062677.1169,4,0.02741836
43,5900,318528.9905,5063229.773,4,0.02739552
44,6652,317948.9663,5064725.4094,4,0.02739507
45,5922,318540.9837,5063256.5881,3,0.02739122
46,28396,315368.7973,5066223.4391,2,0.02739085
47,6053,317575.9819,5063442.7034,4,0.02738634
48,6035,317566.8227,5063414.0945,4,0.02737849
49,5336,316313.4958,5060968.5636,4,0.02736791
50,4430,329105.8675,5053105.4099,4,0.02735809
51,7570,315316.2837,5066231.1242,2,0.02734096
52,5344,316342.8066,5060969.19,4,0.02731015
53,6025,317208.8483,5063391.7716,4,0.02729477
54,4709,325493.8336,5055944.1159,3,0.02729007
55,6836,316380.8511,5065244.7179,4,0.02728742
56,6615,318191.2885,5064597.2833,4,0.02728338
57,5930,316058.1736,5063287.078,4,0.02728103
58,7410,315493.1776,5066137.6314,3,0.02726568
59,4434,329112.1161,5053113.9772,4,0.0272546
60,6712,317417.8851,5064985.3664,2,0.02720966
61,7587,315323.8561,5066247.2121,2,0.02720308
62,7567,315073.5709,5066357.6798,4,0.02719943
63,5724,331121.7475,5062799.4734,3,0.02719775
64,5298,314199.2549,5060731.992,4,0.02718593
65,5622,332385.1586,5062506.4043,3,0.0271825
66,4500,329809.8193,5054316.8098,3,0.02718082
67,7615,315735.1702,5066216.3834,3,0.02716552
68,28315,317736.9758,5064812.9946,3,0.02716537
