排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,26842,262734.9714,4032456.3182,4,0.02330763
2,23187,261595.7222,4020521.1319,4,0.02323548
3,25076,263415.1751,4030377.2292,4,0.02321905
4,23183,261589.881,4020509.3888,4,0.02317205
5,22916,261821.4043,4019759.6934,4,0.02315596
6,24739,263572.1626,4028815.3766,4,0.02312965
7,26742,261895.536,4032374.2831,3,0.02312791
8,22919,261810.8087,4019760.1061,4,0.02309635
9,28209,263317.4021,4034301.3678,3,0.02304631
10,23475,263802.2495,4021073.9641,3,0.02302414
11,23671,260966.1109,4021932.7415,3,0.02301865
12,24051,263664.1452,4024150.2456,3,0.02301561
13,22913,264371.258,4019751.3876,3,0.02297366
14,23669,260942.053,4021928.485,4,0.02295923
15,30499,264413.4695,4040309.8384,3,0.0229582
16,28084,260146.0198,4034125.33,4,0.02295668
17,30845,264173.8842,4041465.5596,3,0.02295453
18,22908,261824.0867,4019748.6825,4,0.02295183
19,23755,263415.0942,4022315.8402,4,0.02293917
20,28601,263575.5601,4035036.3096,4,0.02293599
21,23589,264164.0176,4021563.9868,3,0.0229261
22,19787,261993.864,4014439.479,4,0.02292193
23,19782,262002.3178,4014435.8278,4,0.02292114
24,22905,261813.5852,4019748.5929,4,0.02290594
25,24998,262614.8506,4030161.2719,4,0.02290123
26,22931,261403.7328,4019776.0307,4,0.02287451
27,26634,260999.0878,4032284.534,4,0.0228574
28,25114,264801.6998,4030546.5519,3,0.02285622
29,23472,263810.2189,4021073.5474,3,0.02283736
30,23498,264014.1685,4021140.6758,3,0.02283464
31,19799,262003.3862,4014459.7606,2,0.02282358
32,19796,262011.8926,4014456.0636,2,0.02282078
33,23844,260781.854,4022827.3107,4,0.02281779
34,22324,262098.9446,4018466.5009,4,0.0228176
35,19575,264166.8927,4014011.6184,4,0.02281449
36,22328,262105.8407,4018466.5231,4,0.0228069
37,23465,263975.6714,4021052.8922,3,0.02279311
38,25116,264874.4918,4030554.5899,3,0.0227908
39,27056,264128.4494,4032709.1874,3,0.02279005
40,22893,264372.4309,4019739.9523,4,0.02276488
41,23836,260762.24,4022823.4765,4,0.02276257
42,23676,260767.9303,4021942.0434,3,0.02276195
43,19954,262134.6749,4014739.351,2,0.02275733
44,19949,262142.8872,4014732.7973,2,0.02274954
45,18668,264008.6812,4010875.7161,4,0.02274845
46,22472,261991.5825,4018991.9236,3,0.02273821
47,32194,251271.1633,4046337.9086,4,0.02272735
48,19543,263457.3155,4013852.7402,3,0.02272595
49,19882,264061.7356,4014612.3202,3,0.02272013
50,28788,259103.0933,4035674.1759,4,0.02271908
51,22968,265158.1702,4019855.9696,4,0.02271795
52,18669,264112.468,4010876.2696,3,0.02271678
53,24708,265701.5013,4028643.9944,4,0.02271362
54,19953,262171.7409,4014819.3622,4,0.02270645
55,24715,265083.4525,4028693.9922,3,0.02270442
56,19950,262180.6706,4014815.365,3,0.02269652
57,19191,264262.5541,4013108.4159,3,0.02269407
58,22926,261403.9398,4019764.5879,4,0.02269169
59,28628,262738.6306,4035155.673,4,0.02268706
60,24753,263050.781,4028893.7627,4,0.02268465
61,32299,264025.0583,4046868.233,3,0.02268162
62,19781,261919.0398,4014034.1158,2,0.02267991
63,22346,263444.0009,4018488.8208,3,0.02267731
64,19788,261902.8589,4014033.1594,2,0.02267105
65,20248,263895.0009,4015527.0971,3,0.02264708
66,23930,260705.6718,4023235.2443,3,0.02263398
67,24448,265492.5961,4026448.5351,3,0.02263247
68,30766,248015.4765,4041087.1864,3,0.02262485
69,23820,265323.675,4022695.9656,4,0.02260564
70,22499,263288.1715,4019036.7603,3,0.02260476
71,24296,254569.6337,4025215.4028,4,0.02260144
72,28725,260384.7652,4035491.383,4,0.02259982
73,29371,256563.3313,4037779.9974,4,0.02259962
74,20444,263865.2008,4015737.221,3,0.02259522
75,24095,255550.4089,4024633.9632,3,0.02259418
76,28886,259122.8444,4036113.5753,3,0.02259368
77,29967,257816.3213,4038992.8753,4,0.02259025
78,23937,260674.7891,4023246.6561,3,0.02258824
79,23682,260426.945,4021949.8823,3,0.02258381
80,23423,263800.2793,4020969.1649,2,0.0225743
81,24180,254632.7754,4024822.6947,4,0.02257364
82,24055,262840.1077,4024171.4498,4,0.02257241
83,32201,251248.903,4046344.3395,4,0.02255264
84,22633,264345.1464,4019249.066,4,0.02253854
85,18804,262243.5114,4011887.211,4,0.02253793
86,23426,263807.6709,4020969.308,2,0.02253547
87,24750,255931.4148,4028851.6894,4,0.02253332
88,23116,265226.6185,4020283.2957,3,0.02253133
89,28173,263785.6619,4034252.2055,2,0.02252764
90,28072,259954.0956,4034103.9478,3,0.02252439
91,18807,262218.9777,4011902.0957,4,0.02252189
92,24713,265090.9168,4028693.0902,3,0.02251549
93,28631,262716.4962,4035158.8299,4,0.02251247
94,18499,264269.9408,4010066.847,3,0.02251205
95,29740,266601.7259,4038543.9917,3,0.02250148
96,22956,265157.0178,4019844.5973,4,0.02249804
97,22932,261165.6526,4019758.4224,2,0.0224967
98,23484,264072.1586,4021077.9959,3,0.02249261
99,23815,262736.3952,4022676.3014,3,0.022492
100,19104,261621.9715,4012918.1292,4,0.02249185
101,24073,256579.5711,4024424.4002,3,0.02248355
102,19409,261528.7802,4013665.0827,4,0.02247981
103,23286,265244.1837,4020677.7096,4,0.02247622
104,24990,262597.4286,4030155.6487,4,0.02246878
105,22895,266181.2232,4019743.8828,4,0.02245948
106,37474,261944.4113,4013856.7712,3,0.02245372
107,19635,265301.1906,4014100.9716,4,0.02245129
108,20141,259391.507,4015317.9052,2,0.02244835
109,28092,260154.5368,4034126.2789,3,0.02244287
110,37481,261914.6375,4013943.2294,3,0.02244257
111,23466,264083.9212,4021060.3989,3,0.02243967
112,23425,263816.7237,4020832.2745,2,0.0224345
113,22925,261156.6718,4019746.2995,2,0.02243165
114,26622,260983.5295,4032282.9764,4,0.02243017
115,28573,264211.4239,4034942.843,3,0.02242792
116,23756,263361.1458,4021857.5126,1,0.02242481
117,23973,260055.0653,4023526.875,4,0.02242302
118,23692,258714.1444,4022002.0782,3,0.02242222
119,23831,260597.2157,4022788.6747,3,0.02241558
120,24065,257041.8234,4024313.1307,3,0.02241467
121,30106,245913.1884,4039180.4979,3,0.0224029
122,37813,264023.923,4021065.0717,3,0.02239744
123,23932,260891.9912,4023239.0575,3,0.0223924
124,23694,265302.3162,4022013.1142,4,0.0223913
125,24999,263447.9185,4029680.9251,2,0.02239127
126,32334,248063.9903,4047037.5162,3,0.02238808
127,23988,258761.5393,4023623.6989,3,0.02236538
128,23438,265259.4954,4021021.6744,4,0.02236493
129,23432,265258.9637,4021009.6524,4,0.02236236
130,24104,254576.1511,4024654.6051,3,0.02236149
131,28722,260399.056,4035489.3448,4,0.02235873
132,32323,248956.2031,4047006.6888,3,0.02235662
133,29971,257837.6555,4038995.2759,4,0.02235318
134,25052,255385.0994,4030346.3371,3,0.0223502
135,30787,254228.9182,4041228.1025,2,0.02234922
136,27566,260737.5311,4033425.7991,3,0.02234892
137,25383,264724.592,4031198.3901,1,0.02234552
138,19004,262073.8815,4012621.788,3,0.02233662
139,25124,265021.7738,4030562.4602,2,0.02233643
140,32177,272022.6939,4046260.8527,4,0.02233059
141,32445,249433.3845,4048196.3504,4,0.02232848
142,23424,263812.3071,4020826.8539,2,0.02232516
143,23583,265283.0705,4021550.9352,4,0.02232294
144,24690,256041.135,4028581.9854,3,0.02232068
145,37797,264258.8436,4020605.3033,3,0.02231854
146,22310,261778.0382,4018438.9491,4,0.02231526
147,23888,261170.1189,4022910.0788,1,0.02230879
148,19001,262058.2962,4012619.016,3,0.02230218
149,27110,264572.7227,4032795.4861,3,0.02230097
150,24017,261358.8054,4023876.8252,3,0.02229977
151,23958,266191.864,4023360.7071,3,0.02229282
152,32822,257895.9083,4053554.7891,3,0.02228828
153,32193,254125.3103,4041339.2749,2,0.02228764
154,24764,256264.5887,4028952.8646,4,0.02228719
155,18369,264027.4927,4008915.2124,3,0.02228516
156,28013,264261.4084,4034062.8438,3,0.022284
157,23113,266258.1679,4020273.7141,3,0.02227665
158,22903,260941.5287,4019747.5986,2,0.02227571
159,24695,266038.0206,4028602.4802,4,0.02226301
160,24704,261215.3396,4028615.4265,4,0.02226057
161,23911,260043.087,4023177.5911,3,0.02225234
162,24769,265153.4146,4028964.3373,3,0.02224654
163,18816,262731.5228,4011957.5287,3,0.02224411
164,23449,264542.5031,4021037.713,4,0.02224015
165,29087,250542.3877,4037131.8908,3,0.0222385
166,22871,266179.5901,4019732.5591,4,0.02223817
167,24890,261294.5365,4029735.1201,3,0.02223783
168,18675,264808.2247,4010901.4057,3,0.02223589
169,37439,261939.4799,4013649.5092,2,0.02223178
170,37442,261960.96,4013650.1543,2,0.02223129
171,23969,261738.1897,4023503.7613,4,0.02223021
172,23243,266270.5365,4020625.7288,4,0.02222969
173,20164,261225.0493,4015398.7216,3,0.02222469
174,24186,254451.5009,4024832.101,4,0.02222114
175,22860,266754.6981,4019686.4715,3,0.02222103
176,24336,260045.5177,4025418.2073,3,0.02222006
177,23459,264548.5208,4021051.163,4,0.02221674
178,19884,263159.1123,4014616.2346,3,0.02221573
179,37397,261929.3033,4013520.3399,4,0.0222148
180,28837,257732.4209,4035870.1386,1,0.02221443
181,23986,261794.1275,4023500.0489,2,0.02221338
182,22886,260926.7975,4019735.2566,2,0.02221234
183,18865,265455.5426,4012132.4995,4,0.02220257
184,23980,261325.9113,4023591.3676,3,0.02220198
185,30352,245534.2378,4039895.9934,2,0.02219699
186,19192,263830.372,4012933.2898,1,0.02219051
187,22928,260948.6614,4019347.6021,1,0.02218824
188,24035,261268.1412,4023975.4368,3,0.02218746
189,28310,261271.0948,4034445.2816,3,0.02218538
190,28866,263887.229,4035992.6524,2,0.02218441
191,23993,261560.7567,4023662.6219,4,0.02218155
192,24857,263070.1162,4029549.5242,1,0.02218151
193,24086,254524.1379,4024526.3291,3,0.02217991
194,22829,267209.219,4019634.2619,4,0.02217586
195,24453,266811.0023,4026524.1874,3,0.02217293
196,25154,255213.5144,4030815.8242,2,0.02217159
197,23446,264551.9091,4021037.247,4,0.02216936
198,23991,261353.4797,4023633.915,3,0.02216539
199,37417,261933.7599,4013573.8134,4,0.02216301
200,23456,264717.6911,4021044.967,4,0.02216234
201,32441,249431.8496,4048177.7329,4,0.02215837
202,22630,264806.0931,4019247.1344,3,0.02215481
203,23985,261668.7905,4023613.0546,3,0.02215081
204,20192,263126.5325,4015462.7026,3,0.02214588
205,23582,264765.7427,4021550.3256,3,0.02214365
206,28796,246347.213,4035695.0572,3,0.0221431
207,24071,260838.0252,4024391.7526,3,0.02213888
208,28527,260501.393,4034803.2898,3,0.02213821
209,22620,265086.2771,4019229.9491,3,0.02213532
210,23399,267429.1378,4020916.9419,4,0.02213421
211,19114,262031.083,4012933.0196,2,0.02213417
212,23442,264716.5974,4021033.4599,4,0.02213325
213,24299,254438.9062,4025231.5858,3,0.02212847
214,32202,254117.5636,4041327.9908,2,0.0221257
215,30790,254237.7047,4041237.1693,2,0.02212459
216,27980,259147.1732,4034032.5383,4,0.02212366
217,23427,266284.3687,4020975.6724,4,0.02211546
218,23304,264691.544,4020707.9019,4,0.02211313
219,23419,266283.8256,4020961.841,4,0.02211294
220,25017,255829.833,4030236.5811,3,0.02211047
221,23410,266814.3206,4020946.1452,4,0.022107
222,37435,261886.4424,4013618.5369,3,0.02209829
223,24776,256488.8447,4029028.153,3,0.02209696
224,20368,263117.5557,4015676.9602,3,0.02209629
225,24054,262308.462,4024155.6777,3,0.02209615
226,28888,260005.1232,4036015.6776,1,0.02209452
227,23683,266329.8901,4021970.9884,4,0.02209301
228,19111,262015.9504,4012929.347,2,0.02209106
229,22904,259850.9322,4019680.4317,2,0.02208482
230,23803,262737.9538,4022555.1707,3,0.0220786
231,23963,261772.6867,4023493.742,3,0.02207506
232,32799,249850.1518,4052842.2971,3,0.02207399
233,29724,266607.5234,4038538.4829,3,0.02206928
234,23450,264538.3009,4020900.652,2,0.0220684
235,18299,264022.579,4008732.6928,3,0.02206707
236,23577,266308.743,4021507.9076,4,0.02206571
237,19632,265312.0338,4014099.8242,4,0.02206413
238,23703,257739.4976,4022028.8709,3,0.02206248
239,28560,260497.2855,4034901.4996,3,0.02206134
240,22429,264330.4396,4018849.0443,3,0.02205317
241,37749,266191.444,4017770.874,3,0.02205193
242,37423,261963.0379,4013577.121,4,0.02204451
243,18803,262752.9702,4009683.7688,1,0.0220412
244,28111,264144.1369,4034177.6151,3,0.02203999
245,23403,267436.1536,4020928.568,4,0.02203221
246,18577,264826.4821,4010428.1053,3,0.02203041
247,28096,260116.1271,4034127.8998,2,0.02202873
248,23416,266814.8287,4020957.3683,4,0.022027
249,18808,262687.0677,4009932.0813,1,0.02202587
250,22885,259852.7221,4019669.0893,2,0.02202253
251,30384,245528.461,4040026.4817,2,0.02202246
252,25448,258710.5451,4031265.7754,3,0.02202173
253,25156,255191.0887,4030867.6295,3,0.02202125
254,24768,265159.5314,4028956.7986,3,0.02202052
255,20812,258463.0202,4016157.2736,2,0.02201901
256,19476,261521.5189,4013695.2065,2,0.02201813
257,28323,261266.1709,4034458.3763,3,0.02201806
258,28871,263879.2151,4035999.1452,2,0.02201766
259,18739,265553.7165,4011311.8207,4,0.02200982
260,29877,266718.1744,4038843.1678,3,0.02200935
261,23654,253174.8537,4021819.7641,3,0.02200821
262,18591,264819.3996,4010582.7456,3,0.02200777
263,24176,254250.9928,4024819.3911,4,0.02200664
264,28559,260712.4903,4033579.1763,2,0.02200448
265,19136,262066.7592,4012975.0938,4,0.02199885
266,19082,261305.605,4012882.5375,3,0.02199738
267,22856,266753.4672,4019675.1124,4,0.02199585
268,24992,263448.3848,4029665.4556,2,0.02199578
269,27630,260722.0607,4033520.5916,2,0.02199526
270,23917,255928.3093,4023226.9592,4,0.02199457
271,24840,257426.3043,4029341.1765,3,0.02199077
272,19869,265528.7112,4014597.6255,3,0.02199026
273,24003,261574.161,4023699.6902,2,0.02199026
274,24878,263531.969,4029646.1833,2,0.02198916
275,18801,265488.83,4011879.2999,3,0.02198624
276,19391,261312.5257,4013640.1528,3,0.02198591
277,19461,261293.3264,4013772.2047,3,0.0219858
278,18685,265051.9123,4010965.2371,3,0.02198525
279,37381,261918.4839,4013381.2798,4,0.02198416
280,19420,262123.0572,4013646.0224,2,0.02197912
281,24461,267581.9367,4026546.6966,4,0.0219778
282,32801,270700.6077,4053001.9155,3,0.02197415
283,23445,264545.8698,4020899.0477,2,0.02197248
284,23568,266838.2862,4021479.4341,4,0.02197204
285,37808,264118.0927,4020936.0747,3,0.0219693
286,32413,249411.9457,4047936.3122,4,0.02196777
287,19057,262016.8148,4012845.4565,2,0.02196752
288,24928,257837.8905,4029954.7634,3,0.02196496
289,23678,266859.1313,4021943.366,4,0.02196281
290,25013,256013.6354,4030212.1053,4,0.02196234
291,22766,268535.507,4019557.2601,3,0.02195654
292,19475,261310.1796,4013792.4068,3,0.02195425
293,23984,261343.7658,4023610.0309,3,0.02195352
294,28005,260509.4148,4034053.0796,3,0.02195345
295,28110,260389.9119,4034173.8193,2,0.02195156
296,24868,256441.5816,4029629.8395,4,0.02194882
297,28556,264631.4363,4034881.1383,3,0.02194468
298,22817,267207.9079,4019622.9049,3,0.02194446
299,23949,262051.0907,4023272.6831,3,0.02194297
300,19399,262018.118,4012995.4774,2,0.02194238
301,32065,278239.6525,4045799.8077,3,0.02194082
302,27637,260708.0847,4033528.2961,2,0.02194035
303,28327,264167.5563,4034460.7496,3,0.02193896
304,23390,268564.6724,4020865.793,4,0.02193438
305,24081,260153.0383,4024470.4311,2,0.02193144
306,24314,257077.2041,4025290.6582,1,0.0219233
307,28040,264136.7721,4034074.7599,3,0.02192043
308,28468,246188.8662,4034616.0422,3,0.02191716
309,25111,265457.0457,4030531.7667,2,0.02190922
310,23962,261841.8958,4023491.0202,4,0.02190885
311,22851,259669.9362,4019668.8034,2,0.02190244
312,23561,267763.5543,4021471.1986,3,0.02189863
313,32354,244261.901,4047168.6449,1,0.02189787
314,24100,254467.7003,4024648.6911,4,0.02189606
315,33232,259287.6817,4060726.4809,3,0.02189566
316,37419,261849.7704,4013576.0128,4,0.02189515
317,19374,262004.426,4012991.1881,2,0.02189374
318,25442,255203.8066,4031264.5449,4,0.02189179
319,24303,254266.7493,4025245.0915,3,0.0218907
320,30891,272838.3173,4041632.77,3,0.02188806
321,19444,261490.1823,4013745.1997,3,0.02188494
322,24013,261463.3174,4023751.0954,2,0.02188147
323,37792,264333.1932,4020458.0266,3,0.02188089
324,22551,266110.0241,4019140.8807,4,0.02187912
325,23709,257462.9817,4022036.493,3,0.02187785
