排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,7440,657416.6146,2756233.6365,4,0.03467451
2,7446,657408.0004,2756242.222,3,0.03456494
3,7417,657524.7793,2756195.3657,3,0.03456332
4,6287,658765.21,2754083.9818,3,0.03456101
5,7072,655899.6694,2755538.8879,6,0.03455129
6,7676,655722.0854,2756609.4801,4,0.03447309
7,7449,657349.1438,2756244.2945,3,0.03446572
8,7830,656507.9365,2756857.774,3,0.03445652
9,7422,657378.1105,2756213.8993,3,0.03439776
10,6251,658671.139,2754017.265,3,0.03435678
11,7065,655895.1667,2755528.8344,3,0.03434787
12,7832,656523.048,2756862.2108,3,0.03430291
13,7406,657409.8229,2756179.2821,3,0.03424921
14,6221,658899.2731,2753986.9577,4,0.03418639
15,7523,657634.8642,2756407.0116,2,0.03414999
16,7541,657628.6124,2756419.2241,2,0.03404595
17,7922,653946.5307,2757077.3188,3,0.03403316
18,7278,657708.7765,2755939.1873,3,0.03402374
19,6698,656600.8043,2755012.6185,3,0.03401231
20,8410,655849.8693,2758476.5594,3,0.03401007
21,6279,658754.2594,2754065.4788,2,0.03391311
22,6204,658916.8188,2753973.3366,4,0.03389886
23,7197,654884.011,2755805.2244,3,0.03388307
24,7083,655882.0737,2755546.6856,4,0.03387773
25,6295,659871.9497,2754091.5487,6,0.03387506
26,6195,658520.895,2753966.0067,3,0.03386129
27,7883,652313.2774,2756975.3833,3,0.03385019
28,13839,661535.0618,2752624.8559,5,0.03384997
29,13834,661824.741,2752527.1502,3,0.0338442
30,7069,655882.1483,2755534.7678,3,0.03383865
31,7199,654867.1932,2755806.8402,3,0.03383732
32,14131,659656.5685,2754538.9793,3,0.03382734
33,7328,643839.1795,2756051.2753,4,0.03382402
34,6387,659746.1049,2754427.5556,2,0.0337844
35,6512,659730.1767,2754490.6087,3,0.03378286
36,7233,654334.0006,2755831.1776,4,0.03377181
37,8259,649809.4084,2757922.7832,4,0.03376849
38,7216,654885.4822,2755819.8844,4,0.0337601
39,8472,656269.3904,2758977.152,3,0.03375591
40,7729,651082.1198,2756701.2589,3,0.03375436
41,6237,658906.5295,2753999.8908,3,0.03375392
42,7182,657774.9825,2755792.5701,3,0.03374267
43,5834,641960.8525,2753471.3591,4,0.0337246
44,7745,657853.2239,2756577.3569,2,0.03371997
45,7867,651972.6268,2756906.5221,3,0.03371007
46,7221,654869.0076,2755821.5262,4,0.03370588
47,6511,659625.9997,2754656.9702,5,0.03363386
48,7245,654336.4826,2755844.0434,4,0.03362685
49,5551,659681.4943,2752710.4015,6,0.03362445
50,7759,651139.3886,2756734.709,3,0.03362007
51,7756,657844.8793,2756590.5975,2,0.03361788
52,4365,649718.3439,2749290.424,3,0.03360978
53,6218,658924.2551,2753986.4379,6,0.03359972
54,7671,655706.0341,2756591.675,3,0.03359294
55,8263,649818.0226,2757929.9548,4,0.0335901
56,7748,651061.5396,2756727.3503,3,0.03358398
57,4799,654069.1738,2751145.2246,4,0.03357809
58,7738,651088.0479,2756710.5509,5,0.03356215
59,3821,644354.7322,2745335.1134,3,0.03355975
60,6356,657162.858,2754269.5792,4,0.03354776
61,5011,661641.8664,2751682.5266,4,0.03352772
