排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,28043,519722.7923,4631935.2755,3,0.03065663
2,28641,520911.6643,4633623.7519,3,0.03063873
3,27585,517534.573,4630930.4551,4,0.03055964
4,27345,516662.3755,4630626.037,4,0.03051751
5,26973,519819.3353,4630025.9507,4,0.03046085
6,28480,521967.0999,4633257.7944,3,0.03041268
7,28659,522268.3816,4633688.3935,3,0.03034746
8,28754,519468.9744,4633949.6375,3,0.03032696
9,28717,519611.358,4633880.3029,3,0.03025392
10,26325,512146.2823,4629169.1153,4,0.03024724
11,27825,516608.7198,4631220.8335,4,0.03017773
12,29694,512777.3759,4636570.2725,4,0.03013372
13,29265,523600.4228,4635287.0573,3,0.03011849
14,23727,517200.2011,4627311.5045,4,0.03011493
15,25841,510479.8097,4628757.2766,3,0.03011166
16,29085,516823.15,4634919.0985,4,0.03010939
17,28065,516537.9395,4632005.4634,3,0.03010505
18,28770,519454.7392,4633974.0356,3,0.03010178
19,27984,506033.5968,4631702.1298,4,0.03006763
20,23117,510259.3719,4626858.6685,3,0.03005587
21,20425,525107.0791,4625212.3013,4,0.03004468
22,26134,519803.8906,4629001.0492,4,0.0300053
23,26756,520275.9963,4629777.2161,3,0.03000388
24,23056,512384.1471,4626813.834,4,0.02998236
25,20197,525622.8042,4625106.5695,3,0.02993569
26,26145,510509.5098,4629013.3228,2,0.02992066
27,9337,530846.3395,4619097.0652,4,0.02988237
28,22243,525162.1352,4626272.24,3,0.0298328
29,20503,524869.9376,4625250.4867,5,0.02982714
30,9260,532232.0342,4618907.2189,3,0.02982672
31,28086,523930.6117,4632101.5379,3,0.02982491
32,29212,527772.9512,4635123.813,3,0.0298231
33,29406,523220.1263,4635575.8563,3,0.02978241
34,21817,510037.1475,4626007.4972,4,0.02976851
35,22246,517438.7927,4626273.4389,3,0.02975725
36,23108,515048.0841,4626843.1924,3,0.029756
37,19857,526300.9601,4624961.024,3,0.02973504
38,9262,532231.1541,4618914.2539,3,0.02972083
39,8220,531811.8634,4617490.3383,3,0.02971467
40,22937,525161.7079,4626726.203,3,0.02971141
41,18931,524654.2929,4624439.5607,4,0.02970186
42,9339,530931.85,4619078.8151,2,0.02969951
43,24946,502594.8469,4627994.5742,3,0.0296984
44,22005,512305.5458,4626108.3061,3,0.02966855
45,30766,514382.5971,4639864.6488,4,0.02966034
46,27889,515980.4804,4631417.9653,4,0.02964489
47,22265,524891.9648,4626277.3556,4,0.02963944
48,26017,520276.3876,4628934.894,3,0.02962519
49,26417,521269.9298,4629255.6205,3,0.02962395
50,20600,524109.1481,4625320.8237,4,0.02961074
51,28083,523978.8365,4632100.4231,3,0.02959699
52,19803,526622.0215,4624942.017,4,0.02958429
53,29514,522560.1714,4636035.2554,3,0.02958209
54,22933,525232.94,4626725.9768,3,0.02957262
55,9328,530973.7324,4619072.4678,2,0.02956378
56,18965,525481.5564,4624455.9847,3,0.02955658
57,22943,524901.1079,4626727.0551,4,0.02954816
58,29447,527773.6022,4635835.9174,3,0.02954802
59,24000,525190.9809,4627524.4419,4,0.0295411
60,18085,525037.784,4624021.6486,4,0.02953611
61,21795,510035.474,4625997.8891,4,0.02953563
62,21843,515088.5252,4626029.7051,4,0.02953248
63,23836,524773.3225,4627408.6681,3,0.02952831
64,9444,533517.5981,4619264.3633,4,0.02952735
65,24021,525189.5873,4627535.6174,4,0.02949116
66,23548,524038.2616,4627157.0853,4,0.02949088
67,19395,524420.8947,4624693.9082,4,0.02948147
68,9642,529935.1792,4619563.0367,3,0.02947752
69,28121,516432.6547,4632187.4864,4,0.02947459
70,23010,512561.2316,4626793.2894,4,0.02947384
71,21433,506048.221,4625740.4932,3,0.02947186
72,20910,526302.7086,4625452.4104,4,0.02947118
73,29907,511207.1952,4637696.2338,4,0.02945927
74,8147,532238.9066,4617396.8207,3,0.02945627
75,28791,516680.7839,4634056.613,3,0.02945321
76,10553,531778.8362,4620464.4544,4,0.02944954
77,22272,524110.3988,4626287.4321,4,0.02944933
78,9459,533512.1784,4619283.1902,4,0.02943594
79,22950,524113.6397,4626730.4376,4,0.02943166
80,21195,504893.8923,4625619.7137,3,0.02943125
81,23222,523442.4393,4626953.1585,4,0.0294267
82,30861,518711.8022,4640091.3474,4,0.02942412
83,21983,515337.4981,4626091.378,3,0.02942032
84,21832,515088.9662,4626019.1154,4,0.02940024
85,25717,521121.9948,4628655.0062,4,0.02939963
86,19653,545982.5379,4624856.2436,3,0.02939773
87,28068,525551.3119,4632035.5371,3,0.02939495
88,23839,517661.7401,4627411.6438,3,0.02939183
89,28075,505287.2097,4632093.3846,4,0.02939081
90,22070,518389.7657,4626151.8302,2,0.02938364
91,9264,532230.2826,4618921.2336,3,0.02938005
92,11894,536762.0035,4621402.1007,4,0.02936624
93,23569,524033.011,4627172.3604,4,0.02936455
94,29921,529305.4744,4637765.0945,5,0.02936212
95,8695,505244.0438,4618152.8747,4,0.02935583
96,12250,536609.2139,4621533.4064,3,0.02935313
97,20901,526641.5367,4625449.9794,4,0.02935306
98,24325,520869.8868,4627707.7447,3,0.02934765
99,21907,545223.9766,4626071.0972,4,0.02934705
100,22676,523561.4631,4626617.2357,4,0.02934502
101,21574,519478.7527,4625840.991,3,0.02933212
102,9450,533527.2019,4619266.7953,4,0.02932781
103,20667,526641.6547,4625358.1278,5,0.02932781
104,8678,505248.1687,4618137.5557,4,0.02932531
105,21426,506049.0343,4625731.956,4,0.02931533
106,21168,505336.6949,4625608.3953,3,0.02931432
107,29211,528305.5949,4635092.0679,2,0.02931068
108,23255,523436.7129,4626969.3224,5,0.02930583
109,27878,516022.5494,4631392.6928,4,0.02929889
110,22057,512483.974,4626144.0478,4,0.02929371
111,21940,515334.9986,4626078.9822,4,0.0292929
112,7794,532834.6572,4616876.1396,3,0.02929129
113,7980,531965.7507,4617186.5909,3,0.02928322
114,29805,517411.9677,4637140.4747,4,0.02928113
115,30002,520341.4851,4638294.0371,3,0.02927804
116,12326,536659.8604,4621556.1709,3,0.02927259
