排名,节点ID,X坐标,Y坐标,度数,接近中心性
1,10045,721666.9129,3848089.5338,3,0.03061798
2,10052,725306.1022,3848091.6511,4,0.03052053
3,10064,723420.0598,3848093.2482,4,0.03051276
4,10060,724566.5688,3848092.1954,3,0.0305112
5,10055,725292.4015,3848091.6612,4,0.03051068
6,13716,721743.4858,3850494.2763,4,0.03044421
7,8380,733031.4569,3846269.1954,4,0.0303617
8,10025,731179.0832,3848067.5272,4,0.03034622
9,13510,723373.5142,3850273.8252,3,0.0303106
10,8384,731366.9308,3846273.7114,4,0.03028383
11,8378,731390.7602,3846268.4609,4,0.03028107
12,10024,731207.0657,3848066.3548,4,0.03024163
13,13187,724644.6025,3850118.2826,4,0.03023817
14,17987,721651.6165,3853891.839,4,0.03023451
15,13211,724328.854,3850140.1532,3,0.0302344
16,13184,724658.623,3850117.3115,4,0.03021366
17,9915,718312.5008,3847980.7893,4,0.03021173
18,23328,734614.9101,3862987.6047,4,0.0301325
19,13249,724632.159,3850163.3844,4,0.03010756
20,17963,720028.4681,3853873.3481,4,0.03007441
21,23281,733844.1251,3862892.6902,2,0.03006334
22,8573,734883.9068,3846550.7897,3,0.03006173
23,23644,738515.2111,3866202.546,3,0.03006022
24,13253,724645.8937,3850163.4453,4,0.03004072
25,23277,733800.6352,3862883.4977,2,0.03002807
26,23267,733273.0489,3862791.2639,3,0.03001543
27,23636,745033.0204,3865698.7613,3,0.02996528
28,10077,733094.5925,3848116.7585,4,0.0299516
29,7260,743524.0486,3844238.9882,4,0.02994321
30,18835,720094.1737,3855016.0316,3,0.02994072
31,23466,734281.5116,3863423.5283,3,0.02992476
32,23244,731018.4632,3862675.5468,4,0.02991092
33,23547,748560.199,3863955.7251,3,0.02990962
34,23640,732223.6024,3865961.6246,3,0.02990733
35,23523,738364.7796,3863815.8086,3,0.02990683
36,5580,723832.7993,3840745.1156,4,0.02987412
37,7267,744034.2608,3844254.4606,4,0.02987352
38,7149,727240.8906,3844032.2102,4,0.02986459
39,7642,742768.9617,3845352.1862,4,0.02985526
40,20749,721477.8473,3858486.4589,4,0.02984276
41,23503,753937.794,3863656.0964,3,0.02984039
42,13767,724542.2508,3850515.4597,4,0.02984019
43,6585,733980.6187,3843220.9059,4,0.02983692
44,7145,727233.8629,3844013.3907,4,0.02982899
45,6387,743555.6836,3843022.5256,4,0.0298187
46,23289,756350.08,3862933.1336,3,0.02981306
47,10069,732569.6336,3848102.701,4,0.02980544
48,23479,754338.6767,3863486.383,2,0.02980159
49,23528,733978.7966,3863818.2201,3,0.02979319
50,23293,738313.3751,3862938.8494,5,0.0297841
51,7652,743492.9182,3845369.8544,4,0.02977265
52,7236,742184.6477,3844194.0831,4,0.02976969
53,6427,744057.2769,3843042.6504,4,0.0297624
54,10047,732095.3347,3848090.0185,4,0.0297555
55,13274,724641.9685,3850177.6708,3,0.02973885
56,23300,727478.1664,3862945.4505,3,0.02973561
57,7659,742768.2511,3845379.476,4,0.02973502
58,23316,735910.1396,3862967.4348,4,0.02972862
59,9911,718112.0398,3847967.9129,4,0.02972783
60,7242,742832.6097,3844210.2043,3,0.02972046
61,6582,733982.8926,3843193.0945,4,0.02970768
62,7664,744020.4434,3845388.5423,4,0.02970218
63,23517,735967.4735,3863813.0559,4,0.02969708
64,13762,724560.9202,3850514.3351,4,0.02969335
65,6873,745791.7086,3843552.1554,3,0.02966463
66,7196,740574.2813,3844143.3225,4,0.02966267
67,7667,743492.8928,3845399.5714,3,0.02965347
68,7208,741594.4769,3844170.5985,4,0.02964505
69,20923,721514.2632,3858687.2151,3,0.02963625
70,23326,734934.3232,3862980.7367,3,0.02963537
71,7638,742756.5864,3845351.8931,4,0.02963351
72,7289,728815.0133,3844420.0492,3,0.02963019
73,13813,720770.2009,3850543.8597,3,0.02962667
74,20830,724081.0535,3858578.4174,3,0.02962277
