城市,节点ID,聚类系数
Chengdu,1,0.0
Chengdu,2,0.0
Chengdu,3,0.0
Chengdu,4,0.0
Chengdu,5,0.0
Chengdu,7,0.0
Chengdu,8,0.0
Chengdu,9,0.0
Chengdu,10,0.0
Chengdu,12,0.0
Chengdu,14,0.0
Chengdu,15,0.0
Chengdu,16,0.0
Chengdu,18,0.0
Chengdu,19,0.0
Chengdu,20,0.0
Chengdu,21,0.0
Chengdu,22,0.0
Chengdu,24,0.0
Chengdu,26,0.0
Chengdu,27,0.0
Chengdu,28,0.0
Chengdu,30,0.0
Chengdu,31,0.0
Chengdu,32,0.0
Chengdu,36,0.0
Chengdu,40,0.0
Chengdu,43,0.0
Chengdu,45,0.0
Chengdu,49,0.0
Chengdu,51,0.0
Chengdu,56,0.0
Chengdu,58,0.0
Chengdu,60,0.0
Chengdu,64,0.333333
Chengdu,66,0.0
Chengdu,69,0.166667
Chengdu,74,0.0
Chengdu,77,0.0
Chengdu,79,0.333333
Chengdu,84,0.0
Chengdu,87,0.0
Chengdu,92,0.0
Chengdu,93,0.0
Chengdu,95,0.0
Chengdu,98,0.0
Chengdu,102,0.0
Chengdu,106,0.0
Chengdu,108,0.0
Chengdu,109,0.0
Chengdu,112,0.0
Chengdu,115,0.0
Chengdu,117,0.0
Chengdu,118,0.0
Chengdu,121,0.0
Chengdu,124,0.0
Chengdu,125,0.0
Chengdu,129,0.0
Chengdu,134,0.0
Chengdu,138,0.0
Chengdu,142,0.0
Chengdu,143,0.0
Chengdu,145,0.0
Chengdu,147,0.0
Chengdu,150,0.0
Chengdu,151,0.0
Chengdu,152,0.0
Chengdu,153,0.0
Chengdu,155,0.0
Chengdu,156,0.0
Chengdu,158,0.0
Chengdu,160,0.0
Chengdu,161,0.0
Chengdu,166,0.0
Chengdu,168,0.0
Chengdu,170,0.0
Chengdu,172,0.0
Chengdu,173,0.0
Chengdu,175,0.0
Chengdu,178,0.0
Chengdu,182,0.0
Chengdu,184,0.0
Chengdu,186,0.0
Chengdu,189,0.0
Chengdu,190,0.0
Chengdu,193,0.0
Chengdu,196,0.0
Chengdu,197,0.0
Chengdu,200,0.0
Chengdu,201,0.0
Chengdu,206,0.0
Chengdu,209,0.0
Chengdu,213,0.0
Chengdu,216,0.0
Chengdu,219,0.0
Chengdu,221,0.0
Chengdu,222,0.0
Chengdu,223,0.0
Chengdu,225,0.0
Chengdu,227,0.0
Chengdu,230,0.0
Chengdu,231,0.0
Chengdu,233,0.0
Chengdu,234,0.0
Chengdu,236,0.0
Chengdu,239,0.0
Chengdu,242,0.0
Chengdu,243,0.166667
Chengdu,245,0.0
Chengdu,246,0.0
Chengdu,250,0.0
Chengdu,251,0.0
Chengdu,252,0.0
Chengdu,254,0.0
Chengdu,255,0.0
Chengdu,257,0.0
Chengdu,258,0.0
Chengdu,259,0.0
Chengdu,261,0.0
Chengdu,262,0.0
Chengdu,263,0.0
Chengdu,265,0.0
Chengdu,269,0.166667
Chengdu,270,0.0
Chengdu,271,0.0
Chengdu,273,0.0
Chengdu,275,0.333333
Chengdu,276,0.333333
Chengdu,280,0.0
Chengdu,281,0.333333
Chengdu,285,0.333333
Chengdu,287,0.0
Chengdu,288,0.0
Chengdu,289,0.0
Chengdu,292,0.0
Chengdu,293,0.333333
Chengdu,297,0.0
Chengdu,298,0.333333
Chengdu,299,0.333333
Chengdu,301,0.333333
Chengdu,305,0.0
Chengdu,306,0.0
Chengdu,308,0.333333
Chengdu,309,0.0
Chengdu,310,0.0
Chengdu,311,0.333333
Chengdu,316,0.0
Chengdu,317,0.0
Chengdu,319,0.0
Chengdu,321,0.0
Chengdu,323,0.333333
Chengdu,326,0.0
Chengdu,329,0.0
Chengdu,330,0.333333
Chengdu,333,0.333333
Chengdu,338,0.0
Chengdu,340,0.333333
Chengdu,344,0.333333
Chengdu,345,0.0
Chengdu,346,0.0
Chengdu,350,0.0
Chengdu,352,0.333333
Chengdu,356,0.333333
Chengdu,359,0.0
Chengdu,362,0.0
Chengdu,364,0.166667
Chengdu,368,0.0
Chengdu,370,0.0
Chengdu,372,0.0
Chengdu,373,0.0
Chengdu,374,0.0
Chengdu,375,0.0
Chengdu,376,0.0
Chengdu,377,0.0
Chengdu,378,0.0
