城市,度k,节点数,P(k)
Chengdu,1,2361,0.129016
Chengdu,2,3405,0.186066
Chengdu,3,7728,0.422295
Chengdu,4,4618,0.25235
Chengdu,5,137,0.007486
Chengdu,6,28,0.00153
Chengdu,7,11,0.000601
Chengdu,8,8,0.000437
Chengdu,9,2,0.000109
Chengdu,10,1,5.5e-05
Chengdu,11,1,5.5e-05
Dalian,1,2568,0.188754
Dalian,2,2345,0.172363
Dalian,3,6321,0.464609
Dalian,4,2297,0.168835
Dalian,5,60,0.00441
Dalian,6,13,0.000956
Dalian,7,1,7.4e-05
Dongguan,1,1434,0.172459
Dongguan,2,1544,0.185689
Dongguan,3,3676,0.442093
Dongguan,4,1606,0.193145
Dongguan,5,49,0.005893
Dongguan,6,5,0.000601
Dongguan,7,1,0.00012
Harbin,1,1649,0.153724
Harbin,2,1859,0.173301
Harbin,3,4896,0.456418
Harbin,4,2260,0.210683
Harbin,5,53,0.004941
Harbin,6,8,0.000746
Harbin,7,2,0.000186
Qingdao,1,2598,0.186987
Qingdao,2,2224,0.160069
Qingdao,3,5391,0.388009
Qingdao,4,3611,0.259896
Qingdao,5,55,0.003959
Qingdao,6,10,0.00072
Qingdao,7,2,0.000144
Qingdao,8,3,0.000216
Quanzhou,1,971,0.171192
Quanzhou,2,1226,0.21615
Quanzhou,3,2167,0.382052
Quanzhou,4,1249,0.220205
Quanzhou,5,40,0.007052
Quanzhou,6,19,0.00335
Shenyang,1,1249,0.096077
Shenyang,2,2042,0.157077
Shenyang,3,6374,0.490308
Shenyang,4,3171,0.243923
Shenyang,5,113,0.008692
Shenyang,6,32,0.002462
Shenyang,7,10,0.000769
Shenyang,9,8,0.000615
Shenyang,14,1,7.7e-05
Zhengzhou,1,1057,0.115368
Zhengzhou,2,1991,0.217311
Zhengzhou,3,3820,0.41694
Zhengzhou,4,2251,0.245689
Zhengzhou,5,33,0.003602
Zhengzhou,6,9,0.000982
Zhengzhou,8,1,0.000109
