城市,梯度r(K),p_实测,p_拟合,残差,类型
Chengdu,0.5,0.61420765,,,第1梯度(去除)
Chengdu,1.0,0.17704918,0.17817961,-0.00113043,拟合
Chengdu,1.5,0.07765027,0.07388094,0.00376933,拟合
Chengdu,2.0,0.03923497,0.03956108,-0.0003261,拟合
Chengdu,2.5,0.02469945,0.0243702,0.00032925,拟合
Chengdu,3.0,0.01579235,0.01640373,-0.00061138,拟合
Chengdu,3.5,0.0104918,0.01173786,-0.00124606,拟合
Chengdu,4.0,0.00765027,0.00878371,-0.00113344,拟合
Chengdu,4.5,0.00508197,0.00680169,-0.00171972,拟合
Chengdu,5.0,0.00513661,0.0054109,-0.00027428,拟合
Chengdu,5.5,0.00256831,0.00439945,-0.00183114,拟合
Chengdu,6.0,0.00306011,0.00364211,-0.000582,拟合
Chengdu,6.5,0.00169399,0.0030611,-0.00136711,拟合
Chengdu,7.0,0.00218579,0.00260615,-0.00042036,拟合
Chengdu,7.5,0.00174863,0.00224359,-0.00049496,拟合
Chengdu,8.0,0.0010929,0.00195024,-0.00085734,拟合
Chengdu,8.5,0.00136612,0.00170971,-0.00034359,拟合
Chengdu,9.0,0.00081967,0.00151017,-0.0006905,拟合
Chengdu,9.5,0.00092896,0.00134291,-0.00041394,拟合
Chengdu,10.0,0.00060109,0.00120138,-0.00060028,拟合
Chengdu,10.5,0.00103825,0.00108062,-4.237e-05,拟合
Chengdu,11.0,0.00054645,0.00097681,-0.00043036,拟合
Chengdu,11.5,0.00043716,0.00088694,-0.00044978,拟合
Chengdu,12.0,0.00027322,0.00080865,-0.00053543,拟合
Chengdu,12.5,0.00060109,0.00074007,-0.00013897,拟合
Chengdu,13.0,0.00032787,0.00067965,-0.00035179,拟合
Chengdu,13.5,0.00027322,0.00062618,-0.00035296,拟合
Chengdu,14.0,0.00016393,0.00057864,-0.00041471,拟合
Chengdu,14.5,0.00043716,0.00053619,-9.903e-05,拟合
Chengdu,15.0,5.464e-05,0.00049814,-0.0004435,拟合
Chengdu,15.5,0.00021858,0.00046391,-0.00024533,拟合
Chengdu,16.0,0.00016393,0.00043301,-0.00026908,拟合
Chengdu,16.5,0.00032787,0.00040503,-7.716e-05,拟合
Chengdu,17.0,5.464e-05,0.00037961,-0.00032496,拟合
Chengdu,17.5,0.00032787,0.00035645,-2.858e-05,拟合
Chengdu,18.0,0.00010929,0.0003353,-0.00022601,拟合
Chengdu,18.5,0.00010929,0.00031594,-0.00020665,拟合
Chengdu,19.0,0.00027322,0.00029816,-2.494e-05,拟合
Chengdu,19.5,5.464e-05,0.00028181,-0.00022717,拟合
Chengdu,20.0,5.464e-05,0.00026674,-0.0002121,拟合
Chengdu,20.5,0.00016393,0.00025282,-8.888e-05,拟合
Chengdu,21.0,5.464e-05,0.00023993,-0.00018528,拟合
Chengdu,21.5,5.464e-05,0.00022798,-0.00017333,拟合
Chengdu,22.0,5.464e-05,0.00021688,-0.00016223,拟合
