City,q,Q_bc_avg
Chengdu,0.0,0.882622950819672
Chengdu,0.01,0.8656591530054646
Chengdu,0.02,0.8478087431693989
Chengdu,0.03,0.8294043715846996
Chengdu,0.04,0.8126222677595629
Chengdu,0.05,0.7885498633879782
Chengdu,0.06,0.7756612021857923
Chengdu,0.07,0.7527035519125682
Chengdu,0.08,0.7240642076502732
Chengdu,0.09,0.7054439890710384
Chengdu,0.1,0.6856243169398907
Chengdu,0.11,0.6658101092896174
Chengdu,0.12,0.6392848360655737
Chengdu,0.13,0.6174098360655738
Chengdu,0.14,0.5888825136612021
Chengdu,0.15,0.5746625683060108
Chengdu,0.16,0.5400204918032788
Chengdu,0.17,0.5192834699453552
Chengdu,0.18,0.48620013661202177
Chengdu,0.19,0.46038797814207655
Chengdu,0.2,0.42744467213114756
Chengdu,0.21,0.38748019125683064
Chengdu,0.22,0.36602049180327867
Chengdu,0.23,0.3162103825136612
Chengdu,0.24,0.2977527322404372
Chengdu,0.25,0.2505266393442623
Chengdu,0.26,0.21094193989071036
Chengdu,0.27,0.19908401639344261
Chengdu,0.28,0.1617103825136612
Chengdu,0.29,0.1356898907103825
Chengdu,0.3,0.11165846994535518
Chengdu,0.31,0.09208401639344262
Chengdu,0.32,0.0645403005464481
Chengdu,0.33,0.05402937158469945
Chengdu,0.34,0.044451502732240425
Chengdu,0.35,0.031961065573770486
Chengdu,0.36,0.025066939890710384
Chengdu,0.37,0.02462431693989071
Chengdu,0.38,0.01681762295081967
Chengdu,0.39,0.012024590163934427
Chengdu,0.4,0.012890710382513663
Chengdu,0.41,0.010226775956284153
Chengdu,0.42,0.008134562841530055
Chengdu,0.43,0.006057377049180327
Chengdu,0.44,0.005637295081967214
Chengdu,0.45,0.004627049180327869
Chengdu,0.46,0.004118169398907104
Chengdu,0.47,0.003707650273224044
Chengdu,0.48,0.003498633879781421
Chengdu,0.49,0.003432377049180327
Chengdu,0.5,0.0030580601092896173
Chengdu,0.51,0.002655054644808743
Chengdu,0.52,0.002461065573770492
Chengdu,0.53,0.00210655737704918
Chengdu,0.54,0.002119535519125683
Chengdu,0.55,0.00183948087431694
Chengdu,0.56,0.0018346994535519128
Chengdu,0.57,0.0014453551912568306
Chengdu,0.58,0.001298497267759563
Chengdu,0.59,0.0013729508196721311
Chengdu,0.6,0.001202868852459016
Chengdu,0.61,0.0011222677595628414
Chengdu,0.62,0.0010122950819672128
Chengdu,0.63,0.0009173497267759564
Chengdu,0.64,0.0009241803278688523
Chengdu,0.65,0.0008565573770491804
Chengdu,0.66,0.0007493169398907104
Chengdu,0.67,0.0007568306010928962
Chengdu,0.68,0.0007520491803278689
Chengdu,0.69,0.0006475409836065573
Chengdu,0.7,0.0006209016393442623
Chengdu,0.71,0.0006509562841530054
Chengdu,0.72,0.0005983606557377048
Chengdu,0.73,0.0005136612021857923
Chengdu,0.74,0.0004924863387978141
Chengdu,0.75,0.0005020491803278688
Chengdu,0.76,0.0004521857923497267
Chengdu,0.77,0.000383879781420765
Chengdu,0.78,0.0003989071038251366
Chengdu,0.79,0.000389344262295082
Chengdu,0.8,0.0003435792349726775
Chengdu,0.81,0.00036816939890710386
Chengdu,0.82,0.00033538251366120207
Chengdu,0.83,0.0003005464480874317
Chengdu,0.84,0.0002848360655737705
Chengdu,0.85,0.0002814207650273224
Chengdu,0.86,0.00026844262295081965
Chengdu,0.87,0.00026775956284153
Chengdu,0.88,0.00023633879781420766
Chengdu,0.89,0.0002233606557377049
Chengdu,0.9,0.00019262295081967217
Chengdu,0.91,0.0001864754098360656
Chengdu,0.92,0.0001816939890710383
Chengdu,0.93,0.0001653005464480874
Chengdu,0.94,0.0001489071038251366
Chengdu,0.95,0.00013456284153005461
Chengdu,0.96,0.00013524590163934422
Chengdu,0.97,0.00011748633879781419
Chengdu,0.98,0.00010587431693989072
Chengdu,0.99,9.494535519125685e-05
Chengdu,1.0,0.0
Dalian,0.0,0.8106027195883867
Dalian,0.01,0.7923410510841602
Dalian,0.02,0.774039875045939
Dalian,0.03,0.7497748989342152
Dalian,0.04,0.7329299889746417
Dalian,0.05,0.7111934950385889
Dalian,0.06,0.6871931275266447
