rank,node_id
1,49330
2,8217
3,49324
4,13576
5,49882
6,27186
7,29272
8,31771
9,37170
10,49333
11,49337
12,2192
13,4987
14,5284
15,5388
16,5441
17,7754
18,7763
19,7767
20,7774
21,9309
22,9346
23,12677
24,12968
25,12994
26,13354
27,13491
28,14808
29,14822
30,16111
31,18457
32,19465
33,19470
34,19615
35,20525
36,20607
37,22758
38,23526
39,24274
40,24277
41,24642
42,25439
43,26633
44,27317
45,28098
46,28127
47,28621
48,29028
49,29652
50,30742
51,15680
52,18959
53,20160
54,23027
55,29084
56,3493
57,3991
58,8034
59,8673
60,14230
61,19279
62,19329
63,19338
64,20162
65,24927
66,25995
67,26743
68,28348
69,30073
70,30689
71,31271
72,33032
73,34529
74,34688
75,35262
76,35429
77,36363
78,36413
79,39602
80,40253
81,42329
82,42890
83,43229
84,44003
85,47708
86,4159
87,7150
88,20099
89,26176
90,28833
91,31512
92,33321
93,35544
94,37342
95,42876
96,49943
97,21050
98,24811
99,25185
100,25203
101,11097
102,24711
103,2304
104,8859
105,15822
106,16299
107,23982
108,25885
109,28809
110,31225
111,32232
112,37500
113,37749
114,42274
115,42599
116,3828
117,4776
118,12159
119,12759
120,26782
121,33187
122,29573
123,31070
124,48570
125,48574
126,8662
127,9134
128,11081
129,16132
130,16234
131,16411
132,17877
133,18925
134,19111
135,20124
136,20269
137,27039
138,27839
139,28198
140,28255
141,29291
142,33700
143,49671
144,50169
145,847
146,2416
147,2426
148,2800
149,2950
150,2959
151,8261
152,21202
153,25005
154,27858
155,28005
156,28650
157,29557
158,30316
159,39519
160,45651
161,45852
162,46050
163,47827
164,47992
165,8461
166,17550
167,20594
168,23245
169,29539
170,33697
171,34890
172,26620
173,1943
174,2617
175,3030
176,3113
177,3263
178,3319
179,3425
180,3932
181,3980
182,4036
183,4046
184,4748
185,4938
186,5353
187,5889
188,6125
189,6417
190,6573
191,6609
192,6627
193,7074
194,7215
195,7621
196,7646
197,7861
198,7924
199,7954
200,8467
201,20701
202,24561
203,25290
204,25499
205,28611
206,35210
207,40002
208,40909
209,40915
210,43701
211,44884
212,9702
213,22466
214,25413
215,49412
216,11801
217,18431
218,20194
219,43505
220,5906
221,6226
222,7611
223,8726
224,8851
225,9173
226,9376
227,10217
228,10660
229,10785
230,11025
231,11258
232,11653
233,11761
234,11938
235,12065
236,12313
237,12801
238,12811
239,13455
240,13579
241,13846
242,14042
243,14476
244,14568
245,14613
246,15227
247,15229
248,15247
249,16187
250,16804
251,24762
252,37943
253,43450
254,44906
255,6089
256,8676
257,13811
258,17293
259,20248
260,26871
261,29095
262,36932
263,41086
264,32287
265,43530
266,1478
267,6092
268,12502
269,12594
270,13080
271,13092
272,14197
273,15639
274,17254
275,17449
276,18002
277,18010
278,18104
279,18256
280,18287
281,18299
282,18364
283,18513
284,18636
285,18825
286,19432
287,19438
288,19442
289,19509
290,19967
291,19974
292,19982
293,20088
294,20137
295,20171
296,20654
297,20800
298,20804
299,20941
300,21214
301,25372
302,26234
303,41859
304,26265
305,13237
306,17428
307,17445
308,17733
309,19571
310,19573
311,19799
312,19823
313,20446
314,20842
315,21381
316,21387
317,21405
318,21568
319,21608
320,22098
321,22444
322,22559
323,22728
324,22947
325,24093
326,24377
327,24429
328,24659
329,25554
330,25562
331,26093
332,26285
333,26585
334,26723
335,26760
336,26960
337,27050
338,27355
339,27559
340,27686
341,27711
342,27905
343,28363
344,28602
345,28630
346,28640
347,28739
348,28819
349,28839
350,28869
351,29696
352,32308
353,32313
354,37307
355,40771
356,29793
357,38441
358,40250
359,41120
360,45487
361,2176
362,2177
363,3189
364,4058
365,12838
366,17150
367,17394
368,22133
369,22628
370,24010
371,24150
372,25351
373,26370
374,26843
375,27306
376,27948
377,28568
378,28752
379,29071
380,30697
381,31033
382,31467
383,31974
384,32124
385,32221
386,32487
387,32752
388,32874
389,32888
390,32939
391,32994
392,34190
393,34317
394,34612
395,34637
396,34662
397,34741
398,34844
399,34883
400,35199
401,41664
402,34395
403,35913
404,2660
405,36709
406,44520
407,475
408,10288
409,22320
410,22651
411,27159
412,27802
413,28265
414,30332
415,30839
416,32615
417,33730
418,33731
419,33910
420,33922
421,34390
422,34494
423,34497
424,35076
425,35093
426,35302
427,35319
428,35910
429,36500
430,37231
431,37803
432,38104
433,38683
434,38702
435,38720
436,38865
437,38900
438,38995
439,39011
440,39044
441,39382
442,39694
443,40044
444,40091
445,40315
446,40353
447,40577
448,40629
449,40983
450,41224
451,49141
452,26304
453,48636
454,20370
455,21519
456,21969
457,26027
458,26140
459,26180
460,29044
461,29313
462,35229
463,37213
464,38709
465,38894
466,39984
467,40826
468,42187
469,42322
470,42452
471,42485
472,43215
473,43329
474,43395
475,43444
476,44938
477,44982
478,46056
479,47733
480,47816
481,47894
482,48022
483,48677
484,49151
485,49656
486,50513
487,50564
488,152
489,911
490,923
491,1796
492,2013
493,2078
494,2400
495,2694
496,2710
497,2874
498,3025
499,3402
500,3879
501,25974
502,31400
503,32936
504,45051
505,3962
506,4443
507,4567
508,4901
509,5267
510,5879
511,6346
512,6478
513,6588
514,6806
515,6835
