rank,node_id
1,49330
2,49324
3,49882
4,23027
5,35199
6,37170
7,49333
8,49337
9,7212
10,7754
11,7767
12,7774
13,13028
14,13491
15,14808
16,16111
17,17761
18,19470
19,20446
20,20607
21,24282
22,25499
23,28546
24,29095
25,29491
26,30764
27,32003
28,34688
29,34702
30,35262
31,37943
32,39602
33,47730
34,50289
35,7150
36,7931
37,21139
38,24460
39,32652
40,33263
41,36709
42,38572
43,40140
44,41086
45,41332
46,29573
47,31070
48,49943
49,13576
50,21853
51,16132
52,19111
53,15680
54,18431
55,18925
56,25575
57,4026
58,6552
59,7074
60,10552
61,15822
62,16230
63,16824
64,21381
65,24642
66,25439
67,32232
68,38104
69,42599
70,43229
71,44906
72,48022
73,48762
74,4776
75,12759
76,17131
77,24037
78,24588
79,26782
80,27242
81,28044
82,35544
83,37342
84,42815
85,24811
86,48570
87,48574
88,48723
89,9134
90,11801
91,16411
92,19257
93,20124
94,20212
95,24711
96,25153
97,26620
98,27039
99,27839
100,28255
101,47989
102,8217
103,5284
104,13455
105,17527
106,18350
107,22636
108,26370
109,32221
110,32308
111,32313
112,34267
113,36413
114,40978
115,42861
116,42867
117,47964
118,47971
119,47992
120,3828
121,3962
122,27285
123,28900
124,31974
125,33243
126,11829
127,13579
128,29084
129,29272
130,29291
131,30888
132,33700
133,49671
134,50169
135,847
136,1286
137,1941
138,1943
139,2197
140,2304
141,2416
142,2426
143,3002
144,3011
145,3113
146,3932
147,3935
148,3968
149,3980
150,3991
151,8851
152,8034
153,15227
154,19279
155,32728
156,39011
157,41859
158,42886
159,21925
160,23245
161,29793
162,10110
163,26760
164,2800
165,3347
166,3720
167,4748
168,4938
169,5361
170,5368
171,5384
172,5431
173,5629
174,5889
175,6078
176,6272
177,6292
178,7611
179,7646
180,7861
181,7871
182,7924
183,7939
184,7954
185,8503
186,8673
187,8726
188,8834
189,8859
190,8946
191,9009
192,9173
193,9530
194,11025
195,11258
196,11653
197,11761
198,11938
199,11945
200,12065
201,31771
202,2613
203,12968
204,19936
205,28181
206,31033
207,33045
208,35429
209,20239
210,31913
211,33187
212,40770
213,22583
214,2176
215,2536
216,2607
217,2617
218,2959
219,4434
220,10789
221,10856
222,12486
223,12502
224,12510
225,12533
226,12594
227,12644
228,12811
229,13846
230,14042
231,14197
232,14476
233,14568
234,14613
235,14916
236,15229
237,15639
238,15643
239,16187
240,16234
241,16291
242,16299
243,16710
244,16796
245,16990
246,16994
247,17428
248,17445
249,17637
250,18104
251,20215
252,28098
253,28783
254,30802
255,40940
256,1764
257,24808
258,25761
259,39222
260,20387
261,49071
262,6417
263,10217
264,12948
265,13354
266,18447
267,18457
268,18460
269,18825
270,18971
271,19615
272,19967
273,19974
274,19982
275,20137
276,20162
277,20174
278,20207
279,20701
280,20800
281,20804
282,20808
283,21038
284,21101
285,21202
286,21341
287,22052
288,22712
289,22947
