rank,node_id
1,15472
2,12115
3,12276
4,2621
5,2785
6,4214
7,4218
8,5688
9,7241
10,7343
11,8000
12,8665
13,9155
14,9471
15,11722
16,12389
17,13961
18,14330
19,14469
20,14491
21,14592
22,15872
23,16948
24,17542
25,19254
26,21998
27,3208
28,11615
29,17469
30,17472
31,4413
32,5865
33,7506
34,11118
35,12128
36,14284
37,14597
38,15107
39,17253
40,17977
41,19065
42,435
43,485
44,1258
45,1809
46,1918
47,2099
48,2415
49,2554
50,2845
51,4850
52,10928
53,10988
54,12762
55,15025
56,1595
57,4720
58,14601
59,18682
60,5495
61,628
62,842
63,843
64,995
65,3327
66,3664
67,3765
68,3949
69,4165
70,4460
71,4774
72,4831
73,4835
74,5024
75,5142
76,5205
77,5212
78,5423
79,5507
80,5833
81,5837
82,5984
83,6374
84,6456
85,6460
86,6464
87,6469
88,6529
89,6532
90,6536
91,6554
92,6644
93,6680
94,6713
95,6784
96,7170
97,7217
98,7223
99,7434
100,7442
101,8712
102,16071
103,2137
104,16830
105,17103
106,2916
107,5373
108,5603
109,5944
110,7035
111,7499
112,7530
113,7589
114,7981
115,8249
116,8462
117,8519
118,8570
119,8657
120,9076
121,9083
122,9255
123,9410
124,9721
125,9793
126,9844
127,10002
128,10008
129,10548
130,10557
131,10778
132,10807
133,10823
134,10847
135,10893
136,11040
137,11076
138,11168
139,11652
140,11700
141,11772
142,11983
143,12542
144,12719
145,13253
146,13294
147,13566
148,13727
149,13822
150,13834
151,16477
152,17345
153,12812
154,16719
155,16784
156,17125
157,17229
158,9437
159,13995
160,19956
161,16978
162,17347
163,19712
164,20493
165,5063
166,5098
167,5149
168,6161
169,8583
170,9361
171,9695
172,9882
173,9998
174,10011
175,10614
176,11080
177,12166
178,12259
179,13354
180,13714
181,13898
182,13918
183,13934
184,13949
185,13979
186,14153
187,14171
188,14881
189,15011
190,15122
191,15130
192,15386
193,15444
194,15769
195,16046
196,16427
197,16473
198,16580
199,16698
200,16713
201,17869
202,19418
203,14488
204,19352
205,9397
206,9201
207,9730
208,10428
209,10538
210,10561
211,11732
212,14550
213,14558
214,14567
215,14833
216,14964
217,15301
218,15450
219,16969
220,17293
221,17306
222,17309
223,17382
224,17441
225,17462
226,17477
227,17682
228,17864
229,18249
230,18273
231,18739
232,18869
233,18944
234,20038
235,20044
236,21905
237,4652
238,4698
239,4810
240,5124
241,5215
242,5668
243,6112
244,6494
245,6497
246,6989
247,6994
248,7229
249,7457
250,7461
251,9976
252,12126
253,18175
254,11362
255,12209
256,12598
257,12630
258,13031
259,14861
260,16578
261,16773
262,16848
263,18081
264,18435
265,18606
266,18658
267,18719
268,19053
269,19316
270,19425
271,19688
272,19692
273,7486
274,7579
275,8792
276,8982
277,9014
278,9022
279,9026
280,9379
281,9540
282,9776
283,9800
284,9848
285,9864
286,9918
287,9971
288,10037
289,10204
290,10404
291,10406
292,10523
293,10590
294,10738
295,10839
296,10886
297,10903
298,10944
299,10968
300,11027
301,14997
302,19399
303,14008
304,14989
305,15996
306,16006
307,16013
308,16022
309,16025
310,16200
311,16337
312,16368
313,16373
314,16875
315,17801
316,18744
317,18792
318,18805
319,18834
320,18908
321,19680
322,19774
323,19971
324,11687
325,12104
326,12183
327,12286
328,12299
329,12483
330,12494
331,12836
332,13380
333,13442
334,13445
335,13692
336,13815
337,13855
338,13867
339,13914
340,13925
341,14145
342,14200
343,14215
344,14250
345,14410
346,14508
347,14513
348,14526
349,14709
350,14797
351,15084
352,18980
353,19297
354,14310
355,14320
356,15516
357,19180
358,19191
359,19330
360,13650
361,14717
362,14828
363,14945
364,15019
365,15034
366,15073
367,15095
368,15168
369,15306
370,15347
371,15520
372,15564
373,15714
374,15865
375,15878
376,15968
377,16090
378,16186
379,16306
380,16312
381,16599
382,16729
383,16735
384,16841
385,17002
386,17219
387,17235
388,17483
389,17598
390,17640
391,17826
392,17852
393,17882
394,17913
395,18021
396,18038
397,18041
398,18266
399,18328
400,18420
401,764
402,2371
403,3699
404,3856
405,298
406,772
407,1603
408,1609
409,2275
410,2296
411,2474
412,2519
413,2710
414,3061
415,3167
416,954
417,822
418,4519
419,796
420,834
421,1944
422,2015
423,2040
424,2282
425,2307
426,2495
427,2312
428,2376
429,2380
430,2443
431,19248
432,17795
433,2487
434,2652
435,18901
436,3735
437,16930
438,2690
439,2766
440,17136
441,3921
442,17301
443,17409
444,17438
445,17496
446,19647
447,18258
448,18297
449,12732
450,10290
451,12862
452,18560
453,18713
454,18796
455,18812
456,18948
457,2837
458,18966
459,2861
460,2966
461,19696
462,18992
463,3018
464,3111
465,3158
466,19074
467,3203
468,19043
469,3214
470,19114
471,17521
472,19124
473,3255
474,19149
475,3287
476,4311
477,19188
478,19219
479,3369
480,3399
481,3757
482,19439
483,19472
484,3529
485,3613
486,5128
487,3690
488,3693
489,3709
490,3782
491,4979
492,3848
493,10817
494,11296
495,6819
496,11665
497,7660
498,7798
499,7813
500,7955
501,12324
502,15662
503,15747
504,13143
505,8185
506,14722
507,13371
508,8403
509,8585
510,8618
511,15511
512,8715
513,13910
514,13922
515,8748
516,7878
517,8859
518,2842
519,2899
520,8968
521,3383
522,8984
523,14495
524,3198
525,9080
526,3225
527,9143
528,19546
529,14546
530,19549
531,5546
532,19800
533,3872
534,19808
535,14652
536,19942
537,19871
538,3935
539,14667
540,3942
541,19750
542,4018
543,4026
544,4064
545,4084
546,1117
547,883
548,904
549,912
550,14735
551,549
552,14850
553,162
554,220
555,14974
556,715
557,265
558,4109
559,15040
560,15048
561,20810
562,15054
563,928
564,7491
565,15104
566,15368
567,976
568,3251
569,15316
570,3441
571,12199
572,15458
573,3448
574,9802
575,9226
576,123
577,20701
578,15533
579,10237
580,15542
581,2217
582,15698
583,1012
584,1045
585,7081
586,4332
587,4236
588,15705
589,7086
590,12215
591,15287
592,15729
593,3635
594,6826
595,4255
596,6668
597,12318
598,15737
599,3667
600,13181
601,16117
602,2047
603,15801
604,18510
605,6072
606,12094
607,2594
608,6174
609,7291
610,21005
611,12606
612,18533
613,11832
614,12418
615,3124
616,4898
617,7301
618,11853
619,12562
620,15934
621,4209
622,4272
623,6274
624,1084
625,3581
626,7402
627,12591
628,15974
629,1151
630,3790
631,7793
632,11962
633,14606
634,4138
635,6520
636,8778
637,14677
638,4186
639,7315
640,11965
641,13191
642,15937
643,4342
644,6547
645,12694
646,2931
647,4369
648,1163
649,4392
650,7348
651,12400
652,16260
653,4398
654,6693
655,12751
656,14706
657,4596
658,6731
659,7554
660,12828
661,16484
662,6736
663,12856
664,14627
665,4986
666,12582
667,4871
668,5152
669,4915
670,6846
671,7751
672,303
673,4968
674,6849
675,14758
676,12458
677,16266
678,6862
679,6865
680,14773
681,1464
682,6877
683,14820
684,314
685,1325
686,6903
687,1375
688,6940
689,7687
690,811
691,631
692,6965
693,7775
694,14824
695,7106
696,1669
697,10793
698,7119
699,7960
700,10868
701,13160
702,1557
703,11176
704,12920
705,1561
706,16381
707,12932
708,11194
709,14939
710,12938
711,13164
712,14579
713,347
714,7094
715,14950
716,12634
717,428
718,15360
719,11213
720,1582
721,20694
722,16622
723,11281
724,5002
725,7139
726,16304
727,5320
728,21443
729,17613
730,18820
731,2771
732,21456
733,17784
734,2603
735,20476
736,15101
737,17811
738,519
739,2645
740,1018
741,2734
742,12944
743,16379
744,3129
745,20516
746,8003
747,2152
748,8024
749,11290
750,13016
