rank,node_id
1,15472
2,11732
3,12115
4,12128
5,12276
6,12732
7,2519
8,3856
9,4634
10,6554
11,6617
12,7241
13,7343
14,8000
15,8665
16,9471
17,10008
18,10025
19,10575
20,11253
21,11817
22,12762
23,14491
24,15022
25,15872
26,17122
27,18236
28,18249
29,3208
30,4720
31,6112
32,8285
33,11553
34,11615
35,11744
36,16694
37,4413
38,5865
39,7506
40,11118
41,17977
42,405
43,435
44,628
45,842
46,843
47,995
48,1023
49,1809
50,1918
51,5688
52,8171
53,18380
54,18533
55,19254
56,2642
57,13363
58,18682
59,14284
60,19065
61,1258
62,1261
63,2099
64,2785
65,2916
66,3327
67,3664
68,3765
69,4165
70,4214
71,4243
72,4252
73,4311
74,4460
75,4518
76,4831
77,4835
78,4850
79,5024
80,5212
81,5320
82,5423
83,5507
84,5603
85,5944
86,5984
87,6456
88,6460
89,6464
90,6469
91,6529
92,6532
93,6536
94,6784
95,6802
96,7386
97,7402
98,7499
99,7522
100,7530
101,13918
102,15243
103,15668
104,16071
105,9192
106,5495
107,9397
108,14263
109,15107
110,2178
111,4846
112,6161
113,6194
114,6713
115,7572
116,8243
117,8570
118,8573
119,9152
120,9155
121,9255
122,9390
123,9410
124,9417
125,9674
126,9721
127,9730
128,10614
129,10847
130,10963
131,10988
132,10992
133,11080
134,11539
135,11700
136,12259
137,12468
138,12606
139,13031
140,13191
141,13253
142,13276
143,13294
144,13727
145,14008
146,14153
147,14171
148,14330
149,14362
150,14550
151,16006
152,18439
153,11772
154,14597
155,3441
156,5163
157,5373
158,8650
159,9076
160,9313
161,9793
162,10807
163,11076
164,11168
165,11278
166,12719
167,12812
168,13714
169,13934
170,13949
171,14881
172,14997
173,15265
174,15386
175,15577
176,15996
177,16160
178,16412
179,16427
180,16866
181,17293
182,17382
183,17466
184,17477
185,18435
186,18606
187,18617
188,18658
189,18732
190,18739
191,19053
192,19316
193,19688
194,19692
195,19774
196,20701
197,478
198,484
199,954
200,969
201,16969
202,17496
203,9864
204,17125
205,12209
206,9107
207,9361
208,10778
209,10789
210,11757
211,11857
212,11899
213,11926
214,14845
215,16573
216,16713
217,16766
218,16773
219,16966
220,17306
221,17309
222,17788
223,17801
224,17869
225,18081
226,19414
227,19418
228,19425
229,19435
230,19971
231,21210
232,21214
233,21905
234,4218
235,4222
236,4652
237,4698
238,5005
239,5006
240,5055
241,5223
242,5555
243,5647
244,6494
245,6497
246,6808
247,6914
248,7229
249,7247
250,7286
251,19680
252,17103
253,19399
254,12612
255,14518
256,14567
257,16525
258,16848
259,17682
260,18719
261,4667
262,4725
263,4783
264,4794
265,7579
266,8482
267,8539
268,8687
269,8792
270,8798
271,8896
272,8982
273,9022
274,9026
275,9032
276,9702
277,9776
278,9800
279,10002
280,10523
281,11027
282,11120
283,11755
284,11906
285,11983
286,12104
287,12299
288,12330
289,12342
290,12368
291,12556
292,12643
293,12646
294,12678
295,12688
296,12701
297,12836
298,12843
299,12862
300,12924
301,17472
302,12166
303,13898
304,14854
305,14964
306,15011
307,16578
308,16599
309,16875
310,17051
311,17229
312,17235
313,17273
314,17277
315,17550
316,17660
317,18062
318,18744
319,18792
320,18834
321,18908
322,21011
323,21998
324,7538
325,7707
326,12384
327,12412
328,12441
329,12473
330,12570
331,12713
332,13370
333,13409
334,13442
335,13867
336,13886
337,13943
338,13995
339,14005
340,14038
341,14039
