City,Attack_Metric,Critical_q,Total_Removed,Q_bc,Fatal_Nodes_Array
Chengdu,CI_Radius2,0.61,11163,0.0088,"[35984, 36014, 36017, 36033, 36059, 36094, 36165, 36233, 36242, 36263, 36317, 36400, 36411, 36466, 36609, 36683, 36718, 36773, 36802, 36888, 36911, 37088, 37164, 37324, 37508, 37557, 37602, 37907, 38037, 38040, 38073, 38169, 38171, 38257, 38291, 38303, 38311, 38324, 38326, 38371, 38397, 38413, 38423, 38517, 38525, 38540, 38551, 38642, 38718, 38860, 39022, 39027, 39035, 39052, 39086, 39117, 39161, 39176, 39187, 39188, 39317, 39323, 39328, 39425, 39485, 39505, 39531, 39565, 39609, 39761, 39775, 39781, 40095, 40179, 40429, 40617, 40648, 40989, 40995, 41030, 41048, 41122, 41127, 41131, 41207, 41258, 41264, 41367, 41445, 41549, 41582, 41697, 41736, 41740, 41763, 41791, 41905, 41937, 42024, 42106, 42142, 42172, 42431, 42546, 42583, 42660, 42673, 42706, 42715, 43015, 43031, 43039, 43267, 43480, 43782, 43795, 43800, 43832, 44056, 44090, 44128, 44152, 44291, 44444, 44805, 44925, 44964, 45209, 45649, 45684, 45723, 45803, 45957, 46187, 46242, 46426, 46531, 47700, 47719, 47726, 47742, 47865, 47870, 48215, 48697, 48854, 49354, 49593, 49630, 51132, 51137, 51184, 51213, 51221, 51229, 51237, 51333, 51385, 51395, 51401, 51404, 51413, 786, 1153, 1194, 5977, 7557, 8906, 10146, 10834, 10872, 12069, 13584, 13653, 14506, 14941, 19141, 19595, 20091, 20372, 20827, 21185, 21272]"
Chengdu,CI_Radius2,0.61,11163,0.0088,"[35984, 36014, 36017, 36033, 36059, 36094, 36165, 36233, 36242, 36263, 36317, 36400, 36411, 36466, 36609, 36683, 36718, 36773, 36802, 36888, 36911, 37088, 37164, 37324, 37508, 37557, 37602, 37907, 38037, 38040, 38073, 38169, 38171, 38257, 38291, 38303, 38311, 38324, 38326, 38371, 38397, 38413, 38423, 38517, 38525, 38540, 38551, 38642, 38718, 38860, 39022, 39027, 39035, 39052, 39086, 39117, 39161, 39176, 39187, 39188, 39317, 39323, 39328, 39425, 39485, 39505, 39531, 39565, 39609, 39761, 39775, 39781, 40095, 40179, 40429, 40617, 40648, 40989, 40995, 41030, 41048, 41122, 41127, 41131, 41207, 41258, 41264, 41367, 41445, 41549, 41582, 41697, 41736, 41740, 41763, 41791, 41905, 41937, 42024, 42106, 42142, 42172, 42431, 42546, 42583, 42660, 42673, 42706, 42715, 43015, 43031, 43039, 43267, 43480, 43782, 43795, 43800, 43832, 44056, 44090, 44128, 44152, 44291, 44444, 44805, 44925, 44964, 45209, 45649, 45684, 45723, 45803, 45957, 46187, 46242, 46426, 46531, 47700, 47719, 47726, 47742, 47865, 47870, 48215, 48697, 48854, 49354, 49593, 49630, 51132, 51137, 51184, 51213, 51221, 51229, 51237, 51333, 51385, 51395, 51401, 51404, 51413, 786, 1153, 1194, 5977, 7557, 8906, 10146, 10834, 10872, 12069, 13584, 13653, 14506, 14941, 19141, 19595, 20091, 20372, 20827, 21185, 21272]"
Chengdu,CoreHD,0.19,3477,0.0095,"[44363, 44345, 43906, 43861, 43922, 43858, 43471, 43434, 43509, 43497, 43275, 43595, 43544, 43565, 43543, 43585, 43527, 43504, 43121, 42941, 42930, 42831, 42820, 42523, 42515, 42314, 51187, 42313, 51213, 42316, 51226, 51221, 42342, 42320, 42231, 42229, 42226, 42215, 42117, 42106, 41604, 41603, 41607, 41211, 41512, 41207, 40565, 40468, 40395, 40666, 40450, 40367, 40221, 41063, 41759, 40951, 39727, 39701, 39735, 39670, 39704, 39619, 39616, 39597, 51014, 39546, 39489, 39467, 39496, 39470, 39495, 39332, 50880, 50886, 38808, 38821, 38805, 38581, 38557, 38503, 38471, 37756, 37742, 37708, 38747, 38607, 38592, 37304, 37148, 37264, 37122, 38329, 38089, 37319, 37582, 37149, 37112, 36985, 36528, 36522, 37072, 37116, 37018, 37154, 36712, 36561, 36462, 36466, 36484, 36417, 36320, 36317, 36315, 36303, 36283, 36142, 36116, 36250, 36330, 35897, 35508, 35502, 35489, 35540, 35416, 50555, 35218, 35110, 35042, 35059, 35041, 35060, 35024, 34919, 34870, 34931, 34849, 34844, 36472, 36473, 34466, 34349, 34350, 34308, 35158, 35167, 35157, 35168, 34594, 34589, 34234, 49468, 34176, 34256, 34238, 34163, 34449, 34371, 34202, 33802, 33800, 33808, 33796, 33780, 33752, 33164, 33194, 33141, 33070, 33008, 32851, 32825, 32677, 51622, 32618, 32679, 32607, 32520, 32246, 32228, 31148, 31115, 31010]"
Dalian,CI_Radius2,0.46,6258,0.0059,"[11557, 11578, 11668, 11806, 11835, 11904, 12031, 12149, 12319, 12402, 12439, 12535, 12545, 12603, 12769, 12824, 12853, 13059, 13093, 13119, 13248, 13255, 13335, 13432, 13437, 13438, 13440, 13514, 13537, 13543, 13651, 13693, 13737, 13762, 13858, 13864, 13938, 13988, 14028, 14039, 14065, 14073, 14081, 14109, 14111, 14140, 14151, 14443, 14529, 14614, 14857, 15208, 15256, 15300, 15334, 15395, 15404, 15408, 15433, 15508, 15512, 15545, 15584, 15599, 15632, 15694, 15772, 15846, 15896, 15998, 16055, 16106, 16185, 16227, 16315, 16331, 16412, 16435, 16546, 16579, 16707, 16717, 16751, 16791, 16812, 16816, 16831, 16885, 16979, 16985, 16992, 16996, 17000, 17139, 17154, 17186, 17210, 17243, 17368, 17385, 17412, 17716, 17830, 17904, 18186, 18454, 18826, 18881, 19080, 19136, 19614, 19649, 19657, 19666, 19762, 19851, 20005, 20062, 20093, 20173, 20209, 20211, 20240, 20373, 20409, 20430, 20506, 20530, 20699, 20713, 20876, 20895, 20968, 21016, 21035, 21100]"
Dalian,CoreHD,0.20,2721,0.0072,"[2993, 2966, 2940, 2886, 2953, 2904, 2973, 2874, 2535, 2529, 2511, 2474, 2453, 2427, 2421, 2141, 2126, 2124, 1944, 1927, 2020, 1923, 1836, 1798, 1866, 1856, 1762, 1639, 1626, 1620, 1608, 1574, 1573, 1578, 1571, 1575, 1572, 1599, 1567, 1014, 856, 931, 839, 921, 861, 830, 836, 779, 940, 887, 824, 823, 721, 722, 688, 677, 674, 20047, 20048, 12960, 12959, 33856, 33909, 33851, 33881, 33875, 33845, 33869, 33840, 33832, 33572, 33569, 33609, 33583, 6470, 33236, 33046, 33042, 33234, 33225, 33140, 33205, 33197, 33296, 33137, 33192, 33172, 33003, 33153, 33073, 33144, 33148, 33160, 33111, 33113, 32931, 32813, 32856, 32885, 32886, 32941, 32942, 32951, 32996, 32985, 32973, 32802, 32977, 32774, 32965, 32834, 32897, 32792, 32880, 32794, 33084, 33077, 33076, 33075, 33072, 33068, 33056, 33055, 33060, 33057, 33058, 33015, 33016, 32959, 32882, 32875, 32839, 32934, 32761, 32928, 32776, 32920]"
Dongguan,CI_Radius2,0.56,4656,0.0100,"[1225, 1275, 1286, 1305, 1357, 1453, 1500, 1507, 1526, 1984, 2127, 2181, 2188, 2195, 2223, 2345, 2515, 2589, 2611, 2804, 2957, 3057, 3171, 3183, 3224, 3241, 3346, 3373, 3427, 3631, 3871, 3991, 4091, 4124, 4130, 4170, 4351, 4563, 4575, 4587, 4661, 4749, 4750, 5209, 5243, 5354, 5458, 5594, 5668, 5826, 5923, 5935, 5970, 6108, 6180, 6363, 6420, 6444, 6478, 6545, 6946, 6984, 7003, 7072, 7356, 7457, 7538, 7622, 7707, 7726, 7769, 7910, 7912, 7937, 7943, 8120, 8215, 8257, 8302, 8352, 8440, 8611, 8642]"
Dongguan,CoreHD,0.46,3824,0.0078,"[8762, 8878, 8771, 9089, 9046, 8951, 8937, 8931, 8842, 8814, 8821, 8956, 8890, 8741, 8699, 8704, 8708, 9018, 8720, 8727, 8846, 8585, 8800, 8731, 8661, 8648, 9074, 8639, 8597, 9375, 8671, 8634, 8657, 8658, 8481, 8482, 8611, 8471, 8622, 8472, 8743, 8724, 8600, 8759, 8637, 8697, 8381, 8614, 8249, 8910, 8613, 8247, 8781, 8687, 8539, 8557, 8712, 8562, 8558, 8549, 8535, 8530, 8494, 8592, 8527, 8513, 8534, 8526, 8508, 8010, 8011, 8178, 8378, 8278, 8346, 8395, 8337, 8396, 8257, 8348, 8168, 8171, 8399]"
Harbin,CI_Radius2,0.57,6114,0.0032,"[86, 89, 99, 236, 284, 314, 502, 826, 920, 931, 1012, 1020, 1024, 1178, 1283, 1343, 1373, 1574, 1601, 1677, 1758, 1772, 1809, 1890, 1976, 2249, 2254, 2256, 2260, 2435, 2565, 2607, 2659, 2713, 2855, 2858, 2869, 2879, 2959, 3002, 3024, 3206, 3232, 3243, 3292, 3354, 3410, 3414, 3567, 3580, 3660, 3832, 3959, 3971, 4039, 4722, 4723, 4737, 4753, 4756, 4764, 4787, 4837, 4849, 4852, 5021, 5048, 5077, 5078, 5260, 5354, 5398, 5435, 5559, 5662, 5684, 5706, 5998, 6021, 6110, 6234, 6284, 6298, 6314, 6330, 6405, 6443, 6532, 6584, 6627, 6693, 6826, 6894, 7292, 7329, 7339, 7494, 7570, 7606, 7660, 7707, 7770, 7798, 7819, 8154, 8292, 8329]"
Harbin,CoreHD,0.47,5041,0.0076,"[11112, 11035, 11092, 11160, 11084, 11148, 11075, 11070, 10997, 10963, 10923, 9841, 9834, 11106, 11030, 11026, 10863, 10762, 10747, 10741, 11040, 10580, 10873, 10461, 10801, 10465, 10680, 10499, 11648, 11612, 10782, 10732, 10551, 10531, 10633, 28598, 28576, 28544, 28532, 28528, 11043, 8464, 11227, 8465, 11429, 8863, 28557, 11554, 11540, 10103, 11314, 10101, 11234, 10053, 11080, 10485, 10845, 10623, 10788, 10688, 10664, 10912, 10898, 10718, 10620, 10947, 10843, 10952, 10769, 10594, 10968, 10876, 10454, 10838, 10832, 10708, 9817, 11413, 9845, 10699, 10657, 10645, 10606, 11052, 10934, 10775, 10497, 10526, 11615, 9915, 9906, 10160, 10252, 10724, 10336, 10602, 10404, 10534, 10474, 10570, 10456, 10548, 10514, 10555, 10467, 10463, 10417]"
Qingdao,CI_Radius2,0.64,8892,0.0087,"[37439, 37674, 37813, 38089, 38094, 38097, 38102, 38242, 38260, 38263, 38266, 38468, 38474, 38540, 454, 1772, 2236, 2303, 3607, 4107, 5425, 7393, 9368, 9520, 10843, 11652, 13734, 15372, 16432, 16514, 16515, 16630, 16775, 17621, 17638, 18072, 18116, 19133, 19140, 19152, 19184, 20594, 20913, 21316, 21486, 21590, 22016, 22701, 22751, 22780, 23408, 23916, 24462, 24725, 24731, 25603, 26260, 26929, 27686, 31406, 32017, 32193, 32202, 33428, 34215, 35747, 36382, 36577, 36740, 36755, 36991, 37007, 37010, 37012, 37123, 37125, 37132, 37136, 37644, 37655, 37677, 85, 252, 281, 301, 965, 1063, 1781, 2082, 2139, 2269, 2471, 2672, 2750, 2845, 2850, 3120, 3265, 3385, 3487, 3577, 3601, 3657, 3735, 3845, 3989, 4258, 4296, 4318, 4455, 4457, 4705, 4741, 4818, 4819, 4866, 4881, 5110, 5208, 6022, 6437, 6461, 6752, 6857, 7139, 7719, 7742, 8766, 8900, 8939, 9005, 9392, 9467, 9614, 9874, 9915, 10515, 10725, 10752]"
