City,Attack_Metric,Critical_q,Total_Removed,P_q,Fatal_Nodes_Array
Chengdu,Degree,0.63,11529,0.0099,"[40675, 40684, 40690, 40700, 40709, 40719, 40722, 40729, 40730, 40737, 40744, 40745, 40747, 40750, 40762, 40767, 40770, 40778, 40790, 40793, 40803, 40807, 40812, 40819, 40833, 40845, 40850, 40853, 40861, 40865, 40880, 40889, 40897, 40914, 40921, 40929, 40931, 40933, 40935, 40951, 40954, 40955, 40961, 40966, 40974, 40981, 40988, 40989, 40992, 40995, 40997, 41002, 41006, 41015, 41021, 41024, 41030, 41031, 41035, 41042, 41044, 41046, 41048, 41058, 41072, 41075, 41086, 41089, 41108, 41109, 41120, 41122, 41127, 41131, 41142, 41146, 41150, 41151, 41153, 41161, 41164, 41174, 41177, 41179, 41181, 41184, 41186, 41193, 41196, 41201, 41204, 41207, 41214, 41216, 41219, 41235, 41237, 41247, 41251, 41254, 41258, 41264, 41268, 41270, 41277, 41281, 41286, 41288, 41295, 41303, 41308, 41313, 41322, 41324, 41327, 41332, 41335, 41342, 41349, 41351, 41354, 41358, 41360, 41364, 41367, 41371, 41380, 41389, 41394, 41398, 41402, 41416, 41424, 41428, 41429, 41430, 41434, 41443, 41445, 41449, 41452, 41455, 41458, 41463, 41467, 41470, 41474, 41483, 41491, 41495, 41497, 41502, 41504, 41519, 41532, 41541, 41543, 41545, 41547, 41549, 41552, 41556, 41558, 41562, 41569, 41571, 41574, 41578, 41582, 41584, 41597, 41599, 41603, 41606, 41614, 41629, 41641, 41650, 41653, 41656, 41671, 41676, 41681]"
Chengdu,Betweenness,0.36,6588,0.0089,"[33318, 32082, 42820, 38006, 4242, 36763, 7819, 38236, 26589, 41722, 36421, 45831, 14199, 41547, 23205, 20842, 34080, 28642, 24991, 38592, 16905, 2340, 14684, 21725, 21981, 8837, 29949, 1562, 24098, 3151, 5093, 33235, 32412, 11330, 41205, 43640, 3928, 42522, 18870, 43138, 26053, 25140, 48231, 40395, 42404, 24339, 12601, 36891, 26124, 15135, 29440, 40462, 11519, 5301, 32847, 12222, 33577, 44237, 42397, 1772, 29002, 30506, 45099, 41075, 12247, 728, 44941, 32712, 17139, 39899, 42794, 6592, 28709, 33996, 43913, 12420, 17653, 38823, 39399, 42037, 45223, 30902, 40759, 11208, 22747, 18315, 37359, 31324, 32338, 35373, 10877, 38909, 48008, 15647, 49763, 51407, 15604, 40406, 6641, 17084, 4084, 41934, 5725, 2629, 4734, 18765, 23468, 11840, 2806, 28739, 25278, 46161, 16946, 15806, 28705, 33960, 1040, 1057, 32990, 25469, 14519, 25686, 24634, 26180, 29570, 10358, 37915, 17900, 39038, 1998, 36540, 42992, 22149, 37773, 42800, 30263, 30001, 39143, 20372, 227, 28166, 1131, 945, 507, 1720, 5075, 13056, 870, 506, 27433, 9668, 45612, 17390, 30689, 4967, 8884, 12383, 18178, 18799, 21144, 42949, 13357, 19403, 33338, 34751, 36173, 43180, 24920, 7323, 27103, 38863, 36731, 45075, 39459, 43656, 22559, 6933, 12089, 33005, 9457, 49279, 34370, 20144]"
Chengdu,Closeness,0.90,16470,0.0089,"[40657, 13641, 30104, 35123, 25991, 30485, 41939, 14411, 21836, 32381, 19088, 44375, 14803, 26062, 20160, 49728, 10600, 26246, 10501, 8101, 18931, 32764, 34326, 8984, 44759, 22222, 29910, 16905, 5916, 33321, 33295, 11755, 12582, 35577, 36208, 41367, 15697, 27396, 37568, 5753, 24705, 24804, 39192, 24753, 25891, 23555, 8219, 32009, 19480, 26800, 9505, 42849, 12891, 24186, 25584, 28390, 35158, 20897, 20714, 29128, 20835, 21094, 42920, 40684, 26275, 44279, 26787, 17840, 26273, 10845, 48507, 39524, 11868, 32906, 17604, 24896, 23727, 17394, 24936, 44684, 26498, 21158, 35461, 36194, 24520, 10260, 10443, 15864, 8455, 25629, 20084, 33032, 35536, 43314, 23111, 41031, 33261, 39800, 37531, 43618, 37518, 24530, 39739, 49623, 28027, 26387, 39944, 25670, 9567, 40395, 30255, 43588, 24638, 39630, 30742, 25890, 9040, 42631, 48111, 38116, 35168, 36653, 23407, 3569, 19295, 27965, 19622, 40208, 38094, 28541, 3766, 6347, 5365, 40620, 48222, 38135, 39502, 47971, 38467, 39230, 12453, 8452, 29655, 40730, 17873, 19609, 5452, 38989, 35739, 7676, 23611, 40047, 44356, 7836, 44673, 27752, 32835, 40183, 21901, 23131, 26140, 30187, 36810, 25686, 32036, 39878, 28917, 11553, 23442, 40367, 29144, 7629, 39088, 18870, 22884, 19606, 26285, 10479, 7904, 44363, 12950, 29462, 7084]"
Dalian,Degree,0.60,8163,0.0096,"[30440, 30446, 30448, 30456, 30459, 30463, 30475, 30478, 30482, 30487, 30499, 30501, 30503, 30507, 30510, 30519, 30525, 30528, 30531, 30534, 30536, 30537, 30541, 30552, 30554, 30559, 30563, 30564, 30566, 30568, 30574, 30577, 30585, 30588, 30594, 30598, 30609, 30619, 30624, 30626, 30630, 30636, 30638, 30640, 30643, 30648, 30661, 30669, 30672, 30674, 30681, 30686, 30695, 30721, 30724, 30728, 30729, 30733, 30742, 30744, 30752, 30755, 30758, 30760, 30766, 30769, 30773, 30777, 30780, 30782, 30789, 30792, 30803, 30807, 30809, 30813, 30818, 30820, 30823, 30830, 30841, 30846, 30849, 30854, 30855, 30868, 30872, 30873, 30876, 30877, 30880, 30883, 30886, 30887, 30889, 30897, 30901, 30907, 30910, 30912, 30914, 30920, 30924, 30934, 30941, 30944, 30947, 30950, 30952, 30955, 30964, 30968, 30974, 30976, 30979, 30983, 30986, 30990, 30995, 30999, 31003, 31009, 31015, 31017, 31019, 31023, 31031, 31033, 31042, 31044, 31047, 31049, 31060, 31069, 31082, 31083, 31104]"
Dalian,Betweenness,0.31,4217,0.0079,"[10560, 26681, 33761, 3937, 33124, 13165, 7999, 34824, 7003, 16606, 16740, 13802, 13358, 5174, 32364, 6755, 20005, 17917, 19748, 12478, 8809, 30960, 6560, 30995, 31480, 32270, 26330, 27778, 22322, 9161, 20904, 19845, 25363, 21551, 8785, 13469, 970, 22128, 8616, 15606, 26106, 6652, 8941, 19246, 23648, 29153, 8211, 9416, 23643, 8094, 22265, 17119, 11892, 22771, 23074, 17789, 26241, 12032, 22502, 7665, 12235, 166, 7855, 29722, 15591, 5453, 24656, 22899, 3048, 9787, 19916, 24101, 13125, 22537, 22318, 22341, 6492, 232, 531, 20310, 30833, 11351, 1326, 27292, 21543, 4822, 9648, 23117, 19250, 23329, 21625, 27988, 3000, 33364, 28776, 12408, 393, 32934, 25181, 3617, 12106, 17466, 1903, 13343, 33103, 33370, 19928, 28061, 23626, 17469, 355, 24190, 17484, 28332, 810, 14047, 3523, 32116, 29180, 23146, 24619, 24247, 26988, 27136, 30351, 2498, 23128, 639, 22510, 31626, 12494, 13861, 29342, 2957, 30568, 21658]"
Dalian,Closeness,0.93,12652,0.0093,"[8923, 15100, 22889, 6121, 10147, 11536, 682, 31230, 9136, 15047, 8917, 614, 32983, 15891, 15372, 31246, 1153, 7715, 7051, 8420, 32868, 9952, 29040, 12664, 24427, 13164, 27383, 3398, 29142, 28908, 33046, 6596, 6576, 6593, 10334, 19623, 26966, 6976, 33127, 33665, 3895, 3898, 28860, 31158, 33292, 33212, 24702, 33126, 26617, 33276, 33314, 33172, 5514, 4495, 4838, 27544, 3088, 24080, 5465, 27662, 29098, 28400, 28277, 10221, 5503, 27534, 32644, 27268, 19784, 27975, 27120, 3115, 27327, 35546, 4519, 27777, 27764, 27780, 27048, 18170, 26918, 27768, 27594, 27760, 8170, 26967, 27596, 3952, 27582, 3238, 16820, 15124, 27562, 27447, 26634, 6993, 29739, 27537, 27550, 5425, 26957, 10825, 22908, 30025, 30189, 10872, 6880, 31152, 32743, 4548, 27784, 27745, 6901, 23341, 29980, 10918, 950, 29974, 10724, 455, 445, 429, 29758, 15097, 20357, 26134, 27769, 566, 531, 7563, 452, 1695, 30375, 1688, 319, 16732]"
Dongguan,Degree,0.63,5238,0.0026,"[19651, 19654, 19658, 19661, 19671, 19674, 19676, 19683, 19696, 19699, 19702, 19708, 19714, 19718, 19725, 19729, 19731, 19735, 19740, 19743, 19746, 19750, 19753, 19758, 19762, 19764, 19769, 19776, 19782, 19787, 19789, 19792, 19796, 19812, 19819, 19830, 19843, 19857, 19859, 19861, 19866, 19875, 19877, 19884, 19886, 19887, 19892, 19898, 19905, 19908, 19910, 19912, 19915, 19918, 19919, 19923, 19929, 19933, 19937, 19942, 19943, 19949, 19956, 19961, 19964, 19965, 19978, 19981, 19986, 19999, 20003, 20005, 20010, 20026, 20029, 20054, 20057, 20075, 20081, 20084, 20085, 20086, 20187]"
Dongguan,Betweenness,0.72,5986,0.0078,"[4182, 20033, 16493, 11988, 17235, 16146, 22123, 3183, 3667, 16179, 14788, 15848, 8229, 2194, 10931, 4048, 20004, 15504, 1250, 14210, 19651, 11774, 14764, 6439, 6730, 6581, 14480, 20084, 17617, 8645, 5464, 15366, 19637, 13151, 13049, 4607, 16551, 14180, 10370, 10318, 1243, 19029, 12038, 8407, 4091, 8449, 2270, 5790, 7456, 18148, 3280, 10360, 12477, 19945, 6898, 8807, 16310, 15353, 8530, 19624, 6924, 21860, 14314, 16677, 14771, 13798, 13112, 10050, 16309, 12528, 4249, 5970, 3231, 1003, 1027, 16893, 814, 8031, 4799, 15162, 19219, 19095, 6281]"
Dongguan,Closeness,0.95,7899,0.0084,"[588, 496, 485, 519, 567, 93, 118, 254, 17848, 156, 25, 1629, 1671, 1547, 1680, 1709, 1697, 1786, 1768, 15386, 1900, 662, 631, 584, 484, 435, 490, 518, 563, 114, 16166, 87, 122, 120, 246, 146, 292, 26, 1623, 1546, 1548, 15881, 1701, 1739, 1777, 1774, 1801, 1913, 622, 653, 583, 478, 16055, 405, 434, 445, 508, 532, 555, 162, 102, 83, 90, 10762, 10506, 136, 138, 232, 148, 1624, 1538, 1699, 1794, 1761, 1779, 10686, 1977, 1969, 615, 642, 347, 404, 472]"
Harbin,Degree,0.66,7079,0.0027,"[26824, 26832, 26840, 26844, 26852, 26860, 26862, 26867, 26870, 26873, 26878, 26882, 26887, 26899, 26904, 26906, 26907, 26909, 26912, 26915, 26928, 26932, 26940, 26950, 26951, 26953, 26958, 26965, 26968, 26971, 26973, 26983, 26991, 26995, 27008, 27011, 27023, 27025, 27028, 27031, 27033, 27035, 27040, 27043, 27050, 27070, 27073, 27076, 27080, 27081, 27088, 27094, 27098, 27106, 27109, 27111, 27114, 27117, 27121, 27124, 27126, 27130, 27135, 27145, 27147, 27154, 27163, 27166, 27169, 27172, 27184, 27188, 27195, 27198, 27199, 27204, 27208, 27210, 27214, 27218, 27220, 27227, 27229, 27238, 27244, 27253, 27258, 27271, 27273, 27277, 27279, 27291, 27299, 27305, 27322, 27327, 27329, 27334, 27340, 27344, 27345, 27348, 27350, 27351, 27356, 27372, 27375]"
