City,Attack_Metric,Critical_q,Total_Removed,Q_bc,Fatal_Nodes_Array
Chengdu,Degree,0.62,11346,0.0089,"[39349, 39361, 39368, 39371, 39378, 39379, 39385, 39389, 39394, 39395, 39399, 39401, 39412, 39415, 39420, 39423, 39425, 39432, 39436, 39441, 39445, 39455, 39467, 39472, 39475, 39479, 39484, 39485, 39505, 39513, 39531, 39536, 39546, 39547, 39565, 39569, 39573, 39575, 39578, 39579, 39584, 39585, 39594, 39596, 39597, 39606, 39609, 39616, 39625, 39667, 39670, 39701, 39704, 39714, 39719, 39721, 39727, 39729, 39735, 39739, 39749, 39754, 39761, 39766, 39771, 39775, 39781, 39786, 39800, 39814, 39818, 39820, 39826, 39829, 39831, 39848, 39870, 39872, 39875, 39882, 39898, 39899, 39909, 39913, 39918, 39922, 39926, 39929, 39937, 39944, 39946, 39956, 39958, 39961, 39969, 39975, 39985, 39987, 39992, 39995, 40000, 40009, 40025, 40027, 40037, 40041, 40047, 40049, 40059, 40061, 40068, 40072, 40077, 40095, 40111, 40122, 40123, 40127, 40133, 40140, 40149, 40171, 40174, 40177, 40179, 40183, 40193, 40195, 40198, 40205, 40216, 40219, 40221, 40226, 40230, 40233, 40240, 40242, 40265, 40273, 40277, 40282, 40290, 40295, 40303, 40310, 40357, 40367, 40384, 40411, 40423, 40426, 40429, 40435, 40446, 40468, 40475, 40485, 40487, 40497, 40512, 40516, 40520, 40522, 40531, 40557, 40565, 40570, 40595, 40601, 40604, 40606, 40617, 40626, 40634, 40641, 40645, 40648, 40649, 40656, 40657, 40661, 40666]"
Chengdu,Betweenness,0.34,6222,0.0086,"[9875, 26105, 32332, 38815, 8114, 17041, 5441, 15981, 19673, 43340, 34518, 11546, 19005, 19587, 28088, 9878, 7159, 50927, 25413, 41483, 40030, 48354, 11609, 49795, 40461, 4882, 39900, 40737, 28783, 47865, 3626, 31293, 4886, 43939, 41502, 5672, 26683, 42590, 42582, 43736, 33581, 4080, 25525, 44724, 438, 42809, 12342, 39667, 16698, 18002, 50032, 2926, 34526, 33622, 28263, 11856, 36233, 782, 20264, 29972, 35168, 1645, 31271, 38910, 34978, 8741, 20199, 14003, 48201, 36481, 34416, 1278, 35530, 16032, 7304, 33273, 24241, 24522, 29921, 520, 1211, 517, 19998, 892, 24159, 50424, 19274, 10373, 11487, 29006, 11568, 17290, 3974, 38234, 48236, 43554, 38622, 44723, 1247, 48358, 40088, 19799, 35330, 12784, 37571, 41019, 6033, 38824, 25263, 27329, 4802, 17604, 4486, 19002, 40198, 20215, 40085, 17933, 39065, 38533, 42597, 12467, 21991, 22733, 18770, 41374, 45883, 2669, 19221, 30412, 34427, 28921, 33831, 36899, 11798, 28001, 2695, 2971, 23308, 19050, 44730, 11942, 27660, 11881, 6678, 22385, 28162, 27262, 3455, 30073, 32805, 39114, 49810, 31892, 26654, 26328, 26675, 47495, 18215, 38922, 12387, 8441, 14441, 42685, 24884, 12643, 7078, 48228, 789, 41153, 48172, 10797, 20521, 36660, 9868, 17126, 40750, 36162, 41584, 22779, 20575, 25005, 21242]"
Chengdu,Closeness,0.86,15738,0.0096,"[15675, 27978, 20949, 40091, 40880, 8193, 12352, 9760, 20753, 27078, 7196, 26643, 21936, 20820, 9059, 27002, 10608, 11501, 37580, 9306, 40002, 12474, 18029, 40981, 32722, 44345, 6704, 16717, 12911, 44347, 33204, 3790, 38140, 18528, 19659, 31243, 15560, 31965, 39979, 21648, 10716, 44337, 39266, 17714, 14429, 35409, 19154, 25815, 37644, 39349, 25990, 47564, 47567, 39547, 44649, 21892, 9738, 47823, 32592, 38041, 19531, 38070, 26243, 39263, 29756, 10929, 25751, 15849, 21725, 39677, 7190, 20845, 9412, 12900, 26468, 33301, 11855, 49216, 48131, 31004, 32040, 10055, 44499, 16623, 7774, 12065, 48242, 12617, 23851, 43458, 43460, 24018, 19875, 11973, 7128, 11781, 36507, 10458, 25546, 15861, 26519, 24154, 34432, 37728, 32582, 51088, 44664, 15651, 24584, 43592, 26213, 13286, 19599, 21548, 48213, 13121, 9167, 48153, 36646, 19633, 40230, 26747, 10840, 37128, 25153, 12500, 16987, 37576, 36848, 5381, 14710, 31952, 35167, 19901, 13066, 30750, 44361, 23389, 43701, 39937, 7799, 37811, 9727, 13038, 12991, 42424, 20174, 8846, 26779, 39408, 11110, 26265, 39558, 11891, 34135, 39946, 36155, 30308, 12005, 10591, 10079, 26948, 32627, 13360, 21242, 43666, 23424, 6712, 21525, 20416, 16357, 25035, 34104, 39758, 31982, 8376, 8255, 8274, 9790, 20605, 40858, 25225, 19065]"
Dalian,Degree,0.58,7890,0.0089,"[28855, 28859, 28888, 28897, 28900, 28904, 28908, 28915, 28938, 28940, 28948, 28950, 28951, 28953, 28958, 28966, 28969, 28976, 29005, 29013, 29017, 29020, 29025, 29028, 29031, 29045, 29049, 29053, 29057, 29059, 29062, 29067, 29079, 29086, 29091, 29095, 29104, 29114, 29118, 29121, 29127, 29131, 29135, 29142, 29143, 29147, 29151, 29164, 29177, 29179, 29182, 29185, 29189, 29193, 29215, 29218, 29224, 29228, 29231, 29248, 29251, 29254, 29256, 29264, 29269, 29272, 29286, 29299, 29301, 29303, 29305, 29310, 29314, 29315, 29325, 29351, 29363, 29367, 29373, 29376, 29384, 29394, 29401, 29410, 29412, 29427, 29432, 29436, 29437, 29442, 29449, 29452, 29460, 29461, 29465, 29470, 29477, 29481, 29489, 29496, 29509, 29512, 29524, 29528, 29529, 29538, 29546, 29547, 29559, 29575, 29579, 29582, 29585, 29592, 29597, 29602, 29605, 29607, 29610, 29612, 29616, 29624, 29632, 29635, 29640, 29651, 29656, 29658, 29663, 29668, 29674, 29693, 29698, 29704, 29712, 29722]"
Dalian,Betweenness,0.29,3945,0.0100,"[4456, 30588, 9451, 7981, 9460, 2476, 14036, 21560, 9287, 27777, 10229, 7177, 17076, 19868, 15943, 1476, 4528, 21572, 11372, 7358, 9523, 24706, 21850, 17456, 25988, 20470, 28296, 23908, 27117, 9871, 31915, 4794, 26213, 9298, 11512, 9927, 20259, 22032, 23499, 18136, 19066, 22451, 3968, 10312, 24631, 5039, 32946, 10599, 15938, 29390, 10516, 30606, 7470, 15658, 21057, 18604, 6884, 379, 27243, 7534, 16120, 8031, 16315, 17631, 11933, 17509, 33098, 25159, 1286, 12083, 23625, 17616, 26425, 19428, 15187, 27019, 24895, 19156, 28328, 18958, 13328, 10657, 28346, 16916, 24157, 948, 30228, 3501, 4812, 13762, 15338, 26652, 1590, 27115, 24245, 27822, 24610, 22622, 2457, 8896, 22321, 29367, 23748, 32655, 24558, 30841, 20224, 23207, 10563, 8294, 5640, 30999, 30273, 12951, 29287, 22507, 3490, 21559, 26214, 5977, 24023, 11058, 5307, 863, 8517, 1984, 34029, 6309, 31630, 29543, 13384, 13593, 8325, 12568, 16209, 23386]"
Dalian,Closeness,0.92,12516,0.0095,"[6334, 10904, 689, 22465, 22762, 27236, 27237, 27301, 27114, 27147, 3519, 7000, 6910, 3247, 26290, 17509, 28369, 2201, 26068, 2376, 2381, 8396, 718, 1983, 936, 833, 20774, 870, 2451, 26683, 3474, 3609, 28170, 28490, 26079, 1368, 1470, 21850, 26078, 26652, 26592, 2449, 7431, 9371, 11189, 26703, 1782, 10911, 21801, 4259, 3955, 31040, 26875, 28520, 16186, 28146, 10305, 11253, 1798, 21817, 1790, 2016, 1894, 3859, 8004, 10439, 6370, 4735, 11072, 11089, 21915, 11183, 11114, 7585, 31796, 11102, 7665, 30636, 6352, 7664, 16173, 14091, 27622, 4513, 16371, 16362, 16375, 16338, 30854, 10616, 11169, 9666, 14950, 632, 28596, 4614, 3480, 4549, 4749, 7219, 31944, 31544, 27455, 23646, 27599, 27514, 27628, 7607, 7782, 33578, 685, 32325, 32718, 10560, 21654, 20040, 20572, 31385, 32655, 32504, 21155, 11411, 21056, 21340, 21312, 10647, 20971, 12725, 33718, 9974, 742, 33003, 31772, 8406, 26762, 14995]"
Dongguan,Degree,0.59,4905,0.0096,"[17809, 17810, 17826, 17827, 17829, 17832, 17833, 17837, 17841, 17843, 17845, 17852, 17862, 17876, 17882, 17883, 17887, 17890, 17891, 17895, 17897, 17900, 17902, 17904, 17905, 17910, 17913, 17916, 17919, 17928, 17936, 17938, 17941, 17944, 17947, 17948, 17950, 17952, 17954, 17958, 17965, 17973, 17984, 17986, 17988, 17990, 18004, 18006, 18010, 18016, 18017, 18021, 18024, 18025, 18030, 18031, 18035, 18038, 18040, 18041, 18047, 18052, 18054, 18058, 18069, 18072, 18076, 18086, 18092, 18093, 18110, 18116, 18120, 18124, 18129, 18133, 18137, 18144, 18148, 18152, 18157, 18159, 18169]"
Dongguan,Betweenness,0.64,5321,0.0098,"[2255, 3026, 3411, 10668, 18656, 7158, 14271, 13128, 14985, 12393, 14850, 19003, 4744, 7306, 928, 14913, 19638, 8815, 8720, 6722, 16959, 9262, 13439, 8146, 9215, 6728, 19934, 8091, 16538, 2217, 1016, 7610, 803, 15276, 9398, 6854, 12735, 18393, 14057, 12450, 13317, 19590, 15983, 15063, 6260, 2694, 1018, 15847, 2920, 7736, 16706, 16059, 12944, 14083, 8432, 12562, 18563, 20005, 13299, 16996, 891, 18621, 1280, 5924, 5926, 2487, 5995, 4954, 13043, 18244, 18159, 15631, 16983, 3782, 17707, 18812, 12749, 13335, 2127, 20054, 12373, 5974, 18288]"
Dongguan,Closeness,0.95,7899,0.0051,"[588, 496, 485, 519, 567, 93, 118, 254, 17848, 156, 25, 1629, 1671, 1547, 1680, 1709, 1697, 1786, 1768, 15386, 1900, 662, 631, 584, 484, 435, 490, 518, 563, 114, 16166, 87, 122, 120, 246, 146, 292, 26, 1623, 1546, 1548, 15881, 1701, 1739, 1777, 1774, 1801, 1913, 622, 653, 583, 478, 16055, 405, 434, 445, 508, 532, 555, 162, 102, 83, 90, 10762, 10506, 136, 138, 232, 148, 1624, 1538, 1699, 1794, 1761, 1779, 10686, 1977, 1969, 615, 642, 347, 404, 472]"
Harbin,Degree,0.63,6758,0.0096,"[24708, 24710, 24713, 24719, 24724, 24728, 24732, 24754, 24756, 24759, 24761, 24770, 24772, 24778, 24793, 24802, 24807, 24812, 24816, 24820, 24832, 24846, 24850, 24856, 24857, 24865, 24876, 24878, 24884, 24899, 24914, 24916, 24932, 24934, 24947, 24962, 24966, 24979, 25001, 25008, 25016, 25033, 25041, 25049, 25054, 25055, 25083, 25099, 25102, 25120, 25123, 25127, 25130, 25134, 25137, 25149, 25153, 25156, 25161, 25163, 25175, 25179, 25186, 25190, 25198, 25203, 25208, 25212, 25216, 25221, 25232, 25235, 25247, 25249, 25252, 25253, 25256, 25262, 25270, 25284, 25290, 25304, 25312, 25316, 25329, 25333, 25337, 25348, 25356, 25366, 25368, 25370, 25381, 25393, 25398, 25402, 25412, 25416, 25421, 25425, 25428, 25429, 25434, 25437, 25442, 25445, 25450, 25453]"
