rank,node_id
1,19897
2,28589
3,4294
4,4741
5,4941
6,5563
7,6731
8,8294
9,8299
10,9736
11,9765
12,10817
13,11035
14,11142
15,11152
16,11221
17,14281
18,14539
19,15476
20,15939
21,16674
22,18485
23,19407
24,19868
25,22001
26,22500
27,23464
28,23465
29,25632
30,28604
31,4782
32,4936
33,13574
34,14598
35,15487
36,15509
37,15934
38,18321
39,21361
40,11237
41,6127
42,6423
43,7688
44,11759
45,12247
46,12915
47,12923
48,15077
49,16279
50,21259
51,13839
52,4070
53,4430
54,8720
55,8965
56,9397
57,9824
58,11017
59,12373
60,13952
61,14039
62,14493
63,16256
64,16410
65,22271
66,24256
67,24259
68,28351
69,28359
70,10983
71,11837
72,15214
73,18060
74,18942
75,20913
76,7285
77,9368
78,12034
79,21725
80,23325
81,23949
82,671
83,1215
84,1805
85,1823
86,2116
87,2120
88,2519
89,2669
90,3328
91,3332
92,3538
93,3916
94,4190
95,4212
96,4434
97,5181
98,5263
99,5555
100,5579
101,9906
102,9915
103,12472
104,13568
105,18405
106,21557
107,21618
108,2777
109,5645
110,12322
111,14887
112,24914
113,9943
114,12766
115,15899
116,2705
117,2913
118,5209
119,5215
120,5387
121,6030
122,6340
123,6350
124,6550
125,6574
126,6742
127,6937
128,6996
129,7004
130,7120
131,7249
132,7567
133,8308
134,8320
135,8471
136,8640
137,8653
138,8831
139,9146
140,9153
141,9347
142,9361
143,9520
144,9769
145,10144
146,10308
147,10352
148,11106
149,11138
150,11170
151,15143
152,16028
153,8464
154,21622
155,28730
156,18795
157,6188
158,6199
159,9109
160,10248
161,11746
162,11878
163,11881
164,12652
165,12983
166,13030
167,13084
168,13133
169,13166
170,13286
171,13310
172,14229
173,14603
174,14819
175,14845
176,14858
177,14868
178,15121
179,15203
180,15838
181,15952
182,16010
183,16146
184,16188
185,16270
186,16298
187,16308
188,16319
189,16334
190,16426
191,16660
192,16734
193,16908
194,17142
195,17150
196,17179
197,17243
198,18016
199,18086
200,18150
201,9386
202,9423
203,23844
204,8176
205,8214
206,8233
207,9097
208,9185
209,9340
210,9373
211,10482
212,12265
213,13777
214,14438
215,16942
216,18742
217,18759
218,19301
219,19384
220,19400
221,20109
222,21230
223,21986
224,22017
225,22400
226,22403
227,22536
228,22724
229,22938
230,22957
231,23012
232,23359
233,23890
234,24223
235,24227
236,24274
237,24344
238,24348
239,24358
240,24442
241,25061
242,25090
243,25094
244,25276
245,25842
246,26345
247,26601
248,27301
249,3081
250,3086
251,27156
252,6177
253,12354
254,13193
255,5170
256,5173
257,5410
258,9114
259,9140
260,9265
261,10390
262,11112
263,12456
264,13405
265,14064
266,14842
267,17027
268,19455
269,19646
270,19766
271,20056
272,20146
273,20368
274,21692
275,21694
276,21703
277,21707
278,21990
279,23282
280,23285
281,23560
282,24281
283,27160
284,3286
285,3292
286,3958
287,4737
288,4855
289,4876
290,5552
291,5571
292,5576
293,5704
294,5725
295,6088
296,6116
297,6139
298,6244
299,6507
300,6588
301,16539
302,21068
303,23451
304,27094
305,15458
306,15626
307,15729
308,15891
309,15910
310,17372
311,17834
312,20569
313,28703
314,6826
315,6870
316,7035
317,7221
318,7239
319,7268
320,7292
321,7350
322,8219
323,8228
324,8336
325,8395
326,8441
327,8452
328,8458
329,8753
330,8758
331,8770
332,8884
333,8898
334,9305
335,9513
336,9561
337,9621
338,9640
339,9776
340,9887
341,9895
342,9897
343,9907
344,9992
345,10022
346,10080
347,10087
348,10497
349,10526
350,10544
351,19306
352,12187
353,11624
354,12088
355,12111
356,12165
357,13962
358,14058
359,14362
360,18832
361,18844
362,18882
363,19044
364,19174
365,19725
366,20173
367,21752
368,27613
369,27626
370,7599
371,8071
372,8287
373,8388
374,10565
375,11245
376,11714
377,11734
378,11782
379,12840
380,13228
381,13539
382,13566
383,13580
384,13821
385,14143
386,14235
387,14364
388,14416
389,14442
390,14455
391,14484
392,14731
393,14776
394,14806
395,15062
396,15260
397,15439
398,15566
399,16325
400,16502
401,18792
402,18507
403,16926
404,16996
405,17380
406,18122
407,18370
408,19874
409,20102
410,20231
411,21642
412,22034
413,25973
414,14628
415,14923
416,14924
417,15125
418,15530
419,16092
420,16101
421,16170
422,16287
423,16362
424,16430
425,16532
426,16560
427,16581
428,17145
429,17193
430,17495
431,17608
432,17695
433,17814
434,17837
435,17861
436,17867
437,17905
438,18117
439,18158
440,18340
441,18398
442,18411
443,18574
444,18577
445,18616
446,18647
447,18652
448,18671
449,18675
450,18719
451,20841
452,22077
453,22159
454,19801
455,20786
456,17858
457,19096
458,19158
459,19642
460,19797
461,19863
462,20836
463,20859
464,20863
465,22115
466,22215
467,22865
468,22885
469,22889
470,22892
471,22912
472,22915
473,26896
474,18409
475,19186
476,19221
477,19245
478,19610
479,19775
480,19813
481,19828
482,19860
483,19883
484,20045
485,20295
486,20509
487,20549
488,20724
489,20818
490,20834
491,21032
492,21052
493,21211
494,21217
495,21424
496,21513
497,21553
498,21679
499,21759
500,21764
501,22528
502,23412
503,22557
504,23033
505,23145
506,23151
507,23677
508,23778
509,25791
510,27246
511,17108
512,17464
513,17513
514,21838
515,21849
516,21960
517,21966
518,22376
519,22582
520,22596
521,22851
522,23023
523,23172
524,23210
525,23217
526,23221
527,23229
528,23236
529,23378
530,23431
531,23624
532,23627
533,23740
534,23810
535,23900
536,23981
537,25666
538,25750
539,7466
540,7700
541,8507
542,25748
543,8800
544,9075
545,9312
546,15360
547,25722
548,9925
549,17060
550,17079
551,17735
552,26927
553,10228
554,11497
555,13104
556,13813
557,25980
558,24765
559,25103
560,25114
561,18579
562,27184
563,18828
564,19839
565,20168
