rank,node_id
1,1740
2,4272
3,4294
4,4430
5,8720
6,9386
7,9423
8,9736
9,9906
10,10384
11,11035
12,11061
13,12468
14,12550
15,13839
16,13952
17,15476
18,18150
19,18844
20,19407
21,19874
22,21622
23,23464
24,25632
25,4782
26,7230
27,7271
28,11837
29,12322
30,15796
31,18824
32,11237
33,28730
34,7285
35,7688
36,9368
37,9943
38,11759
39,12247
40,12915
41,12923
42,15077
43,15708
44,18795
45,21259
46,21725
47,671
48,1215
49,1736
50,2130
51,7844
52,15164
53,6792
54,7834
55,8299
56,8831
57,11152
58,11221
59,12472
60,13084
61,14539
62,14837
63,14961
64,16319
65,16674
66,17465
67,21230
68,22001
69,22271
70,21361
71,6039
72,6127
73,12766
74,15085
75,28589
76,1748
77,1823
78,2519
79,3328
80,3332
81,3538
82,4929
83,4941
84,5181
85,5209
86,5215
87,5279
88,5387
89,5563
90,5579
91,6340
92,6550
93,6574
94,6702
95,6726
96,6731
97,6796
98,6996
99,7004
100,7585
101,8965
102,9513
103,9765
104,13568
105,15939
106,18485
107,19306
108,19690
109,21692
110,23844
111,5704
112,11142
113,15934
114,16532
115,23325
116,2705
117,2913
118,3916
119,5555
120,5713
121,6030
122,6188
123,6199
124,6611
125,8214
126,8233
127,8471
128,8640
129,8736
130,9146
131,9153
132,9493
133,9561
134,9769
135,9824
136,9932
137,10248
138,10308
139,10352
140,10565
141,10794
142,10942
143,11106
144,11120
145,11138
146,11170
147,11702
148,11746
149,11785
150,11791
151,14914
152,15975
153,17334
154,17372
155,5433
156,9621
157,10664
158,14255
159,21694
160,16279
161,4190
162,4212
163,8308
164,8403
165,8570
166,8647
167,8749
168,9427
169,10144
170,10390
171,11881
172,12983
173,13030
174,13133
175,13310
176,13486
177,13777
178,14229
179,14251
180,14438
181,14673
182,14858
183,15050
184,15143
185,15310
186,15372
187,15387
188,15397
189,16231
190,16338
191,16410
192,16444
193,17006
194,17145
195,17627
196,17834
197,17874
198,18016
199,18742
200,18759
201,21557
202,24278
203,25070
204,25094
205,14598
206,21618
207,6423
208,25025
209,6392
210,11947
211,12265
212,13962
213,14058
214,14362
215,18405
216,18832
217,18929
218,19044
219,19301
220,19384
221,19400
222,20569
223,21553
224,21629
225,21642
226,21681
227,21752
228,21986
229,22017
230,22400
231,22403
232,22500
233,22536
234,22724
235,22938
236,22957
237,23012
238,23359
239,23890
240,24223
241,24227
242,24274
243,24281
244,24344
245,24348
246,24442
247,25072
248,25090
249,25266
250,25276
251,18555
252,9265
253,14845
254,19766
255,20246
256,20304
257,25842
258,26345
259,26601
260,27301
261,3003
262,3008
263,3086
264,3286
265,3292
266,3706
267,3958
268,4434
269,4500
270,4741
271,4818
272,4825
273,4867
274,5263
275,5324
276,5653
277,5677
278,5724
279,6244
280,6350
281,6405
282,6507
283,6592
284,6826
285,7221
286,7292
287,7420
288,7780
289,8071
290,8219
291,8324
292,8329
293,8421
294,8452
295,8464
296,8729
297,8780
298,8854
299,9907
300,9962
301,16540
302,18682
303,20853
304,23949
305,8684
306,9060
307,9114
308,13526
309,13700
310,14681
311,15096
312,17150
313,17179
314,20368
315,21990
316,22034
317,22557
318,24052
319,24256
320,25146
321,25791
322,26362
323,27613
324,28703
325,28899
326,5466
327,8746
328,8748
329,10087
330,10373
331,10788
332,10834
333,11245
334,12178
335,13036
336,13185
337,13193
338,13286
339,13574
340,13594
341,13628
342,13861
343,13910
344,14044
345,14085
346,14130
347,14235
348,14309
349,14531
350,14628
351,20641
352,21759
353,23523
354,11922
355,19455
356,19646
357,20102
358,22122
359,22125
360,22159
361,22172
362,22175
363,22215
364,22232
365,22335
366,22889
367,24309
368,24361
369,25973
370,7719
371,7744
372,8066
373,8305
374,8492
375,9897
376,12236
377,12801
378,16334
379,17208
380,18392
381,18458
382,18852
383,18942
384,19475
385,19543
386,19593
387,19775
388,19801
389,19929
390,20119
391,20184
392,20302
393,20341
394,20421
395,20631
396,20669
397,20672
398,20696
399,20724
400,20913
401,15203
402,15637
403,15662
404,16010
405,20088
406,15599
407,15899
408,10445
409,11277
410,12605
411,12907
412,12939
413,13509
414,13621
415,14126
416,14328
417,14874
418,15082
419,15130
420,15177
421,15367
422,15394
423,15583
424,15683
425,15772
