City,Strategy,q,P_q_Official
Chengdu,Degree,0.0,0.9599453551912568
Chengdu,Degree,0.01,0.9477595628415301
Chengdu,Degree,0.02,0.9014754098360656
Chengdu,Degree,0.03,0.8659562841530055
Chengdu,Degree,0.04,0.8312568306010929
Chengdu,Degree,0.05,0.8033879781420765
Chengdu,Degree,0.06,0.7609289617486339
Chengdu,Degree,0.07,0.7277595628415301
Chengdu,Degree,0.08,0.6909289617486338
Chengdu,Degree,0.09,0.6639344262295082
Chengdu,Degree,0.1,0.6407650273224044
Chengdu,Degree,0.11,0.6142622950819672
Chengdu,Degree,0.12,0.5882513661202186
Chengdu,Degree,0.13,0.5541530054644809
Chengdu,Degree,0.14,0.5114207650273224
Chengdu,Degree,0.15,0.4843715846994536
Chengdu,Degree,0.16,0.44245901639344265
Chengdu,Degree,0.17,0.4142622950819672
Chengdu,Degree,0.18,0.3879781420765027
Chengdu,Degree,0.19,0.33726775956284155
Chengdu,Degree,0.2,0.3081967213114754
Chengdu,Degree,0.21,0.28327868852459015
Chengdu,Degree,0.22,0.2396174863387978
Chengdu,Degree,0.23,0.12131147540983607
Chengdu,Degree,0.24,0.12021857923497267
Chengdu,Degree,0.25,0.07896174863387978
Chengdu,Degree,0.26,0.04081967213114754
Chengdu,Degree,0.27,0.025573770491803278
Chengdu,Degree,0.28,0.025573770491803278
Chengdu,Degree,0.29,0.025573770491803278
Chengdu,Degree,0.3,0.025573770491803278
Chengdu,Degree,0.31,0.025573770491803278
Chengdu,Degree,0.32,0.025573770491803278
Chengdu,Degree,0.33,0.025573770491803278
Chengdu,Degree,0.34,0.025573770491803278
Chengdu,Degree,0.35000000000000003,0.025573770491803278
Chengdu,Degree,0.36,0.025573770491803278
Chengdu,Degree,0.37,0.025573770491803278
Chengdu,Degree,0.38,0.025573770491803278
Chengdu,Degree,0.39,0.025573770491803278
Chengdu,Degree,0.4,0.025573770491803278
Chengdu,Degree,0.41000000000000003,0.025573770491803278
Chengdu,Degree,0.42,0.025573770491803278
Chengdu,Degree,0.43,0.025573770491803278
Chengdu,Degree,0.44,0.025573770491803278
Chengdu,Degree,0.45,0.025573770491803278
Chengdu,Degree,0.46,0.025573770491803278
Chengdu,Degree,0.47000000000000003,0.02551912568306011
Chengdu,Degree,0.48,0.02551912568306011
Chengdu,Degree,0.49,0.02551912568306011
Chengdu,Degree,0.5,0.02551912568306011
Chengdu,Degree,0.51,0.02551912568306011
Chengdu,Degree,0.52,0.02551912568306011
Chengdu,Degree,0.53,0.02551912568306011
Chengdu,Degree,0.54,0.024644808743169398
Chengdu,Degree,0.55,0.023442622950819673
Chengdu,Degree,0.56,0.022568306010928962
Chengdu,Degree,0.5700000000000001,0.022568306010928962
Chengdu,Degree,0.58,0.022404371584699455
Chengdu,Degree,0.59,0.019398907103825136
Chengdu,Degree,0.6,0.014699453551912569
Chengdu,Degree,0.61,0.013442622950819673
Chengdu,Degree,0.62,0.011912568306010929
Chengdu,Degree,0.63,0.009945355191256831
Chengdu,Degree,0.64,0.0045901639344262295
Chengdu,Degree,0.65,0.0030601092896174863
Chengdu,Degree,0.66,0.0019672131147540984
Chengdu,Degree,0.67,0.0019672131147540984
Chengdu,Degree,0.68,0.0019672131147540984
Chengdu,Degree,0.6900000000000001,0.0011475409836065574
Chengdu,Degree,0.7000000000000001,0.0011475409836065574
Chengdu,Degree,0.71,0.0011475409836065574
Chengdu,Degree,0.72,0.0011475409836065574
Chengdu,Degree,0.73,0.0011475409836065574
Chengdu,Degree,0.74,0.0011475409836065574
Chengdu,Degree,0.75,0.0011475409836065574
Chengdu,Degree,0.76,0.0011475409836065574
Chengdu,Degree,0.77,0.0011475409836065574
Chengdu,Degree,0.78,0.0011475409836065574
Chengdu,Degree,0.79,0.0011475409836065574
Chengdu,Degree,0.8,0.0010382513661202186
Chengdu,Degree,0.81,0.0010382513661202186
Chengdu,Degree,0.8200000000000001,0.0009289617486338798
Chengdu,Degree,0.8300000000000001,0.0007650273224043716
Chengdu,Degree,0.84,0.0003825136612021858
Chengdu,Degree,0.85,0.0003825136612021858
Chengdu,Degree,0.86,0.0001639344262295082
Chengdu,Degree,0.87,0.0001639344262295082
Chengdu,Degree,0.88,0.0001092896174863388
Chengdu,Degree,0.89,0.0001092896174863388
Chengdu,Degree,0.9,0.0001092896174863388
Chengdu,Degree,0.91,0.0001092896174863388
Chengdu,Degree,0.92,0.0001092896174863388
Chengdu,Degree,0.93,0.0001092896174863388
Chengdu,Degree,0.9400000000000001,0.0001092896174863388
Chengdu,Degree,0.9500000000000001,0.0001092896174863388
Chengdu,Degree,0.96,0.0001092896174863388
Chengdu,Degree,0.97,0.0001092896174863388
Chengdu,Degree,0.98,0.0001092896174863388
Chengdu,Degree,0.99,0.0001092896174863388
Chengdu,Degree,1.0,0.0
Chengdu,Betweenness,0.0,0.9599453551912568
Chengdu,Betweenness,0.01,0.9476502732240437
Chengdu,Betweenness,0.02,0.9340983606557377
Chengdu,Betweenness,0.03,0.8579234972677595
Chengdu,Betweenness,0.04,0.8382513661202186
Chengdu,Betweenness,0.05,0.8241530054644809
Chengdu,Betweenness,0.06,0.7425136612021858
Chengdu,Betweenness,0.07,0.7004918032786885
Chengdu,Betweenness,0.08,0.6540983606557377
