City,Strategy,q,Q_bc_Teammate
Chengdu,Degree,0.0,0.8826229508196721
Chengdu,Degree,0.01,0.8643852459016393
Chengdu,Degree,0.02,0.8234289617486339
Chengdu,Degree,0.03,0.7912431693989072
Chengdu,Degree,0.04,0.7590027322404371
Chengdu,Degree,0.05,0.729275956284153
Chengdu,Degree,0.06,0.6956147540983606
Chengdu,Degree,0.07,0.6610792349726776
Chengdu,Degree,0.08,0.6251775956284152
Chengdu,Degree,0.09,0.6014071038251366
Chengdu,Degree,0.1,0.5780191256830601
Chengdu,Degree,0.11,0.5466530054644809
Chengdu,Degree,0.12,0.5207923497267759
Chengdu,Degree,0.13,0.48905737704918034
Chengdu,Degree,0.14,0.44042349726775953
Chengdu,Degree,0.15,0.4098224043715847
Chengdu,Degree,0.16,0.3731010928961749
Chengdu,Degree,0.17,0.3461612021857923
Chengdu,Degree,0.18,0.31952185792349724
Chengdu,Degree,0.19,0.2776775956284153
Chengdu,Degree,0.2,0.24860655737704918
Chengdu,Degree,0.21,0.20449453551912566
Chengdu,Degree,0.22,0.16718579234972678
Chengdu,Degree,0.23,0.07051912568306011
Chengdu,Degree,0.24,0.06997267759562842
Chengdu,Degree,0.25,0.049344262295081966
Chengdu,Degree,0.26,0.02819672131147541
Chengdu,Degree,0.27,0.01849726775956284
Chengdu,Degree,0.28,0.01849726775956284
Chengdu,Degree,0.29,0.01849726775956284
Chengdu,Degree,0.3,0.01849726775956284
Chengdu,Degree,0.31,0.01849726775956284
Chengdu,Degree,0.32,0.01849726775956284
Chengdu,Degree,0.33,0.01849726775956284
Chengdu,Degree,0.34,0.01849726775956284
Chengdu,Degree,0.35000000000000003,0.01849726775956284
Chengdu,Degree,0.36,0.01849726775956284
Chengdu,Degree,0.37,0.01849726775956284
Chengdu,Degree,0.38,0.01849726775956284
Chengdu,Degree,0.39,0.01849726775956284
Chengdu,Degree,0.4,0.01849726775956284
Chengdu,Degree,0.41000000000000003,0.01849726775956284
Chengdu,Degree,0.42,0.01849726775956284
Chengdu,Degree,0.43,0.01849726775956284
Chengdu,Degree,0.44,0.01849726775956284
Chengdu,Degree,0.45,0.01849726775956284
Chengdu,Degree,0.46,0.01849726775956284
Chengdu,Degree,0.47000000000000003,0.018469945355191256
Chengdu,Degree,0.48,0.018469945355191256
Chengdu,Degree,0.49,0.018469945355191256
Chengdu,Degree,0.5,0.018469945355191256
Chengdu,Degree,0.51,0.018469945355191256
Chengdu,Degree,0.52,0.018469945355191256
Chengdu,Degree,0.53,0.018469945355191256
Chengdu,Degree,0.54,0.0180327868852459
Chengdu,Degree,0.55,0.01743169398907104
Chengdu,Degree,0.56,0.016994535519125685
Chengdu,Degree,0.5700000000000001,0.016994535519125685
Chengdu,Degree,0.58,0.016912568306010928
Chengdu,Degree,0.59,0.01437158469945355
Chengdu,Degree,0.6,0.013060109289617487
Chengdu,Degree,0.61,0.011639344262295083
Chengdu,Degree,0.62,0.008879781420765027
Chengdu,Degree,0.63,0.007896174863387978
Chengdu,Degree,0.64,0.0027595628415300545
Chengdu,Degree,0.65,0.0016666666666666666
Chengdu,Degree,0.66,0.0011475409836065574
Chengdu,Degree,0.67,0.0011475409836065574
Chengdu,Degree,0.68,0.0011475409836065574
Chengdu,Degree,0.6900000000000001,0.0006147540983606557
Chengdu,Degree,0.7000000000000001,0.0006147540983606557
Chengdu,Degree,0.71,0.0006147540983606557
Chengdu,Degree,0.72,0.0006147540983606557
Chengdu,Degree,0.73,0.0006147540983606557
Chengdu,Degree,0.74,0.0006147540983606557
Chengdu,Degree,0.75,0.0006147540983606557
Chengdu,Degree,0.76,0.0006147540983606557
Chengdu,Degree,0.77,0.0006147540983606557
Chengdu,Degree,0.78,0.0006147540983606557
Chengdu,Degree,0.79,0.0006147540983606557
Chengdu,Degree,0.8,0.0005601092896174863
Chengdu,Degree,0.81,0.0005601092896174863
Chengdu,Degree,0.8200000000000001,0.0005054644808743169
