City,Strategy,q,P_q_Official
Chengdu,CABS_W3_K30_B5,0.0,0.9599453551912568
Chengdu,CABS_W3_K30_B5,0.01,0.9399453551912569
Chengdu,CABS_W3_K30_B5,0.02,0.913551912568306
Chengdu,CABS_W3_K30_B5,0.03,0.6365573770491804
Chengdu,CABS_W3_K30_B5,0.04,0.26688524590163937
Chengdu,CABS_W3_K30_B5,0.05,0.04557377049180328
Chengdu,CABS_W3_K30_B5,0.06,0.016557377049180328
Chengdu,CABS_W3_K30_B5,0.07,0.013060109289617487
Chengdu,CABS_W3_K30_B5,0.08,0.011311475409836066
Chengdu,CABS_W3_K30_B5,0.09,0.01
Chengdu,CABS_W3_K30_B5,0.1,0.01
Chengdu,CABS_W3_K30_B5,0.11,0.01
Chengdu,CABS_W3_K30_B5,0.12,0.01
Chengdu,CABS_W3_K30_B5,0.13,0.01
Chengdu,CABS_W3_K30_B5,0.14,0.01
Chengdu,CABS_W3_K30_B5,0.15,0.01
Chengdu,CABS_W3_K30_B5,0.16,0.01
Chengdu,CABS_W3_K30_B5,0.17,0.01
Chengdu,CABS_W3_K30_B5,0.18,0.01
Chengdu,CABS_W3_K30_B5,0.19,0.01
Chengdu,CABS_W3_K30_B5,0.2,0.01
Chengdu,CABS_W3_K30_B5,0.21,0.01
Chengdu,CABS_W3_K30_B5,0.22,0.01
Chengdu,CABS_W3_K30_B5,0.23,0.01
Chengdu,CABS_W3_K30_B5,0.24,0.01
Chengdu,CABS_W3_K30_B5,0.25,0.01
Chengdu,CABS_W3_K30_B5,0.26,0.01
Chengdu,CABS_W3_K30_B5,0.27,0.01
Chengdu,CABS_W3_K30_B5,0.28,0.01
Chengdu,CABS_W3_K30_B5,0.29,0.01
Chengdu,CABS_W3_K30_B5,0.3,0.01
Chengdu,CABS_W3_K30_B5,0.31,0.01
Chengdu,CABS_W3_K30_B5,0.32,0.01
Chengdu,CABS_W3_K30_B5,0.33,0.01
Chengdu,CABS_W3_K30_B5,0.34,0.01
Chengdu,CABS_W3_K30_B5,0.35000000000000003,0.01
Chengdu,CABS_W3_K30_B5,0.36,0.01
Chengdu,CABS_W3_K30_B5,0.37,0.01
Chengdu,CABS_W3_K30_B5,0.38,0.01
Chengdu,CABS_W3_K30_B5,0.39,0.01
Chengdu,CABS_W3_K30_B5,0.4,0.01
Chengdu,CABS_W3_K30_B5,0.41000000000000003,0.01
Chengdu,CABS_W3_K30_B5,0.42,0.01
Chengdu,CABS_W3_K30_B5,0.43,0.01
Chengdu,CABS_W3_K30_B5,0.44,0.01
Chengdu,CABS_W3_K30_B5,0.45,0.01
Chengdu,CABS_W3_K30_B5,0.46,0.01
Chengdu,CABS_W3_K30_B5,0.47000000000000003,0.01
Chengdu,CABS_W3_K30_B5,0.48,0.01
Chengdu,CABS_W3_K30_B5,0.49,0.01
Chengdu,CABS_W3_K30_B5,0.5,0.01
Chengdu,CABS_W3_K30_B5,0.51,0.01
Chengdu,CABS_W3_K30_B5,0.52,0.01
Chengdu,CABS_W3_K30_B5,0.53,0.01
Chengdu,CABS_W3_K30_B5,0.54,0.01
Chengdu,CABS_W3_K30_B5,0.55,0.01
Chengdu,CABS_W3_K30_B5,0.56,0.01
Chengdu,CABS_W3_K30_B5,0.5700000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.58,0.01
Chengdu,CABS_W3_K30_B5,0.59,0.01
Chengdu,CABS_W3_K30_B5,0.6,0.01
Chengdu,CABS_W3_K30_B5,0.61,0.01
Chengdu,CABS_W3_K30_B5,0.62,0.01
Chengdu,CABS_W3_K30_B5,0.63,0.01
Chengdu,CABS_W3_K30_B5,0.64,0.01
Chengdu,CABS_W3_K30_B5,0.65,0.01
Chengdu,CABS_W3_K30_B5,0.66,0.01
Chengdu,CABS_W3_K30_B5,0.67,0.01
Chengdu,CABS_W3_K30_B5,0.68,0.01
Chengdu,CABS_W3_K30_B5,0.6900000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.7000000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.71,0.01
Chengdu,CABS_W3_K30_B5,0.72,0.01
Chengdu,CABS_W3_K30_B5,0.73,0.01
Chengdu,CABS_W3_K30_B5,0.74,0.01
Chengdu,CABS_W3_K30_B5,0.75,0.01
Chengdu,CABS_W3_K30_B5,0.76,0.01
Chengdu,CABS_W3_K30_B5,0.77,0.01
Chengdu,CABS_W3_K30_B5,0.78,0.01
Chengdu,CABS_W3_K30_B5,0.79,0.01
Chengdu,CABS_W3_K30_B5,0.8,0.01
Chengdu,CABS_W3_K30_B5,0.81,0.01
Chengdu,CABS_W3_K30_B5,0.8200000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.8300000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.84,0.01
Chengdu,CABS_W3_K30_B5,0.85,0.01
Chengdu,CABS_W3_K30_B5,0.86,0.01
Chengdu,CABS_W3_K30_B5,0.87,0.01
Chengdu,CABS_W3_K30_B5,0.88,0.01
Chengdu,CABS_W3_K30_B5,0.89,0.01
Chengdu,CABS_W3_K30_B5,0.9,0.01
Chengdu,CABS_W3_K30_B5,0.91,0.01
Chengdu,CABS_W3_K30_B5,0.92,0.01
Chengdu,CABS_W3_K30_B5,0.93,0.01
Chengdu,CABS_W3_K30_B5,0.9400000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.9500000000000001,0.01
Chengdu,CABS_W3_K30_B5,0.96,0.01
Chengdu,CABS_W3_K30_B5,0.97,0.01
Chengdu,CABS_W3_K30_B5,0.98,0.01
Chengdu,CABS_W3_K30_B5,0.99,0.01
Chengdu,CABS_W3_K30_B5,1.0,0.01
Dalian,CABS_W3_K30_B5,0.0,0.9092245497978684
Dalian,CABS_W3_K30_B5,0.01,0.8804116133774348
Dalian,CABS_W3_K30_B5,0.02,0.5893421536199926
Dalian,CABS_W3_K30_B5,0.03,0.22653436236677693
Dalian,CABS_W3_K30_B5,0.04,0.10679897096655641
Dalian,CABS_W3_K30_B5,0.05,0.04638000735023888
Dalian,CABS_W3_K30_B5,0.06,0.021389195148842337
Dalian,CABS_W3_K30_B5,0.07,0.013303932377802278
Dalian,CABS_W3_K30_B5,0.08,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.09,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.1,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.11,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.12,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.13,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.14,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.15,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.16,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.17,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.18,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.19,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.2,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.21,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.22,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.23,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.24,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.25,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.26,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.27,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.28,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.29,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.3,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.31,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.32,0.009996324880558618
Dalian,CABS_W3_K30_B5,0.33,0.009996324880558618
