rank,node_id
1,9207
2,6218
3,7072
4,8379
5,1964
6,2172
7,2816
8,3937
9,4063
10,4214
11,4263
12,4472
13,5609
14,5771
15,5834
16,5841
17,5853
18,6007
19,6204
20,6948
21,7145
22,7530
23,8251
24,11041
25,12870
26,7474
27,4321
28,6295
29,1872
30,3289
31,4318
32,5030
33,544
34,926
35,989
36,1006
37,1422
38,1426
39,1548
40,1599
41,1676
42,1689
43,1725
44,1772
45,1775
46,1862
47,1967
48,2137
49,2151
50,2154
51,5612
52,584
53,2217
54,2437
55,2953
56,3732
57,4015
58,4232
59,5475
60,5729
61,6549
62,7149
63,7489
64,10252
65,10256
66,2281
67,10660
68,12875
69,523
70,588
71,591
72,2213
73,2441
74,2481
75,2581
76,2603
77,2950
78,2961
79,3038
80,3057
81,3504
82,3534
83,3541
84,3606
85,3619
86,3634
87,3714
88,3876
89,3930
90,4025
91,4031
92,4048
93,4102
94,4240
95,4343
96,4412
97,4630
98,4635
99,4759
100,4799
101,6320
102,11393
103,12345
104,10174
105,9397
106,9400
107,2404
108,3374
109,3381
110,3408
111,4834
112,4967
113,5002
114,5011
115,5497
116,5814
117,6173
118,6313
119,6327
120,6408
121,6423
122,6593
123,6958
124,6965
125,7190
126,7193
127,7205
128,7550
129,7575
130,7758
131,7895
132,7987
133,8041
134,8084
135,8092
136,8095
137,8111
138,8310
139,8318
140,8735
141,8875
142,8910
143,8976
144,9019
145,9022
146,9029
147,9182
148,9415
149,9511
150,9530
151,9987
152,5940
153,7648
154,5806
155,6248
156,6255
157,6351
158,8464
159,8560
160,9614
161,9631
162,9645
163,9713
164,10188
165,10207
166,10260
167,10261
168,10424
169,10426
170,10687
171,10695
172,10917
173,11458
174,12896
175,12900
176,13197
177,13201
178,13818
179,14867
180,1051
181,1155
182,2101
183,2491
184,2647
185,2666
186,3817
187,3825
188,4217
189,4452
190,4464
191,4522
192,4659
193,4939
194,5034
195,5078
196,5270
197,5494
198,5628
199,5697
200,5716
201,6657
202,6739
203,8014
204,8259
205,8263
206,8769
207,9123
208,12575
209,12663
210,12714
211,13132
212,5431
213,5982
214,5989
215,5998
216,6066
217,6301
218,6336
219,6432
220,6499
221,6546
222,6679
223,6698
224,6799
225,6870
226,6939
227,7121
228,7211
229,7219
230,7449
231,7543
232,7557
233,7589
234,7729
235,7748
236,7749
237,7765
238,7778
239,7832
240,7969
241,7971
242,8022
243,8074
244,8121
245,8135
246,8171
247,8256
248,8410
249,8467
250,8472
251,8457
252,8879
253,11027
254,4149
255,6574
256,8211
257,8247
258,8447
259,8490
260,8620
261,8766
262,8835
263,8969
264,9173
265,9193
266,9394
267,9435
268,9609
269,9636
270,9672
271,9705
272,10227
273,10475
274,10705
275,10719
276,10748
277,10809
278,10943
279,11010
280,11289
281,11528
282,11629
283,11650
284,424
285,1693
286,2804
287,2805
288,2844
289,621
290,3041
291,641
292,718
293,726
294,1515
295,733
296,747
297,762
298,1043
299,1042
300,8622
301,8748
302,8808
303,8984
304,8930
305,9003
306,9042
307,9156
308,1059
309,1624
310,1089
311,1108
312,1129
313,1161
314,1607
315,1176
316,1190
317,1201
318,1245
319,10614
320,1302
321,10779
322,11260
323,1332
324,12190
325,11973
326,1345
327,1387
328,10290
329,12135
330,1402
331,12062
332,9488
333,1415
334,12280
335,1432
336,9499
337,1458
338,1482
339,2938
340,9687
341,1596
342,9788
343,1619
344,2294
345,9812
346,1672
347,1685
348,1789
349,10093
350,1806
351,12466
352,12653
353,12672
354,11952
355,10305
356,10376
357,10453
358,10458
359,11017
360,10472
361,10483
362,1818
363,10537
364,1500
365,10542
366,10582
367,10602
368,5365
369,13854
370,12913
371,12579
372,12677
373,12694
374,13081
375,12772
376,12921
377,12936
378,12952
379,11541
380,1821
381,1833
382,1853
383,11583
384,1236
385,11593
386,11604
387,11625
388,11642
389,12861
390,13018
391,12148
392,12193
393,13022
394,14863
395,12711
396,1893
397,12725
398,1931
399,12233
400,10625
401,1938
402,7513
403,12774
404,5446
405,10725
406,12820
407,14225
408,10836
409,9938
410,4419
411,12841
412,10855
413,12858
414,4828
415,11109
416,12956
417,1953
418,4498
419,6583
420,9278
421,9441
422,9466
423,9836
424,12591
425,9996
426,9999
427,1972
428,2030
429,2303
430,10003
431,2104
432,2125
433,10148
434,2290
435,10478
436,10712
437,2260
438,11717
439,12444
440,11722
441,3615
442,2271
443,781
444,2323
445,2298
446,806
447,2333
448,11741
449,850
450,10876
451,11764
452,11798
453,857
454,9249
455,11809
456,11229
457,11370
458,9176
459,12432
460,11874
461,893
462,956
463,9220
464,11916
465,959
466,11880
467,11521
468,7257
469,12013
470,9655
471,9737
472,11895
473,2374
474,2761
475,11543
476,2655
477,4370
478,2691
479,12763
480,2719
481,4536
482,12030
483,2738
484,10244
485,2755
486,2836
487,5250
488,2858
489,5687
490,2864
491,5273
492,2893
493,2904
494,9969
495,9870
496,5452
497,13025
498,6553
499,5950
500,13041
501,5678
502,5763
503,2910
504,3456
505,2990
506,6585
507,6511
508,6917
509,6272
510,12158
511,5723
512,9049
513,5815
514,6128
515,13072
516,971
517,5881
518,9097
519,1014
520,6419
521,9104
522,12188
523,5845
524,6164
525,7440
526,3702
527,5967
528,9118
529,2464
530,13684
531,482
532,3691
533,3009
534,1276
535,3017
536,686
537,1297
538,11585
539,2568
540,2772
541,700
542,916
543,8753
544,1001
545,4501
546,6467
547,8942
548,5922
549,13360
550,13046
551,6133
552,13124
553,4523
554,9296
555,4548
556,6398
557,8955
558,3086
559,3169
560,3712
561,6702
562,9079
563,13066
564,3229
565,7082
566,13172
567,2119
568,3151
569,3103
570,6728
571,2198
572,1152
573,3717
574,4674
575,6894
576,13937
577,666
578,977
579,3838
580,9732
581,667
582,7253
583,13187
584,226
585,7355
586,9743
587,2
588,2023
589,1280
590,7383
591,9922
592,1010
593,6506
594,231
595,4938
596,8839
597,7537
598,9200
