rank,node_id
1,1872
2,3615
3,8379
4,1504
5,1924
6,2172
7,2730
8,2828
9,2953
10,2961
11,3930
12,4063
13,4214
14,4472
15,5002
16,5609
17,7339
18,7355
19,8259
20,8263
21,8447
22,8910
23,9123
24,489
25,3094
26,3145
27,4077
28,5005
29,3289
30,4706
31,5030
32,5479
33,9207
34,424
35,432
36,477
37,485
38,523
39,544
40,926
41,1047
42,1152
43,1508
44,1515
45,1599
46,1603
47,1612
48,1753
49,1763
50,1775
51,7072
52,5612
53,7082
54,1967
55,3109
56,5729
57,6958
58,7102
59,7895
60,10207
61,11393
62,12896
63,9649
64,10475
65,4321
66,4318
67,584
68,1830
69,1833
70,1857
71,1862
72,1964
73,2068
74,2213
75,2217
76,2260
77,2362
78,2434
79,2441
80,2872
81,2881
82,2917
83,3057
84,3125
85,3180
86,3208
87,3212
88,3714
89,4015
90,4048
91,4240
92,4263
93,4326
94,4331
95,4343
96,4412
97,4759
98,4850
99,4858
100,4911
101,4232
102,7205
103,8393
104,8475
105,10919
106,11041
107,7474
108,6295
109,1789
110,2047
111,3374
112,3381
113,3408
114,3949
115,4102
116,4630
117,4967
118,5011
119,5447
120,6007
121,6285
122,6313
123,6320
124,6398
125,6408
126,6423
127,6523
128,6549
129,6590
130,6796
131,6917
132,7265
133,7350
134,7758
135,8014
136,8041
137,8224
138,8375
139,8384
140,8535
141,8622
142,8632
143,8745
144,8748
145,8887
146,8992
147,9003
148,9182
149,9415
150,9511
151,7489
152,7520
153,9645
154,7493
155,5814
156,7193
157,7530
158,8761
159,8769
160,9585
161,9631
162,9636
163,9713
164,9870
165,9874
166,9882
167,9987
168,10188
169,10232
170,10244
171,10424
172,10426
173,10610
174,10687
175,10695
176,11458
177,11773
178,12188
179,12345
180,12575
181,12579
182,13197
183,13201
184,609
185,635
186,982
187,996
188,1171
189,1365
190,2101
191,2491
192,3817
193,3825
194,4217
195,4445
196,4452
197,4464
198,4669
199,4798
200,4998
201,9394
202,3661
203,5806
204,6221
205,6379
206,7253
207,7469
208,7600
209,8251
210,8790
211,8896
212,9975
213,13819
214,13926
215,14856
216,4149
217,5074
218,5176
219,5379
220,5413
221,5494
222,5497
223,5628
224,5697
225,5736
226,5940
227,5978
228,5986
229,6005
230,6128
231,6132
232,6146
233,6147
234,6168
235,6171
236,6181
237,6287
238,6301
239,6432
240,6475
241,6574
242,6611
243,6635
244,6753
245,6769
246,6794
247,7053
248,7134
249,7211
250,7219
251,11973
252,6218
253,5365
254,9572
255,11541
256,11543
257,11583
258,11952
259,11955
260,12254
261,12257
262,13128
263,14390
264,5187
265,5237
266,5368
267,6179
268,7749
269,7765
270,7830
271,7832
272,8625
273,8779
274,9435
275,9590
276,9672
277,9865
278,10014
279,10169
280,10174
281,10248
282,10348
283,10353
284,11038
285,11027
286,11068
287,11178
288,11184
289,12677
290,1693
291,2804
292,2805
293,2844
294,1630
295,3041
296,3609
297,4315
298,595
299,2930
300,641
301,652
302,705
303,718
304,4252
305,726
306,733
307,747
308,762
309,13287
310,1059
311,1089
312,1108
313,1129
314,3151
315,1161
316,1176
317,1190
318,1201
