rank,node_id
1,14907
2,937
3,3983
4,4828
5,4831
6,5421
7,5601
8,6823
9,7707
10,9049
11,9226
12,9267
13,10131
14,10335
15,14068
16,14700
17,14783
18,14822
19,14983
20,15092
21,15094
22,15286
23,15581
24,15777
25,16172
26,17010
27,17644
28,17993
29,19197
30,19836
31,20749
32,20859
33,21749
34,22725
35,12957
36,13080
37,16689
38,13454
39,11558
40,13036
41,6469
42,6932
43,7570
44,7683
45,9034
46,11141
47,12069
48,13152
49,13444
50,14995
51,15972
52,624
53,4781
54,5741
55,6289
56,9272
57,9734
58,12225
59,13330
60,13338
61,14308
62,15274
63,15397
64,17589
65,19759
66,20339
67,20550
68,2981
69,4317
70,11695
71,12549
72,22252
73,11173
74,9732
75,642
76,878
77,904
78,920
79,1029
80,1077
81,1181
82,1413
83,2446
84,2465
85,2666
86,3540
87,3679
88,4053
89,4115
90,4224
91,4227
92,4251
93,4552
94,4556
95,4602
96,4774
97,4939
98,5091
99,5275
100,5438
101,6585
102,7208
103,11364
104,12823
105,14849
106,16323
107,20198
108,20336
109,4785
110,5444
111,8573
112,10247
113,7550
114,2381
115,3460
116,3501
117,4952
118,4984
119,4988
120,5033
121,5037
122,5487
123,5573
124,5630
125,6220
126,6235
127,6259
128,6387
129,6420
130,6582
131,6624
132,7168
133,7200
134,7236
135,7260
136,7267
137,7356
138,7362
139,7366
140,7535
141,7542
142,7553
143,7564
144,7609
145,7632
146,7778
147,7808
148,7837
149,7933
150,8348
151,12661
152,12850
153,13326
154,15233
155,15538
156,15555
157,17816
158,19247
159,6896
160,8714
161,12084
162,15954
163,23408
164,1447
165,1906
166,7092
167,7113
168,7638
169,8086
170,8754
171,8789
172,8793
173,9212
174,9243
175,9366
176,9551
177,9756
178,10064
179,10159
180,10375
181,10414
182,11308
183,11319
184,12018
185,12168
186,12321
187,12545
188,12648
189,12657
190,12669
191,12719
192,12752
193,12953
194,13153
195,13332
196,13493
197,13515
198,13604
199,13609
200,13617
201,13234
202,15627
203,15758
204,19469
205,21464
206,21609
207,4906
208,21329
209,9772
210,2608
211,4519
212,5025
213,8310
214,9934
215,10273
216,10277
217,11701
218,12004
219,12701
220,13246
221,13268
222,13575
223,13798
224,13836
225,13850
226,13878
227,13893
228,13901
229,13907
230,14130
231,14853
232,15520
233,15561
234,15584
235,15605
236,15740
237,15750
238,15931
239,16066
240,16158
241,16408
242,16431
243,16438
244,16866
245,17870
246,18436
247,18521
248,19139
249,19223
250,19308
251,6449
252,6414
253,14439
254,14655
255,19083
256,19570
257,19604
258,19698
259,19726
260,19734
261,19845
262,20062
263,20251
264,20381
265,20464
266,20801
267,20816
268,20824
269,20910
270,20931
271,21730
272,22626
273,22661
274,22736
