rank,center_node_id
1,26474
2,19314
3,28885
4,12986
5,20870
6,36859
7,29684
8,34165
9,17897
10,8569
11,40969
12,30696
13,31192
14,10101
15,20941
16,26808
17,25359
18,45517
19,12677
20,13506
21,34449
22,9091
23,51385
24,2793
25,5638
26,13962
27,35775
28,6818
29,38445
30,27917
31,36873
32,9126
33,23131
34,27354
35,46012
36,39946
37,18509
38,12410
39,2867
40,44363
41,5137
42,42985
43,42618
44,4582
45,9104
46,31653
47,11022
48,38717
49,39862
50,18348
51,1190
52,19577
53,26530
54,2108
55,42854
56,6382
57,35370
58,3596
59,4069
60,45974
61,34587
62,39068
63,43101
64,46550
65,6863
66,51179
67,9270
68,44865
69,14335
70,6784
71,43314
72,17246
73,23033
74,3896
75,34787
76,44670
77,409
78,2910
79,40290
80,25619
81,34749
82,23973
83,168
84,42428
85,19160
86,36203
87,33488
88,16373
89,2175
90,12763
91,42132
92,668
93,16944
94,39769
95,18471
96,20827
97,9430
98,21042
99,25879
100,30965
101,17254
102,44994
103,42867
104,37217
105,30689
106,41692
107,36106
108,11512
109,39901
110,39520
111,21470
112,35534
113,38538
