rank,center_node_id
1,9001
2,8659
3,17699
4,12694
5,3787
6,19405
7,6547
8,15666
9,19628
10,21540
11,1240
12,16755
13,11723
14,13455
15,21301
16,25578
17,14803
18,30796
19,21065
20,24682
21,520
22,19261
23,29317
24,32111
25,28447
26,26783
27,26835
28,26719
29,30492
30,2489
31,663
32,8208
33,22846
34,22662
35,31035
36,28550
37,24721
38,22866
39,29921
40,24783
41,31399
42,31518
43,23536
44,27859
45,30440
46,23853
47,32274
48,23348
49,31267
50,26034
51,27651
52,27054
53,27174
54,23152
55,23755
56,30640
57,26352
58,32156
59,25747
60,25209
61,25107
62,29790
63,29930
64,32810
65,29509
66,32887
67,26179
68,33046
69,26479
70,25629
71,25413
72,26572
73,28760
74,26147
75,31264
76,32774
77,29094
78,27908
79,14057
80,27914
81,27308
82,27688
83,2370
84,33113
85,27415
86,26617
87,31849
88,27968
89,26079
90,14944
91,31879
92,27450
93,17460
94,28717
95,29164
96,28888
97,26407
98,29286
99,21960
100,31963
101,32032
102,29693
103,31464
104,27903
105,29299
106,27354
107,13700
108,33003
109,19402
110,28900
111,29031
112,28976
113,30482
114,5677
115,33099
116,29635
117,32509
118,32781
119,15021
120,12246
121,5506
122,13248
123,756
124,30023
125,32813
126,2559
127,25073
128,26946
129,4556
130,26755
131,28845
132,12442
133,4800
134,24541
135,31796
136,7630
137,25455
138,24345
139,25551
140,24001
141,25355
142,23213
143,2
144,22697
145,18077
146,2881
147,11665
148,5956
149,29251
150,32758
151,32684
152,31914
153,20190
154,28182
155,30717
156,20922
157,31260
158,31853
159,32872
160,14478
161,3247
162,32282
163,31666
164,985
165,30515
166,24708
167,26359
168,31319
169,31694
170,32353
171,31483
172,22941
173,2332
174,16791
175,32065
176,32508
177,21730
178,16162
179,29157
180,31015
181,32522
