rank,center_node_id
1,19769
2,17897
3,12514
4,3098
5,4042
6,12325
7,11764
8,14844
9,8293
10,20541
11,16524
12,13009
13,6943
14,2441
15,1345
16,17768
17,17660
18,5198
19,9302
20,11688
21,7233
22,10460
23,7457
24,1140
25,5884
26,15837
27,12862
28,9076
29,10648
30,13060
31,17952
32,9870
33,443
34,18766
35,5184
36,16032
37,8611
38,7626
39,16360
40,14969
41,2690
42,2785
43,14535
44,10806
45,18266
46,18977
47,14263
48,8508
49,2439
50,13760
51,5402
52,19335
53,4671
54,9930
55,6061
56,13979
57,11010
58,14546
59,16373
60,5435
61,11099
62,4720
63,9159
64,16830
65,19065
66,14500
67,11085
68,16379
69,16330
70,11693
71,10908
72,14491
73,13232
74,8961
75,15256
76,4652
77,11253
78,11817
79,11058
80,15084
81,11281
82,11553
83,15699
84,15892
85,15472
86,15267
87,15280
88,13586
89,18719
90,15654
91,18739
92,11411
93,13713
94,17448
95,15114
96,7486
97,16186
98,17462
99,19249
100,8302
101,17408
102,17051
103,14652
104,10102
105,5305
106,10425
107,9280
108,8171
109,20493
110,4430
111,4728
112,7825
113,8478
114,10662
115,4388
116,3826
117,6602
118,17811
119,17235
120,17472
121,15769
122,4873
123,12180
124,3327
125,9196
126,4933
127,16969
128,17394
129,5170
130,6037
131,10115
132,8321
133,18701
134,14857
135,15386
136,783
137,1713
138,3856
139,8456
140,13138
141,9864
142,16861
143,7223
144,9852
145,17682
146,12850
147,7405
148,6313
149,9812
150,15294
151,3404
152,8500
153,13468
154,18004
155,7442
156,676
157,11362
158,2630
159,5639
160,3938
161,10380
162,19956
163,18370
164,19298
165,4973
166,1820
167,9733
168,20205
169,9288
170,13507
171,2248
172,15431
173,17059
174,16200
175,1083
176,12294
177,12762
178,1417
179,3867
180,1481
181,2042
182,9317
183,6784
184,10738
185,4006
186,6668
187,16473
188,8539
189,15091
190,16694
191,7201
192,9297
193,4452
194,3631
195,14567
196,19515
197,15462
198,19196
199,9166
200,13704
201,3119
202,15715
203,12808
204,947
205,6713
206,17635
207,5676
208,35
209,7601
210,11573
211,4177
212,12187
213,11297
214,575
215,8000
216,5636
217,6260
218,6599
219,5865
220,12836
221,8221
222,12591
223,8327
224,15252
225,1816
226,9487
227,8095
228,14259
229,19665
230,2972
231,5006
232,14114
233,13898
234,18710
235,7837
236,18901
237,14281
238,8759
239,12166
240,14615
241,18587
242,19338
