rank,center_node_id
1,13280
2,10186
3,18890
4,17683
5,28508
6,21534
7,7603
8,15701
9,4845
10,23919
11,5569
12,17913
13,10808
14,12598
15,6112
16,23537
17,16589
18,6405
19,1789
20,10887
21,5374
22,24348
23,27117
24,3930
25,3424
26,4227
27,23089
28,25736
29,24277
30,6246
31,3274
32,23345
33,22151
34,13104
35,20412
36,7857
37,24936
38,8855
39,696
40,23466
41,14896
42,7387
43,25654
44,6622
45,4453
46,4262
47,4434
48,5774
49,3397
50,4940
51,2592
52,6568
53,5484
54,20168
55,2460
56,10076
57,25312
58,3925
59,1942
60,25915
61,5604
62,26896
63,21945
64,25577
65,2942
66,3951
67,861
68,27701
69,22305
70,3806
71,21512
72,3024
73,27011
74,25087
75,21669
76,2271
77,25108
78,20231
79,18942
80,26234
81,25954
82,1228
83,1651
84,18852
85,18682
86,12275
87,1619
88,27533
89,25589
90,26198
91,18828
92,7949
93,4978
94,26382
95,24639
96,4896
97,156
98,4272
99,22582
100,3050
101,6584
102,1530
103,1124
104,1611
105,5344
106,1406
107,27322
108,24725
109,19589
110,2984
111,27028
112,1373
113,5138
114,2435
115,7257
116,27334
117,217
118,23536
119,2726
120,23571
121,3297
122,23567
123,2120
124,17978
125,3191
126,5922
127,532
128,23813
129,2382
130,20947
