q,P_q,Q_bc,Method
0.0,1.0,0.8106027195883866,RCABS-BE
0.09739066519661889,0.8126424108783535,0.7053472987872106,RCABS-BE
0.14288864388092612,0.7659683939728041,0.6513965453877251,RCABS-BE
0.18728408673281882,0.72348401323043,0.6101984564498346,RCABS-BE
0.23072399852995223,0.6180815876515987,0.5261852260198456,RCABS-BE
0.25828739434031606,0.5896361631753032,0.47157295112091147,RCABS-BE
0.2812201396545388,0.5294377067254685,0.4311466372657111,RCABS-BE
0.29489158397647924,0.514590224182286,0.41244027930907756,RCABS-BE
0.3019478133039324,0.5070194781330393,0.40497978684307234,RCABS-BE
0.3080485115766262,0.5009187798603455,0.39880558618155093,RCABS-BE
0.3104740904079383,0.49849320102903344,0.39590224182285927,RCABS-BE
0.32767364939360527,0.48055861815509004,0.38061374494671074,RCABS-BE
0.33201029033443585,0.4529217199558986,0.3622748989342154,RCABS-BE
0.3339948548327821,0.45093715545755236,0.3602168320470415,RCABS-BE
0.33708195516354283,0.4464535097390665,0.35624770305034914,RCABS-BE
0.33877251010657844,0.4447629547960309,0.35459389930172736,RCABS-BE
0.34252113193678796,0.4408673281881661,0.351414920984932,RCABS-BE
0.3447997059904447,0.4385887541345094,0.34873208379272325,RCABS-BE
0.35678059536934953,0.30099228224917307,0.25894891583976476,RCABS-BE
0.3622932745314223,0.2920249908122014,0.22535832414553472,RCABS-BE
0.376920249908122,0.27952958471150313,0.20900404263138553,RCABS-BE
0.37772877618522605,0.2787210584343991,0.2085997794928335,RCABS-BE
0.38081587651598675,0.27533994854832783,0.20547592796765896,RCABS-BE
0.38235942668136713,0.27379639838294745,0.20264608599779493,RCABS-BE
0.38610804851157665,0.2659316427783903,0.19007717750826902,RCABS-BE
0.387651598676957,0.26438809261300994,0.18930540242557883,RCABS-BE
0.3894156560088203,0.26262403528114664,0.18559353178978316,RCABS-BE
0.3964718853362734,0.2505696435134142,0.17956633590591695,RCABS-BE
0.3982359426681367,0.24873208379272327,0.16846747519294378,RCABS-BE
0.40455714810731347,0.2424108783535465,0.16530687247335538,RCABS-BE
0.40632120543917677,0.23469312752664462,0.16144799705990445,RCABS-BE
0.40823226754869535,0.23278206541712607,0.1490077177508269,RCABS-BE
0.410731348768835,0.23020948180815876,0.14672914369717016,RCABS-BE
0.4143329658213892,0.19507533994854834,0.12916207276736494,RCABS-BE
0.4159500183755972,0.1587651598676957,0.10997794928335172,RCABS-BE
0.4164645350973907,0.1458287394340316,0.10317897831679529,RCABS-BE
0.41727306137449466,0.1450202131569276,0.1027747151782433,RCABS-BE
0.4175670709298052,0.14472620360161706,0.10240720323410511,RCABS-BE
0.41955163542815144,0.14274163910327087,0.09626975376699742,RCABS-BE
0.42234472620360164,0.1364204336640941,0.09310915104740905,RCABS-BE
0.4238147739801544,0.13495038588754135,0.088055861815509,RCABS-BE
0.4269018743109151,0.1318632855567806,0.08099963248805586,RCABS-BE
0.42741639103270856,0.13134876883498714,0.08030135979419331,RCABS-BE
0.42807791253215727,0.13054024255788313,0.07963983829474458,RCABS-BE
0.42984196986402057,0.12818816611539874,0.08776185226019845,RCABS-BE
0.4404263138552003,0.12635060639470783,0.07754502021315693,RCABS-BE
0.4410143329658214,0.12561558250643146,0.07717750826901874,RCABS-BE
0.4413818449099596,0.12524807056229328,0.07679162072767365,RCABS-BE
0.4424108783535465,0.12186696067622198,0.07407203234105109,RCABS-BE
0.4443954428518927,0.11370819551635428,0.0770856302829842,RCABS-BE
0.4560088202866593,0.10224182285924292,0.06425946343256156,RCABS-BE
0.4565968393972804,0.09775817714075707,0.06697905181918412,RCABS-BE
0.46100698272693863,0.09312752664461595,0.05970231532524807,RCABS-BE
0.46137449467107683,0.09187798603454612,0.05907754502021316,RCABS-BE
0.4618155090040426,0.0914369717015803,0.05760749724366042,RCABS-BE
0.46225652333700845,0.0912164645350974,0.05042263873575891,RCABS-BE
0.47063579566335906,0.08357221609702316,0.05108416023520765,RCABS-BE
0.4712238147739802,0.08335170893054024,0.04649026093348033,RCABS-BE
0.47445791988239616,0.07820654171260566,0.04303564865858141,RCABS-BE
0.4796765894891584,0.06571113561190739,0.03678794560823227,RCABS-BE
0.48908489525909593,0.061962513781697905,0.038846012495406104,RCABS-BE
0.5060639470782801,0.061300992282249174,0.03994854832782065,RCABS-BE
0.5070194781330393,0.04718853362734289,0.02752664461595002,RCABS-BE
0.5089305402425579,0.04557148107313488,0.030429988974641678,RCABS-BE
0.5091510474090408,0.045350973906651965,0.027306137449467107,RCABS-BE
0.5098125689084895,0.044101433296582136,0.029694965086365308,RCABS-BE
0.5262036016170526,0.04321940463065049,0.02624035281146637,RCABS-BE
0.5265711135611907,0.042851892686512315,0.02535832414553473,RCABS-BE
