q,P_q,Q_bc,Method
0.0,1.0,0.8226375176304654,RCABS-BE
0.07157968970380818,0.8466149506346967,0.759740832157969,RCABS-BE
0.09291255289139633,0.8252820874471086,0.7378790550070522,RCABS-BE
0.10983779971791255,0.807475317348378,0.7190144569816643,RCABS-BE
0.12870239774330042,0.7886107193229901,0.6990920310296191,RCABS-BE
0.1569111424541608,0.7639280677009873,0.6736600846262342,RCABS-BE
0.17277856135401976,0.7455923836389281,0.6339474612129761,RCABS-BE
0.19287729196050776,0.6137165021156559,0.5369358251057827,RCABS-BE
0.20944992947813823,0.5809238363892807,0.5071403385049366,RCABS-BE
0.21949929478138222,0.568935119887165,0.492154442877292,RCABS-BE
0.22478843441466856,0.5636459802538787,0.4809590973201692,RCABS-BE
0.24171368124118478,0.5372002820874471,0.45429301833568403,RCABS-BE
0.24788434414668548,0.5308533145275035,0.4448607193229901,RCABS-BE
0.2566995768688293,0.521509167842031,0.3730606488011284,RCABS-BE
0.2632228490832158,0.38064174894217206,0.3026269393511989,RCABS-BE
0.27468265162200284,0.24365303244005643,0.18238716502115657,RCABS-BE
0.27909026798307474,0.23924541607898447,0.1719851904090268,RCABS-BE
0.28296897038081803,0.2351904090267983,0.16413963328631875,RCABS-BE
0.28526093088857546,0.2251410437235543,0.15497179125528915,RCABS-BE
0.2868476727785614,0.22355430183356842,0.13258110014104374,RCABS-BE
0.2928420310296192,0.1343441466854725,0.1076339915373766,RCABS-BE
0.2981311706629055,0.12923131170662905,0.07933709449929478,RCABS-BE
0.30236248236953456,0.12306064880112835,0.10058180535966149,RCABS-BE
0.30624118476727785,0.11830042313117066,0.0969675599435825,RCABS-BE
0.3106488011283498,0.11124823695345556,0.09040021156558534,RCABS-BE
0.31346967559943584,0.10754583921015515,0.08563998589562764,RCABS-BE
0.3168194640338505,0.10666431593794076,0.09273624823695345,RCABS-BE
0.3245768688293371,0.09978843441466854,0.0759432299012694,RCABS-BE
0.3284555712270804,0.09890691114245416,0.0803067700987306,RCABS-BE
0.34185472496473907,0.0900916784203103,0.0584009167842031,RCABS-BE
0.34890691114245415,0.08480253878702397,0.05800423131170662,RCABS-BE
0.3499647390691114,0.08356840620592383,0.046897038081805356,RCABS-BE
0.35366713681241185,0.08021861777150917,0.05346438645980254,RCABS-BE
0.35895627644569816,0.07880818053596615,0.044516925246826516,RCABS-BE
0.3610719322990127,0.07581100141043723,0.0652327221438646,RCABS-BE
0.3658321579689704,0.07263751763046544,0.04143159379407616,RCABS-BE
0.3665373765867419,0.07087447108603667,0.05888575458392102,RCABS-BE
0.37076868829337095,0.06611424541607898,0.05280324400564175,RCABS-BE
0.3728843441466855,0.05694640338504937,0.03358603667136813,RCABS-BE
0.373589562764457,0.04936530324400564,0.037288434414668545,RCABS-BE
0.37535260930888575,0.04883638928067701,0.04240126939351199,RCABS-BE
0.37605782792665726,0.047954866008462625,0.04134344146685473,RCABS-BE
0.3776445698166432,0.047954866008462625,0.027150916784203102,RCABS-BE
0.3802891396332863,0.04601551480959097,0.0353490832157969,RCABS-BE
0.38240479548660083,0.043370944992947816,0.03067700987306065,RCABS-BE
0.3841678420310296,0.042842031029619185,0.032528208744710865,RCABS-BE
0.3868124118476728,0.04143159379407616,0.03067700987306065,RCABS-BE
0.3905148095909732,0.04107898448519041,0.03235190409026798,RCABS-BE
0.3913963328631876,0.04019746121297602,0.029707334273624826,RCABS-BE
0.39245416078984485,0.03896332863187588,0.028913963328631876,RCABS-BE
0.39333568406205927,0.03702397743300423,0.031117771509167842,RCABS-BE
0.40232722143864597,0.036142454160789844,0.021773624823695346,RCABS-BE
0.40409026798307474,0.03596614950634697,0.021156558533145273,RCABS-BE
0.4076163610719323,0.033674188998589566,0.027415373765867418,RCABS-BE
0.40937940761636105,0.03314527503526093,0.02446227080394922,RCABS-BE
0.4118476727785614,0.03296897038081805,0.023095909732016924,RCABS-BE
0.4164315937940762,0.03191114245416079,0.022919605077574047,RCABS-BE
0.4178420310296192,0.029971791255289138,0.024594499294781382,RCABS-BE
0.4192524682651622,0.02926657263751763,0.01763046544428773,RCABS-BE
0.4197813822284908,0.02785613540197461,0.01886459802538787,RCABS-BE
0.42330747531734836,0.02785613540197461,0.019702045133991535,RCABS-BE
0.42348377997179126,0.027503526093088856,0.018335684062059238,RCABS-BE
0.4247179125528914,0.02732722143864598,0.02080394922425952,RCABS-BE
0.42577574047954864,0.027150916784203102,0.017366008462623414,RCABS-BE
0.42718617771509165,0.026269393511988717,0.01648448519040903,RCABS-BE
0.4301833568406206,0.02538787023977433,0.017189703808180537,RCABS-BE
0.43265162200282087,0.024858956276445698,0.01868829337094499,RCABS-BE
0.4340620592383639,0.02344851904090268,0.017983074753173484,RCABS-BE
0.4354724964739069,0.0232722143864598,0.015426657263751763,RCABS-BE
0.43600141043723556,0.02274330042313117,0.015162200282087448,RCABS-BE
0.4361777150916784,0.022566995768688293,0.01705747531734838,RCABS-BE
0.43723554301833567,0.022038081805359662,0.017277856135401976,RCABS-BE
0.4400564174894217,0.020980253878702396,0.014324753173483779,RCABS-BE
0.44040902679830746,0.020451339915373765,0.01419252468265162,RCABS-BE
0.44058533145275036,0.02027503526093089,0.014104372355430182,RCABS-BE
0.4416431593794076,0.019922425952045134,0.01705747531734838,RCABS-BE
0.45222143864598024,0.019746121297602257,0.011900564174894218,RCABS-BE
0.4545133991537377,0.019746121297602257,0.01692524682651622,RCABS-BE
0.4550423131170663,0.01956981664315938,0.01361953455571227,RCABS-BE
0.45610014104372354,0.019217207334273626,0.015867418899858956,RCABS-BE
0.4596262341325811,0.019217207334273626,0.012870239774330043,RCABS-BE
0.46068406205923834,0.01904090267983075,0.016087799717912556,RCABS-BE
0.46403385049365303,0.01904090267983075,0.01639633286318759,RCABS-BE
0.46473906911142454,0.01868829337094499,0.013178772919605078,RCABS-BE
0.4672073342736248,0.01868829337094499,0.010842736248236952,RCABS-BE
0.4675599435825106,0.018335684062059238,0.010049365303244006,RCABS-BE
0.4679125528913963,0.018335684062059238,0.01569111424541608,RCABS-BE
0.46861777150916784,0.01815937940761636,0.012429478138222849,RCABS-BE
0.4691466854724965,0.01815937940761636,0.01234132581100141,RCABS-BE
0.47073342736248236,0.017806770098730607,0.012517630465444287,RCABS-BE
0.47549365303244007,0.01763046544428773,0.015338504936530325,RCABS-BE
0.4769040902679831,0.016748942172073344,0.009255994358251059,RCABS-BE
0.47708039492242593,0.016572637517630464,0.013399153737658674,RCABS-BE
0.47849083215796895,0.016572637517630464,0.011547954866008462,RCABS-BE
0.4807827926657264,0.01622002820874471,0.012870239774330043,RCABS-BE
0.4867771509167842,0.015867418899858956,0.013928067700987305,RCABS-BE
0.4888928067700987,0.01569111424541608,0.011988716502115655,RCABS-BE
0.4920662905500705,0.015514809590973202,0.011459802538787024,RCABS-BE
0.49241889985895626,0.015162200282087448,0.011988716502115656,RCABS-BE
0.492771509167842,0.014985895627644569,0.008110014104372355,RCABS-BE
0.49312411847672777,0.014809590973201692,0.01040197461212976,RCABS-BE
0.4947108603667137,0.014809590973201692,0.008286318758815232,RCABS-BE
0.4952397743300423,0.014633286318758815,0.01110719322990127,RCABS-BE
0.4978843441466855,0.014280677009873061,0.008021861777150916,RCABS-BE
0.4991184767277856,0.013399153737658674,0.011724259520451339,RCABS-BE
0.501410437235543,0.013222849083215797,0.009608603667136813,RCABS-BE
0.5017630465444288,0.01304654442877292,0.007404795486600847,RCABS-BE
0.5019393511988717,0.012870239774330043,0.009432299012693936,RCABS-BE
0.5021156558533145,0.012870239774330043,0.007316643159379408,RCABS-BE
0.5022919605077574,0.012693935119887164,0.009344146685472496,RCABS-BE
0.5040550070521862,0.012693935119887164,0.007228490832157969,RCABS-BE
0.504231311706629,0.012517630465444287,0.0071403385049365305,RCABS-BE
0.5044076163610719,0.01234132581100141,0.00907968970380818,RCABS-BE
0.5063469675599436,0.01234132581100141,0.007052186177715092,RCABS-BE
0.5065232722143864,0.011988716502115656,0.008021861777150916,RCABS-BE
0.5089915373765868,0.01181241184767278,0.008110014104372357,RCABS-BE
0.51287023977433,0.0116361071932299,0.00784555712270804,RCABS-BE
0.514280677009873,0.011283497884344146,0.010049365303244006,RCABS-BE
0.5290902679830748,0.011283497884344146,0.008991537376586742,RCABS-BE
0.5299717912552891,0.01110719322990127,0.0064351198871650216,RCABS-BE
0.5303244005641748,0.010930888575458392,0.006346967559943583,RCABS-BE
0.5319111424541608,0.010930888575458392,0.006346967559943583,RCABS-BE
0.5357898448519041,0.010754583921015515,0.007316643159379408,RCABS-BE
0.535966149506347,0.01040197461212976,0.00855077574047955,RCABS-BE
0.5380818053596615,0.01040197461212976,0.010049365303244006,RCABS-BE
0.5511283497884344,0.01040197461212976,0.006082510578279267,RCABS-BE
0.5528913963328632,0.01040197461212976,0.00581805359661495,RCABS-BE
0.5532440056417489,0.010225669957686883,0.008727080394922426,RCABS-BE
0.5565937940761636,0.010049365303244006,0.010049365303244006,RCABS-BE
0.5590620592383639,0.010049365303244006,0.005641748942172073,RCABS-BE
0.5594146685472496,0.009520451339915375,0.009520451339915375,RCABS-BE
