q,P_q,Method
0.0,1.0,S-Degree
0.009508196721311424,0.9501092896174863,S-Degree
0.01704918032786884,0.9421857923497268,S-Degree
0.023060109289617436,0.936120218579235,S-Degree
0.028469945355191206,0.9307103825136612,S-Degree
0.034590163934426266,0.9244262295081968,S-Degree
0.04005464480874321,0.9189071038251366,S-Degree
0.044426229508196746,0.9145355191256831,S-Degree
0.05005464480874322,0.9092349726775957,S-Degree
0.055245901639344286,0.9040983606557377,S-Degree
0.06005464480874312,0.8990710382513661,S-Degree
0.06448087431693994,0.8946448087431694,S-Degree
0.069016393442623,0.8901092896174864,S-Degree
0.07316939890710383,0.886775956284153,S-Degree
0.07775956284153007,0.8821857923497268,S-Degree
0.08218579234972678,0.8774316939890711,S-Degree
0.08612021857923502,0.8728415300546448,S-Degree
0.09054644808743173,0.8684153005464481,S-Degree
0.09497267759562844,0.8646448087431694,S-Degree
0.09852459016393444,0.8613661202185793,S-Degree
0.10278688524590163,0.8568852459016394,S-Degree
0.10590163934426233,0.8536065573770492,S-Degree
0.11021857923497269,0.8508196721311475,S-Degree
0.11431693989071035,0.8468306010928962,S-Degree
0.1173224043715847,0.8437704918032787,S-Degree
0.12076502732240435,0.840327868852459,S-Degree
0.12409836065573765,0.8368852459016394,S-Degree
0.12770491803278694,0.833224043715847,S-Degree
0.1320218579234973,0.8289071038251367,S-Degree
0.1353551912568306,0.8255191256830601,S-Degree
0.1386885245901639,0.8221857923497268,S-Degree
0.14229508196721308,0.8185792349726776,S-Degree
0.14508196721311473,0.8158469945355191,S-Degree
0.14841530054644814,0.8134426229508197,S-Degree
0.1515846994535519,0.8101639344262295,S-Degree
0.15508196721311474,0.8064480874316939,S-Degree
0.1580874316939891,0.8030601092896175,S-Degree
0.16109289617486344,0.8000546448087432,S-Degree
0.1636065573770492,0.7975409836065573,S-Degree
0.16633879781420768,0.7945901639344263,S-Degree
0.16863387978142075,0.7922950819672131,S-Degree
0.17147540983606557,0.7894535519125683,S-Degree
0.17459016393442628,0.7860655737704918,S-Degree
0.17688524590163934,0.7837704918032787,S-Degree
0.1793989071038251,0.7810382513661203,S-Degree
0.18180327868852464,0.7785792349726776,S-Degree
0.18459016393442618,0.7755191256830601,S-Degree
0.18726775956284158,0.7728415300546448,S-Degree
0.18994535519125688,0.7702185792349727,S-Degree
0.19224043715846995,0.7677049180327868,S-Degree
0.19535519125683065,0.7645901639344262,S-Degree
0.19765027322404372,0.7622404371584699,S-Degree
0.19999999999999996,0.7598360655737705,S-Degree
0.20273224043715843,0.756775956284153,S-Degree
0.20513661202185796,0.7543169398907104,S-Degree
0.2074863387978142,0.7519125683060109,S-Degree
0.20967213114754102,0.7492896174863388,S-Degree
0.2119125683060109,0.7468852459016393,S-Degree
0.21420765027322408,0.7445901639344262,S-Degree
0.21644808743169397,0.74224043715847,S-Degree
0.2192896174863388,0.7401639344262295,S-Degree
0.22163934426229503,0.7377595628415301,S-Degree
0.22409836065573774,0.7353005464480874,S-Degree
0.22628415300546445,0.7330601092896175,S-Degree
0.22890710382513657,0.7304371584699454,S-Degree
0.23163934426229504,0.7275409836065574,S-Degree
0.234207650273224,0.7246994535519126,S-Degree
0.23633879781420764,0.7223497267759563,S-Degree
0.23846994535519128,0.7201639344262295,S-Degree
0.24071038251366117,0.7179234972677596,S-Degree
0.24300546448087434,0.7153551912568306,S-Degree
0.24475409836065576,0.7134972677595628,S-Degree
0.2466666666666667,0.7114754098360656,S-Degree
0.24918032786885247,0.7089617486338797,S-Degree
0.2511475409836066,0.7069398907103825,S-Degree
0.2531147540983607,0.7049180327868853,S-Degree
0.25524590163934424,0.702568306010929,S-Degree
0.2569398907103825,0.7008743169398907,S-Degree
0.2589617486338798,0.6959562841530055,S-Degree
0.26103825136612024,0.6937704918032787,S-Degree
0.2631147540983606,0.6916939890710383,S-Degree
0.26497267759562837,0.6885792349726776,S-Degree
0.26661202185792354,0.6868852459016394,S-Degree
0.26857923497267755,0.6860655737704918,S-Degree
0.27054644808743167,0.6838251366120218,S-Degree
0.27218579234972673,0.6821857923497268,S-Degree
0.27393442622950814,0.680655737704918,S-Degree
0.2760655737704918,0.6785245901639344,S-Degree
0.27841530054644814,0.6758469945355191,S-Degree
0.280327868852459,0.6737158469945356,S-Degree
0.2824590163934426,0.6709836065573771,S-Degree
0.28437158469945356,0.6689617486338798,S-Degree
0.28617486338797815,0.6671584699453552,S-Degree
0.2876502732240437,0.6656830601092896,S-Degree
0.2889617486338798,0.6642622950819672,S-Degree
0.2909836065573771,0.6617486338797814,S-Degree
0.292568306010929,0.6601639344262296,S-Degree
0.29442622950819675,0.6581420765027323,S-Degree
0.2960655737704918,0.6565027322404372,S-Degree
0.29770491803278687,0.6548087431693989,S-Degree
0.29950819672131146,0.6526775956284153,S-Degree
0.3012568306010929,0.6509836065573771,S-Degree
0.30284153005464476,0.649344262295082,S-Degree
0.3048087431693989,0.6469398907103825,S-Degree
0.3063387978142077,0.6454098360655738,S-Degree
0.30797814207650276,0.6437158469945355,S-Degree
0.30978142076502735,0.6416939890710383,S-Degree
0.31109289617486335,0.6401639344262295,S-Degree
0.3126229508196722,0.6385245901639345,S-Degree
0.3143169398907104,0.6368852459016393,S-Degree
0.3163387978142076,0.6346448087431694,S-Degree
0.3177049180327869,0.633224043715847,S-Degree
0.31961748633879783,0.6322404371584699,S-Degree
0.32136612021857924,0.6306010928961748,S-Degree
0.32289617486338795,0.6288524590163934,S-Degree
0.32464480874316937,0.627103825136612,S-Degree
0.32622950819672136,0.6254098360655738,S-Degree
