q,P_q,Method
0.0,1.0,S-Degree
0.04255788313120179,0.865784638000735,S-Degree
0.07409040793825794,0.8296949650863653,S-Degree
0.09996324880558616,0.8024990812201397,S-Degree
0.11892686512311645,0.7834619625137818,S-Degree
0.13708195516354282,0.7631018008085263,S-Degree
0.15501653803748627,0.7439911797133407,S-Degree
0.17221609702315321,0.7253950753399485,S-Degree
0.18801911062109522,0.667401690554943,S-Degree
0.2049246600514517,0.6504226387357589,S-Degree
0.22094818081587653,0.6338846012495406,S-Degree
0.23469312752664462,0.5875780962881294,S-Degree
0.25093715545755235,0.5875780962881294,S-Degree
0.2619625137816979,0.5647188533627343,S-Degree
0.27291436971701577,0.5455347298787211,S-Degree
0.28401323042998894,0.5320837927232636,S-Degree
0.29386255053289234,0.5191473722895994,S-Degree
0.30518191841234843,0.5088570378537303,S-Degree
0.3153252480705623,0.5088570378537303,S-Degree
0.32679162072767365,0.5088570378537303,S-Degree
0.33517089305402425,0.5088570378537303,S-Degree
0.34502021315692755,0.49628812936420436,S-Degree
0.3542080117603822,0.49628812936420436,S-Degree
0.3622197721425946,0.49570011025358324,S-Degree
0.3700110253583242,0.48834987137081953,S-Degree
0.3778022785740537,0.47982359426681365,S-Degree
0.3856670341786108,0.47203234105108416,S-Degree
0.3934582873943403,0.46262403528114665,S-Degree
0.40117603822124215,0.45409775817714076,S-Degree
0.40859977949283355,0.4538037486218302,S-Degree
0.4164645350973907,0.44549797868430724,S-Degree
0.4231532524807057,0.43337008452774717,S-Degree
0.42866593164277844,0.4272693862550533,S-Degree
0.43484013230429985,0.3018008085262771,S-Degree
0.4407203234105108,0.3018008085262771,S-Degree
0.44542447629547965,0.3018008085262771,S-Degree
0.4505696435134142,0.3018008085262771,S-Degree
0.45527379639838295,0.29592061742006615,S-Degree
0.4598309445056964,0.29121646453509736,S-Degree
0.4654171260565968,0.29121646453509736,S-Degree
0.4701947813303933,0.29121646453509736,S-Degree
0.47592796765894896,0.29121646453509736,S-Degree
0.48004410143329657,0.29121646453509736,S-Degree
0.4849687614847482,0.29121646453509736,S-Degree
0.48879088570378537,0.29121646453509736,S-Degree
0.4932745314222712,0.29121646453509736,S-Degree
0.49797868430724,0.29121646453509736,S-Degree
0.5015803013597941,0.29121646453509736,S-Degree
0.5051819184123484,0.2876148474825432,S-Degree
0.5091510474090408,0.2836457184858508,S-Degree
0.5129731716280779,0.27975009187798605,S-Degree
0.5167217934582874,0.27342888643880925,S-Degree
0.5198823961778758,0.27342888643880925,S-Degree
0.5236310180080852,0.27342888643880925,S-Degree
0.5274531422271224,0.27342888643880925,S-Degree
0.5309077545020213,0.26997427416391034,S-Degree
0.5344358691657478,0.26997427416391034,S-Degree
0.537449467107681,0.26997427416391034,S-Degree
0.540683572216097,0.26666666666666666,S-Degree
0.5436971701580302,0.2635795663359059,S-Degree
0.5472252848217567,0.26005145167217936,S-Degree
0.5507533994854833,0.26005145167217936,S-Degree
0.5546490260933481,0.2564498346196251,S-Degree
0.5576626240352811,0.2564498346196251,S-Degree
0.5608232267548695,0.2564498346196251,S-Degree
0.5641308342521132,0.2564498346196251,S-Degree
0.5675854465270121,0.24851157662624035,S-Degree
0.5703050349136347,0.24851157662624035,S-Degree
0.573465637633223,0.24851157662624035,S-Degree
0.577140757074605,0.24851157662624035,S-Degree
0.5800808526277104,0.24851157662624035,S-Degree
0.583020948180816,0.24527747151782434,S-Degree
0.5855200294009555,0.24196986402058066,S-Degree
0.5877986034546123,0.23888276368981992,S-Degree
0.5903711870635795,0.23888276368981992,S-Degree
0.5930907754502022,0.23888276368981992,S-Degree
0.5961778757809628,0.23498713708195515,S-Degree
0.5998529952223448,0.23498713708195515,S-Degree
0.6029400955531055,0.23498713708195515,S-Degree
0.6055861815509004,0.23498713708195515,S-Degree
0.60808526277104,0.2322675486953326,S-Degree
0.610951855935318,0.2322675486953326,S-Degree
0.613156927600147,0.22778390297684675,S-Degree
0.6163175303197355,0.22565233370084528,S-Degree
0.6186696067622197,0.2233002572583609,S-Degree
0.6211686879823595,0.21881661153987506,S-Degree
0.6235207644248438,0.21881661153987506,S-Degree
0.6259463432561558,0.21881661153987506,S-Degree
0.6281514149209849,0.21881661153987506,S-Degree
0.6306504961411246,0.21484748254318264,S-Degree
0.6326350606394708,0.21205439176773244,S-Degree
0.634619625137817,0.20610069827269387,S-Degree
0.6366776920249908,0.2039691289966924,S-Degree
0.6388092613009924,0.20132304299889747,S-Degree
0.6406468210216831,0.19948548327820653,S-Degree
0.642704887908857,0.19948548327820653,S-Degree
0.645130466740169,0.19948548327820653,S-Degree
0.646747519294377,0.19764792355751562,S-Degree
0.648585079015068,0.19764792355751562,S-Degree
0.6501286291804484,0.1952223447262036,S-Degree
0.6519661889011392,0.19213524439544286,S-Degree
0.6536567438441749,0.18890113928702681,S-Degree
0.6552002940095554,0.18890113928702681,S-Degree
0.6567438441749357,0.1875045938993017,S-Degree
0.6587284086732819,0.1875045938993017,S-Degree
0.6613744946710768,0.1875045938993017,S-Degree
0.6629915472252847,0.18552002940095552,S-Degree
0.664976111723631,0.18309445056964352,S-Degree
0.6671811833884601,0.18309445056964352,S-Degree
0.6688717383314957,0.18309445056964352,S-Degree
0.6711503123851525,0.18309445056964352,S-Degree
0.6725468577728776,0.18155090040426314,S-Degree
0.6740904079382579,0.18000735023888276,S-Degree
0.6760749724366042,0.17846380007350238,S-Degree
0.6778390297684675,0.17846380007350238,S-Degree
0.6801176038221242,0.17647923557515618,S-Degree
0.6821021683204704,0.17412715913267182,S-Degree
0.6838662256523337,0.17412715913267182,S-Degree
0.6859977949283351,0.17243660418963616,S-Degree
0.6876148474825432,0.17243660418963616,S-Degree
0.6890113928702684,0.1706725468577729,S-Degree
0.6905549430356487,0.1706725468577729,S-Degree
0.6920249908122014,0.16854097758177142,S-Degree
0.6932745314222712,0.16729143697170157,S-Degree
0.6949650863653068,0.16729143697170157,S-Degree
0.6962146269753767,0.1659683939728041,S-Degree
0.6991547225284822,0.1659683939728041,S-Degree
0.7006247703050349,0.16420433664094083,S-Degree
0.7019478133039323,0.16420433664094083,S-Degree
0.7034178610804851,0.16420433664094083,S-Degree
0.7048879088570379,0.1542080117603822,S-Degree
0.70606394707828,0.15303197353914003,S-Degree
0.7075339948548327,0.15303197353914003,S-Degree
0.7094450569643513,0.15303197353914003,S-Degree
0.7112091142962147,0.15303197353914003,S-Degree
0.7123116501286292,0.15185593531789784,S-Degree
0.7145902241822859,0.14994487320837926,S-Degree
0.7156927600147005,0.14884233737596472,S-Degree
0.7173833149577361,0.14884233737596472,S-Degree
0.7185593531789783,0.14729878721058434,S-Degree
0.7203969128996692,0.14729878721058434,S-Degree
0.7220874678427049,0.14560823226754868,S-Degree
0.72348401323043,0.14413818449099597,S-Degree
0.7245865490628445,0.1430356486585814,S-Degree
0.7259830944505696,0.1430356486585814,S-Degree
0.7276001470047777,0.1430356486585814,S-Degree
0.7287761852260198,0.14185961043733922,S-Degree
0.7303932377802278,0.14185961043733922,S-Degree
0.7316427783902977,0.14185961043733922,S-Degree
0.7329658213891952,0.14053656743844176,S-Degree
0.7345093715545755,0.14053656743844176,S-Degree
0.7357589121646453,0.13928702682837193,S-Degree
0.7367144432194046,0.13928702682837193,S-Degree
0.7381844909959574,0.13928702682837193,S-Degree
0.739875045938993,0.13928702682837193,S-Degree
0.7410510841602351,0.137449467107681,S-Degree
0.742300624770305,0.13612642410878353,S-Degree
0.7434766629915472,0.13495038588754135,S-Degree
0.7444321940463066,0.12583608967291438,S-Degree
0.7456817346563763,0.1256890848952591,S-Degree
0.7468577728776185,0.1245130466740169,S-Degree
0.748180815876516,0.12333700845277472,S-Degree
0.7495773612642411,0.12333700845277472,S-Degree
0.7508269018743109,0.12216097023153252,S-Degree
0.7519294377067255,0.11708930540242558,S-Degree
0.7531789783167953,0.11708930540242558,S-Degree
0.7542080117603822,0.11591326718118339,S-Degree
0.755678059536935,0.11591326718118339,S-Degree
0.7564865858140389,0.11591326718118339,S-Degree
0.7575891216464535,0.11591326718118339,S-Degree
0.7584711503123851,0.11481073134876883,S-Degree
0.7600147004777655,0.11481073134876883,S-Degree
0.7622197721425946,0.11481073134876883,S-Degree
0.7632488055861816,0.11481073134876883,S-Degree
0.7642778390297684,0.11370819551635428,S-Degree
0.7654538772510107,0.11260565968393972,S-Degree
0.7663359059169423,0.11260565968393972,S-Degree
0.7680264608599779,0.11260565968393972,S-Degree
0.768834987137082,0.11260565968393972,S-Degree
0.7700110253583241,0.11260565968393972,S-Degree
0.7711135611907387,0.11091510474090407,S-Degree
0.772069092245498,0.11091510474090407,S-Degree
0.7729511209114296,0.11091510474090407,S-Degree
0.7739066519661889,0.11091510474090407,S-Degree
0.7751561925762587,0.10988607129731716,S-Degree
