q,P_q,Method
0.0,1.0,S-Degree
0.05748647023451592,0.7844858689116055,S-Degree
0.10956103427540587,0.7326518340348768,S-Degree
0.15730607336139502,0.6826217678893566,S-Degree
0.20264582080577265,0.6826217678893566,S-Degree
0.24161154539987972,0.6417318099819603,S-Degree
0.27396271797955507,0.6095009019843656,S-Degree
0.3116055321707757,0.5831629585087191,S-Degree
0.3383042693926639,0.5555021046301865,S-Degree
0.3657245941070355,0.5261575466025256,S-Degree
0.3921828021647624,0.4983764281419122,S-Degree
0.419362597714973,0.4983764281419122,S-Degree
0.44521948286229707,0.47155742633794345,S-Degree
0.46867107636800964,0.44594107035478053,S-Degree
0.4906794948887553,0.421046301864101,S-Degree
0.5130487071557426,0.31413108839446785,S-Degree
0.5338544798556826,0.29368610944076967,S-Degree
0.5551413108839447,0.27263980757666867,S-Degree
0.5736620565243535,0.24930847865303668,S-Degree
0.5953096812988574,0.22946482260974144,S-Degree
0.6150330727600721,0.211665664461816,S-Degree
0.6363199037883344,0.211665664461816,S-Degree
0.6549609140108238,0.16079374624173182,S-Degree
0.6727600721587492,0.14239326518340348,S-Degree
0.687071557426338,0.14239326518340348,S-Degree
0.7012627781118461,0.14239326518340348,S-Degree
0.7152134696331931,0.14239326518340348,S-Degree
0.7272399278412507,0.12880336740829826,S-Degree
0.738544798556825,0.08695129284425737,S-Degree
0.750811785929044,0.06867107636800962,S-Degree
0.7599518941671678,0.06867107636800962,S-Degree
0.771256764882742,0.05844858689116055,S-Degree
0.7813589897775105,0.03668069753457607,S-Degree
0.7896572459410703,0.03668069753457607,S-Degree
0.7981960312687914,0.03668069753457607,S-Degree
0.8074564040889958,0.03668069753457607,S-Degree
0.8158749248346362,0.03668069753457607,S-Degree
0.8239326518340349,0.03668069753457607,S-Degree
0.8310282621767889,0.0158749248346362,S-Degree
0.8369212266987373,0.011304870715574263,S-Degree
0.8430547203848466,0.011304870715574263,S-Degree
0.848346361996392,0.011304870715574263,S-Degree
0.855201443174985,0.011304870715574263,S-Degree
0.8597714972940469,0.011304870715574263,S-Degree
0.8645820805772699,0.011304870715574263,S-Degree
0.8696331930246542,0.011304870715574263,S-Degree
0.8743235117257968,0.007817197835237523,S-Degree
0.0,1.0,S-CoreHD
0.05748647023451592,0.7844858689116055,S-CoreHD
0.10523150932050507,0.7344558027660854,S-CoreHD
0.1575466025255562,0.6828622970535178,S-CoreHD
0.19651232711966327,0.6423331328923632,S-CoreHD
0.2418520745640409,0.6423331328923632,S-CoreHD
0.27420324714371613,0.6101022248947685,S-CoreHD
0.30162357185808775,0.5814792543595911,S-CoreHD
0.32832230907997595,0.5530968129885748,S-CoreHD
0.354780517137703,0.5253156945279616,S-CoreHD
0.38063740228502707,0.4984966927239928,S-CoreHD
0.4103427540589296,0.47119663259170175,S-CoreHD
0.4330727600721588,0.44521948286229707,S-CoreHD
0.4602525556223692,0.44521948286229707,S-CoreHD
0.48226097414311486,0.42032471437161756,S-CoreHD
0.5033072760072159,0.3993986770895971,S-CoreHD
0.5256764882742033,0.30342754058929644,S-CoreHD
0.5443174984966928,0.2841852074564041,S-CoreHD
0.565844858689116,0.2627781118460613,S-CoreHD
0.5840048105832832,0.22236921226698736,S-CoreHD
0.6018039687312087,0.20396873120865905,S-CoreHD
0.6230907997594708,0.20396873120865905,S-CoreHD
0.6446181599518941,0.153337342152736,S-CoreHD
0.6590499098015634,0.153337342152736,S-CoreHD
0.6750450992182802,0.12315093205051113,S-CoreHD
0.6892363199037883,0.12315093205051113,S-CoreHD
0.7031870114251353,0.12315093205051113,S-CoreHD
0.7156945279615153,0.06722790138304269,S-CoreHD
0.7312086590499098,0.06722790138304269,S-CoreHD
0.7403487672880337,0.06722790138304269,S-CoreHD
0.7512928442573662,0.05063138905592303,S-CoreHD
0.7625977149729405,0.05063138905592303,S-CoreHD
0.7711365003006614,0.05063138905592303,S-CoreHD
0.7809981960312689,0.025736620565243534,S-CoreHD
0.7908598917618761,0.01455201443174985,S-CoreHD
0.7990378833433553,0.01455201443174985,S-CoreHD
0.8067348165965124,0.01455201443174985,S-CoreHD
0.8150330727600722,0.01455201443174985,S-CoreHD
0.8217678893565845,0.010463018641010223,S-CoreHD
0.8260974143114852,0.010463018641010223,S-CoreHD
0.829585087191822,0.010463018641010223,S-CoreHD
0.8354780517137703,0.010463018641010223,S-CoreHD
0.83956704750451,0.006253758268190018,S-CoreHD
