q,P_q,Method
0.0,1.0,S-Degree
0.11727416798732171,0.8266057611634194,S-Degree
0.19017432646592713,0.7538920481029179,S-Degree
0.24181970728069357,0.703924676051086,S-Degree
0.2869394984618253,0.6566607625617601,S-Degree
0.3223641279015568,0.6223548056306516,S-Degree
0.3485597091451478,0.5961592243870607,S-Degree
0.3670178055374289,0.5770485690314161,S-Degree
0.38687424256548897,0.5570989092943041,S-Degree
0.40309499394052395,0.5407849352102172,S-Degree
0.41549361424443,0.5177589260743917,S-Degree
0.4276125664211802,0.5044280786799664,S-Degree
0.4381467325440477,0.49324135359373544,S-Degree
0.4467232217768249,0.47263913489326,S-Degree
0.45632516080917307,0.4610795189708213,S-Degree
0.4656474317143656,0.44607066281346136,S-Degree
0.4762748205462851,0.42668033933066096,S-Degree
0.4832665237251794,0.42668033933066096,S-Degree
0.49314813088468346,0.41623939591684533,S-Degree
0.5027500699170317,0.40514589353966624,S-Degree
0.5105807774773935,0.3962897361797334,S-Degree
0.5203691619278457,0.3799757620956465,S-Degree
0.5270811969795842,0.37270439078959633,S-Degree
0.5337932320313228,0.3655262421925981,S-Degree
0.5393865945744383,0.35564463503309407,S-Degree
0.5471240794257481,0.3515428358348094,S-Degree
0.5527174419688636,0.3506106087442901,S-Degree
0.5590565861843946,0.3426866784748765,S-Degree
0.5652092849818215,0.3426866784748765,S-Degree
0.5703365339796774,0.33783909760417635,S-Degree
0.575929896522793,0.3174233243218048,S-Degree
0.5811503682297008,0.3013890183648737,S-Degree
0.5863708399366085,0.3013890183648737,S-Degree
0.5921506478978279,0.2950498741493428,S-Degree
0.5973711196047358,0.28936328889717533,S-Degree
0.6024983686025915,0.2836767036450079,S-Degree
0.6073459494732917,0.27743078213852895,S-Degree
0.6127528665983033,0.27183741959541347,S-Degree
0.6176936701780553,0.2581336813647805,S-Degree
0.6228209191759113,0.23762468537335696,S-Degree
0.6271091637922999,0.22914141884963177,S-Degree
0.6318635219539479,0.22503961965134706,S-Degree
0.6363382119884404,0.2180479164724527,S-Degree
0.6407196793138809,0.21348000372890835,S-Degree
0.6458469283117367,0.20788664118579286,S-Degree
0.6500419502190733,0.2046238463689755,S-Degree
0.6543301948354618,0.1960473571361984,S-Degree
0.6587116621609024,0.15419036077188403,S-Degree
0.6626270159410832,0.15419036077188403,S-Degree
0.6661694788850564,0.1436561946490165,S-Degree
0.6701780553742891,0.1436561946490165,S-Degree
0.6741866318635219,0.10245175724806563,S-Degree
0.6784748764799104,0.10245175724806563,S-Degree
0.6824834529691433,0.09508716323296355,S-Degree
0.6861191386221683,0.09089214132562692,S-Degree
0.6896616015661415,0.09089214132562692,S-Degree
0.692644728255803,0.09089214132562692,S-Degree
0.6961871911997763,0.09089214132562692,S-Degree
0.6995432087256456,0.08604456045492682,S-Degree
0.7030856716696188,0.08268854292905752,S-Degree
0.7065349119045399,0.08110375687517479,S-Degree
0.7094248158851496,0.07821385289456512,S-Degree
0.7122214971567074,0.06609490071781486,S-Degree
0.7149249557192132,0.035144961312575745,S-Degree
0.717721636990771,0.035144961312575745,S-Degree
0.7207047636804326,0.035144961312575745,S-Degree
0.7235014449519903,0.035144961312575745,S-Degree
0.7259252353873403,0.035144961312575745,S-Degree
0.7282558031136385,0.035144961312575745,S-Degree
0.7308660389670925,0.035144961312575745,S-Degree
0.7336627202386501,0.035144961312575745,S-Degree
0.7359932879649482,0.01789876013796961,S-Degree
0.738883191945558,0.01789876013796961,S-Degree
0.741306982380908,0.01789876013796961,S-Degree
0.7436375501072061,0.01789876013796961,S-Degree
0.7456884497063485,0.01789876013796961,S-Degree
0.7480190174326466,0.01789876013796961,S-Degree
0.7501631397408408,0.01789876013796961,S-Degree
0.752493707467139,0.01789876013796961,S-Degree
0.7549174979024891,0.01789876013796961,S-Degree
0.7570616202106834,0.01789876013796961,S-Degree
0.7592989652279295,0.01789876013796961,S-Degree
0.7612566421180199,0.01789876013796961,S-Degree
0.7641465460986296,0.01789876013796961,S-Degree
0.76610422298872,0.01789876013796961,S-Degree
0.7679686771697586,0.01789876013796961,S-Degree
0.7701127994779529,0.01789876013796961,S-Degree
0.7721636990770951,0.01789876013796961,S-Degree
0.7744942668033933,0.01789876013796961,S-Degree
0.776172275566328,0.015568192411671483,S-Degree
0.7781299524564184,0.015568192411671483,S-Degree
0.7799944066374569,0.015568192411671483,S-Degree
0.7818588608184954,0.015568192411671483,S-Degree
0.7838165377085858,0.015568192411671483,S-Degree
0.7858674373077281,0.015568192411671483,S-Degree
0.7877318914887667,0.015568192411671483,S-Degree
0.7895963456698052,0.015568192411671483,S-Degree
0.7912743544327399,0.015568192411671483,S-Degree
0.7931388086137783,0.009881607159504055,S-Degree
0.0,1.0,S-CoreHD
0.11727416798732171,0.8266057611634194,S-CoreHD
0.19017432646592713,0.7538920481029179,S-CoreHD
0.24181970728069357,0.703924676051086,S-CoreHD
0.2869394984618253,0.6566607625617601,S-CoreHD
0.3223641279015568,0.6223548056306516,S-CoreHD
0.3485597091451478,0.5961592243870607,S-CoreHD
0.36739069637363664,0.5767689009042603,S-CoreHD
0.386781019856437,0.5565395730399926,S-CoreHD
0.40300177123147196,0.5402255989559056,S-CoreHD
0.41549361424443,0.5116994499860166,S-CoreHD
0.4260277803672975,0.5005127248997856,S-CoreHD
0.43870606879835927,0.4830800783070756,S-CoreHD
0.4486808986669153,0.47207979863894844,S-CoreHD
0.457723501444952,0.47207979863894844,S-CoreHD
0.46760510860445603,0.4616388552251328,S-CoreHD
0.4769273795096486,0.4523165843199403,S-CoreHD
0.4855038687424257,0.4317143656194649,S-CoreHD
0.4933345763027873,0.4237904353500513,S-CoreHD
0.5019110655355645,0.4220192038780647,S-CoreHD
0.5105807774773935,0.41092570150088564,S-CoreHD
0.5172928125291321,0.4036543301948355,S-CoreHD
0.5233522886175073,0.38659457443833317,S-CoreHD
0.5330474503589074,0.3702806003542463,S-CoreHD
0.5390137037382307,0.36263633821198843,S-CoreHD
0.5442341754451384,0.35704297566887294,S-CoreHD
0.5503868742425655,0.35704297566887294,S-CoreHD
0.555887014076629,0.33737298405891675,S-CoreHD
0.5622261582921599,0.3294490537895031,S-CoreHD
0.5673534072900158,0.3237624685373357,S-CoreHD
0.5729467698331314,0.31872844224853175,S-CoreHD
0.5785401323762469,0.3090332805071315,S-CoreHD
