q,P_q,Method
0.0,1.0,S-Degree
0.015906146538073984,0.9363754138477041,S-Degree
0.02914927306751114,0.9165107240535483,S-Degree
0.04160069094573193,0.9038433856340866,S-Degree
0.05218079746653237,0.8911040737008781,S-Degree
0.06146538073988772,0.8815315963725349,S-Degree
0.06866273211458185,0.8743342449978408,S-Degree
0.07679573916798621,0.8658413703757017,S-Degree
0.08449690513890884,0.8564848135885994,S-Degree
0.09255793867856632,0.8484957535626889,S-Degree
0.09946739599827259,0.8415143227292357,S-Degree
0.10659277385921984,0.8320138189146394,S-Degree
0.11285446955520373,0.8256801497049086,S-Degree
0.12019576795739173,0.8182668777889737,S-Degree
0.12616956959838777,0.8022167842234058,S-Degree
0.13250323880811865,0.795739167986181,S-Degree
0.13847704044911469,0.7882539225564992,S-Degree
0.14394702749388222,0.7781056571181805,S-Degree
0.14941701453864975,0.7727076435871599,S-Degree
0.15467108104217653,0.7673096300561394,S-Degree
0.16021304160069094,0.7580250467827839,S-Degree
0.1654671081042176,0.7527709802792573,S-Degree
0.17086512163523826,0.7527709802792573,S-Degree
0.17619116165251192,0.7470850726932489,S-Degree
0.18058154599107523,0.7421908737584569,S-Degree
0.18561969195336114,0.7369368072549302,S-Degree
0.1915215200806103,0.7304591910177055,S-Degree
0.1965596660428962,0.7253490715416727,S-Degree
0.2023175471426515,0.7195192169281704,S-Degree
0.20706779904994965,0.7146250179933784,S-Degree
0.21109831581977834,0.7060601698574924,S-Degree
0.21592054124082338,0.7011659709227005,S-Degree
0.22052684612062756,0.6965596660428962,S-Degree
0.2254210450554196,0.6867712681733122,S-Degree
0.22945156182524828,0.6867712681733122,S-Degree
0.2354973369799913,0.6795739167986181,S-Degree
0.23945588023607312,0.6753994530012956,S-Degree
0.24435007917086515,0.6701453864977688,S-Degree
0.2485965164819346,0.6660428962141932,S-Degree
0.2526270332517634,0.6590614653807398,S-Degree
0.25680149704908595,0.6584856772707643,S-Degree
0.26083201381891463,0.6544551605009357,S-Degree
0.26515042464373106,0.6500647761623722,S-Degree
0.26867712681733125,0.6463941269612783,S-Degree
0.27198790844969056,0.6375413847704045,S-Degree
0.2755865841370375,0.6339427090830574,S-Degree
0.2795451273931193,0.629624298258241,S-Degree
0.2831438030804664,0.6288325896070246,S-Degree
0.2865265582265726,0.6254498344609184,S-Degree
0.290916942565136,0.6201957679573917,S-Degree
0.2943716712249892,0.6162372247013099,S-Degree
0.298258240967324,0.6122786814452281,S-Degree
0.3022167842234058,0.59176623002735,S-Degree
0.30545559234201813,0.5885274219087376,S-Degree
0.30927018857060606,0.5846408521664027,S-Degree
0.3140924139916511,0.5846408521664027,S-Degree
0.31718727508276956,0.5846408521664027,S-Degree
0.3214337123938391,0.5846408521664027,S-Degree
0.3253922556499208,0.5804663883690802,S-Degree
0.3283431697135454,0.5760760040305167,S-Degree
0.33194184540089244,0.5700302288757737,S-Degree
0.33467683892327627,0.567223261839643,S-Degree
0.3377717000143947,0.567223261839643,S-Degree
0.3405066935367784,0.5643443212897654,S-Degree
0.34352958111415,0.5614653807398877,S-Degree
0.3469843097740032,0.5614653807398877,S-Degree
0.3497912768101339,0.5582265726212754,S-Degree
0.35223837627752985,0.5554915790988916,S-Degree
0.35576507845113003,0.5517489563840506,S-Degree
0.3588599395422485,0.5485101482654383,S-Degree
0.3614509860371383,0.5448394990643444,S-Degree
0.3644019001007629,0.5418885850007197,S-Degree
0.36692097308190585,0.539153591478336,S-Degree
0.3695120195767957,0.5359147833597236,S-Degree
