q,P_q,Method
0.0,1.0,S-Degree
0.1466153846153846,0.8371538461538461,S-Degree
0.22853846153846158,0.7546923076923077,S-Degree
0.28646153846153843,0.696923076923077,S-Degree
0.3368461538461538,0.6494615384615384,S-Degree
0.37169230769230766,0.6122307692307692,S-Degree
0.3940769230769231,0.5882307692307692,S-Degree
0.41792307692307695,0.5631538461538461,S-Degree
0.43946153846153846,0.5415384615384615,S-Degree
0.45961538461538465,0.5213076923076924,S-Degree
0.47715384615384615,0.5015384615384615,S-Degree
0.4959230769230769,0.48307692307692307,S-Degree
0.5136153846153846,0.4603846153846154,S-Degree
0.5297692307692308,0.4440769230769231,S-Degree
0.5467692307692308,0.42630769230769233,S-Degree
0.5612307692307692,0.41215384615384615,S-Degree
0.5748461538461538,0.39753846153846156,S-Degree
0.5869230769230769,0.383,S-Degree
0.5991538461538461,0.36538461538461536,S-Degree
0.61,0.3545384615384615,S-Degree
0.6194615384615385,0.34392307692307694,S-Degree
0.6292307692307693,0.3340769230769231,S-Degree
0.6374615384615385,0.3251538461538461,S-Degree
0.6477692307692308,0.3166923076923077,S-Degree
0.6570769230769231,0.3053076923076923,S-Degree
0.664923076923077,0.29753846153846153,S-Degree
0.6736153846153846,0.27576923076923077,S-Degree
0.6811538461538462,0.26676923076923076,S-Degree
0.6884615384615385,0.26176923076923075,S-Degree
0.6962307692307692,0.2543076923076923,S-Degree
0.702,0.2543076923076923,S-Degree
0.7085384615384616,0.25261538461538463,S-Degree
0.7143076923076923,0.24646153846153845,S-Degree
0.7205384615384616,0.24023076923076922,S-Degree
0.7263846153846154,0.23446153846153847,S-Degree
0.7316153846153846,0.22838461538461538,S-Degree
0.7367692307692308,0.22323076923076923,S-Degree
0.7410769230769231,0.22323076923076923,S-Degree
0.7469230769230769,0.22315384615384615,S-Degree
0.7520769230769231,0.217,S-Degree
0.7567692307692307,0.21176923076923077,S-Degree
0.7611538461538462,0.2073846153846154,S-Degree
0.7657692307692308,0.20276923076923076,S-Degree
0.7713076923076922,0.19676923076923078,S-Degree
0.7753076923076923,0.19038461538461537,S-Degree
0.7786923076923077,0.18676923076923077,S-Degree
0.7826923076923077,0.18276923076923077,S-Degree
0.7871538461538461,0.1783076923076923,S-Degree
0.7908461538461539,0.17453846153846153,S-Degree
0.795,0.17038461538461538,S-Degree
0.7988461538461539,0.17038461538461538,S-Degree
0.803076923076923,0.166,S-Degree
0.8064615384615385,0.1616923076923077,S-Degree
0.8096923076923077,0.15838461538461537,S-Degree
0.8135384615384615,0.15561538461538463,S-Degree
0.8168461538461538,0.1446923076923077,S-Degree
0.8207692307692308,0.1406923076923077,S-Degree
0.8243846153846154,0.1406923076923077,S-Degree
0.8275384615384616,0.1406923076923077,S-Degree
0.8306923076923077,0.13753846153846153,S-Degree
0.8345384615384616,0.13423076923076924,S-Degree
0.8374615384615385,0.13138461538461538,S-Degree
0.8408461538461538,0.12284615384615384,S-Degree
0.8446153846153847,0.119,S-Degree
0.8478461538461538,0.11561538461538462,S-Degree
0.8510769230769231,0.10484615384615385,S-Degree
0.8533846153846154,0.10484615384615385,S-Degree
0.8566153846153846,0.10484615384615385,S-Degree
0.8589230769230769,0.10484615384615385,S-Degree
0.8614615384615385,0.10192307692307692,S-Degree
0.8640769230769231,0.09992307692307692,S-Degree
0.8668461538461538,0.0963076923076923,S-Degree
0.8694615384615385,0.094,S-Degree
0.8720769230769231,0.094,S-Degree
0.8743076923076923,0.09107692307692308,S-Degree
0.8763846153846154,0.09107692307692308,S-Degree
0.8784615384615384,0.08861538461538461,S-Degree
0.8807692307692307,0.08384615384615385,S-Degree
0.8831538461538462,0.082,S-Degree
0.8850769230769231,0.0746923076923077,S-Degree
0.8871538461538462,0.07215384615384615,S-Degree
0.8893076923076924,0.06084615384615385,S-Degree
0.891,0.054615384615384614,S-Degree
0.8924615384615384,0.054615384615384614,S-Degree
0.8944615384615384,0.052307692307692305,S-Degree
0.8963076923076922,0.046615384615384614,S-Degree
0.898,0.04484615384615385,S-Degree
0.8994615384615384,0.043,S-Degree
0.9010769230769231,0.04138461538461539,S-Degree
0.9028461538461539,0.03561538461538462,S-Degree
0.9046923076923077,0.03561538461538462,S-Degree
0.9066153846153846,0.03346153846153846,S-Degree
0.9082307692307692,0.03346153846153846,S-Degree
0.909923076923077,0.03346153846153846,S-Degree
0.9110769230769231,0.03207692307692308,S-Degree
0.912923076923077,0.03207692307692308,S-Degree
0.9148461538461539,0.03207692307692308,S-Degree
0.9163076923076923,0.021923076923076924,S-Degree
0.9176153846153846,0.021923076923076924,S-Degree
0.919,0.020153846153846154,S-Degree
0.9201538461538461,0.020153846153846154,S-Degree
0.9216923076923077,0.020153846153846154,S-Degree
0.923,0.018846153846153846,S-Degree
0.9243076923076923,0.018846153846153846,S-Degree
0.9253076923076923,0.018846153846153846,S-Degree
0.9266153846153846,0.018846153846153846,S-Degree
0.927923076923077,0.01723076923076923,S-Degree
0.9290769230769231,0.01723076923076923,S-Degree
0.9303846153846154,0.01723076923076923,S-Degree
0.9317692307692308,0.015846153846153847,S-Degree
0.9327692307692308,0.015846153846153847,S-Degree
0.9338461538461539,0.011538461538461539,S-Degree
0.9345384615384615,0.011538461538461539,S-Degree
0.9356153846153846,0.011538461538461539,S-Degree
0.9365384615384615,0.008769230769230769,S-Degree
0.0,1.0,S-CoreHD
0.1466153846153846,0.8371538461538461,S-CoreHD
0.22915384615384615,0.7540769230769231,S-CoreHD
0.2870769230769231,0.6963076923076923,S-CoreHD
0.33707692307692305,0.6480769230769231,S-CoreHD
0.3720769230769231,0.6103076923076923,S-CoreHD
0.39592307692307693,0.5851538461538461,S-CoreHD
0.41746153846153844,0.5635384615384615,S-CoreHD
0.43999999999999995,0.5405384615384615,S-CoreHD
0.46015384615384614,0.5203076923076924,S-CoreHD
0.4767692307692307,0.5014615384615385,S-CoreHD
0.4935384615384616,0.48407692307692307,S-CoreHD
0.5103076923076924,0.46484615384615385,S-CoreHD
0.5263846153846155,0.4483846153846154,S-CoreHD
0.5428461538461539,0.4266923076923077,S-CoreHD
0.5558461538461539,0.413,S-CoreHD
0.567923076923077,0.39953846153846156,S-CoreHD
0.5815384615384616,0.3849230769230769,S-CoreHD
0.5923846153846154,0.3740769230769231,S-CoreHD
0.6031538461538462,0.35846153846153844,S-CoreHD
0.613,0.35115384615384615,S-CoreHD
0.6226923076923077,0.34115384615384614,S-CoreHD
0.6318461538461538,0.33176923076923076,S-CoreHD
0.6421538461538461,0.3233076923076923,S-CoreHD
0.6510769230769231,0.30915384615384617,S-CoreHD
0.6586153846153846,0.2913076923076923,S-CoreHD
0.6666153846153846,0.2796153846153846,S-CoreHD
0.6741538461538461,0.2706153846153846,S-CoreHD
0.6824615384615385,0.26284615384615384,S-CoreHD
0.6896923076923077,0.25584615384615383,S-CoreHD
0.6952307692307692,0.2503076923076923,S-CoreHD
0.7010769230769232,0.24453846153846154,S-CoreHD
0.7088461538461539,0.23676923076923076,S-CoreHD
0.714076923076923,0.2306923076923077,S-CoreHD
0.7196923076923076,0.22230769230769232,S-CoreHD
0.7254615384615384,0.21615384615384614,S-CoreHD
0.7306153846153847,0.21053846153846154,S-CoreHD
0.7368461538461539,0.2043076923076923,S-CoreHD
0.7411538461538462,0.19984615384615384,S-CoreHD
0.7453076923076922,0.1956923076923077,S-CoreHD
0.7492307692307693,0.1916923076923077,S-CoreHD
0.7538461538461538,0.18707692307692309,S-CoreHD
0.7582307692307693,0.18269230769230768,S-CoreHD
0.7623846153846154,0.18269230769230768,S-CoreHD
0.7657692307692308,0.17907692307692308,S-CoreHD
0.7693846153846153,0.17361538461538462,S-CoreHD
0.7733846153846153,0.1696153846153846,S-CoreHD
0.7767692307692308,0.1653076923076923,S-CoreHD
0.781,0.16092307692307692,S-CoreHD
0.7842307692307693,0.1576153846153846,S-CoreHD
0.789076923076923,0.1576153846153846,S-CoreHD
0.7920769230769231,0.15346153846153845,S-CoreHD
0.7971538461538461,0.14715384615384616,S-CoreHD
