q,P_q,Method
0.0,1.0,S-Degree
0.06494215236847845,0.9274175944117005,S-Degree
0.11165684348395544,0.8807029032962236,S-Degree
0.14090809866841303,0.851451648111766,S-Degree
0.176598995852434,0.814887579131194,S-Degree
0.20541366513861603,0.7859637633704432,S-Degree
0.22920759659462997,0.761405806592447,S-Degree
0.25169177035581747,0.7379393145601397,S-Degree
0.2727570399476097,0.7170923379174853,S-Degree
0.2917485265225933,0.6976642654442261,S-Degree
0.31401440733464314,0.6753983846321764,S-Degree
0.3316961362148002,0.6576075092774504,S-Degree
0.3491595721458197,0.6401440733464309,S-Degree
0.3659681292294259,0.6238812486356691,S-Degree
0.38179436804191225,0.607836716874045,S-Degree
0.396419995634141,0.5929927963326784,S-Degree
0.41257367387033395,0.5767299716219166,S-Degree
0.4277450338354071,0.5616677581314123,S-Degree
0.44215236847849815,0.545841519318926,S-Degree
0.45394018773193623,0.5331805282689369,S-Degree
0.4657280069853744,0.5211744160663611,S-Degree
0.4747871643745907,0.5121152586771447,S-Degree
0.48744815542457975,0.499126828203449,S-Degree
0.499126828203449,0.48755730189914864,S-Degree
0.5089500109146474,0.4768609473913993,S-Degree
0.5179000218292948,0.4676926435276141,S-Degree
0.5284872298624754,0.4568871425452958,S-Degree
0.5389652914210872,0.4457542021392709,S-Degree
0.5485701811831478,0.4351669941060904,S-Degree
0.5575201920977952,0.4262169831914429,S-Degree
0.565269591792185,0.41803099759877754,S-Degree
0.573018991486575,0.4087535472604235,S-Degree
0.5819690024012225,0.3999126828203449,S-Degree
0.5919013315869898,0.3885614494651823,S-Degree
0.6021611001964636,0.3781925343811395,S-Degree
0.6108928181619734,0.36367605326347957,S-Degree
0.6198428290766208,0.3524339663828858,S-Degree
0.6283562540929928,0.33977297533289674,S-Degree
0.6367605326347958,0.3280943025540275,S-Degree
0.64603798297315,0.3195808775376555,S-Degree
0.6520410390744379,0.3093211089281816,S-Degree
0.6601178781925343,0.29764243614931235,S-Degree
0.6661209342938224,0.2914210870988867,S-Degree
0.6722331368696791,0.28465400567561666,S-Degree
0.6780179000218293,0.2782143636760533,S-Degree
0.6834752237502728,0.2690460598122681,S-Degree
0.6893691333769919,0.25878629120279417,S-Degree
0.6959179218511242,0.25201920977952413,S-Degree
0.7022484173761188,0.2406679764243615,S-Degree
0.7078148875791312,0.23324601615367824,S-Degree
0.7128356254092993,0.22822527832351014,S-Degree
0.7188386815105872,0.2222222222222222,S-Degree
0.7237502728661864,0.2222222222222222,S-Degree
0.7282252783235101,0.21752892381576075,S-Degree
0.7333551626282471,0.21141672123990396,S-Degree
0.7382667539838463,0.20606854398602925,S-Degree
0.7430691988648767,0.20606854398602925,S-Degree
0.7476533507967693,0.20115695263043004,S-Degree
0.7511460379829732,0.20115695263043004,S-Degree
0.7554027504911591,0.19438987120716,S-Degree
0.758895437677363,0.19013315869897401,S-Degree
0.7628247107618424,0.18576729971621916,S-Degree
0.7668631303208906,0.18423924907225497,S-Degree
0.771665575201921,0.17135996507312815,S-Degree
0.7761405806592447,0.17135996507312815,S-Degree
0.7795241213708797,0.16492032307356472,S-Degree
0.7825802226588081,0.16022702466710326,S-Degree
0.7856363239467365,0.16022702466710326,S-Degree
0.7892381576075093,0.1554245797860729,S-Degree
0.7926216983191443,0.1505129884304737,S-Degree
0.796223531979917,0.1459288364985811,S-Degree
0.79884304736957,0.14309102815979044,S-Degree
0.8017900021829295,0.13425016371971185,S-Degree
0.805500982318271,0.12846540056756167,S-Degree
0.8084479371316307,0.12551844575420215,S-Degree
0.8115040384195591,0.122244051517136,S-Degree
0.8142327002837808,0.11951538965291421,S-Degree
0.8172888015717092,0.05981226806374154,S-Degree
0.8199083169613621,0.05981226806374154,S-Degree
0.8223095394018773,0.0573018991486575,S-Degree
0.8249290547915302,0.0573018991486575,S-Degree
0.8274394237066143,0.05217201484392054,S-Degree
0.8298406461471295,0.05217201484392054,S-Degree
0.8323510150622135,0.048570181183147786,S-Degree
0.834424798079022,0.048570181183147786,S-Degree
0.8362802881466929,0.048570181183147786,S-Degree
0.8393363894346213,0.048570181183147786,S-Degree
0.8416284654005676,0.043440296878410826,S-Degree
0.8441388343156516,0.043440296878410826,S-Degree
0.8465400567561667,0.041475660336171144,S-Degree
0.8488321327221131,0.041475660336171144,S-Degree
0.8506876227897839,0.041475660336171144,S-Degree
0.8528705522811613,0.041475660336171144,S-Degree
0.8545077493996944,0.019428072473259114,S-Degree
0.8564723859419341,0.019428072473259114,S-Degree
0.8585461689587426,0.019428072473259114,S-Degree
0.86072909845012,0.019428072473259114,S-Degree
0.862475442043222,0.015607945863348615,S-Degree
0.8643309321108928,0.014298188168522156,S-Degree
0.8658589827548571,0.014298188168522156,S-Degree
0.8678236192970967,0.014298188168522156,S-Degree
0.8696791093647676,0.014298188168522156,S-Degree
0.8715345994324384,0.014298188168522156,S-Degree
0.8733900895001092,0.013534162846540057,S-Degree
0.8753547260423489,0.013534162846540057,S-Degree
0.8773193625845885,0.013534162846540057,S-Degree
0.8787382667539838,0.013534162846540057,S-Degree
0.8805937568216546,0.013534162846540057,S-Degree
0.882885832787601,0.013534162846540057,S-Degree
0.8846321763807029,0.013534162846540057,S-Degree
0.8865968129229426,0.013534162846540057,S-Degree
0.8881248635669068,0.013425016371971186,S-Degree
0.8899803536345776,0.013425016371971186,S-Degree
0.8912901113294041,0.011896965728006985,S-Degree
0.8928181619733683,0.011896965728006985,S-Degree
0.8941279196681947,0.011896965728006985,S-Degree
0.8955468238375901,0.011896965728006985,S-Degree
0.8970748744815542,0.011896965728006985,S-Degree
0.898930364549225,0.011896965728006985,S-Degree
0.9003492687186204,0.011896965728006985,S-Degree
0.9016590264134469,0.011896965728006985,S-Degree
0.9034053700065487,0.011896965728006985,S-Degree
0.9047151277013752,0.009604889762060686,S-Degree
0.0,1.0,S-CoreHD
0.06494215236847845,0.9274175944117005,S-CoreHD
0.11165684348395544,0.8807029032962236,S-CoreHD
0.14723859419340757,0.8440296878410828,S-CoreHD
0.17648984937786505,0.8147784326566252,S-CoreHD
0.20519537218947825,0.7859637633704432,S-CoreHD
0.2289893036454923,0.761405806592447,S-CoreHD
0.2514734774066798,0.7379393145601397,S-CoreHD
0.27232045404933425,0.7170923379174853,S-CoreHD
0.29131194062431787,0.6976642654442261,S-CoreHD
0.3092119624536127,0.6797642436149313,S-CoreHD
0.3265662519100633,0.6623008076839119,S-CoreHD
0.3478498144509933,0.640034926871862,S-CoreHD
0.3636760532634796,0.6239903951102379,S-CoreHD
0.37830168085570837,0.6091464745688714,S-CoreHD
0.3944553590919013,0.5927745033835408,S-CoreHD
0.41049989085352545,0.5759659462999345,S-CoreHD
0.4254529578694608,0.5609037328094303,S-CoreHD
0.43713163064833005,0.5490067670814233,S-CoreHD
0.4488103034271993,0.5374372407771228,S-CoreHD
0.46321763807029037,0.5216110019646365,S-CoreHD
0.4754420432220039,0.5089500109146474,S-CoreHD
0.4866841301025977,0.49672560576293384,S-CoreHD
0.4960707269155207,0.48722986247544203,S-CoreHD
0.5060030561012879,0.46922069417157825,S-CoreHD
0.5149530670159355,0.4602706832569308,S-CoreHD
0.5251036891508405,0.4480462781052172,S-CoreHD
0.535581750709452,0.43407552936040167,S-CoreHD
0.5459506657934949,0.42305173542894564,S-CoreHD
0.5582842174197773,0.41017245142981884,S-CoreHD
0.5669067889107182,0.40034926871862037,S-CoreHD
0.574656188605108,0.39216328312595505,S-CoreHD
0.5849159572145819,0.38179436804191225,S-CoreHD
0.5931019428072473,0.37339008950010916,S-CoreHD
0.6011787819253438,0.36258458851779085,S-CoreHD
0.6089281816197336,0.35352543112857454,S-CoreHD
0.6168958742632613,0.33115040384195593,S-CoreHD
0.6262824710761843,0.3184894127919668,S-CoreHD
0.6361056537873826,0.3049552499454268,S-CoreHD
0.6421087098886706,0.29895219384413885,S-CoreHD
0.6481117659899585,0.2922942588954377,S-CoreHD
0.6546605544640909,0.28541803099759877,S-CoreHD
0.6606636105653787,0.2791966819471731,S-CoreHD
0.6661209342938224,0.2700283780833879,S-CoreHD
0.6722331368696791,0.2632612966601179,S-CoreHD
0.6781270464963982,0.2549661645928836,S-CoreHD
0.6831477843265663,0.24994542676271556,S-CoreHD
0.6891508404278541,0.24274175944117005,S-CoreHD
0.6942807247325911,0.23662955686531326,S-CoreHD
0.6999563414101724,0.22778869242523467,S-CoreHD
0.7042130539183584,0.22102161100196463,S-CoreHD
0.7085789129011133,0.21163501418904168,S-CoreHD
0.7131630648330058,0.20672342283344247,S-CoreHD
0.7176380702903296,0.202030124426981,S-CoreHD
