rank,center_node_id
1,8096
2,11097
3,8200
4,14529
5,10939
6,13453
7,26239
8,16568
9,21396
10,9599
11,17105
12,15388
13,25243
14,25534
15,1930
16,23078
17,19085
18,1265
19,4679
20,28010
21,4527
22,9392
23,18612
24,3592
25,26787
26,27805
27,16201
28,21527
29,23932
30,28953
31,22421
32,13556
33,35392
34,2082
35,11091
36,32756
37,20049
38,19359
39,1969
40,5593
41,17811
42,34376
43,1343
44,25166
45,34513
46,26742
47,2597
48,16620
49,22381
50,30928
51,33300
52,31014
53,33847
54,30518
55,20788
56,15794
57,29338
58,23105
59,13935
60,28000
61,22029
62,37186
63,20904
64,24727
65,20222
66,28673
67,23085
68,3265
69,19575
70,27980
71,23544
72,20372
73,21788
74,20575
75,485
76,17910
77,31802
78,28173
79,2174
80,4500
81,24351
82,31687
83,32897
84,22094
85,25837
86,22415
87,32292
88,22856
89,35171
90,34655
91,30039
92,24483
93,21847
94,32065
95,30922
96,35073
97,30325
98,31383
99,24928
100,28245
101,23756
102,30991
103,30174
104,31774
105,34761
106,34878
107,34767
108,34004
109,32366
110,22200
111,34646
112,33751
113,914
114,22517
115,32351
116,33255
117,33111
118,28888
119,22987
120,35701
121,32976
122,33368
123,35523
124,2476
125,17935
126,35137
127,19917
128,22968
129,734
130,6459
131,1407
132,33261
133,33637
134,33680
135,33214
136,33971
137,2811
138,34438
139,38329
140,23547
141,34114
142,23833
143,34382
144,34319
145,23692
146,20245
147,12129
148,24986
149,35031
150,12934
151,24291
152,23880
153,28631
154,30845
155,17673
156,35132
157,23275
158,34704
159,26381
160,22105
161,35229
162,13599
163,32334
164,24153
165,33245
166,7163
167,5872
168,17845
169,12731
170,4248
171,17867
172,17647
173,16180
174,15734
175,29477
176,1039
177,7576
178,16551
179,33939
180,33768
181,33388
182,34018
183,34095
184,28935
185,15305
186,14308
187,32181
188,24833
189,25068
190,1878
191,5625
192,7276
193,360
194,20175
195,35745
196,29508
197,5266
198,19814
199,3256
200,23231
201,31762
202,33069
203,26653
204,15405
205,25673
206,34469
207,23864
208,34091
209,18870
210,18288
211,29888
212,3966
213,20535
214,3994
215,24439
216,16306
217,31335
218,24449
219,24683
220,18735
221,16129
222,35538
223,11553
224,11472
225,28911
226,51
227,12783
228,19348
229,30231
230,23694
231,27083
232,32857
233,2065
234,34183
