rank,center_node_id
1,6297
2,1872
3,4284
4,2501
5,8108
6,8969
7,1435
8,10043
9,12092
10,10919
11,12738
12,8457
13,13209
14,10672
15,12564
16,9812
17,13024
18,10660
19,912
20,3109
21,7550
22,9010
23,12866
24,4522
25,10972
26,13328
27,12677
28,3615
29,11207
30,12411
31,10906
32,11528
33,9177
34,4018
35,5085
36,12543
37,478
38,8580
39,2311
40,12116
41,7407
42,5088
43,231
44,8876
45,8875
46,8068
47,10410
48,7575
49,11618
50,1051
51,9820
52,11531
53,11093
54,3742
55,10353
56,12211
57,568
58,4677
59,4350
60,8066
61,4172
62,11962
63,2981
64,10680
65,13645
66,991
67,11014
68,595
69,9944
70,3679
71,5293
72,13353
73,3180
74,7158
75,13240
76,10148
77,10371
78,10343
79,12108
80,9207
81,12581
82,11463
83,5460
84,13010
85,13169
86,160
87,12161
88,8720
89,12232
90,10377
91,12345
92,6536
93,3714
94,11499
95,11129
96,12473
