rank,center_node_id
1,26805
2,8384
3,9438
4,18990
5,15968
6,21498
7,14101
8,16347
9,4544
10,7764
11,22232
12,18434
13,25764
14,11894
15,14690
16,15691
17,22686
18,16848
19,16068
20,36620
21,12869
22,3673
23,16606
24,16970
25,20658
26,22706
27,15612
28,25563
29,22451
30,16109
31,4288
32,8294
33,5595
34,24820
35,19124
36,955
37,3619
38,11953
39,3647
40,19636
41,20719
42,16369
43,3622
44,6634
45,24636
46,2186
47,4689
48,8798
49,24694
50,26280
51,5913
52,22736
53,11835
54,18647
55,20750
56,27610
57,2606
58,29465
59,1326
60,20682
61,2946
62,17200
63,2898
64,12250
65,4470
66,30865
67,26682
68,14476
69,27184
70,21268
71,25339
72,26524
73,31208
74,23788
75,24137
76,11851
77,31338
78,21006
79,2269
80,14634
81,12936
82,23626
83,15268
84,30547
85,15086
86,9708
87,25577
88,32285
89,8186
90,1154
91,18123
92,9260
93,26728
94,31319
95,26814
96,11111
97,7254
98,31978
99,4485
100,28083
101,9672
102,13265
103,27622
104,32141
105,19235
106,31949
107,19693
108,24585
109,24608
110,22651
111,7397
112,21795
113,34776
114,19264
115,10172
116,30000
117,31026
118,9111
119,7283
120,2979
121,29848
122,123
123,17698
124,15271
125,20782
126,22666
127,15034
128,11542
129,33050
130,27559
131,10295
132,12346
133,9814
134,7776
135,19734
136,8678
137,818
138,14478
139,15588
140,5326
141,10640
142,21394
143,32590
144,15770
145,13494
146,901
147,3156
148,10761
149,8878
150,10553
151,24084
152,7897
153,17945
154,27703
155,29574
156,24000
157,25721
158,22479
159,31942
160,5774
161,25231
162,11487
163,7437
164,19708
165,8090
166,11022
167,20766
168,18826
169,29788
170,22046
171,1089
172,19780
173,31108
174,20385
175,21907
176,33380
177,22794
178,34384
179,1406
180,53
181,33995
182,27517
183,28321
184,19929
185,26009
186,19592
187,25831
188,26045
189,25779
190,25693
191,29921
192,29817
193,27962
194,32791
195,858
196,32313
197,27413
198,15854
199,24128
200,1279
201,17725
202,30854
203,21114
204,21150
205,27966
206,36807
207,8189
208,33962
209,23869
210,8131
211,31501
212,30766
213,21354
214,5799
215,19872
216,34034
217,2717
218,23278
219,1984
220,17918
221,28450
222,23097
223,11053
224,27776
225,27367
226,24064
227,26102
228,29868
229,16870
230,10829
231,21183
232,18994
233,9144
234,16630
235,30059
236,27555
237,28877
238,9348
239,11557
240,30900
241,5002
242,244
243,23551
244,19988
245,27441
246,33077
247,23548
248,20496
249,475
250,26973
251,23255
252,33775
253,23754
254,26325
255,7558
256,23249
257,22167
258,22607
259,32538
260,31982
261,27331
262,35043
263,10712
264,29556
265,25933
266,21277
267,33913
268,2272
269,26226
270,10278
271,25136
272,4892
273,13484
274,17120
275,31527
276,33532
