rank,center_node_id
1,11443
2,13419
3,15133
4,3526
5,10421
6,17655
7,13440
8,6216
9,17837
10,18944
11,12767
12,13757
13,13338
14,13803
15,13216
16,11524
17,7154
18,3565
19,14473
20,6344
21,16846
22,21218
23,6805
24,9367
25,1016
26,19195
27,21936
28,5186
29,9264
30,6255
31,20741
32,8710
33,15957
34,15127
35,7161
36,9219
37,10153
38,19566
39,19173
40,23273
41,4346
42,4847
43,4774
44,1164
45,9171
46,7638
47,7072
48,242
49,11971
50,5027
51,2404
52,7509
53,7770
54,5429
55,2583
56,7792
57,15717
58,6085
59,13988
60,5148
61,12408
62,2222
63,1952
64,7105
65,6198
66,6746
67,15021
68,17993
69,10307
70,7676
71,19489
72,14818
73,17010
74,4474
75,10886
76,9212
77,12957
78,7348
79,2479
80,10314
81,4552
82,20452
83,10052
84,14907
85,4814
86,22548
87,20706
88,3972
89,14426
90,934
91,2453
92,6088
93,10152
94,20753
95,6058
96,12087
97,20671
98,15627
99,22711
100,4224
101,218
102,20108
103,12850
104,1102
105,22119
106,1480
107,21667
108,14500
109,1535
110,22914
111,1540
112,21337
113,20285
114,5349
115,11141
116,9485
117,642
118,6729
119,14675
120,16697
121,3702
122,15555
123,20942
124,5421
125,22516
126,3906
127,3774
128,6932
129,13854
130,18521
131,20233
132,3849
133,6823
134,18010
135,19403
136,15186
137,23422
138,13243
139,15301
140,16084
141,9215
142,12178
143,6705
144,22807
145,20749
146,19716
147,10083
148,9334
149,7352
150,16172
151,4057
152,20968
153,20663
154,16769
155,16104
156,18178
157,20128
158,19840
159,12117
160,22893
161,14058
162,23216
163,10476
164,15962
165,18047
166,12719
167,2465
168,18683
169,19995
170,12696
171,10077
172,18081
173,8223
174,6352
175,2789
176,4331
177,8677
178,15985
179,13716
180,21402
181,5086
182,6162
183,9915
184,4317
185,6408
186,4500
187,4150
188,18002
189,9651
190,4036
191,7778
192,20065
193,15237
194,23165
195,14202
196,15452
197,6013
198,19379
199,15533
200,3491
201,18129
202,5425
203,4548
204,14453
205,16998
206,4516
207,18584
208,16009
209,9133
210,8154
211,13042
212,4870
213,5444
214,12669
215,19562
216,5719
217,6913
218,12701
219,14927
220,18928
221,11821
222,5480
223,9049
224,9576
225,9156
226,15319
227,8020
228,9621
229,8706
230,16782
231,9593
232,6718
233,6496
234,4239
235,17671
236,16715
237,9922
238,8354
239,9887
240,14345
241,14555
242,9674
243,13907
244,22725
245,9816
246,13627
247,16369
248,23293
249,7897
250,8416
251,3742
252,17562
253,16786
254,7305
255,16908
256,9013
257,19570
258,19259
259,23307
260,5304
261,9097
262,4686
263,23489
264,8374
265,5548
266,4129
267,8552
268,22909
269,14651
270,14617
271,16766
272,15092
273,17740
274,16200
275,17223
276,11234
277,17758
278,14585
279,17696
280,14899
281,15726
282,15225
283,6232
284,9830
285,15646
286,11590
287,7728
288,12487
289,22294
290,8798
291,18709
292,11198
293,8594
294,11847
295,14559
296,8967
297,10193
298,11217
299,12041
300,12545
301,7283
302,13574
303,5630
304,10163
305,5330
306,14544
307,9037
308,21799
309,1466
310,1190
311,1024
312,1510
313,1344
314,448
315,17043
316,17172
317,16143
318,17400
319,1641
320,1166
321,1906
322,2580
323,11633
324,10505
325,10200
326,6811
327,7280
328,23015
329,5987
330,5355
331,22247
332,16294
333,896
334,662
335,1239
336,1238
337,1620
338,1692
339,10095
340,4387
341,10104
342,16230
343,4855
344,13612
345,12752
346,9955
347,3141
348,10339
349,1207
350,9696
351,1658
352,1637
353,2884
354,4778
355,18328
356,7523
357,4159
358,3967
359,4440
360,9584
361,9069
362,2906
363,4527
364,7200
365,8871
366,17476
367,1351
368,8012
369,7615
370,13986
371,16352
372,16949
373,20728
374,17545
375,9079
376,3520
377,19695
378,8532
379,9855
380,12077
381,10930
382,19943
383,9179
384,23547
385,10130
386,1174
387,9315
388,21480
389,4185
390,8980
391,4629
392,12306
393,21613
394,14845
395,14871
396,18633
397,7344
398,8314
399,18210
400,8276
401,7450
402,1632
403,7855
404,563
405,8483
406,4149
407,5573
408,3164
409,382
410,8073
411,16619
412,796
413,7901
414,16155
415,531
416,17413
417,4362
418,8437
419,5580
420,19017
421,87
422,363
423,498
424,9589
425,7430
426,20051
427,7534
428,175
429,7438
430,19455
431,473
432,348
433,11834
434,19523
435,21298
436,4799
437,560
438,11222
439,14235
440,1143
441,635
442,7083
443,9659
444,14151
445,9682
446,203
447,12402
448,712
449,10970
450,8850
451,18932
452,2035
453,820
454,8047
455,19865
456,1911
457,2754
458,16598
459,21855
460,433
461,213
462,19868
463,22095
464,9716
465,19112
466,18441
467,15882
468,18499
469,21133
470,13476
471,20978
472,20248
473,18693
474,16285
475,14249
476,19726
477,1663
478,14112
479,10131
480,20106
481,20801
482,11490
483,25274
484,10369
485,8145
486,15855
487,11995
488,13021
489,17953
490,15876
491,7047
492,19731
493,20319
494,19604
495,18185
496,8184
497,16433
498,17743
499,19485
500,8000
501,14707
502,9055
503,3578
504,9449
