u,v,euclid_dist,source,detour_ratio
656,657,10.030015934056859,bridge,
25734,25747,10.1408588246538,community,
8741,8755,10.170757183469211,bridge,
6976,6979,10.198204212068129,bridge,
655,658,10.37360998529581,bridge,
8745,8835,10.43110565086286,bridge,
49491,49498,10.523467313952995,bridge,
50037,50040,10.5438492010722,community,
466,467,10.665994808236324,bridge,
24550,24573,10.719517004172692,community,
501,504,10.835404752598956,bridge,
1348,1363,10.949618236842046,bridge,
27,32,10.97240213836314,bridge,
644,645,10.979248538022013,bridge,
5249,5254,11.014909135230482,bridge,
41318,41319,11.02309575830039,bridge,
316,319,11.027308340378895,bridge,
2042,2045,11.047822245089401,bridge,
25897,25906,11.100509249708876,community,
17300,17303,11.127165617248753,bridge,
8,9,11.142169830269793,bridge,
329,464,11.223410256229634,bridge,
24671,30681,11.297903417145418,bridge,
14701,14743,11.336405200425743,bridge,
50495,50500,11.353287076728122,bridge,
38187,38190,11.358735575377976,bridge,
19,22,11.575465524570705,bridge,
49186,49196,11.591552866087316,bridge,
938,939,11.607325942852155,bridge,
170,190,11.634347929828817,bridge,
25905,25924,11.689191848904187,community,
6324,6331,11.706599023266808,bridge,
25950,25967,11.758928289772783,community,
25519,25774,11.798806142959931,bridge,
25877,26586,11.984660069853394,community,
24756,24786,12.078385139684801,bridge,
16475,16478,12.082949159705455,bridge,
35559,35714,12.156365853101844,bridge,
502,503,12.295784376769246,bridge,
16627,16630,12.327663746989655,bridge,
45890,45899,12.32908989707009,bridge,
5652,5675,12.344985255374544,bridge,
4389,4393,12.445865120679468,bridge,
4470,4472,12.509521633712044,bridge,
505,508,12.516363093210458,bridge,
32230,32252,12.527621604934577,community,
22649,22680,12.591462782045378,bridge,
17106,17327,12.608988986347368,bridge,
33997,34422,12.633549651557583,bridge,
517,520,12.652265178513025,bridge,
34699,34706,12.668239724491839,bridge,
26574,26585,12.686828019629626,community,
43918,44111,12.734392876725448,bridge,
34592,34605,12.783682450352748,community,
7,10,12.788706102064063,bridge,
31900,31912,12.831387713465542,bridge,
5511,5530,13.046853663037,bridge,
567,570,13.125043627230342,bridge,
506,507,13.168916900459235,bridge,
45608,45612,13.239266647373203,bridge,
20,21,13.270296763282579,bridge,
14723,14731,13.317893701931453,bridge,
6321,6324,13.327955737427462,bridge,
32399,32406,13.38511545018538,bridge,
18720,18751,13.420464702745175,bridge,
24495,24516,13.434421700779405,bridge,
24672,24729,13.442231948610692,bridge,
37776,37797,13.58976706225829,community,
18673,18707,13.640010256332646,bridge,
518,519,13.66766362261378,bridge,
30525,49499,13.731317314543931,bridge,
30942,30967,13.731340060890847,bridge,
18747,18778,13.847849081717637,bridge,
18563,18585,13.978832333885705,bridge,
18807,18816,14.008447648226365,bridge,
19454,19821,14.07693355796765,bridge,
