u,v,euclid_dist,source
26038,26992,2044.5,vaccine
32277,50176,4542.5,vaccine
24294,28549,3063.8,vaccine
23027,24590,3728.7,vaccine
20129,47738,3304.1,vaccine
18298,48795,4264.8,vaccine
27412,48821,2810.2,vaccine
13491,47957,3470.6,vaccine
25995,27220,2033.8,vaccine
20207,47894,3615.3,vaccine
21038,47905,3311.7,vaccine
29957,31974,1386.3,vaccine
4729,7215,4800.1,vaccine
27768,49164,899.4,vaccine
26596,30572,2855.2,vaccine
18069,23783,4640.4,vaccine
36657,38268,2243.9,vaccine
25550,51598,3536.7,vaccine
16234,51594,3148.6,vaccine
23325,28283,4657.1,vaccine
15931,17667,2547.2,vaccine
25278,30260,4286.2,vaccine
11801,47983,4795.5,vaccine
20160,22409,4446.4,vaccine
20813,22422,2328.2,vaccine
18326,24037,4682.7,vaccine
17002,19503,3869.1,vaccine
20181,47957,3331.2,vaccine
29126,33251,3810.9,vaccine
19011,22350,4021.3,vaccine
14779,20813,4884.2,vaccine
26406,30792,3541.0,vaccine
21107,22623,3524.7,vaccine
13573,48032,3702.6,vaccine
23390,25035,2835.5,vaccine
21292,48012,4930.4,vaccine
30073,32184,1487.2,vaccine
28549,33305,3997.8,vaccine
27494,29282,4447.7,vaccine
23653,28593,3853.7,vaccine
26616,49416,3361.2,vaccine
48337,48663,2329.8,vaccine
25331,30897,3972.2,vaccine
25726,27371,1834.6,vaccine
39022,39087,4576.4,vaccine
20220,48032,2060.5,vaccine
27771,29541,3394.7,vaccine
28593,29544,973.0,vaccine
25575,31076,3675.5,vaccine
31870,34564,3694.3,vaccine
20174,22849,3908.7,vaccine
13576,17667,3417.0,vaccine
16214,20123,3855.9,vaccine
17130,20124,3435.5,vaccine
25576,27537,2305.2,vaccine
20190,48338,2005.9,vaccine
23895,28783,3545.6,vaccine
11739,17530,4174.6,vaccine
32652,34898,4113.7,vaccine
28195,33251,4703.4,vaccine
29699,50310,3787.1,vaccine
17449,20190,3061.2,vaccine
16222,16249,327.0,vaccine
33918,35106,2732.1,vaccine
24712,27672,4003.3,vaccine
24884,49173,3920.6,vaccine
29652,32190,2004.0,vaccine
13902,18211,3114.7,vaccine
26026,49463,2788.0,vaccine
16299,20220,3835.9,vaccine
25756,27858,1910.3,vaccine
32176,35131,3114.0,vaccine
24232,49337,3847.6,vaccine
20233,26621,4660.2,vaccine
28839,32216,2828.1,vaccine
17530,20447,2728.8,vaccine
16348,16646,1660.8,vaccine
4069,5398,4595.9,vaccine
24825,27993,3839.6,vaccine
24023,24215,2685.9,vaccine
16230,20239,3872.6,vaccine
20124,48468,2162.3,vaccine
18927,22849,3497.0,vaccine
19505,22873,2843.4,vaccine
20516,25302,4558.4,vaccine
21645,25307,2375.1,vaccine
18969,48338,2449.6,vaccine
26901,29639,2297.7,vaccine
12659,13573,772.1,vaccine
25302,49871,4835.7,vaccine
26082,49875,4833.9,vaccine
20521,21309,3936.4,vaccine
32230,49671,3329.4,vaccine
19963,48578,920.2,vaccine
18913,23027,3437.7,vaccine
27242,29754,1542.8,vaccine
16518,16975,3583.4,vaccine
26031,29699,2608.0,vaccine
13175,47690,3412.5,vaccine
13916,18445,3562.8,vaccine
23142,25726,2435.7,vaccine
15517,16849,4223.3,vaccine
21853,25576,2107.2,vaccine
15991,20226,4216.1,vaccine
28850,32545,3241.2,vaccine
12784,14068,1380.6,vaccine
14822,47806,3523.0,vaccine
13985,20194,4727.7,vaccine
7271,9342,3754.9,vaccine
22384,47730,4455.0,vaccine
12662,18515,4553.2,vaccine
11515,47728,4333.2,vaccine
13024,47730,2909.5,vaccine
26370,26610,1859.0,vaccine
17829,19080,2942.7,vaccine
29050,32743,3406.6,vaccine
28286,28823,3251.8,vaccine
20780,47703,3087.3,vaccine
27410,48723,3948.0,vaccine
19005,48723,4230.3,vaccine
25307,29945,4388.7,vaccine
13489,47874,2812.2,vaccine
14660,47881,2336.3,vaccine
22345,29061,4649.3,vaccine
