u,v,euclid_dist,source,detour_ratio
17557,17564,10.00335849788041,bridge,
3951,3956,10.45393784564969,bridge,
11347,33801,10.487562827118234,community,
21327,21336,10.50102823190359,bridge,
3952,3955,10.667997150854001,bridge,
22659,22662,10.943818379964473,bridge,
21538,21551,11.007835208759762,community,
16357,16360,11.036531069716874,bridge,
21994,21999,11.060116744748393,community,
21634,21639,11.11005333643651,community,
21633,21640,11.110644323780056,community,
21571,21584,11.161074092552688,community,
29895,35660,11.204630949354236,bridge,
20004,20009,11.256764956788377,bridge,
32442,32443,11.310999093402586,bridge,
32501,32506,11.43539099536002,bridge,
22281,22284,11.511469633951545,bridge,
20453,20462,11.544536697442952,bridge,
21993,22000,11.66407905617581,community,
30891,30894,11.672037955211538,community,
22209,22216,11.690509099452095,community,
22210,22215,11.691701517759142,community,
21572,21583,11.735927828637005,community,
4688,33531,11.749557069237913,bridge,
21543,21560,11.801497577423573,community,
20696,20709,12.094395645097586,bridge,
30630,30633,12.221503068136526,community,
34437,34442,12.294076753117208,bridge,
16156,16159,12.300144270627511,bridge,
13314,13315,12.324868163445862,bridge,
26797,26802,12.402371023979368,bridge,
11347,33798,12.424717186650295,community,
20004,20007,12.45054608161636,bridge,
901,930,12.539388130667936,bridge,
20454,20461,12.582575970480592,bridge,
30214,30217,12.786763368862177,bridge,
27012,27015,12.901534150858495,bridge,
20003,20006,13.02668604453119,bridge,
11914,33969,13.067280287620969,bridge,
17466,17469,13.187372589457123,bridge,
33060,33065,13.291196651964079,bridge,
12706,13769,13.35667250211352,community,
34916,34917,13.436208128773767,bridge,
28014,28021,13.459037593492232,bridge,
26770,26781,13.63357620888515,bridge,
27975,27982,13.649624630515154,bridge,
17509,17616,13.683734498500018,bridge,
22233,22236,13.783478966367197,bridge,
30858,30863,13.793012529057739,bridge,
26769,26782,13.83444912577525,bridge,
4714,4762,13.850175481115377,bridge,
16937,16944,13.860361212589472,bridge,
15242,15257,13.927809542860421,bridge,
7522,7534,13.953794905191906,bridge,
11875,33967,14.40190418475433,bridge,
19928,19933,14.599530501279993,bridge,
16836,16841,14.648098172538875,bridge,
26919,26926,14.661476836544775,bridge,
7491,7522,14.695722048127669,bridge,
32350,32351,14.794228754203955,bridge,
26920,26926,14.824569643918181,bridge,
22783,22786,14.841131235211458,community,
35543,35546,14.904213791379181,bridge,
26793,26798,14.957601785094559,bridge,
33089,33091,15.002746993448753,bridge,
23413,23416,15.142305605109563,bridge,
23295,23358,15.187068282919675,bridge,
10332,10356,15.323073114801021,bridge,
34356,34357,15.416583478033747,bridge,
21135,21145,15.441688600780763,bridge,
23425,23458,15.491430730001388,bridge,
23625,23628,15.65488927838587,bridge,
10248,33756,15.77251394246583,community,
33718,33722,15.791778410103129,bridge,
23206,23207,15.82025661489306,bridge,
20695,20710,15.823074446339843,bridge,
35126,35127,15.851842049517963,bridge,
26808,26809,15.860842178083285,bridge,
32441,32444,15.872408857663688,bridge,
23031,23038,15.885002351003413,bridge,
4653,4688,15.98324794541123,bridge,
23205,23208,16.03389073468942,bridge,
22472,22483,16.071125676682687,bridge,
30693,30696,16.110344601654706,bridge,
21413,21427,16.227734638207966,bridge,
26807,26810,16.277100389387222,bridge,
29887,29893,16.37722238112374,bridge,
4688,4744,16.389038552948946,bridge,
30269,30288,16.440809738140363,bridge,
23291,35115,16.451524330217413,bridge,
5425,5439,16.52450508569536,bridge,
23704,23708,16.600062453836248,bridge,
17908,17921,16.60720161952973,community,
23128,23129,16.65058609449285,bridge,
5423,5439,16.6943599419209,bridge,
21227,21237,16.69916448026014,bridge,
13267,13270,16.848298977996194,bridge,
23127,23130,16.940103533855414,bridge,
7494,7522,16.997687963598388,bridge,
19524,19885,17.08135078300174,bridge,
23702,23706,17.441695003816132,bridge,
7490,7521,17.55224472685312,bridge,
7489,7522,17.65029162972411,bridge,
30896,30897,17.89634096250536,bridge,
24910,24911,17.937312418938998,community,
21132,21134,18.009559896642656,bridge,
24578,24579,18.014047828027454,community,
10576,10647,18.089382639496346,bridge,
8370,8397,18.099958625097706,bridge,
30895,30898,18.127426102129434,bridge,
19301,34520,18.133892148963564,bridge,
5736,5753,18.134902938367674,bridge,
897,930,18.14182234176566,bridge,
33311,33314,18.207906922742097,bridge,
5427,5453,18.236646998588366,bridge,
29169,29171,18.24187535262159,bridge,
17266,17277,18.249475175403816,bridge,
33722,33729,18.25364522647291,bridge,
4548,4552,18.30553098782961,bridge,
19278,34517,18.41187097271852,bridge,
23457,23462,18.42847647865174,bridge,
17001,17013,18.43244649501413,bridge,
27934,28105,18.437143334081966,bridge,
6998,7022,18.521676899943916,bridge,
29168,29169,18.59024401924034,bridge,
17253,17266,18.893092266894612,bridge,
8699,8728,19.046062905885353,bridge,
12082,12121,19.05753362347687,bridge,
21144,21166,19.18501561042891,bridge,
27011,27016,19.209228091084174,bridge,
23357,23360,19.294780534715855,bridge,
10297,10305,19.316514033221303,bridge,
11347,33845,19.349888206417262,community,
16299,16316,19.395334292529164,bridge,
25688,25689,19.577893085916457,bridge,
35292,35293,19.58779954161607,bridge,
12534,34002,19.600746658616483,bridge,
21082,21097,19.618925088997035,bridge,
22552,22553,19.672287850806256,bridge,
12087,12107,19.71449488323652,bridge,
32502,32505,19.754576504871977,bridge,
316,318,19.824938539100884,bridge,
11347,33842,19.886630949575824,community,
5722,5748,19.95839861938189,bridge,
4820,4984,19.972559276662455,bridge,
23783,23805,20.04777877931318,bridge,
21144,21182,20.106159214616174,bridge,
13514,13550,20.110889449313394,bridge,
22675,22680,20.15163402814074,bridge,
15552,15557,20.15826194162913,bridge,
18434,18447,20.2090196813975,community,
8404,8455,20.232307126168628,bridge,
5382,5384,20.263972380945614,bridge,
15308,15331,20.451587250962397,bridge,
20273,20296,20.479620508312237,bridge,
18644,18655,20.480147942565896,bridge,
19666,19755,20.484124740786516,bridge,
16173,16186,20.48853610416792,bridge,
4838,4865,20.491650000021917,bridge,
29895,29897,20.510168718048135,bridge,
22530,22532,20.696249722288652,bridge,
10439,10494,20.715113269086142,bridge,
22524,22529,20.715686548964598,bridge,
27020,27041,20.722983744630472,bridge,
4647,33531,20.757339559635952,bridge,
18416,18441,20.762051622848134,community,
6611,6639,20.946564326626053,bridge,
28013,28022,20.949060451763987,bridge,
6994,7009,21.028460326014766,bridge,
25687,25690,21.04822941297772,bridge,
25471,25474,21.113043673434444,bridge,
22551,22554,21.182825071929663,bridge,
11565,33909,21.235494700180023,community,
23626,35148,21.23901228907408,bridge,
5417,5430,21.306708729325543,bridge,
34516,34518,21.49103810002154,bridge,
2029,2032,21.493152431383454,bridge,
14651,14684,21.578363651878057,bridge,
7098,9063,21.65898283295804,bridge,
14305,14310,21.84663425148959,bridge,
35548,35549,21.902155540692995,bridge,
21340,21430,21.960965969879577,bridge,
23373,23414,21.969498954412796,bridge,
22697,35013,21.97156945934567,bridge,
30696,30699,22.148127189443787,bridge,
12124,12132,22.28321882708135,bridge,
12069,12083,22.344408746343476,bridge,
4738,4749,22.400015722334285,bridge,
10285,33766,22.41638756658057,community,
24502,24507,22.57670955893807,community,
31527,31532,22.6905519035934,bridge,
11332,33832,22.749196501492545,community,
20212,20315,22.89007878047573,bridge,
7490,7552,23.02884895464677,bridge,
4549,4590,23.089791491402476,bridge,
921,1046,23.113642442936595,bridge,
4662,4675,23.122181087393404,bridge,
6515,6545,23.215738575841673,bridge,
34723,34728,23.27389546195921,bridge,
3257,3316,23.283059780841516,bridge,
16084,16099,23.3644801340117,bridge,
12121,12130,23.391386832972447,bridge,
19307,34520,23.450678807215876,bridge,
6996,7022,23.535789073687724,bridge,
6598,6622,23.57519699015008,bridge,
6593,6611,23.733986078877177,bridge,
18181,18184,23.7650750689599,bridge,
