u,v,euclid_dist,source,detour_ratio
20971,21312,300.07916579492183,articulation,
5101,5225,300.37328185632185,bridge,
20003,20062,300.7031670103238,detour,11.64070856575261
22755,22787,300.9468011017762,bridge,
1022,1149,301.0151465095329,bridge,
3246,3400,301.41152213628965,detour,6.645218696548235
21241,21464,301.90304121080896,bridge,
3167,3338,301.92184453605915,detour,5.96333775749696
3831,3854,302.2283727902895,bridge,
3314,3433,302.2468288999476,detour,6.096535032226513
23934,23958,302.427865877136,articulation,
3831,3874,302.51890405523733,articulation,
22311,22334,302.55271575315527,articulation,
5384,5465,302.8314001457571,bridge,
21799,21923,302.8325018110018,articulation,
17207,17694,302.8489068869027,bridge,
17,80,303.17210195654275,bridge,
3034,3230,303.5506552734407,articulation,
18667,18933,303.602768749289,bridge,
2496,3673,303.7570950545353,bridge,
5394,5606,303.79325538666086,detour,7.783725878560274
9333,9607,304.0606690684974,bridge,
21105,21389,304.0760323708726,community,
22628,22648,304.1717689077007,bridge,
26769,26797,304.3341032167072,bridge,
24217,24255,304.3720208460223,articulation,
2049,2133,304.4607676541358,bridge,
16822,34356,305.0758027100859,bridge,
29400,29401,305.2243333827957,bridge,
14795,14833,305.2862368539242,bridge,
29483,29526,305.9192407678768,bridge,
25692,25693,306.2146922828163,detour,25.544128021363907
5990,6316,306.2438621010355,bridge,
15338,34197,306.63295723633576,detour,6.235664205311472
29739,29758,306.64331778478424,bridge,
24217,24283,307.1139473030268,articulation,
5478,5820,307.2844917704461,bridge,
15086,15246,307.30053562606133,articulation,
12880,12928,307.5452185652849,bridge,
12107,12318,307.8974347536705,detour,5.434930764122117
3246,3334,308.17941575435646,detour,7.31678200014085
21307,21336,309.0420361432342,detour,47.10494996457813
2176,2215,309.09492462840143,articulation,
20416,20538,309.4690047755589,detour,8.812969599486177
29483,29543,309.60424940469767,bridge,
20003,20054,309.6151429720087,detour,11.221874032943665
2172,2209,309.66858386513735,bridge,
22295,34916,309.85320085374957,detour,5.225390323054772
13182,13237,309.987984087311,bridge,
22609,22628,310.0665704669227,bridge,
16822,34357,310.1818768449852,bridge,
19140,19291,310.26863336079157,detour,5.1919081939109875
23921,23988,310.5837110093111,bridge,
13963,34134,311.14615867655283,community,
5398,5726,311.338317914104,community,
18239,18244,311.55015665596636,bridge,
16816,16886,311.8259018255331,articulation,
10964,11027,311.8566051004945,community,
24811,24869,311.9307117450682,articulation,
244,265,312.18403408791096,bridge,
30592,30633,312.2634140682177,community,
24439,24502,312.2947006653326,community,
5836,5934,312.63252193112373,bridge,
2991,3167,312.9680041759138,bridge,
12995,13058,313.39407432834287,detour,5.753302642226366
25366,25370,313.51215418825655,bridge,
3314,3400,313.7609842370191,detour,5.409740368145969
6255,6443,313.8326413030825,community,
3367,3598,314.074554403695,bridge,
3246,3352,314.1044648226766,detour,7.236655003581568
156,188,314.1542799644529,detour,5.790391777807631
