u,v,euclid_dist,source
5934,7320,4711.3,vaccine
7196,10404,2958.8,vaccine
6580,7686,2623.6,vaccine
7450,10476,2216.1,vaccine
7874,10108,1805.8,vaccine
4370,8585,4104.7,vaccine
6336,9460,2931.2,vaccine
6224,7398,4950.6,vaccine
6530,7404,1740.7,vaccine
7199,7769,1480.3,vaccine
7537,9648,3009.2,vaccine
7819,9666,2647.9,vaccine
18786,20231,4900.9,vaccine
5003,8718,4825.0,vaccine
6266,8724,1974.0,vaccine
18245,20136,4541.9,vaccine
7832,10206,3486.4,vaccine
7914,9759,3479.4,vaccine
6115,7446,1908.1,vaccine
6678,7803,1418.3,vaccine
7288,8585,987.3,vaccine
18352,20349,3159.8,vaccine
7947,10290,4645.7,vaccine
8632,10293,1026.9,vaccine
4622,8774,4959.1,vaccine
6368,9707,4428.9,vaccine
6719,8529,2571.0,vaccine
6358,33569,546.2,vaccine
4556,4708,4339.1,vaccine
6302,7518,2571.5,vaccine
7224,7351,1274.4,vaccine
8803,10713,1730.3,vaccine
6344,9778,4876.2,vaccine
17439,18387,2153.1,vaccine
6335,6358,487.9,vaccine
7313,8774,1892.9,vaccine
6772,7966,1043.7,vaccine
7602,7769,4637.2,vaccine
5620,7404,4280.7,vaccine
7730,33569,2020.5,vaccine
8222,33572,2884.8,vaccine
6410,10713,2567.8,vaccine
8876,12065,4168.8,vaccine
3185,7143,4213.7,vaccine
5390,7152,3725.6,vaccine
6353,8072,2934.1,vaccine
5460,10476,4500.7,vaccine
10404,10476,4491.8,vaccine
7297,8850,2043.1,vaccine
7697,9778,1765.0,vaccine
7971,11856,3309.8,vaccine
6381,9927,2420.7,vaccine
7302,9714,1642.5,vaccine
18155,20373,4695.0,vaccine
4602,5783,3473.6,vaccine
8211,12262,3037.8,vaccine
7645,7883,1414.7,vaccine
8402,8724,3302.3,vaccine
6875,8941,2902.0,vaccine
6372,6971,1745.3,vaccine
7380,9827,3750.6,vaccine
18128,19605,2580.8,vaccine
3092,7471,4561.7,vaccine
6424,6541,2309.7,vaccine
6443,12065,4286.2,vaccine
7371,33693,4305.4,vaccine
6881,9778,3874.8,vaccine
17650,20440,4604.6,vaccine
6428,7088,4844.4,vaccine
6878,7108,2866.6,vaccine
7320,9252,2334.7,vaccine
7385,7450,4153.0,vaccine
7751,9927,3705.8,vaccine
8240,8803,3497.9,vaccine
10039,33613,3534.6,vaccine
3972,33613,4802.0,vaccine
3496,7582,4479.8,vaccine
6087,7966,4505.8,vaccine
7064,9879,4457.8,vaccine
7332,9881,3407.0,vaccine
7769,11035,2620.7,vaccine
9298,33572,3086.7,vaccine
5934,12262,4950.6,vaccine
7061,7196,2389.5,vaccine
7686,8184,1821.9,vaccine
8508,8941,4939.5,vaccine
5861,7641,3694.5,vaccine
10511,12109,2288.1,vaccine
17699,20035,4639.6,vaccine
6950,9356,4682.8,vaccine
7434,10004,3459.2,vaccine
7707,10008,2526.9,vaccine
18558,19179,861.5,vaccine
3372,7604,4733.7,vaccine
5948,8119,4892.5,vaccine
6977,9927,3903.2,vaccine
7446,11856,3150.4,vaccine
6469,7217,3675.5,vaccine
6971,7224,1880.2,vaccine
7803,10176,3832.6,vaccine
7655,8249,4534.6,vaccine
9431,9881,2613.3,vaccine
27146,27275,2832.4,vaccine
6481,7537,2836.8,vaccine
7387,10052,4920.2,vaccine
7823,12326,3748.2,vaccine
18522,19605,3227.0,vaccine
