u,v,euclid_dist,source,detour_ratio
21301,21304,10.079868374419753,bridge,
7952,7954,10.091295035610903,bridge,
5132,5133,10.100807844568434,bridge,
8175,8182,10.12031628661058,bridge,
5674,5686,10.132156829821662,bridge,
6431,6438,10.36314548463966,bridge,
4031,4036,10.41472439227085,bridge,
8121,8136,10.65704574905128,bridge,
5844,5847,10.799354877099603,community,
14961,14968,10.974047189768546,bridge,
18788,18789,11.37500523391624,bridge,
19312,19313,11.398923021626464,bridge,
21792,21793,11.480720271459928,bridge,
19995,19997,11.572567953185345,bridge,
7292,7295,11.630328823682103,bridge,
3299,3306,11.744237146091606,bridge,
17998,18001,11.745230673448487,community,
9666,9667,11.835628565457204,bridge,
14577,14580,11.97690328570744,bridge,
168,179,12.07580487146682,bridge,
14980,14985,12.119890647045695,bridge,
3775,3860,12.284939697161857,bridge,
5655,5662,12.291977092404206,bridge,
12502,12517,12.338304153153851,bridge,
7985,8516,12.72527122377128,community,
14633,14656,12.780840209092082,bridge,
16866,16961,12.813233725673246,bridge,
16365,16378,12.930356264488713,community,
9774,9781,12.97150480500146,bridge,
10693,10698,13.02328167746652,bridge,
300,332,13.154149314583924,bridge,
16916,16923,13.23430527741091,bridge,
17092,17097,13.266734331920873,bridge,
16766,16778,13.298972743439089,bridge,
7350,7357,13.398432965244758,bridge,
14407,14434,13.445115139447395,bridge,
21679,21701,13.671143348018681,bridge,
313,324,13.969730271501152,bridge,
18932,18937,14.018310401553062,bridge,
9765,9782,14.151467017943892,bridge,
20245,20248,14.183508964377914,bridge,
7464,7465,14.272915038650956,community,
7251,7254,14.280700795939167,community,
4552,4555,14.376117216025005,bridge,
3484,3495,14.377725117596881,bridge,
5144,5147,14.401762524975988,bridge,
12833,12836,14.522500634867846,community,
14162,14167,14.598688807932753,bridge,
14478,14483,14.638649103361262,community,
20246,20247,14.684252047059122,bridge,
14119,21272,14.82620620464201,bridge,
3887,3980,14.893741617966008,bridge,
653,656,14.956984266446701,bridge,
5175,5178,14.96984715016569,bridge,
170,178,15.01496161235507,bridge,
7281,7284,15.077519182925132,community,
6817,6820,15.158594417381561,bridge,
21267,21270,15.205398116362142,community,
5955,5962,15.211422662557311,bridge,
11008,11215,15.329269819676236,bridge,
4553,4560,15.35040561444561,bridge,
20268,20272,15.356010298398866,bridge,
7252,7253,15.39494174821119,community,
6415,6424,15.53579260064676,community,
19445,19448,15.653450521488383,bridge,
21991,21994,15.671186904906593,bridge,
7485,7580,15.699138207791686,community,
20089,20092,15.746565099735768,bridge,
20048,20049,16.013424248836625,bridge,
18208,18281,16.03015916823418,bridge,
20232,20233,16.27246564108708,bridge,
6690,6737,16.273770827582783,bridge,
7463,7466,16.347204247220596,community,
7282,7283,16.470625102279723,community,
653,662,16.512910266710893,bridge,
7487,7492,16.539039706118714,bridge,
367,385,16.549591032604066,bridge,
14477,14484,16.725052007559686,community,
18931,18938,16.76405638108382,bridge,
6658,6666,16.764727948014876,bridge,
17500,17501,16.780277839585676,bridge,
14297,14316,16.832347073290762,community,
20232,20251,16.900528846305527,bridge,
18302,18355,17.209704603176984,bridge,
11735,11744,17.222799346700256,community,
4705,20298,17.47523015553642,bridge,
4305,4310,17.574793043841265,bridge,
17508,17509,17.74408767459163,bridge,
17507,17510,17.752023277159775,bridge,
22060,22061,17.805489594167792,bridge,
18651,18666,17.82969358488011,bridge,
16806,16956,17.871087460494536,bridge,
14161,14168,17.91994746860049,bridge,
4308,4315,18.165484757589244,bridge,
20229,20251,18.246816877912433,bridge,
4554,4559,18.37013515583569,bridge,
5273,20430,18.57498431286811,bridge,
7811,7822,18.605524831889912,bridge,
3483,3496,18.63682920660638,bridge,
