u,v,euclid_dist,source,detour_ratio
12293,12716,300.01821600925376,detour,5.1259480568369575
7718,7721,300.04681073988843,bridge,
7711,7791,300.2799661081942,detour,6.431031635113026
4361,20229,300.9834267440193,detour,23.80062234819643
4665,4768,301.97646165406866,articulation,
10968,11065,302.0257800530348,community,
3349,3537,302.1427676911567,bridge,
136,276,302.56126010669095,detour,5.3950171129948945
15043,15058,303.2279296961691,bridge,
2224,2316,303.3082045396982,bridge,
3978,4070,303.56755550315506,bridge,
14281,14420,304.0595023764329,bridge,
15618,15640,304.21606582827553,bridge,
18911,18952,304.31375223362926,bridge,
3895,3899,304.6974838615894,community,
2714,2782,305.0448352564915,detour,5.043165703473867
18614,18677,305.1627360243112,detour,6.28544546881892
11842,11937,305.2365396355825,articulation,
2658,2801,305.4815949002218,detour,5.904359485464359
10984,10997,305.58465321178016,bridge,
3300,3495,305.6289344575507,detour,17.888705522655318
5012,5218,305.6687307483339,community,
14576,14589,305.88464661861485,bridge,
12441,12718,306.3968681857723,bridge,
7682,7792,306.7204797061496,bridge,
39,76,307.003612143555,articulation,
2785,2848,307.0860678801727,bridge,
12328,12337,307.1845652895885,bridge,
7549,7681,307.4455681816284,detour,8.962006611159417
8348,8362,307.8205179116626,bridge,
18574,18633,308.12503988696056,bridge,
1975,2040,308.2634491544584,community,
98,110,309.18143374198235,articulation,
6080,6167,309.314935214686,bridge,
1913,1979,309.4456966621841,bridge,
3191,3361,309.5228732781934,community,
2166,2168,309.5637624360074,articulation,
5017,5218,309.8927092911341,community,
16652,16917,310.1042827033386,detour,8.631467582509595
223,276,310.13954388857184,detour,6.281146400558953
1940,2016,310.90179964800234,detour,6.135001091664739
11008,11030,310.97725597244226,bridge,
13736,13786,311.1736558259895,bridge,
16314,16355,311.46013723422243,community,
15615,15618,311.69356029637964,bridge,
50,68,312.2362969434801,bridge,
4148,4264,312.3011776937534,bridge,
4546,4623,312.34524735531164,bridge,
6400,6432,312.6493864901372,bridge,
4684,4691,312.6846841720663,articulation,
5002,5218,312.750576254738,community,
808,831,312.78975327546414,bridge,
19137,19141,313.1763436703166,detour,5.7414374274830635
2923,3069,314.00087072668833,community,
6425,6437,314.23770572551143,bridge,
11289,11311,314.53474034724934,bridge,
3709,3860,314.7106036303284,detour,8.404752170586315
8519,8697,315.1713872299,community,
7933,7996,315.19570921360355,bridge,
1940,2019,315.26655526834446,community,
2123,2220,315.3414759043471,articulation,
2524,2642,315.43251925912756,community,
6179,6187,315.43699983311944,bridge,
8112,8540,315.57930527142236,community,
11158,11185,315.7228493018848,bridge,
3978,4073,315.7459669854059,detour,7.672366481027059
16499,16690,315.9425105110851,bridge,
1160,1162,316.1731247653023,bridge,
5007,5218,316.3080833355744,community,
5017,5124,316.3230809333524,detour,16.83968045092616
14103,21257,316.6013855281638,bridge,
1966,2033,317.0941446026184,community,
4661,20337,317.4520107037134,detour,5.029314359034661
9022,9139,317.5030107592604,detour,8.588030348160448
19114,19141,317.8772001363523,detour,5.5513633957602995
19141,19207,317.91698545917245,detour,5.949901956091661
10708,10836,318.3430846556914,bridge,
32,76,318.62114206205223,articulation,
110,140,318.7856094408954,articulation,
1940,2018,318.9241505982698,detour,6.0073065799828615
18086,18309,319.0417076461677,detour,5.469182630995105
2004,20188,319.0771558849303,detour,10.24811846593643
18266,18435,319.08671910555705,community,
6077,6187,319.31562363095935,bridge,
4093,4117,319.3795899207275,community,
2695,2715,319.5395828609363,articulation,
246,276,319.9316376563039,detour,6.165085252208106
4742,4755,319.9527567201323,detour,7.7161201007633995
9026,9222,320.05497114771407,community,
16334,16490,320.4545445859867,bridge,
5637,5664,321.65874763291714,bridge,
515,579,321.8874877299348,articulation,
2668,2738,321.9516598711379,articulation,
6309,6570,322.29680324485935,bridge,
1130,1204,322.4052039474657,community,
9705,9718,322.48394450667263,bridge,
14942,15039,323.17693820389513,bridge,
122,292,323.3591486174931,articulation,
18458,18539,323.35987895246717,community,
5017,5123,323.56478449759544,detour,16.89835546913264
7491,7614,324.31646462731555,detour,8.63706632578967
246,364,324.3394727213763,detour,6.232478789432604
4594,4745,324.89556593145494,articulation,
8284,8377,325.22114679837136,detour,6.139174421691946
4407,4426,325.4488737434313,bridge,
18086,18328,325.6616029850749,detour,5.26873863208893
6301,6570,325.8017910485841,community,
3978,4015,326.0586707648319,detour,8.753200653984239
11030,11215,326.30435102445887,detour,9.888259896613228
114,211,326.3056037405333,articulation,
50,60,326.33548729331403,bridge,
5203,5205,326.3520273347774,community,
5007,5124,326.3650706878365,detour,16.35754723390272
7179,8384,326.4822638546945,bridge,
2004,2125,326.7085657441002,detour,10.008738172613647
4353,20230,326.76896477849874,bridge,
424,484,327.0134002280157,community,
13220,13221,327.3053300178959,articulation,
18266,18426,327.3393092870984,community,
17036,17048,327.67855500182486,bridge,
6180,6197,328.3746759720928,bridge,
10064,10156,328.6769588782771,detour,5.30807875217166
6582,6805,328.78704406896514,detour,5.17654541372051
16994,17097,329.08277558163616,bridge,
5007,5123,330.072345047736,detour,16.600800657938755
11242,11531,330.5150405270966,detour,8.361845134080877
5017,5053,330.65837943301165,detour,18.512122098292856
827,870,330.92824209991454,bridge,
7538,7681,331.0813639088128,detour,7.904321109654609
19703,19823,331.1810728819309,bridge,
230,276,331.20889341525293,detour,5.998885665365701
4408,4425,331.3383181507481,bridge,
224,306,331.94389634402603,detour,5.768498216454199
3837,3890,332.0028706612698,community,
1966,2122,333.2101873484954,community,
6431,6536,333.98771714701047,community,
5007,5053,334.9587618000886,detour,18.309539708801594
2742,2908,335.04307238811026,articulation,
7521,7526,335.18353362782364,bridge,
19089,19141,335.2236132216583,detour,5.0850587662506115
810,828,335.33711726256524,bridge,
7173,8384,335.60085428685625,community,
11580,11683,336.1535018593418,bridge,
10708,10835,336.20717618188786,bridge,
870,876,336.31572318147056,bridge,
5895,5916,336.43541762220514,bridge,
114,120,336.5988989948396,articulation,
12120,12258,336.66436395519366,community,
11278,11424,336.7339946104086,bridge,
3640,3723,337.0893330379214,community,
15688,15722,337.0910118276076,bridge,
2686,2715,337.1698091153368,articulation,
4880,4901,337.4864939842665,community,
6306,6570,337.845694369166,community,
12967,13135,338.3122468160607,bridge,
11145,11278,338.4968878801002,bridge,
8881,9021,338.66730701333336,community,
1940,2033,338.81163432387035,detour,5.538038237729726
4880,4909,338.9652206877979,community,
9140,9295,338.99486503607284,bridge,
4628,4675,339.1705708087179,bridge,
7488,7614,339.61683868173327,detour,8.254357441234681
11402,11536,339.83314450788185,bridge,
19141,19297,339.8672592792296,detour,6.45082936484897
16422,21701,340.07755335356535,detour,8.14138577537645
7114,7204,340.2036017275598,bridge,
49,98,340.5514271161885,bridge,
13061,13467,341.16459972539405,bridge,
6298,6570,341.3647179120904,community,
18004,18328,341.66043929298206,detour,5.688991248846152
7271,7817,342.45400640529,community,
9222,9295,342.4860174857563,articulation,
8882,9026,342.49248241944645,detour,5.646476214257715
8882,9139,342.67250462907396,detour,9.623346964408698
5017,5062,342.8117620642629,detour,16.146453947571015
7268,7817,343.05072226648787,community,
9923,9937,343.1297876303904,detour,6.978031974033647
7711,7896,343.2986066598893,detour,5.437869018047417
254,364,343.4869477731741,detour,5.982176135353223
15464,15658,343.71973220300066,detour,10.74302230343258
15464,15651,343.7484668217099,detour,10.682758451985084
232,364,343.80976490929805,detour,5.7014497889251725
11523,11550,343.8674906127008,bridge,
224,276,343.93874236441485,detour,5.778148879291501
5198,5205,343.9753735872533,community,
4606,4616,343.9761544404061,articulation,
15464,15649,344.2324466586977,detour,10.669875480071521
15364,15623,344.7453582227781,bridge,
4498,4516,345.09693318502684,bridge,
4675,20308,345.60177713753126,bridge,
1857,1860,346.5476866530645,bridge,
