u,v,euclid_dist,source
4060,4202,2084.3,vaccine
6415,6536,489.0,vaccine
17710,18644,2271.3,vaccine
2790,3223,1326.9,vaccine
11143,12556,2882.1,vaccine
5260,5361,4601.8,vaccine
5928,6602,2886.1,vaccine
11297,12749,3441.7,vaccine
1833,3301,3868.0,vaccine
2642,3308,2122.3,vaccine
11585,11652,4285.3,vaccine
11417,14239,4436.4,vaccine
4452,5574,3766.6,vaccine
4434,4762,4510.1,vaccine
1735,2557,2950.7,vaccine
2878,3655,2931.1,vaccine
12088,14601,4858.5,vaccine
1747,3443,4235.6,vaccine
15872,17718,4955.4,vaccine
17719,19052,3009.2,vaccine
2818,3723,3523.0,vaccine
3443,3655,4702.6,vaccine
3030,3856,2224.9,vaccine
470,973,3775.0,vaccine
2319,3443,3070.6,vaccine
1858,3775,3857.4,vaccine
3843,4300,4781.1,vaccine
12732,13305,1696.5,vaccine
18512,19052,4784.2,vaccine
2099,2758,2278.7,vaccine
3308,3723,4393.2,vaccine
15529,17824,4654.3,vaccine
598,1257,3711.4,vaccine
1837,2467,3164.8,vaccine
4201,4300,3045.0,vaccine
3603,3958,1457.5,vaccine
1750,2559,3878.4,vaccine
14964,16099,4339.0,vaccine
4051,4283,2971.3,vaccine
1923,2818,4948.9,vaccine
8534,9437,2163.9,vaccine
3775,4421,2605.6,vaccine
5212,5875,3240.0,vaccine
13756,15582,3758.5,vaccine
2321,2559,3365.9,vaccine
4302,4519,2463.6,vaccine
1890,2909,2706.7,vaccine
11464,13436,4192.6,vaccine
1185,1809,4224.9,vaccine
2559,2818,3846.9,vaccine
2081,3958,3901.3,vaccine
3004,3959,3554.5,vaccine
3910,5184,4429.0,vaccine
3719,3859,1508.0,vaccine
4596,5142,2587.2,vaccine
1936,3188,3500.7,vaccine
1280,2047,4135.6,vaccine
8052,9471,3700.0,vaccine
2814,3958,4435.4,vaccine
3655,3959,842.2,vaccine
18249,18405,2671.9,vaccine
11814,12656,1691.7,vaccine
2606,3188,1436.1,vaccine
3798,4050,1909.7,vaccine
5086,6468,4119.2,vaccine
810,1816,3768.5,vaccine
8597,9471,2997.5,vaccine
8221,9873,3795.1,vaccine
17990,18523,2821.9,vaccine
417,598,1351.0,vaccine
16888,18686,4380.2,vaccine
628,912,2459.6,vaccine
7510,8187,2220.6,vaccine
3747,4100,3690.8,vaccine
4313,4525,3271.0,vaccine
6092,6484,2413.0,vaccine
5142,6161,3049.9,vaccine
872,1006,2135.8,vaccine
357,663,2100.7,vaccine
912,2057,3567.1,vaccine
460,876,3184.7,vaccine
3080,4638,3963.6,vaccine
4416,5324,2903.6,vaccine
434,965,3880.1,vaccine
1577,2057,1490.8,vaccine
6401,6533,3437.3,vaccine
14447,15172,2996.4,vaccine
497,1083,3829.2,vaccine
928,2554,4436.3,vaccine
484,1233,4561.7,vaccine
1747,2412,4181.2,vaccine
2912,3338,1242.3,vaccine
10548,13216,4577.3,vaccine
3665,5604,4966.9,vaccine
17719,18205,1814.4,vaccine
5152,6194,3720.8,vaccine
1596,2554,2785.7,vaccine
10015,10738,2359.6,vaccine
2356,3843,2853.0,vaccine
2319,2412,3747.7,vaccine
1858,2790,3783.1,vaccine
4780,5028,905.3,vaccine
17979,19255,4204.5,vaccine
1809,2871,4259.1,vaccine
2923,3843,1774.9,vaccine
6115,6356,3214.2,vaccine
2467,2790,2669.6,vaccine
11744,13216,2813.8,vaccine
14592,15177,1796.2,vaccine
2013,3910,3926.6,vaccine
15332,15574,1804.9,vaccine
18587,19255,2789.7,vaccine
4268,4311,3060.1,vaccine
18252,19804,4615.4,vaccine
492,1245,4306.1,vaccine
3709,5138,4390.2,vaccine
9674,11218,3447.7,vaccine
11203,11234,4985.8,vaccine
3119,4418,4869.7,vaccine
792,1596,4730.4,vaccine
2758,4546,4404.1,vaccine
8558,9137,2940.4,vaccine
3361,3921,1651.0,vaccine
2099,4070,3944.2,vaccine
13216,13826,3769.0,vaccine
5662,6477,4950.0,vaccine
18682,19804,4905.1,vaccine
19546,19808,3579.2,vaccine
4050,5138,3511.4,vaccine
1918,2814,3883.9,vaccine
3749,4418,2437.0,vaccine
4794,5060,765.4,vaccine
9745,11483,3680.0,vaccine
1245,1596,3947.9,vaccine
3225,4546,3740.9,vaccine
15450,16579,1038.0,vaccine
876,1920,2249.2,vaccine
4958,5163,4883.0,vaccine
4300,5138,3949.8,vaccine
4638,5937,4090.1,vaccine
17845,18542,4522.6,vaccine
1580,3323,4562.2,vaccine
18273,18682,3064.9,vaccine
3089,3227,1693.5,vaccine
10025,12591,4763.1,vaccine
4332,4774,3215.8,vaccine
1922,3184,4816.1,vaccine
10847,11553,3678.3,vaccine
2699,3080,1615.1,vaccine
10893,12276,3954.7,vaccine
2162,3323,4220.3,vaccine
3030,3327,1524.7,vaccine
4970,5439,3517.0,vaccine
18688,19808,4893.4,vaccine
2557,3184,2520.4,vaccine
404,1001,4511.6,vaccine
8168,9862,3688.0,vaccine
2845,3323,4474.5,vaccine
11857,12908,1382.0,vaccine
2047,2099,1403.6,vaccine
2759,3603,4590.1,vaccine
8824,9862,2305.2,vaccine
2916,3747,3467.1,vaccine
5435,5596,2150.3,vaccine
1001,2210,2889.4,vaccine
1923,2267,1777.3,vaccine
4388,4778,2358.3,vaccine
12686,12908,394.3,vaccine
13675,15564,3755.2,vaccine
2173,2513,2805.1,vaccine
3959,4302,4353.7,vaccine
4302,4310,3846.2,vaccine
12867,13353,575.4,vaccine
2181,3327,3303.0,vaccine
4720,4778,3420.2,vaccine
1084,2573,3755.1,vaccine
2061,2606,3451.1,vaccine
14969,15564,2505.5,vaccine
17821,17931,4813.4,vaccine
4239,4302,2922.1,vaccine
12008,12765,2003.6,vaccine
2356,2848,881.1,vaccine
1743,3822,4299.6,vaccine
10095,11889,3961.1,vaccine
1730,2401,3778.6,vaccine
2401,3749,3956.8,vaccine
9487,11200,3780.8,vaccine
4539,5596,3783.2,vaccine
4789,4958,765.2,vaccine
17718,18783,2589.1,vaccine
1809,1826,2971.5,vaccine
2267,3822,4776.0,vaccine
12178,13354,2182.4,vaccine
17824,18505,4090.5,vaccine
2871,2916,3340.2,vaccine
965,1262,1683.6,vaccine
2909,3822,3817.6,vaccine
18275,19393,4028.1,vaccine
1135,1743,4556.7,vaccine
1920,3042,4688.0,vaccine
4047,4060,2161.9,vaccine
11614,13770,3418.9,vaccine
18205,19787,4643.1,vaccine
1045,1833,3521.0,vaccine
6194,6456,3316.2,vaccine
3749,3970,3754.8,vaccine
396,922,4253.1,vaccine
11556,14239,3649.6,vaccine
6357,6491,518.7,vaccine
15499,16217,2004.2,vaccine
1184,2078,2423.3,vaccine
841,922,2308.7,vaccine
17952,18510,2658.3,vaccine
843,1918,3514.6,vaccine
2912,2923,3357.4,vaccine
1645,3223,3829.6,vaccine
11482,11605,3824.8,vaccine
11234,13818,4229.5,vaccine
18279,18587,623.6,vaccine
663,973,3167.2,vaccine
1922,2078,481.9,vaccine
10090,12325,4471.3,vaccine
1932,3069,2699.5,vaccine
4398,6068,4138.1,vaccine
11615,12686,1762.0,vaccine
5260,6030,3543.2,vaccine
18236,18654,3820.7,vaccine
