u,v,euclid_dist,source,detour_ratio
17231,17240,10.278167989615113,community,
12843,12978,10.355605730741946,community,
18604,18614,10.404948631314753,community,
22290,22365,10.457662810522374,bridge,
301,310,10.483117701559408,community,
338,343,10.496243591956983,bridge,
10350,10359,10.55277373577124,bridge,
20406,20435,10.679513663170878,bridge,
27922,27923,10.68291318265528,bridge,
18168,18170,10.790012397391159,bridge,
12497,12499,10.799727864134793,bridge,
9052,9196,10.816159569215642,bridge,
14424,14434,10.995203445644604,bridge,
4965,4968,11.13823772704504,community,
12317,28628,11.369720799026487,bridge,
19424,19427,11.52046660469807,bridge,
6124,6153,11.576840925113837,bridge,
18414,18487,11.653824124189006,community,
5234,5235,11.727494219846566,community,
6124,6138,11.951505776276447,bridge,
5233,5236,12.00135119216641,community,
16178,16250,12.100793238498081,bridge,
4966,4967,12.131431978878066,community,
5532,5533,12.456588699695173,community,
1431,1434,12.561925485232312,bridge,
1432,1433,12.570233379895287,bridge,
27853,27856,12.672685398845513,bridge,
12458,12460,12.9405562204763,bridge,
19595,19602,13.412837984416683,bridge,
18174,18178,13.443148458035083,bridge,
12460,12497,13.536922588501973,community,
16207,16212,13.598038462464741,bridge,
5531,5534,13.726073380863804,community,
12760,12778,14.389780623336621,bridge,
18167,18216,14.416870464623567,bridge,
5587,5722,14.509067148971553,community,
10408,10430,14.704953746987668,community,
16136,16162,14.96397279289704,bridge,
6705,6712,15.050948962678861,bridge,
11144,11153,15.538706172414548,community,
16176,16250,15.585824815494611,bridge,
8863,8868,15.598484289082693,community,
19602,19618,15.687855551103848,bridge,
25364,25366,15.745568678503485,bridge,
9524,9568,16.01851571108914,bridge,
16402,16536,16.222959712791173,bridge,
16203,16207,16.44926036145287,bridge,
20469,20508,16.486786598327658,bridge,
14852,28740,16.593725196994832,community,
18175,18215,16.855259563952966,bridge,
16212,16226,16.8702626630122,bridge,
16332,16402,17.279045422707288,bridge,
16052,16070,17.359525579487936,community,
21456,21620,17.51447770537916,community,
9394,9436,17.516357302761513,bridge,
1326,1327,17.794109691266243,bridge,
1327,28005,17.796174126974076,community,
1635,1638,17.82163806034931,bridge,
18805,18821,17.881378768655757,bridge,
24939,24942,18.171195920179564,bridge,
22740,22766,18.225577297689778,bridge,
5266,5281,18.33928375173323,bridge,
13427,13446,18.63266020503859,bridge,
4849,5025,19.14497013448761,bridge,
16052,16089,19.392978766318794,community,
1646,1647,19.40357560678117,bridge,
22465,22472,19.46336260332428,bridge,
6686,6688,19.516828464593736,bridge,
19618,19620,19.53271347597259,articulation,
19602,19620,19.78483050435268,articulation,
166,221,19.99662247453883,bridge,
15262,15281,20.31492287951173,bridge,
12915,12956,20.764634193193377,community,
14108,14111,20.93305093110077,bridge,
16048,16065,20.951827852303825,community,
63,66,21.28528190331154,bridge,
8863,8894,21.45265894493796,community,
6728,6743,21.462257458285396,bridge,
11256,11258,21.5171370121457,bridge,
16236,16250,21.810741131749587,bridge,
11314,11539,21.907315344321542,bridge,
16048,16095,21.96580215967941,community,
16180,16206,21.981309855068083,bridge,
18174,18175,22.15513326256543,bridge,
26264,26274,22.203514469354197,bridge,
6205,6221,22.248940418936733,bridge,
19684,19736,22.711051572645122,bridge,
19342,19358,22.850320164791928,bridge,
20295,20365,22.94479788536578,bridge,
12901,12960,22.98581167587216,bridge,
7431,7450,23.001646625195608,bridge,
10101,10106,23.042246618410697,community,
5308,5378,23.173674749110837,bridge,
26283,26288,23.342409512866393,bridge,
17204,17240,23.381273043054243,community,
11846,28606,23.587443947839468,community,
8709,8847,23.614290095240406,bridge,
15717,15726,23.668233148904232,bridge,
26186,26189,23.668442415152764,bridge,
18178,18179,23.68189230835818,bridge,
18171,18178,23.73211524820932,bridge,
8863,8884,23.83437229934365,community,
18170,18171,23.961693610091814,bridge,
8863,8898,24.232806941803076,community,
9209,9238,24.279524753592685,bridge,
12317,28633,24.448408695272004,bridge,
17740,17805,24.65466475025023,bridge,
17624,17650,24.72683588863074,community,
18222,18256,24.993493246537568,bridge,
24356,24365,25.16348954699464,bridge,
20454,20486,25.35895318832476,bridge,
12332,28628,25.56002957879606,community,
9205,9238,25.59776143890569,articulation,
12458,12497,25.606111549198857,community,
16144,16168,25.71224788077041,bridge,
23969,23972,25.761955022112083,community,
24199,24202,25.763460331067115,community,
17269,17292,25.873180727235507,bridge,
6480,6494,26.024181386916084,bridge,
4088,4091,26.07884292339125,bridge,
18626,18628,26.48279237156853,community,
10091,10120,26.730801534955447,bridge,
6188,6205,26.733788180766545,articulation,
16140,16162,26.834432424911604,bridge,
6381,6386,26.93266529294164,bridge,
2452,2454,27.294178023988607,bridge,
2459,2531,27.45401260526032,bridge,
16805,16853,27.467073167586378,bridge,
11791,28599,27.785772188395686,community,
9174,9181,27.80903374874368,bridge,
9784,9840,27.857668999550306,bridge,
18069,18150,28.677558832724603,bridge,
9282,9288,28.754186334532214,bridge,
14056,14111,28.778346408398214,bridge,
9526,9598,28.78790466742885,bridge,
18590,18614,29.026695824426817,community,
6026,6040,29.101689236348385,bridge,
5382,5413,29.22650737913623,bridge,
7697,28450,29.26768422205119,bridge,
16140,16160,29.419331921044073,bridge,
23649,23657,29.495104523481228,bridge,
6453,6466,29.688604907207562,bridge,
9437,9492,29.94884858724809,community,
23657,23671,29.97655144295133,bridge,
11456,11685,29.998304923585682,bridge,
14238,14307,30.117893823403456,bridge,
16136,16150,30.124380839822514,bridge,
9174,9177,30.133705421447672,articulation,
16150,16164,30.222355769554646,bridge,
16202,16203,30.362942938910386,bridge,
22777,22826,30.406056549452106,bridge,
25310,25320,30.544412931624162,bridge,
6205,6208,30.551883028311625,articulation,
9437,9468,30.618538977335607,community,
25178,25191,30.807493057256536,bridge,
17241,17280,30.908439519339318,community,
53,58,30.92616249508475,bridge,
24967,24970,31.056848068786017,bridge,
16178,16236,31.33193020782328,articulation,
18588,18614,31.36530289418209,community,
23634,23644,31.36825360344652,bridge,
10221,28591,31.644561701828803,bridge,
19258,19292,31.648447840197246,bridge,
19545,19610,31.741274597704937,bridge,
23671,23697,31.74389439333342,bridge,
19408,19429,31.88173604677303,community,
25173,25178,31.955238451138484,bridge,
9510,9546,32.08342303646095,bridge,
18150,18222,32.20632490365901,bridge,
19426,19460,32.21901143573555,bridge,
9475,9488,32.34853792112397,bridge,
19596,19602,32.48828284377353,bridge,
23701,23712,32.65079164175215,bridge,
25223,25246,32.667318754835975,bridge,
23639,23649,32.67050268828252,bridge,
8716,8718,32.680481939056406,bridge,
23728,23762,32.68487468409872,bridge,
278,295,32.77905332767521,community,
12902,12980,33.06478573899057,bridge,
15035,15095,33.12353221900747,bridge,
14549,14611,33.270928226685754,bridge,
20540,20542,33.591326226231686,bridge,
20435,20454,33.87823725948669,articulation,
14114,14168,33.89016509716773,bridge,
19542,19610,33.95791414572156,bridge,
21456,21623,33.98522600613249,community,
17240,17296,33.98786396864317,bridge,
22609,22626,34.01828155353449,bridge,
19170,19258,34.19352794020752,bridge,
14148,14190,34.42488243418859,bridge,
18507,18526,34.54138449382873,community,
21417,21425,34.634276341375106,bridge,
16152,16180,34.64573553956051,bridge,
16164,16178,34.87205913894543,bridge,
23652,23662,34.95468678953327,bridge,
7500,9614,35.13961882136714,bridge,
12507,12616,35.441271355197124,bridge,
9948,9962,35.47305057913725,bridge,
18419,18424,35.47522985938109,community,
14871,14918,35.51779589785199,bridge,
16160,16226,35.54317563806996,bridge,
6219,6242,35.55302672945159,bridge,
13992,14038,35.69183362663093,community,
10085,10661,35.70025250303377,bridge,
8421,8484,35.72362562743824,bridge,
8845,8854,36.01737564657522,community,
12506,12582,36.1752115149098,bridge,
12150,12656,36.22906033465365,bridge,
20365,20406,36.24701727799006,articulation,
9420,9458,36.3949118633036,bridge,
14196,14226,36.50858745646362,community,
27462,27475,36.558988763274826,bridge,
10107,10170,36.73049243894053,bridge,
10657,10712,36.81538121771165,bridge,
15676,15717,36.87188813576713,bridge,
12355,12451,36.92436996611214,bridge,
12456,12498,36.97747554415538,community,
9177,9238,37.0867536278207,articulation,
20448,20460,37.25879379485557,bridge,
12400,12506,37.2669350802133,bridge,
18086,18192,37.307765961524865,bridge,
15264,15282,37.41497809339369,bridge,
23888,23897,37.46411438591777,bridge,
9450,9470,37.546308455277625,bridge,
26855,26860,37.669824405476135,bridge,
12451,12577,37.743622358872855,bridge,
21435,21451,37.78866454524272,bridge,
17261,17292,37.91731803406574,community,
14085,14166,37.92656122034905,bridge,
11093,11256,38.03236130236371,bridge,
16048,16348,38.162167664545,community,
9782,9930,38.553636719306866,bridge,
1238,1240,38.55510079469141,bridge,
9475,9482,38.59684030112433,bridge,
20563,20578,38.704620595051466,bridge,
12577,12687,38.75567118462884,bridge,
12959,13112,38.80447780691397,bridge,
15362,15409,38.84422736031469,bridge,
9244,9328,38.93567907795081,bridge,
27485,27496,39.012777655851764,bridge,
16132,16209,39.07982902945293,bridge,
22477,22511,39.1977896191156,bridge,
22819,22837,39.224007553066926,bridge,
14085,14094,39.3607039998728,community,
14088,14108,39.40501926242329,bridge,
16138,16221,39.79805991230865,bridge,
2637,2645,39.81788377412842,bridge,
17240,17248,39.89831996264517,community,
17332,17368,39.9700041712158,bridge,
