u,v,euclid_dist,source,detour_ratio
21298,21328,300.6702641736643,bridge,
5662,5725,300.8580255788687,community,
1140,1155,301.31236306729335,articulation,
8848,9004,301.3611339034192,detour,5.415844464813285
6284,6466,301.79826924123654,articulation,
5578,5610,301.8450598049227,community,
27808,27830,302.17544381242607,articulation,
26759,26770,302.40113357707787,bridge,
27096,27224,302.44690467915194,community,
1863,1936,302.59897464824655,community,
26149,26159,302.7414213582796,articulation,
6751,28328,302.7675995057731,detour,7.256993957050102
11792,12008,302.8409733293048,detour,7.448052797934502
19144,19408,302.9581086744797,community,
24970,25010,303.1875755412072,detour,5.858272486015714
22646,22873,303.2205180657183,detour,5.291458948839395
20751,29086,303.300804127022,detour,5.952623740666946
1252,1315,303.43282134992734,articulation,
1893,1940,303.7054915029527,articulation,
26794,26817,304.1393059875727,articulation,
25127,25164,304.5239709767139,articulation,
22469,22568,305.06632516694435,bridge,
24399,24407,305.20342497296343,articulation,
1435,1446,305.2384719168113,bridge,
314,317,305.54722312489525,bridge,
26121,26124,305.5955230911232,detour,6.0817765153771335
4357,4383,305.81318249916495,bridge,
26655,26685,306.09844165222853,bridge,
9561,28591,306.2759430546607,detour,5.868986414474775
12081,12616,306.3218637922015,detour,5.995933414105422
1254,1315,306.82863552269686,articulation,
25364,25466,307.0599467402984,detour,16.42039221669846
22449,22677,307.2004023305361,community,
74,94,307.26606409657677,articulation,
22431,22677,307.8114766416053,community,
25459,25555,308.1710711054609,bridge,
16592,17220,308.26718918580553,detour,6.91544138468862
20751,21071,308.26983268814183,detour,6.352637158670602
2481,2491,308.7374081806756,bridge,
239,357,308.9889231014154,articulation,
24127,24214,309.2399049855624,articulation,
12506,13212,309.31405219781834,detour,7.013499094895644
6745,6830,309.74682344284713,articulation,
24782,24872,309.9134947643836,bridge,
5990,6094,309.9349466413929,bridge,
25460,25479,310.1440132208595,articulation,
5204,5274,310.9982097483588,articulation,
8349,8606,311.24733785645213,detour,5.235673335856863
8350,8723,311.3332556021992,bridge,
2482,2512,311.35618743613514,articulation,
3546,3562,311.596303781723,bridge,
26044,26063,311.73557021134,articulation,
7868,8387,311.7662647643662,bridge,
19143,19408,311.9561465283261,community,
27124,27141,312.1822728919732,bridge,
14238,28703,312.3493961114705,detour,5.267462741376079
18215,18513,312.3651394771596,community,
24119,24199,312.48027451524115,community,
5615,5711,312.4817830212889,bridge,
10153,28591,312.6252926317825,detour,5.676836312979551
435,488,312.6303422780561,bridge,
16560,17220,312.69499349889446,detour,6.832988266046977
12506,13265,312.72436673041494,detour,8.060110423213612
18585,18971,312.907941873564,community,
22756,22984,313.12883668577643,bridge,
18200,18805,313.2984743624405,detour,5.319000311726871
23995,24016,313.43696068808316,articulation,
24970,24971,313.94714215131427,detour,5.460090703849272
25962,25971,314.5955944925335,bridge,
10236,28589,314.69894050695024,detour,11.131237914250642
16391,16883,314.7382319696596,articulation,
66,166,314.7562032374907,detour,99.38575652785354
14098,14111,314.7662633674947,detour,6.564574166717829
25134,25178,315.1819999201017,articulation,
26854,26870,315.26366541174747,articulation,
77,94,315.9127316295757,articulation,
11292,11877,316.30934189478256,bridge,
25256,25264,316.8455642977278,articulation,
7108,7157,317.04733762180655,bridge,
1382,1389,317.76898400761723,bridge,
18179,18513,317.94071574249824,community,
11486,12008,318.1955054510452,detour,6.859596002352224
11756,12508,318.2225481275299,detour,5.00466657912038
24126,24194,318.2381706646373,articulation,
27696,27699,318.36754266951743,bridge,
25167,25178,318.7055776856724,articulation,
26145,26172,318.9103065589927,articulation,
24407,24477,319.70911111800297,articulation,
27008,27018,320.00197164773414,bridge,
21903,21964,320.1903748129552,detour,7.245454646444543
25137,25178,320.2895223221485,articulation,
7020,7164,320.35234727276315,bridge,
14098,14109,320.52316880595055,detour,6.403117749090031
24291,24298,320.75267092352533,articulation,
27567,27583,321.7096645672647,articulation,
25264,25270,322.308844085941,articulation,
6804,6929,322.62486386151716,detour,5.9087508449183295
24126,24214,323.0195248728503,articulation,
3303,3313,323.2709682166291,bridge,
24292,24298,323.2846333030622,articulation,
19268,19408,323.534395027065,community,
7184,7350,323.7142088683369,detour,5.551515051554107
23641,23736,323.7626503922399,articulation,
23434,23537,323.9015536554972,bridge,
14918,15628,324.440986136502,detour,5.047781623446719
27123,27125,324.47454850305473,community,
26044,26085,324.52991567852206,articulation,
26124,26125,325.7648165779476,detour,6.96351290890126
8787,9137,326.30120755941874,bridge,
26137,26172,326.4410418856834,articulation,
17502,18487,326.8201394568296,community,
15291,15537,326.8774679106841,community,
24108,24199,326.9343411873906,community,
22922,23057,327.0322044198833,bridge,
25134,25191,327.0888735957854,articulation,
12081,12777,327.10722248276033,detour,5.224348254201137
22468,22591,327.5697635585567,community,
24298,24313,327.89274128560635,articulation,
8606,9270,328.13607260348954,detour,5.163693505094999
8617,9085,328.30539819357654,community,
1085,1097,328.3090060835239,bridge,
1131,1155,328.62618369766824,articulation,
17761,18254,328.7111046077369,bridge,
18175,18513,329.1436111546044,community,
7747,7904,329.4371703034296,articulation,
21235,21352,329.5029251755172,bridge,
18590,18693,329.7643257008945,community,
14291,14918,329.86925953762506,detour,5.5724511165512345
17767,18264,330.1930836342457,bridge,
26522,26530,330.57255629982876,bridge,
26562,26575,331.1118484458614,bridge,
12008,28606,331.1558722194566,detour,5.362187225360017
1382,1393,331.59128543070653,articulation,
18321,18690,331.6664871185583,community,
25856,25882,331.72769109215585,community,
1912,1930,331.7518088264489,articulation,
27811,27830,331.8173729491122,articulation,
14098,14108,332.1318412260819,detour,6.14415624389982
25973,25982,332.41882602086,bridge,
25264,25290,332.85933015964645,articulation,
26302,26319,333.2064876493178,bridge,
18604,18693,333.319597826466,community,
26122,26124,334.2597301507134,detour,6.855578454140866
5186,5279,334.72956322244653,community,
24970,25016,334.74444697071914,detour,5.404148001713882
24399,24412,334.74724852475265,articulation,
17130,17476,334.7881897224111,detour,6.543304469196968
22814,22861,335.1465562512943,articulation,
25129,25137,335.2649006184395,articulation,
4131,4175,335.55507865713133,bridge,
20677,20846,335.6094633801762,community,
17700,18487,335.7243406224316,community,
4065,4075,335.7481587046657,articulation,
11791,12008,335.8606248762142,detour,6.438447706231343
26988,26997,335.9339875135838,articulation,
18164,18805,336.00179523313216,detour,5.008930271411601
6783,6804,336.0649044824821,detour,6.672164804447983
1893,1930,336.9135217961746,articulation,
6720,6783,337.0523599645241,detour,7.768964943313882
2448,2464,337.2698726479022,bridge,
12818,13265,337.70672111503507,detour,8.382225601632697
3171,3177,337.9274024816681,bridge,
20633,20846,338.2006504085272,community,
26058,26063,338.24105735696253,articulation,
20751,21089,338.651325914191,detour,5.880477499254595
22764,22997,338.84274820032556,bridge,
16532,17220,339.4510221987127,detour,6.385652027697708
18171,18513,339.49236140096855,community,
24412,24491,339.5538278565872,articulation,
26021,26124,339.6392853287751,detour,5.227698160131404
19329,19408,339.6540729160217,community,
23736,23876,339.78435745524314,bridge,
6779,6920,340.11598778020516,detour,5.593210814951586
3131,3135,340.1419371595686,bridge,
9125,10198,340.15875551561606,bridge,
18178,18513,340.80541177668,community,
6707,28328,340.91439726462994,detour,6.6447484124027
6522,6584,340.9194520629105,detour,20.816274602249187
9718,10028,341.099390192688,articulation,
21361,21513,341.37052999732765,community,
3580,3769,341.4857584130405,bridge,
26781,26814,342.3807529668569,articulation,
1088,1099,343.54906619074217,bridge,
22633,22823,343.7138412903046,bridge,
22469,22593,343.8439266144322,community,
7071,7330,343.9353798562225,detour,5.481839978778961
4248,4292,344.10501577695095,bridge,
1399,1425,344.1819715300719,articulation,
9678,28591,344.25057905600994,detour,5.120365064997029
26044,26103,344.3853701519705,articulation,
23856,23905,344.42492651921077,bridge,
830,866,344.5335681637344,detour,7.853742024044562
6688,6731,344.5886247003486,community,
200,27953,344.5988443863711,bridge,
19131,19408,344.8610078751422,community,
26131,26133,345.5721532841016,bridge,
9637,28591,345.5819596770308,detour,5.0992518251354015
25970,26002,345.7042198636412,bridge,
27721,27742,345.7527056097214,articulation,
25137,25191,345.7704910599258,articulation,
16500,17220,345.9798144871401,detour,8.162209026948979
26103,26125,346.5506454111669,detour,6.3592124103543295
26058,26085,347.2212604852862,articulation,
22481,22609,347.4594963780419,detour,5.284884694725997
26020,26124,347.87502815726043,detour,5.168630679910403
7184,7364,347.9061765044313,detour,5.073701738692843
24126,24142,348.67632971785235,articulation,
20737,20846,348.85642019266356,community,
26854,26860,348.86736194660847,articulation,
23049,23113,349.35066332818786,bridge,
5936,6094,349.73736343066,bridge,
1863,1895,349.75265709887935,community,
5084,5104,349.83473053283353,articulation,
13088,13575,350.0413717624376,bridge,
15291,15536,350.0714153142001,community,
24340,24352,350.5716433030988,detour,48.77076191484933
18827,18938,350.6060700276954,articulation,
7062,7330,351.99321892928754,detour,5.474357541113788
26103,26122,352.0438703170197,detour,6.32553397879491
16493,17220,352.73486758798146,detour,7.964622917028751
24118,24199,352.8553767989063,community,
13006,13150,353.25144633283935,bridge,
25785,25799,353.5844090061022,bridge,
13940,14098,354.02875871726894,detour,5.538572467172084
11846,12008,354.6212704920008,detour,6.145750293582579
