u,v,euclid_dist,source
7189,9816,2268.7,vaccine
8950,13006,3521.6,vaccine
15053,15562,306.6,vaccine
13133,17407,3045.8,vaccine
14251,21094,4045.8,vaccine
15007,21112,4241.6,vaccine
11515,12209,4104.2,vaccine
11624,19182,4079.3,vaccine
8082,10008,2026.3,vaccine
16688,19004,4098.2,vaccine
18477,19044,628.1,vaccine
9900,19004,4875.6,vaccine
13286,17805,3941.9,vaccine
13272,15667,4521.3,vaccine
8430,15934,4033.6,vaccine
10835,12261,2920.7,vaccine
10990,19263,4858.2,vaccine
14702,15865,894.4,vaccine
15096,15898,3529.6,vaccine
16515,19182,3187.5,vaccine
13241,18150,3155.9,vaccine
11944,13769,1623.1,vaccine
13228,15772,2191.0,vaccine
10153,15096,4832.7,vaccine
10288,28623,1081.6,vaccine
11870,19443,4768.8,vaccine
11759,17805,3172.8,vaccine
8294,10359,1425.5,vaccine
17240,19372,1794.6,vaccine
15865,28564,3286.3,vaccine
10008,19372,4915.5,vaccine
9915,12299,2402.9,vaccine
9063,9102,645.8,vaccine
12638,14125,4464.4,vaccine
14529,15939,1605.0,vaccine
7229,10288,3131.7,vaccine
11152,13952,2071.6,vaccine
9357,10551,3683.7,vaccine
16059,29024,2737.3,vaccine
9373,15142,3308.8,vaccine
6456,8257,3087.3,vaccine
7339,10430,2281.3,vaccine
7500,16146,4867.7,vaccine
15182,16172,2821.4,vaccine
8180,10450,1255.4,vaccine
15202,28623,4104.9,vaccine
12084,14325,2656.5,vaccine
10314,15314,4809.0,vaccine
11970,18425,3844.9,vaccine
11120,14125,1507.1,vaccine
8448,16349,4583.1,vaccine
7561,13084,3523.4,vaccine
8400,10653,1478.4,vaccine
9305,15203,2656.1,vaccine
9227,9373,2987.7,vaccine
12719,14739,1364.1,vaccine
14771,16279,3390.4,vaccine
9528,12261,1029.5,vaccine
11190,14529,1706.1,vaccine
11978,14539,2421.0,vaccine
10232,15366,3808.5,vaccine
5631,5769,997.2,vaccine
7567,10791,4024.3,vaccine
12158,14828,1983.0,vaccine
11194,11201,2149.9,vaccine
16264,19378,1977.5,vaccine
8720,12299,2736.3,vaccine
9492,12310,3743.4,vaccine
11155,14739,3123.6,vaccine
7000,13286,4024.1,vaccine
14924,19263,3111.7,vaccine
9397,15394,3849.4,vaccine
15325,19306,4268.1,vaccine
11448,18317,3587.2,vaccine
12822,14921,4623.6,vaccine
9642,12411,2629.7,vaccine
10390,11245,1334.1,vaccine
12099,14890,2826.7,vaccine
7787,13439,2976.8,vaccine
9533,15530,4092.0,vaccine
8607,12359,4307.7,vaccine
16095,19447,2066.4,vaccine
14900,19378,4679.6,vaccine
11334,18443,4687.5,vaccine
10782,18425,3952.7,vaccine
11237,11466,551.4,vaccine
16349,19690,2143.7,vaccine
9547,12468,2417.0,vaccine
16319,18317,2189.1,vaccine
13799,16287,2245.5,vaccine
7697,13647,3245.4,vaccine
14965,19491,3614.6,vaccine
15383,19496,4541.5,vaccine
6040,28490,4610.3,vaccine
11528,18718,3802.2,vaccine
12258,16172,4266.0,vaccine
10616,12715,3473.3,vaccine
12209,28359,3906.5,vaccine
10639,18597,4962.9,vaccine
10548,11528,946.3,vaccine
7043,10794,4314.5,vaccine
15530,19878,4706.7,vaccine
7692,9460,2287.1,vaccine
16279,19891,2237.3,vaccine
8780,12638,2838.7,vaccine
11438,11881,497.4,vaccine
11466,18824,3916.8,vaccine
6716,7339,2059.7,vaccine
16465,20976,3461.5,vaccine
7884,9561,1341.4,vaccine
9702,12766,1291.1,vaccine
8819,9576,1408.4,vaccine
11423,28535,2385.8,vaccine
10430,11734,1996.1,vaccine
18317,18742,2873.9,vaccine
6701,10929,3996.5,vaccine
14039,16684,1585.8,vaccine
15476,20177,2822.7,vaccine
10934,14890,1785.1,vaccine
9044,9789,4012.7,vaccine
9704,9810,2187.4,vaccine
9189,15531,4495.1,vaccine
10794,18853,4898.6,vaccine
9765,14833,2280.6,vaccine
10713,11978,2306.1,vaccine
11267,11990,344.0,vaccine
7223,11142,3066.9,vaccine
6702,7561,2354.9,vaccine
15050,15484,588.6,vaccine
7829,9702,2252.8,vaccine
7884,15484,3903.6,vaccine
13130,16926,2209.2,vaccine
12317,13310,465.9,vaccine
11615,18976,3939.2,vaccine
12262,16684,3006.1,vaccine
8038,9862,1953.1,vaccine
8950,9900,2638.3,vaccine
9044,15666,3885.7,vaccine
12430,13486,3127.3,vaccine
13133,13491,4545.1,vaccine
14251,15531,1186.3,vaccine
15007,15536,2797.9,vaccine
11145,28359,4163.5,vaccine
11624,15010,1564.3,vaccine
11112,15007,1917.1,vaccine
12370,17308,3212.7,vaccine
13057,17342,3100.9,vaccine
9261,15855,3136.3,vaccine
8201,12652,3607.2,vaccine
9208,10024,2265.9,vaccine
9900,14953,3499.3,vaccine
13286,13748,3367.3,vaccine
8038,15762,3972.8,vaccine
10288,11881,2736.6,vaccine
6705,11194,3667.7,vaccine
11930,13647,1931.7,vaccine
8430,12766,2642.9,vaccine
10263,28535,1646.0,vaccine
10990,15053,3209.8,vaccine
7320,12715,3772.0,vaccine
15142,20660,3906.6,vaccine
12550,13816,4231.3,vaccine
13241,13839,3192.8,vaccine
13272,19891,3952.7,vaccine
11153,15113,1954.8,vaccine
17675,18869,1704.2,vaccine
10153,11990,4566.9,vaccine
11179,28859,2359.5,vaccine
12460,18069,3850.2,vaccine
8371,12915,2660.5,vaccine
17407,28606,3043.5,vaccine
10008,15085,2871.0,vaccine
10150,28606,3537.5,vaccine
15865,18826,4235.2,vaccine
6792,8038,3472.6,vaccine
8257,15975,4854.9,vaccine
10458,18976,4392.3,vaccine
7587,9900,1892.1,vaccine
16059,18929,1727.1,vaccine
9443,18929,4912.6,vaccine
9373,12094,2152.0,vaccine
14890,21235,4141.4,vaccine
15939,28859,2565.5,vaccine
15202,18869,2321.4,vaccine
17240,28862,983.7,vaccine
5465,5506,2163.7,vaccine
18069,19163,4037.2,vaccine
10384,19163,4465.5,vaccine
11970,14255,2131.9,vaccine
8448,13133,3259.5,vaccine
7561,10006,3097.8,vaccine
10160,15296,4581.0,vaccine
13647,21260,4568.0,vaccine
7339,13063,3232.2,vaccine
11205,17465,4408.7,vaccine
7688,10252,3748.2,vaccine
17744,19261,2202.2,vaccine
10232,12258,1328.6,vaccine
6577,11304,4259.6,vaccine
13675,15862,1379.6,vaccine
8400,13235,2785.2,vaccine
6904,10069,4149.7,vaccine
15320,19163,4046.5,vaccine
12178,18075,3234.1,vaccine
10404,12332,1755.0,vaccine
8720,9189,447.0,vaccine
6025,8038,4713.4,vaccine
11155,11198,2088.2,vaccine
7000,10336,3244.1,vaccine
7599,10352,4663.9,vaccine
14930,16025,4121.1,vaccine
16072,19325,2669.3,vaccine
14924,15053,3060.1,vaccine
11448,14102,1817.5,vaccine
12915,15926,2698.1,vaccine
7567,13280,3192.4,vaccine
9737,15193,3116.9,vaccine
7881,16264,4594.8,vaccine
7787,10531,4796.4,vaccine
15501,28862,4754.0,vaccine
8720,15125,4279.0,vaccine
5900,8201,4017.6,vaccine
13769,16095,2819.9,vaccine
10782,14255,4828.5,vaccine
12261,18485,3522.4,vaccine
7235,13133,3550.2,vaccine
12770,16025,2971.5,vaccine
9642,15306,4618.5,vaccine
14999,16341,1325.2,vaccine
