u,v,euclid_dist,source,detour_ratio
16222,36848,10.254329686494723,bridge,
1,4,10.508404084385049,bridge,
18546,18553,10.516022044248345,bridge,
18185,18188,10.583699066214198,bridge,
21326,21365,10.585339178209315,bridge,
35783,35786,10.742387368036708,bridge,
37510,37511,10.883693956585224,community,
29379,29385,10.92171824625424,bridge,
10172,10316,11.107109152187288,bridge,
33731,33736,11.192442440007312,bridge,
4074,4079,11.214931158802655,bridge,
2,3,11.264625562777972,bridge,
18995,19016,11.38480460734653,community,
38223,38226,11.466333148049152,bridge,
36047,36052,11.510417677359223,bridge,
18426,18429,11.65207452402276,bridge,
16205,36845,11.697818852521896,bridge,
16466,16472,11.891216143362467,bridge,
16472,16473,11.892772111211093,bridge,
18186,18187,12.076199953536552,bridge,
37294,37295,12.167405875210282,bridge,
34259,34262,12.252377227786411,bridge,
15343,15350,12.264483099747364,bridge,
34260,34261,12.26882800624099,bridge,
34255,34258,12.277159881294994,bridge,
3806,3807,12.393353461944093,bridge,
35680,35681,12.40570221927317,bridge,
36935,36942,12.408997898176146,bridge,
10075,10103,12.475535069104726,bridge,
4628,4631,12.493513089988552,bridge,
19797,19804,12.60384240481319,community,
3644,3720,12.75429772599845,bridge,
13111,13260,12.832118138517036,community,
34235,34238,12.914867296106063,bridge,
2776,2777,12.93830664363635,bridge,
9930,36257,12.963700351656229,community,
10,11,12.984328862067592,bridge,
17,20,12.987960042260388,bridge,
3648,3651,13.005768733787407,bridge,
34256,34257,13.032772579424716,bridge,
35685,35688,13.126998732742816,bridge,
9,12,13.13713818384731,bridge,
3723,3728,13.27251319712108,bridge,
35553,35556,13.561797553439291,bridge,
32363,32365,13.596918822965035,bridge,
36048,36051,13.623594733943598,bridge,
35726,35727,13.63748151605829,bridge,
38493,38496,13.704127601373392,bridge,
35250,35251,13.74476794911861,bridge,
32686,32687,13.78852341083597,bridge,
35686,35687,13.844850581935761,bridge,
4312,4331,13.914193825678721,bridge,
35720,35723,13.940351833046352,bridge,
35697,35700,13.984879130548704,bridge,
30536,31796,13.986202739635166,bridge,
34262,38281,14.177850556715859,bridge,
35304,35306,14.204217703297932,bridge,
18476,18478,14.436367752745674,bridge,
16471,16474,14.504977968248298,bridge,
3920,3921,14.589345023666537,bridge,
18573,18576,14.70263867872638,bridge,
41,44,14.720182090752353,bridge,
15288,15293,14.764120881381212,bridge,
3792,3793,14.943812870919192,bridge,
3898,3909,14.957199920388506,bridge,
18531,18533,15.015544180788558,bridge,
35671,35674,15.06917881911643,bridge,
35002,35004,15.246119055650375,bridge,
24,25,15.2913487492836,bridge,
36622,36623,15.33112220193535,bridge,
2911,3135,15.382901189799856,bridge,
27312,27350,15.426125715496113,bridge,
35698,35699,15.592278413846191,bridge,
29576,29577,15.652703072862364,bridge,
7664,7673,15.656496028899543,community,
10066,10104,15.683367113211593,bridge,
4891,4957,15.693272159868027,bridge,
7075,7142,15.807747823012736,bridge,
4892,4957,16.028647173161527,bridge,
35288,35291,16.067295790430524,bridge,
6776,7519,16.285785732090027,bridge,
2617,2629,16.34687854710867,bridge,
9955,10002,16.352675840025395,bridge,
16278,16283,16.40257745411933,bridge,
33078,33080,16.629801469937643,bridge,
13051,13060,16.758011990595634,bridge,
18556,18559,16.765125141311493,bridge,
18544,18553,16.80332838032288,bridge,
6938,6961,17.032880946399786,bridge,
9711,36190,17.052498571625332,bridge,
15946,36731,17.15543391072281,bridge,
5304,38537,17.243212454266015,bridge,
3815,3820,17.334447804753665,bridge,
36326,36345,17.72708529234414,bridge,
18469,18478,17.752533160871764,bridge,
34262,38280,17.77934933144996,bridge,
4372,4383,17.83044908514286,bridge,
35260,35267,17.860401185516075,bridge,
13052,13059,17.939050629177807,bridge,
6579,6744,18.048180061488875,bridge,
5065,5072,18.211784626666162,bridge,
35468,35479,18.27234649026952,bridge,
16947,16953,18.30099459467531,bridge,
4431,4440,18.353296412475945,bridge,
6310,6618,18.52623495621415,bridge,
35468,35472,18.722842075335155,bridge,
20345,20372,18.933935971013128,bridge,
25690,25692,19.002756807060102,bridge,
17628,17630,19.03629289130994,bridge,
12546,12547,19.168109381590217,bridge,
16221,36842,19.29333163363206,bridge,
6937,6962,19.295890776534062,bridge,
12198,12207,19.390526647776852,bridge,
9956,9976,19.413600665121475,bridge,
16456,16562,19.4466536642695,bridge,
17094,17096,19.508246281538018,bridge,
10083,10104,19.702091247489346,bridge,
26235,26260,19.90909374500672,bridge,
37250,37252,20.068987788531953,bridge,
21379,21381,20.158773131513822,bridge,
23206,23207,20.381332051695225,bridge,
25703,26003,20.53523490146169,bridge,
17502,17511,20.55526597492293,bridge,
3628,3639,20.65761756585458,bridge,
37245,37247,20.733635377950357,bridge,
7076,7141,20.796433178589478,bridge,
9930,36253,21.243533635781503,community,
5177,5232,21.304786422439403,bridge,
18,19,21.507632628211848,bridge,
12197,12210,21.646495386673056,bridge,
34224,34225,21.89474132656186,bridge,
17318,17380,21.932667118451114,bridge,
3718,3719,21.949097697930096,bridge,
2769,2773,22.018596821639612,bridge,
25102,25103,22.02582829425852,bridge,
28255,28259,22.293384472145064,bridge,
34873,34878,22.626733227123417,bridge,
26215,26260,22.827431833668314,bridge,
12549,12552,22.885233544018586,bridge,
17093,17095,22.972637798720523,bridge,
11675,11678,23.06285303339567,bridge,
15905,15913,23.272363495320064,bridge,
